# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	어이, 큰 강아지.
line:7279121a	Alright! I'll go get you the gate.	알겠어요! 문 열어 드릴게요.
line:4fc4259c	Alright! I'm ready to go.	좋아! 갈 준비 됐어.
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	좋아요. 문 열어 주면 먼저 가 있을게요!
line:d04df8f8	Alright, I'll cya!	좋아, 또 봐!
line:4766af08	Alrighty! That should be it.	자! 다 된 것 같아요.
line:797ca540	Alrighty. All clean.	됐네요. 다 깨끗해졌어요.
line:c4cb161a	Although grapes have always hit a specific craving.	포도는 언제나 딱 당기던 맛을 채워 줘요.
line:dc237557	Although, the portions might be a bit... dragon sized.	양이 좀... 드래곤 기준일 수는 있지만요.
line:655b8c01	Always happy to have you, Conrad.	콘래드는 언제나 환영이에요.
line:afedd1f5	An anomaly.	이례적인 존재입니다.
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	구급상자도 있어서 다행이네... 준비가 철저하구나.
line:0699aef9	And I'm really happy for you and Conrad.	당신이랑 콘래드가 잘돼서 저도 정말 기뻐요.
line:a3a26459	And not just physically.	단순히 높이의 문제만은 아니지요.
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	그래서 여기 온 거야! 씻고 나서 만나러 가려고.
line:33440e8c	And why you are perfect for this job!	그래서 당신이 이 일에 적임자인 것이지요!
line:cacb93ce	And you've tried everything.	해 볼 수 있는 건 다 해 봤고요.
line:8cae6240	Another dragon? Usually I don't really get along...	다른 드래곤? 보통은 별로 안 맞는데...
line:5a7e4fd4	Any chance you can clean me up again?	다시 씻겨 줄 수 있나요?
line:92d2a30a	Anything. I'm just curious.	무엇이든 괜찮습니다. 그저 궁금해서요.
line:52695aa2	Anything?	뭐든지요?
line:8ead9ee9	Anytime, Ryan.	언제든요, 라이언.
line:6d77feef	Anyway glad you're not finished, lets keep at it!	아무튼 아직 안 끝났다니 다행이에요. 계속하죠!
line:bdb4f59c	Anyway, time to get writing!	아무튼, 이제 글을 써 보자!
line:75dd56ae	Anyways,	아무튼,
line:8980260e	Anyways-	아무튼...
line:a8e6291c	Anyways- Let me out.	아무튼 나가게 해 줘.
line:493a82ef	Anyways. Could you go get the gate?	아무튼 문 좀 열어 줄래?
line:926f5f41	Anyways. Gonna use this thing now!	아무튼 이제 이거 쓴다!
line:ad8ab02e	Anyways...	아무튼...
line:e767dc51	Anywho, I'll get out of your scales now.	아무튼 이제 그만 가 보겠습니다.
line:e81426c1	Anywho, I'm in need of a clean.	아무튼 몸을 씻어야겠습니다.
line:23e7d518	Approach the dragon entrance, and I will let you in.	드래곤용 입구로 오시면 제가 열어 드리겠습니다.
line:72a9b5bb	Are you happy?	행복하세요?
line:be0118cc	Are you okay?	괜찮아요?
line:de735c65	Are you open right now?	지금 영업 중입니까?
line:9369755d	Are you sure it will fit?	정말 들어갈까요?
line:c35b717a	Are you sure...? In front of the food?	정말 괜찮아요...? 음식 앞인데?
line:cb06d2bf	As am I.	저도 그렇습니다.
line:9a48b21c	As in you're unique.	남다르다는 뜻입니다.
line:1c021ee0	At getting hand jobs.	손으로 받는 쪽으로는.
line:e861b464	At least that's what I've heard anyway.	적어도 제가 듣기로는 그래요.
line:2f54ceec	At least you can still use your hands. Heh.	그래도 손은 쓸 수 있잖아. 흐.
line:cb04e062	At least you can still use your hands. Heh.	그래도 손은 쓸 수 있잖아. 흐.
line:97792929	Aw, I'll go get you the gate.	아, 문 열어 드릴게요.
line:c6895517	Aw, Ryan.	아, 라이언.
line:db997182	Aw, thank you Alexander.	아, 감사합니다, 알렉산더.
line:7157db26	Aw, thanks Alexander.	아, 감사해요, 알렉산더.
line:011f1458	Aw, thanks.	아, 고마워요.
line:aea0be6b	Aw, thanks.	아, 고마워.
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	아, 고마워요. 다 씻겨 준 덕분에 멋져진 거죠!
line:453ff9be	Aw- Ryan...	아, 라이언...
line:5340a315	Aw... Thanks!	아... 감사해요!
line:c6202cf2	Aw... Thanks.	아... 고마워요.
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	아... 고마워요. 제가 당신을...
line:2bfa396c	Aw... That's really sweet	아... 정말 다정하네요.
line:22053f7f	Awesome!	좋아요!
line:6fdb2c3d	Awesome!	좋아요!
line:70306ba1	Awesome!	좋아!
line:6126a614	Awesome! Come on in..	좋아요! 들어오세요..
line:e85007ac	Awesome! See you later then!	좋아요! 그럼 나중에 봐요!
line:4c7f15d6	Awesome, I'll go get the gate.	좋아요, 문 열고 올게요.
line:9d126e4e	Awesome, I'm glad.	잘됐네요. 기뻐요.
line:b60cc4a5	Awesome.	좋아요.
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	아... 인사하러 오는 데 잉크까지 뒤집어쓸 필요는 없어요!
line:8e20e028	Be yourself!	있는 그대로 행동해요!
line:cd18f73f	Been looking forward to this.	기대하고 있었어요.
line:8f1fccf9	Being muddy is really fun up until it starts drying.	진흙이 묻는 건 마르기 전까지만 재미있어요.
line:40783547	Berries.	베리.
line:59d4be6a	Berries.	베리.
line:61e781c1	Berries.	베리.
line:18ae08ef	Bet you had fun.	재미있었겠네.
line:982fd3c7	big C...?	빅 C...?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	생물학이...? <size=70%> <i>아마도요?
line:9be63f47	Bleh. Thank you for grabbing that.	으. 받아 줘서 고마워요.
line:66957ed2	Blue...?	파란 알...?
line:a77c3afd	Both.	둘 다.
line:78975048	Brrr! Cold water!	으으! 찬물이에요!
line:8487a2c4	Burnswick Community College of Thaumaturgy	번스윅 마법학 커뮤니티 칼리지요.
line:f75126de	But honestly you've helped me a lot.	하지만 덕분에 정말 많은 도움을 받았어요.
line:cab69268	But I already know I'm liking this a lot.	그래도 벌써 정말 마음에 드네요.
line:d9534386	But I know the type... They tend to be big softies on the inside.	그래도 그런 타입은 알아요... 속은 아주 여린 경우가 많죠.
line:f73ddfbc	But I think its time to get cleaned up.	하지만 이제 씻어야 할 것 같아요.
line:088ea4a7	But I'm hot shit, so I'll be fine.	그래도 난 끝내주니까 괜찮겠지.
line:c8f8bc22	But I'm only your washer?	저는 그냥 씻겨 드릴 뿐인데요?
line:dda0419b	But I'm sure I'd enjoy it with you!	그래도 당신과 함께라면 즐거울 거예요!
line:aa74448a	But not in this sized package, right??	하지만 이 정도 몸집에서는 아니지??
line:7d9ffc48	But nothing beats a large gulp!	그래도 크게 한입에 삼키는 것만 못하죠!
line:d1ec7684	But that is why I am here!	하지만 그래서 여기 온 것 아닙니까!
line:b0d9d1e5	But you're the teacher dragon.	그래도 선생님인 드래곤은 알렉산더잖아요.
line:2d7e1ab6	But, at least I got to meet you!	그래도 당신을 만날 수 있었잖아요!
line:b7f46902	But, I think you've taught me something.	하지만 당신 덕분에 배운 것이 있습니다.
line:b1040415	By the stars! No no. You're excellent.	별들이시여! 아뇨, 아니에요. 당신은 멋진 분입니다.
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	그런데 연인이 집을 어질러 놓으면 화낼 것 같아요?
line:4199070f	Came in for another wash.	또 씻으러 왔어요.
line:105cd3e2	Can I ask you a question?	질문 하나 해도 돼요?
line:535ee717	Can you repeat that?	다시 말씀해 주실래요?
line:835e0c27	Can't sthpeak well.	말하기가 좀 힘드네요.
line:afa450c0	Come back whenever, Ryan.	언제든 또 오세요, 라이언.
line:0cedfc3d	Conrad can go as long as he needs	콘래드는 얼마든지 버틸 수 있어.
line:5462913f	conrad hooked up with ryan	콘래드와 라이언이 이어짐
line:61cd33c5	conrad hooked up with ryan	콘래드와 라이언이 이어짐
line:6a7610f3	conrad hooked up with ryan	콘래드와 라이언이 이어짐
line:bac1ce29	conrad hooked up with ryan	콘래드와 라이언이 이어짐
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	콘래드 씻으러 왔어. 자리 있어?
line:405b7ef1	Conrad needs a wash!	콘래드를 씻겨 줘!
line:803c8f0c	Conrad was talking about you during our date.	데이트하면서 콘래드가 당신 이야기를 했어요.
line:f1787092	Conrad!	콘래드!
line:fd6c6213	Conrad!	콘래드!
line:484cd04d	Conrad...?	콘래드...?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: 사실... 그러니까...
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: 콘래드는 그냥 즐기는 거야.
line:fbe86c06	Conrad: Damn right!	Conrad: 당연하지, 씨발!
line:5660dc8b	Conrad: Don't worry about it!	Conrad: 걱정하지 마!
line:c050dbfc	Conrad: I do it all the time	Conrad: 난 맨날 해.
line:cd3367da	Conrad: I want this to go well	Conrad: 잘하고 싶어.
line:194c1381	Conrad: I'm ready to blow	Conrad: 이제 쌀 것 같아.
line:ce4d0fef	Conrad: Yea	Conrad: 응.
line:42c70daa	Conrad: You feel good	Conrad: 네 느낌이 좋아.
line:3bc52918	Conrad: You having a good time?	Conrad: 기분 좋아?
line:be0e51af	Cool.	멋진 건 알거든.
line:88c36bc7	Could do that, then get a hotel room... Hmm.	거기 갔다가 호텔 방을 잡아도 되겠네요... 음.
line:b99e1503	Could you ask <i>me</i> a question?	<i>제게</i> 질문을 해 주시겠습니까?
line:12bf5baf	Could you get the gate...?	문을 열어 주시겠습니까...?
line:3a6afae1	Could you go get the gate?	문 좀 열어 줄래?
line:9f49d9d4	Could you wash it away?	헹궈 줄 수 있나요?
line:7661a0e9	D'aw... thanks.	아... 고마워요.
line:59bc5840	Damn right I do!	당연히 멋지지!
line:64889395	Damn right!	당연하지, 씨발!
line:95aa0bf4	Damn right!	그럼, 당연하죠!
line:db592d76	Damn right!	당연하지, 씨발!
line:0fcf9908	Damn right.	당연하지, 씨발.
line:b964c99b	Damn shame then. Better change that.	젠장, 아쉽네. 그건 바꿔야겠어.
line:c6955ecc	Damn, you know how to use your hands.	젠장, 손을 쓸 줄 아네.
line:eaf45022	Damn, you know how to use your hands.	젠장, 손을 쓸 줄 아네.
line:684fb29a	Damn... Always feels good.	젠장... 언제나 좋네.
line:7023cc94	DATE NIGHT!	데이트하는 밤!
line:c71df70b	Date night!	데이트하는 밤!
line:b57cc8ad	Depends	상황에 따라 다르죠.
line:07bd7f57	Did you do your uh...	오늘 그... 너...
line:4f38655d	Do I look like I'm okay?	괜찮아 보여?
line:8147156a	Do it!	해요!
line:9ab6ddfb	Do you also do "special endings" here?	여기도 '특별 마무리' 해 줘?
line:4c90479c	Do you ask because I'm lavender?	제 몸이 연보라색이라서 물으시는 겁니까?
line:3020c97c	Do you believe I am attractive?	제가 매력적이라고 생각하십니까?
line:c5e71850	Do you even need a wash?	씻을 필요는 있는 거예요?
line:1810e75f	Do you have any advice?	조언 좀 해 줄래?
line:6be807b5	Do you have any plans with ryan?	라이언이랑 무슨 계획 있어?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	같이 놀 만한 괜찮은 장소나 사람 알아?
line:412ba249	Do you know any good bars?	괜찮은 술집 알아요?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	제가 이야기해 볼 만한 사람 알아요? 그러니까... 연애 상대로요.
line:21c0526b	Do you like being big?	몸집이 큰 게 좋으세요?
line:daa040eb	Do you like purple?	보라색을 좋아하세요?
line:ef052302	Do you like purple?	보라색을 좋아하세요?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	여기서 <size=60%>나처럼 <size=100%>큰 드래곤도 싸게 해 주냐고.
line:ec64a696	Do you mind double checking if I'm clean?	깨끗한지 다시 확인해 줄래요?
line:647187f1	Do you want to say what happened...?	무슨 일이 있었는지 말해 줄래요...?
line:807df02d	Do you want to use it?	써 보고 싶으세요?
line:5c42b85a	Doesn't mean I need to yell at you.	그렇다고 너한테 소리 질러도 되는 건 아니지.
line:eefa8ae2	Don't be sorry! Get a mount!	사과하지 말고 기구를 사!
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	걱정 마요. 드래곤은 뭐든 먹을 수 있게 되어 있어요.
line:b90b01a9	Don't worry, he's real nice.	걱정 마요. 정말 좋은 사람이에요.
line:7de2a81c	Don't worry. I will.	걱정 마. 그럴게.
line:c29d4071	Don't... make it sound like that.	그런 식으로... 말하지 마.
line:31bdd33c	Dont talk with your mouth full	입에 가득 물고 말하지 마.
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	드래곤의 역사는 복잡합니다. 드래곤은 <size=85%> 자신이 어느 가문에 <size=70%> 속하는지를 나타내려고 <size=55%>장식용 문장을 착용하곤 합니다! <size=40%> 문화적 유산과 <size=35%> 가문의 내력을 드러내는 흥미로운 표시지요. 저도 계속 착용해야 할지 고민한 적이 많습니다. <size=20%> 하지만 드래곤의 전통에서는 문화와 가문의 유대를 중요하게 여기니 저 역시 따라야겠지요. <size=10%> 물. 흙. 불. 공기. 오래전 네 나라는 조화롭게 살았습니다. 하지만 불의 나라가 공격하면서 모든 것이 바뀌었습니다.
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	드래곤의 위장은 당신보다 조금 더... 튼튼하거든요.
line:7e352505	Dragons of the galaxy 2	드래곤즈 오브 갤럭시 2
line:c2c659d1	Eep!	앗!
line:0bd1699e	Ehh..	음...
line:43dd32f5	Er... That's not-	어... 그게 아니라...
line:93b60dce	Even so. Not this time	그래도 이번에는 아닙니다.
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	그냥 일을 했다고 해도... 콘래드에겐 큰 도움이 됐을 거예요.
line:a2ba222e	Evening. This establishment takes walk ins, correct?	안녕하십니까. 이곳은 예약 없이도 이용할 수 있습니까?
line:f98c3b6c	Every ending here is special!	여기는 모든 마무리가 특별해요!
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	제대로 된 마법사라면 누구나 불사조 깃털을 준비해 두지요.
line:57df700d	Everyone's gaze carries an immense weight.	다른 이들의 시선은 무척 무겁습니다.
line:9ad8d2dd	Excellent!	훌륭합니다!
line:0c997163	Excellent.	훌륭합니다.
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	훌륭합니다. 그럼 창구로 가서 손님에게 인사하는 걸 잊지 마세요.
line:7bbe7ee3	Expectations are laaaame.	남의 기대 같은 건 시시하죠오.
line:f99eb2ff	Ey! The mount! Fuck yeah.	야! 기구! 씨발, 좋아.
line:d376acb9	Ey, so. Was thinkin'	야, 그러니까. 생각해 봤는데...
line:85ec0862	Ey, sorry for coming in late.	야, 늦게 와서 미안해.
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	야, 손으로 내 자지 좀 만져 줘. 기분 좋거든!
line:271a3846	Fair enough. I'll be waiting!	알겠습니다. 기다리지요!
line:4789095b	Fair enough. You two do seem cute together.	그렇구나. 둘이 꽤 귀엽더라.
line:f5b37855	Felt good sliding down though!	그래도 넘어갈 때 느낌은 좋았어요!
line:274367d7	Figured I'd bring in something nice after all you've done.	많이 도와줬으니까 저도 뭔가 좋은 걸 주고 싶었어요.
line:aae8afca	Fine with me!	전 괜찮아요!
line:e98616be	For you!	당신을 위해서요!
line:62a82aba	Found this one gryphon. About my size...	그리핀 하나를 만났어. 나랑 비슷한 크기인데...
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	들은 바로는 최근에 많이 나아진 것 같던데요?
line:803bf378	Fuck man, I'm so pumped.	씨발, 진짜 기대된다.
line:f2418086	Fuck no! Shit's embarrassing.	씨발, 싫어! 쪽팔린다고.
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	뭐라도 박고, 잘하면 손으로도 받고 싶어서.
line:203bce10	Fuuuck. You really know how to work a dragon!	씨바알. 드래곤 다루는 법을 정말 잘 아네!
line:f7f9b0db	G'day mate!	어이, 친구!
line:664c994e	Gave me time to think.	생각할 시간이 생겼거든요.
line:1d9b3531	Get a handjob and fuck this mount.	손으로 받고 이 기구에도 박으려고.
line:48afdce4	Give it to me!	전부 줘요!
line:9df043ad	Give me a bit	조금만 기다려 줘요.
line:e5c7f64a	Glad I'm here to remind you then.	제가 와서 다시 알려 드리길 잘했네요.
line:354170aa	Go for it!	해도 돼요!
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	오늘 밤에 시내에 가. 깨끗해져야지. 그런데...
line:dcb506d2	Good as!	좋아!
line:bcbc6373	Good evening!	안녕하십니까!
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	좋습니다. 번스윅 마법학 커뮤니티 칼리지에서 최고의 교수인 알렉산더가 또 사고를 냈다는 사실을 알아서는 안 됩니다.
line:12b72085	Good, you better. If I come back and there isn't one...	좋아, 꼭 그래라. 다음에 왔는데 없으면...
line:2c851dad	Good.	다행이네요.
line:2712436c	Good. 'Aight, let me out.	좋아. 그럼 내보내 줘.
line:bab51ada	Good... That'd be correct.	좋다... 맞는 표현이군요.
line:44f2b8cf	Goodbye!	안녕히 계십시오!
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	세상에, 덕분에 이 상황을 만회할 기회가 생겼군요.
line:745c3c12	Gosh!	세상에!
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	라이언을 위해 <i>연습</i>해야지. 무슨 뜻인지 알지?
line:e3cef2bc	Gotta make sure you're spotless!	완전히 깨끗해져야죠!
line:b01b2159	Great, so uh,	좋아요. 그럼, 저기...
line:43c94954	Grouse as! Excited to see you work!	끝내주네! 솜씨가 기대돼!
line:9de16ee9	Ha!	하!
line:88d7e1e2	Haah. This is the best fuckin' wash.	하아. 진짜 끝내주는 목욕탕이야.
line:cc6e7856	Hah! There's the mount!	하! 기구 왔네!
line:90dd6d9d	Hah, eager as always.	하, 언제나 활기차군요.
line:9542e7a6	Hah, good. Let's break this thing in!	하, 좋아. 첫 개시를 해 보자고!
line:fe21109b	Hah, he seems like the wild type.	하, 거친 타입처럼 보이긴 하더군요.
line:e8bc1d95	Hah, I imagine it would be.	하, 그럴 것 같았어.
line:acbf628d	Hah, it is a motivator.	하, 좋은 동기가 되지요.
