# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Hey, koca köpek.
line:6585925d	...<i><size=70%>I have one on him at least.	...<i><size=70%>En azından ben ondan hoşlanıyorum.
line:e2ea4ead	...A wash for our date tonight.	... Bu geceki randevumuz için.
line:048d7f84	...About what I said earlier.	... Az önce söylediğim şey var ya.
line:55d1f6ef	...and nice.	... İyi birisin de.
line:79a1a205	...But not in like a bad weird way.	... Ama kötü, tuhaf bir şekilde değil.
line:3592632e	...It's intimidating knowing how much they look up to me.	... Bana ne kadar hayranlıkla baktıklarını bilmek ürkütücü.
line:7e08544c	...It's odd being able to speak so freely with someone.	... Biriyle böyle rahat konuşabilmek tuhaf.
line:f0cb8389	...No	... Hayır.
line:92601622	...Okay, come in	... Tamam, içeri gel.
line:e381559c	...Thank you for this.	... Bunun için teşekkür ederim.
line:b7b5f7fb	...Thanks.	... Sağ ol.
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>Conrad'a Ryan'ı önerdin mi?
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> Ryan diye bir ejderha tanıyorum. Sizi tanıştırabilirim? </b></gradient><size=70%>(Conrad/Ryan eşleşmesini VEYA Ryan aşk yolunu açar)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> Ben seninle takılmak isterim... </b></gradient><size=70%> (Conrad aşk yolunu açar)
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> İsterim! </b></gradient><size=70%> (Alexander aşk yolunu açar!)
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> Bu gece meşgul olacağım. Üzgünüm. </b></gradient><size=70%> (Aşk ilişkisi olmadan devam eder!)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>Şu an aklıma kimse gelmiyor.</b></gradient><size=70%> (Conrad aşk yolunu kesinleştirir!)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>Kızıl bir ejderha tanıyorum. Bence ondan hoşlanırsın! </b></gradient><size=70%> (Ryan ile Conrad'ı eşleştirir!)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>Aa. Şey. <size=70%> O kişi ben olsam... hoşuma giderdi. </b></gradient><size=70%> (Ryan aşk yolunu kesinleştirir!)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>Yıkama yeri burası, değil mi?
line:c777ce0c	<i> that feels nice...</i>	<i> Bu iyi hissettiriyor...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>Eyvah... Kitapları da.
line:d67b1098	<i>I like spraying you with water.	<i>Sana su püskürtmeyi seviyorum.
line:ad5d633a	<i>Oh...	<i>Aa...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>Aa.</i> Henüz buna hazır olduğumu sanmıyorum.
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>Ooo. </i>Sehpa mı? Siktir, evet, dostum.
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	<i>Bu</i> senin suçun değil, Conrad.
line:72b244b7	<size=100%> That felt damn good!	<size=100%> Acayip iyi geldi!
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>Yani... Güzel.
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%> SİKTİR, EVET!
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>HEY, <size=100%>yıkanmaya geldim.
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>SİKTİR, EVET!
line:f5462edf	<size=60%> that's hot.	<size=60%>Çok seksi.
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>Koca bir ejderha kontrolü bana veriyor. Vay.
line:53d71f27	<size=70%> And for me.	<size=70%> Benim için de.
line:4fe271cc	<size=70%> woah.	<size=70%>Vay.
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>Vay anasını, bir ejderhayla randevu kaptım.
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>Ama güzeldi... Teşekkür ederim.
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>Devam edebilirsiniz...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>Aa...</i> Hayır, aslında çok güzel.
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>Vay...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>Öyle mi?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>Maaşlarını hâlâ ödüyorum.
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	Birkaç gün önce...
line:c570a462	A rather good excuse to see my favorite kobold.	En sevdiğim koboldu görmek için güzel bir bahane.
line:5d2d16e0	A really good friend?	Çok iyi bir arkadaşım olarak görmem tuhaf mı?
line:df4d3810	About earlier.	Az önceki konu...
line:1a5e1ba4	Act what way?	Nasıl davranmak?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	Kendiliğinden alev aldıktan sonra onu mahremiyetiyle baş başa bıraktım.
line:a983ffa3	Again...?	Yine mi...?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	Katılıyorum. Yine de müsait olur olmaz içeri girmek isterim.
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	Ah evet, tam da böyle... Devam et.
line:e216aee0	Ah, good.	Güzel.
line:9b26ac5f	Ah, I see the button there, gotcha!	Aa, şuradaki düğmeyi gördüm. Anladım!
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	Ah, kusura bakmayın. Bu konulara çok meraklıyım.
line:bf2a8309	Ah, the grime did sting a little, thank you.	Ah, kir biraz yakıyordu. Teşekkür ederim.
line:ebdb9888	Ah, yeah, those types are pretty cute.	Ah, evet. Öyle tipler çok tatlıdır.
line:b920f205	Ah. Do not worry.	Ah. Endişelenmeyin.
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	Aa. Tamam, o zaman özrümü geri alıyorum.
line:6de2c490	Ah...	Aa...
line:4d6b365e	Ahh, all cleaned and with a lighter load.	Ahh, hem temizlendim hem yüküm hafifledi.
line:20f96302	Alexander!	Alexander!
line:f167e3d7	Alexander!	Alexander!
line:fe3996b8	Alexander!	Alexander!
line:af7db134	Alexander...?	Alexander...?
line:eb7cf9e5	All clean...	Tertemiz...
line:f57fc630	All done!	Bitti!
line:0b734d82	All self respecting washers know how to please a dragon.	Kendine saygısı olan her yıkayıcı, bir ejderhayı nasıl memnun edeceğini bilir.
line:599ffb25	Already got seats at that bar I mentioned earlier.	Bahsettiğim barda yer ayırttım bile.
line:642ddea3	Alright alright... Then I think I'd like to use it?	Peki, peki... O zaman sanırım kullanmak isterim?
line:c7b3a185	Alright! I'll go get the gate.	Tamam! Gidip kapıyı açayım.
line:7279121a	Alright! I'll go get you the gate.	Tamam! Gidip size kapıyı açayım.
line:4fc4259c	Alright! I'm ready to go.	Tamam! Gitmeye hazırım.
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	Tamam, gidip kapıyı aç, ben de oraya geçeyim!
line:d04df8f8	Alright, I'll cya!	Tamam, görüşürüz!
line:4766af08	Alrighty! That should be it.	Tamamdır! Bitmiş olmalı.
line:797ca540	Alrighty. All clean.	Tamamdır. Tertemiz.
line:c4cb161a	Although grapes have always hit a specific craving.	Ama üzüm, canımın çektiği belli bir şeyi hep karşılar.
line:dc237557	Although, the portions might be a bit... dragon sized.	Gerçi porsiyonlar biraz... ejderha boy olabilir.
line:655b8c01	Always happy to have you, Conrad.	Seni ağırlamak her zaman güzel, Conrad.
line:afedd1f5	An anomaly.	Bir istisnasınız.
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	İlk yardım çantan olmasına da sevindim... Çok hazırlıklısın.
line:0699aef9	And I'm really happy for you and Conrad.	Seninle Conrad için de gerçekten mutluyum.
line:a3a26459	And not just physically.	Üstelik yalnızca boyumdan dolayı değil.
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	Burada olmamın sebebi bu! Yıkanınca onu görmeye gideceğim.
line:33440e8c	And why you are perfect for this job!	Bu iş için biçilmiş kaftan olmanızın sebebi de bu!
line:cacb93ce	And you've tried everything.	Her şeyi de denediysen...
line:8cae6240	Another dragon? Usually I don't really get along...	Başka bir ejderha mı? Genelde pek iyi anlaşamam...
line:5a7e4fd4	Any chance you can clean me up again?	Beni tekrar temizleme şansın var mı?
line:92d2a30a	Anything. I'm just curious.	Herhangi bir şey. Sadece merak ettim.
line:52695aa2	Anything?	Her şeyi mi?
line:8ead9ee9	Anytime, Ryan.	Ne zaman istersen, Ryan.
line:6d77feef	Anyway glad you're not finished, lets keep at it!	Neyse, bitirmemiş olmana sevindim. Devam edelim!
line:bdb4f59c	Anyway, time to get writing!	Neyse, yazmaya başlama zamanı!
line:75dd56ae	Anyways,	Neyse,
line:8980260e	Anyways-	Neyse...
line:a8e6291c	Anyways- Let me out.	Neyse... Çıkar beni.
line:493a82ef	Anyways. Could you go get the gate?	Neyse. Gidip kapıyı açar mısın?
line:926f5f41	Anyways. Gonna use this thing now!	Neyse. Şimdi şunu kullanacağım!
line:ad8ab02e	Anyways...	Neyse...
line:e767dc51	Anywho, I'll get out of your scales now.	Neyse, sizi daha fazla meşgul etmeyeyim.
line:e81426c1	Anywho, I'm in need of a clean.	Neyse, temizlenmem gerekiyor.
line:23e7d518	Approach the dragon entrance, and I will let you in.	Ejderha girişine gelin, sizi içeri alırım.
line:72a9b5bb	Are you happy?	Mutlu musunuz?
line:be0118cc	Are you okay?	İyi misin?
line:de735c65	Are you open right now?	Şu anda açık mısınız?
line:9369755d	Are you sure it will fit?	Sığacağından emin misin?
line:c35b717a	Are you sure...? In front of the food?	Emin misin...? Yemeğin önünde?
line:cb06d2bf	As am I.	Ben de.
line:9a48b21c	As in you're unique.	Yani eşsizsiniz.
line:1c021ee0	At getting hand jobs.	Bana elle otuz bir çekilmesi konusunda.
line:e861b464	At least that's what I've heard anyway.	En azından ben öyle duydum.
line:2f54ceec	At least you can still use your hands. Heh.	En azından ellerini kullanabilirsin. Heh.
line:cb04e062	At least you can still use your hands. Heh.	En azından ellerini kullanabilirsin. Heh.
line:97792929	Aw, I'll go get you the gate.	Ah, gidip sana kapıyı açayım.
line:c6895517	Aw, Ryan.	Ah, Ryan.
line:db997182	Aw, thank you Alexander.	Ah, teşekkür ederim, Alexander.
line:7157db26	Aw, thanks Alexander.	Ah, teşekkür ederim, Alexander.
line:011f1458	Aw, thanks.	Ah, sağ ol.
line:aea0be6b	Aw, thanks.	Ah, sağ ol.
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	Ah, sağ ol. Sen yıkadığın için bu kadar iyi görünüyorum!
line:453ff9be	Aw- Ryan...	Ah, Ryan...
line:5340a315	Aw... Thanks!	Ah... Teşekkürler!
line:c6202cf2	Aw... Thanks.	Ah... Sağ ol.
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	Ah... Sağ ol. Seni...
line:2bfa396c	Aw... That's really sweet	Ah... Çok tatlı.
line:22053f7f	Awesome!	Harika!
line:6fdb2c3d	Awesome!	Harika!
line:70306ba1	Awesome!	Harika!
line:6126a614	Awesome! Come on in..	Harika! İçeri gel...
line:e85007ac	Awesome! See you later then!	Harika! O zaman sonra görüşürüz!
line:4c7f15d6	Awesome, I'll go get the gate.	Harika, gidip kapıyı açayım.
line:9d126e4e	Awesome, I'm glad.	Harika, sevindim.
line:b60cc4a5	Awesome.	Harika.
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	Ahh. Selam vermek için mürekkebe bulanmanıza gerek yok!
line:8e20e028	Be yourself!	Kendin ol!
line:cd18f73f	Been looking forward to this.	Bunu dört gözle bekliyordum.
line:8f1fccf9	Being muddy is really fun up until it starts drying.	Çamura bulanmak çok eğlenceli, tabii kurumaya başlayana kadar.
line:40783547	Berries.	Orman meyveleri.
line:59d4be6a	Berries.	Orman meyveleri.
line:61e781c1	Berries.	Orman meyveleri.
line:18ae08ef	Bet you had fun.	Kesin iyi eğlenmişsinizdir.
line:982fd3c7	big C...?	Büyük C mi...?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	Biyoloji...? <size=70%> <i>Sanırım?
line:9be63f47	Bleh. Thank you for grabbing that.	Peh. Şunu aldığın için sağ ol.
line:66957ed2	Blue...?	Mavi...?
line:a77c3afd	Both.	İkisi de.
line:78975048	Brrr! Cold water!	Brrr! Su soğuk!
line:8487a2c4	Burnswick Community College of Thaumaturgy	Burnswick Halk Mucizebilim Yüksekokulu
line:f75126de	But honestly you've helped me a lot.	Ama gerçekten bana çok yardım ettin.
line:cab69268	But I already know I'm liking this a lot.	Ama şimdiden çok hoşuma gittiğini biliyorum.
line:d9534386	But I know the type... They tend to be big softies on the inside.	Ama bu tipleri bilirim... Genelde içleri pamuk gibidir.
line:f73ddfbc	But I think its time to get cleaned up.	Ama artık temizlenme vakti geldi sanırım.
line:088ea4a7	But I'm hot shit, so I'll be fine.	Ama ben taş gibiyim, sorun olmaz.
line:c8f8bc22	But I'm only your washer?	Ama ben sadece sizi yıkıyorum?
line:dda0419b	But I'm sure I'd enjoy it with you!	Ama seninle keyif alacağıma eminim!
line:aa74448a	But not in this sized package, right??	Ama bu kadar küçük bir bedende değil, değil mi??
line:7d9ffc48	But nothing beats a large gulp!	Ama kocaman bir lokmayı bir kerede yutmanın yerini hiçbir şey tutmaz!
line:d1ec7684	But that is why I am here!	Ama zaten bu yüzden buradayım!
line:b0d9d1e5	But you're the teacher dragon.	Ama öğretmen ejderha sizsiniz.
line:2d7e1ab6	But, at least I got to meet you!	Ama en azından seninle tanıştım!
line:b7f46902	But, I think you've taught me something.	Ama sanırım bana bir şey öğrettiniz.
line:b1040415	By the stars! No no. You're excellent.	Yıldızlar aşkına! Hayır, hayır. Muhteşemsiniz.
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	Bu arada, sevgilin evi kirletse kızar mıydın?
line:4199070f	Came in for another wash.	Yine yıkanmaya geldim.
line:105cd3e2	Can I ask you a question?	Sana bir soru sorabilir miyim?
line:535ee717	Can you repeat that?	Tekrar eder misiniz?
line:835e0c27	Can't sthpeak well.	İyi konufhamıyorum.
line:afa450c0	Come back whenever, Ryan.	İstediğin zaman gel, Ryan.
line:0cedfc3d	Conrad can go as long as he needs	Conrad gerektiği kadar devam edebilir.
line:5462913f	conrad hooked up with ryan	Conrad, Ryan ile eşleşti.
line:61cd33c5	conrad hooked up with ryan	Conrad, Ryan ile eşleşti.
line:6a7610f3	conrad hooked up with ryan	Conrad, Ryan ile eşleşti.
line:bac1ce29	conrad hooked up with ryan	Conrad, Ryan ile eşleşti.
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	Conrad'ın temizlenmesi lazım. Ona yer var mı?
line:405b7ef1	Conrad needs a wash!	Conrad'ın yıkanması lazım!
line:803c8f0c	Conrad was talking about you during our date.	Randevumuzda Conrad senden bahsetti.
line:f1787092	Conrad!	Conrad!
line:fd6c6213	Conrad!	Conrad!
line:484cd04d	Conrad...?	Conrad mı...?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: Aslında... Yani...
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: Conrad sadece keyfine bakar.
line:fbe86c06	Conrad: Damn right!	Conrad: Aynen öyle be!
line:5660dc8b	Conrad: Don't worry about it!	Conrad: Hiç takma!
line:c050dbfc	Conrad: I do it all the time	Conrad: Ben hep yaparım.
line:cd3367da	Conrad: I want this to go well	Conrad: Bunun iyi gitmesini istiyorum.
line:194c1381	Conrad: I'm ready to blow	Conrad: Boşalmaya hazırım.
line:ce4d0fef	Conrad: Yea	Conrad: Evet.
line:42c70daa	Conrad: You feel good	Conrad: Seni hissetmek güzel.
line:3bc52918	Conrad: You having a good time?	Conrad: İyi vakit geçiriyor musun?
line:be0e51af	Cool.	Havalı.
line:88c36bc7	Could do that, then get a hotel room... Hmm.	Önce oraya gider, sonra otelde bir oda tutarız... Hım.
line:b99e1503	Could you ask <i>me</i> a question?	<i>Bana</i> bir soru sorabilir misiniz?
line:12bf5baf	Could you get the gate...?	Kapıyı açabilir misiniz...?
line:3a6afae1	Could you go get the gate?	Gidip kapıyı açar mısın?
line:9f49d9d4	Could you wash it away?	Sabunu akıtır mısın?
line:7661a0e9	D'aw... thanks.	Ah... Sağ ol.
line:59bc5840	Damn right I do!	Tabii ki iyi görünüyorum!
line:64889395	Damn right!	Aynen öyle be!
line:95aa0bf4	Damn right!	Aynen öyle be!
line:db592d76	Damn right!	Aynen öyle be!
line:0fcf9908	Damn right.	Aynen öyle.
line:b964c99b	Damn shame then. Better change that.	Yazık olmuş. Bunu değiştirsen iyi olur.
line:c6955ecc	Damn, you know how to use your hands.	Vay be, ellerini kullanmayı biliyorsun.
line:eaf45022	Damn, you know how to use your hands.	Vay be, ellerini kullanmayı biliyorsun.
line:684fb29a	Damn... Always feels good.	Vay be... Her zaman iyi geliyor.
line:7023cc94	DATE NIGHT!	RANDEVU GECESİ!
line:c71df70b	Date night!	Randevu gecesi!
line:b57cc8ad	Depends	Duruma bağlı.
line:07bd7f57	Did you do your uh...	Bugün şeyini...
line:4f38655d	Do I look like I'm okay?	İyi gibi mi görünüyorum?
line:8147156a	Do it!	Yap!
line:9ab6ddfb	Do you also do "special endings" here?	Burada «mutlu son» da var mı?
line:4c90479c	Do you ask because I'm lavender?	Lavanta rengi olduğum için mi soruyorsunuz?
line:3020c97c	Do you believe I am attractive?	Beni çekici buluyor musunuz?
line:c5e71850	Do you even need a wash?	Yıkanmaya ihtiyacın var mı ki?
line:1810e75f	Do you have any advice?	Bir tavsiyen var mı?
line:6be807b5	Do you have any plans with ryan?	Ryan'la bir planınız var mı?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	Takılabileceğim güzel yerler biliyor musun? Ya da birlikte takılabileceğim birilerini tanıyor musun?
line:412ba249	Do you know any good bars?	Güzel barlar biliyor musun?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	Konuşabileceğim birini tanıyor musun? Yani... ilişki meseleleri için?
line:21c0526b	Do you like being big?	İri olmayı seviyor musunuz?
line:daa040eb	Do you like purple?	Moru sever misiniz?
line:ef052302	Do you like purple?	Moru sever misiniz?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	Burada <size=60%>benim gibi <size=100%>koca ejderhaları boşaltıyor musun?
line:ec64a696	Do you mind double checking if I'm clean?	Temiz olup olmadığımı tekrar kontrol eder misin?
line:647187f1	Do you want to say what happened...?	Ne olduğunu anlatmak ister misin...?
line:807df02d	Do you want to use it?	Kullanmak ister misiniz?
line:5c42b85a	Doesn't mean I need to yell at you.	Bu, sana bağırmamı gerektirmiyor.
line:eefa8ae2	Don't be sorry! Get a mount!	Üzülme! Bir sehpa al!
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	Merak etme, ejderhalar her şeyi yiyebilecek şekilde yaratılmıştır.
line:b90b01a9	Don't worry, he's real nice.	Merak etme, gerçekten çok iyidir.
line:7de2a81c	Don't worry. I will.	Merak etme. Anlatacağım.
line:c29d4071	Don't... make it sound like that.	Öyle... söyleme.
line:31bdd33c	Dont talk with your mouth full	Ağzın doluyken konuşma.
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	Ejderha tarihi karmaşıktır. Süs armaları <size=85%> ejderhalar tarafından <size=70%> sık sık takılır ve <size=55%>hangi aileye ait olduklarını gösterir! <size=40%> Kültürel <size=35%> ve ailevi miraslarının ilginç bir işaretidir. Kendi armamı takmaya devam edip etmemem gerektiğini sık sık düşünürüm. <size=20%> Ama ejderha geleneğinde kültür ve aile bağları önemlidir! Bu yüzden bunlara uymalıyım. <size=10%> Su. Toprak. Ateş. Hava. Çok eskiden dört ulus uyum içinde yaşardı. Sonra Ateş Ulusu saldırınca her şey değişti.
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	Ejderhaların midesi seninkinden biraz daha... sağlamdır.
line:7e352505	Dragons of the galaxy 2	Galaksinin Ejderhaları 2
line:c2c659d1	Eep!	İip!
line:0bd1699e	Ehh..	Şey...
line:43dd32f5	Er... That's not-	Şey... O değil...
line:93b60dce	Even so. Not this time	Öyle olsa da bu sefer değil.
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	Sen sadece işini yapıyor olsan da... Bence ona çok iyi geldi.
line:a2ba222e	Evening. This establishment takes walk ins, correct?	İyi akşamlar. Randevusuz müşteri kabul ediyorsunuz, değil mi?
line:f98c3b6c	Every ending here is special!	Burada her son mutludur!
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	Kendine saygısı olan her büyücünün elinin altında bir anka tüyü bulunur.
line:57df700d	Everyone's gaze carries an immense weight.	Herkesin bakışında büyük bir ağırlık var.
line:9ad8d2dd	Excellent!	Mükemmel!
line:0c997163	Excellent.	Harika.
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	Harika. O hâlde pencereye gidip müşterini karşılamayı unutma.
line:7bbe7ee3	Expectations are laaaame.	Beklentiler çok sıkıcııı.
line:f99eb2ff	Ey! The mount! Fuck yeah.	Hey! Sehpa! Siktir, evet.
line:d376acb9	Ey, so. Was thinkin'	Hey, şey. Düşünüyordum da...
line:85ec0862	Ey, sorry for coming in late.	Hey, geç geldiğim için kusura bakma.
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	Hey, sikimde ellerini kullan... Çok iyi geliyor!
line:271a3846	Fair enough. I'll be waiting!	Peki. Bekliyorum!
line:4789095b	Fair enough. You two do seem cute together.	Olur. Birlikte tatlı görünüyorsunuz.
line:f5b37855	Felt good sliding down though!	Ama aşağı kayması iyi hissettirdi!
line:274367d7	Figured I'd bring in something nice after all you've done.	Benim için yaptıklarından sonra sana güzel bir şey getireyim dedim.
line:aae8afca	Fine with me!	Benim için uygun!
line:e98616be	For you!	Senin için!
line:62a82aba	Found this one gryphon. About my size...	Bir grifonla tanıştım. Aşağı yukarı benim boyumda...
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	Duyduğum kadarıyla son zamanlarda çok gelişmiş, değil mi?
line:803bf378	Fuck man, I'm so pumped.	Siktir, çok heyecanlıyım.
line:f2418086	Fuck no! Shit's embarrassing.	Siktir, hayır! Çok utanç verici.
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	Bir şeyi sikmek, sonra da mümkünse elinle beni boşaltman için geldim.
line:203bce10	Fuuuck. You really know how to work a dragon!	Siktiiiir. Bir ejderhayı nasıl memnun edeceğini gerçekten biliyorsun!
line:f7f9b0db	G'day mate!	Selam, dostum!
line:664c994e	Gave me time to think.	Düşünecek zaman verdin.
line:1d9b3531	Get a handjob and fuck this mount.	Bana elle otuz bir çektirmek ve şu sehpayı sikmek için.
line:48afdce4	Give it to me!	Bana ver!
line:9df043ad	Give me a bit	Bana biraz zaman ver.
line:e5c7f64a	Glad I'm here to remind you then.	O zaman iyi ki hatırlatmaya gelmişim.
line:354170aa	Go for it!	Bırakın gelsin!
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	Bu gece merkeze gidiyorum. Tertemiz olmam lazımdı. Şey...
line:dcb506d2	Good as!	Harika!
line:bcbc6373	Good evening!	İyi akşamlar!
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	Güzel. Burnswick Halk Mucizebilim Yüksekokulu, en iyi profesörleri Alexander'ın bir olaya daha sebep olduğunu öğrenmemeli.
line:12b72085	Good, you better. If I come back and there isn't one...	Güzel, iyi edersin. Bir daha geldiğimde hâlâ yoksa...
line:2c851dad	Good.	İyi.
line:2712436c	Good. 'Aight, let me out.	Güzel. Hadi, çıkar beni.
line:bab51ada	Good... That'd be correct.	İyi... Doğru kelime bu.
line:44f2b8cf	Goodbye!	Hoşça kalın!
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	Aman, sayenizde durumu düzeltme şansım var.
line:745c3c12	Gosh!	Vay canına!
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	Ryan için <i>alıştırma</i> yapmam lazım, ne demek istediğimi anladıysan.
line:e3cef2bc	Gotta make sure you're spotless!	Tertemiz olduğundan emin olmalıyım!
line:b01b2159	Great, so uh,	Harika, şey...
line:43c94954	Grouse as! Excited to see you work!	Süper! Seni iş başında görmek için sabırsızlanıyorum!
line:9de16ee9	Ha!	Hah!
line:88d7e1e2	Haah. This is the best fuckin' wash.	Haah. En iyi yıkama yeri burası be.
line:cc6e7856	Hah! There's the mount!	Hah! İşte sehpa!
