# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	E aí, cachorrão.
line:92601622	...Okay, come in	... Tá bom, entra.
line:e381559c	...Thank you for this.	... Obrigado por isso.
line:b7b5f7fb	...Thanks.	... Obrigado.
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>Você falou do Ryan para o Conrad?
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> Conheço um dragão, o Ryan. Posso colocar vocês em contato? </b></gradient><size=70%>(Libera o encontro Conrad/Ryan OU o romance com Ryan)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> Eu ia gostar de sair com você... </b></gradient><size=70%> (Libera o romance com Conrad)
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> Eu adoraria! </b></gradient><size=70%> (Leva ao romance com Alexander!)
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> Vou estar ocupado hoje à noite. Desculpe. </b></gradient><size=70%> (Leva a um final sem romance!)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>Não consigo pensar em ninguém agora.</b></gradient><size=70%> (Confirma o romance com Conrad!)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>Conheço um dragão vermelho. Acho que você ia gostar dele! </b></gradient><size=70%> (Junta Ryan e Conrad!)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>Ah. É. <size=70%> Eu ia gostar... de ser esse alguém. </b></gradient><size=70%> (Confirma o romance com Ryan!)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>EI! </gradient><size=100%>É aqui que dão banho, né?
line:c777ce0c	<i> that feels nice...</i>	<i>Isso é bom...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>Ah, não... E os livros.
line:d67b1098	<i>I like spraying you with water.	<i>Gosto de jogar água em você.
line:ad5d633a	<i>Oh...	<i>Ah...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>Ah.</i> Acho que ainda não estou pronto para isso.
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>Ooooh. </i>O aparelho? Claro que sim, cara.
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	<i>Isso</i> não é culpa sua, Conrad.
line:72b244b7	<size=100%> That felt damn good!	<size=100%>Foi bom pra caralho!
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>Quer dizer... Legal.
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%>ISSO, PORRA!
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>EI, <size=100%>vim tomar banho.
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>ISSO, PORRA!
line:f5462edf	<size=60%> that's hot.	<size=60%>Que tesão.
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>Um dragão grande me dando o controle. Nossa.
line:53d71f27	<size=70%> And for me.	<size=70%>E por mim.
line:4fe271cc	<size=70%> woah.	<size=70%>Nossa.
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>Caralho, acabei de conseguir um encontro com um dragão.
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>Mas foi bom... Obrigado.
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>Fique à vontade para continuar...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>Ah...</i> Não, na verdade fico muito feliz.
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>Nossa...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>É?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>Continuam na minha folha de pagamento.
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	Uns dias atrás...
line:c570a462	A rather good excuse to see my favorite kobold.	Uma ótima desculpa para ver meu kobold favorito.
line:5d2d16e0	A really good friend?	um grande amigo?
line:df4d3810	About earlier.	Sobre aquilo de antes.
line:1a5e1ba4	Act what way?	Assim como?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	Após sua combustão espontânea, fiz questão de lhe dar privacidade.
line:a983ffa3	Again...?	De novo...?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	Concordo, mas ainda gostaria de entrar assim que for possível.
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	Ah, sim, desse jeito... Continua.
line:e216aee0	Ah, good.	Ah, ótimo.
line:9b26ac5f	Ah, I see the button there, gotcha!	Ah, vi o botão ali. Entendi!
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	Ah, desculpe, esses assuntos me apaixonam.
line:bf2a8309	Ah, the grime did sting a little, thank you.	Ah, a sujeira ardia um pouco. Obrigado.
line:ebdb9888	Ah, yeah, those types are pretty cute.	Ah, é, esse tipo é bem fofo.
line:b920f205	Ah. Do not worry.	Ah. Não se preocupe.
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	Ah. Tá bom, então retiro a desculpa.
line:6de2c490	Ah...	Ah...
line:4d6b365e	Ahh, all cleaned and with a lighter load.	Ah, limpinho e com a carga mais leve.
line:20f96302	Alexander!	Alexander!
line:f167e3d7	Alexander!	Alexander!
line:fe3996b8	Alexander!	Alexander!
line:af7db134	Alexander...?	Alexander...?
line:eb7cf9e5	All clean...	Limpinho...
line:f57fc630	All done!	Tudo pronto!
line:0b734d82	All self respecting washers know how to please a dragon.	Todo lavador que se preze sabe agradar um dragão.
line:599ffb25	Already got seats at that bar I mentioned earlier.	Já consegui nossos lugares naquele bar que falei.
line:642ddea3	Alright alright... Then I think I'd like to use it?	Certo, certo... Então acho que gostaria de usar?
line:c7b3a185	Alright! I'll go get the gate.	Tá bom! Vou abrir o portão.
line:7279121a	Alright! I'll go get you the gate.	Tá bom! Vou abrir o portão pro senhor.
line:4fc4259c	Alright! I'm ready to go.	Tá bom! Tô pronto pra ir.
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	Tá bom, abre o portão e eu já vou indo pro lugar!
line:d04df8f8	Alright, I'll cya!	Beleza, até mais!
line:4766af08	Alrighty! That should be it.	Pronto! Deve ser tudo.
line:797ca540	Alrighty. All clean.	Pronto. Limpinho.
line:c4cb161a	Although grapes have always hit a specific craving.	Mas as uvas sempre matam uma vontade bem específica.
line:dc237557	Although, the portions might be a bit... dragon sized.	Mas as porções talvez sejam meio... tamanho dragão.
line:655b8c01	Always happy to have you, Conrad.	Você sempre é bem-vindo, Conrad.
line:afedd1f5	An anomaly.	Uma anomalia.
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	E fico feliz que tenha um kit... Você está bem preparado.
line:0699aef9	And I'm really happy for you and Conrad.	E fico muito feliz por você e pelo Conrad.
line:a3a26459	And not just physically.	E não só por precisarem olhar para cima.
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	E é por isso que tô aqui! Depois do banho vou encontrar ele.
line:33440e8c	And why you are perfect for this job!	E é por isso que você é perfeito para este trabalho!
line:cacb93ce	And you've tried everything.	E já tentou de tudo.
line:8cae6240	Another dragon? Usually I don't really get along...	Outro dragão? Normalmente eu não me dou muito bem...
line:5a7e4fd4	Any chance you can clean me up again?	Será que pode me dar outro banho?
line:92d2a30a	Anything. I'm just curious.	Qualquer coisa. Estou apenas curioso.
line:52695aa2	Anything?	Qualquer coisa?
line:8ead9ee9	Anytime, Ryan.	Quando quiser, Ryan.
line:6d77feef	Anyway glad you're not finished, lets keep at it!	Enfim, ainda bem que não terminou. Vamos continuar!
line:bdb4f59c	Anyway, time to get writing!	Enfim, hora de começar a escrever!
line:75dd56ae	Anyways,	Enfim,
line:8980260e	Anyways-	Enfim...
line:a8e6291c	Anyways- Let me out.	Enfim, me deixa sair.
line:493a82ef	Anyways. Could you go get the gate?	Enfim. Pode abrir o portão?
line:926f5f41	Anyways. Gonna use this thing now!	Enfim. Vou usar esse negócio agora!
line:ad8ab02e	Anyways...	Enfim...
line:e767dc51	Anywho, I'll get out of your scales now.	Enfim, vou deixar você em paz agora.
line:e81426c1	Anywho, I'm in need of a clean.	Enfim, preciso de uma limpeza.
line:23e7d518	Approach the dragon entrance, and I will let you in.	Vá até a entrada para dragões, e eu deixarei você entrar.
line:72a9b5bb	Are you happy?	O senhor é feliz?
line:be0118cc	Are you okay?	Você está bem?
line:de735c65	Are you open right now?	Está aberto agora?
line:9369755d	Are you sure it will fit?	Tem certeza de que vai caber?
line:c35b717a	Are you sure...? In front of the food?	Tem certeza...? Na frente da comida?
line:cb06d2bf	As am I.	Igualmente.
line:9a48b21c	As in you're unique.	No sentido de ser único.
line:1c021ee0	At getting hand jobs.	Em receber punheta.
line:e861b464	At least that's what I've heard anyway.	Pelo menos foi o que me disseram.
line:2f54ceec	At least you can still use your hands. Heh.	Pelo menos ainda dá pra usar as mãos. He.
line:cb04e062	At least you can still use your hands. Heh.	Pelo menos ainda dá pra usar as mãos. He.
line:97792929	Aw, I'll go get you the gate.	Ah, vou abrir o portão pra você.
line:c6895517	Aw, Ryan.	Ah, Ryan.
line:db997182	Aw, thank you Alexander.	Ah, obrigado, Alexander.
line:7157db26	Aw, thanks Alexander.	Ah, obrigado, Alexander.
line:011f1458	Aw, thanks.	Ah, obrigado.
line:aea0be6b	Aw, thanks.	Ah, obrigado.
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	Ah, obrigado. Só fico bonito assim por causa dos seus banhos!
line:453ff9be	Aw- Ryan...	Ah, Ryan...
line:5340a315	Aw... Thanks!	Ah... Obrigado!
line:c6202cf2	Aw... Thanks.	Ah... Obrigado.
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	Ah... Obrigado. É estranho eu te considerar...
line:2bfa396c	Aw... That's really sweet	Ah... Que bonito.
line:22053f7f	Awesome!	Ótimo!
line:6fdb2c3d	Awesome!	Ótimo!
line:70306ba1	Awesome!	Ótimo!
line:6126a614	Awesome! Come on in..	Ótimo! Entra..
line:e85007ac	Awesome! See you later then!	Ótimo! Então até mais!
line:4c7f15d6	Awesome, I'll go get the gate.	Ótimo, vou abrir o portão.
line:9d126e4e	Awesome, I'm glad.	Ótimo, fico feliz.
line:b60cc4a5	Awesome.	Ótimo.
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	Ah... Não precisa se cobrir de tinta só pra dizer oi!
line:8e20e028	Be yourself!	Seja você mesmo!
line:cd18f73f	Been looking forward to this.	Estava esperando por isso.
line:8f1fccf9	Being muddy is really fun up until it starts drying.	Ficar coberto de lama é divertido até ela começar a secar.
line:40783547	Berries.	Frutinhas.
line:59d4be6a	Berries.	Frutinhas.
line:61e781c1	Berries.	Frutinhas.
line:18ae08ef	Bet you had fun.	Aposto que se divertiram.
line:982fd3c7	big C...?	Grande C...?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	A biologia...? <size=70%> <i>Eu acho?
line:9be63f47	Bleh. Thank you for grabbing that.	Bleh. Obrigado por pegar isso.
line:66957ed2	Blue...?	Azul...?
line:a77c3afd	Both.	Os dois.
line:78975048	Brrr! Cold water!	Brrr! Água gelada!
line:8487a2c4	Burnswick Community College of Thaumaturgy	Faculdade Comunitária de Taumaturgia de Burnswick.
line:f75126de	But honestly you've helped me a lot.	Mas, sinceramente, você me ajudou muito.
line:cab69268	But I already know I'm liking this a lot.	Mas já sei que estou gostando muito.
line:d9534386	But I know the type... They tend to be big softies on the inside.	Mas conheço o tipo... Costumam ser uns amores por dentro.
line:f73ddfbc	But I think its time to get cleaned up.	Mas acho que já está na hora de me limpar.
line:088ea4a7	But I'm hot shit, so I'll be fine.	Mas eu sou foda, então vai dar certo.
line:c8f8bc22	But I'm only your washer?	Mas eu só dou banho no senhor?
line:dda0419b	But I'm sure I'd enjoy it with you!	Mas com você tenho certeza de que ia gostar!
line:aa74448a	But not in this sized package, right??	Mas não em alguém deste tamanho, né??
line:7d9ffc48	But nothing beats a large gulp!	Mas nada supera engolir um bocadão de uma vez!
line:d1ec7684	But that is why I am here!	Mas é por isso que estou aqui!
line:b0d9d1e5	But you're the teacher dragon.	Mas o dragão professor de escola é o senhor.
line:2d7e1ab6	But, at least I got to meet you!	Mas pelo menos pude te conhecer!
line:b7f46902	But, I think you've taught me something.	Mas acho que você me ensinou algo.
line:b1040415	By the stars! No no. You're excellent.	Pelas estrelas! Não, não. Você é excelente.
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	Aliás, você ficaria bravo se seu par fizesse bagunça em casa?
line:4199070f	Came in for another wash.	Vim pra outro banho.
line:105cd3e2	Can I ask you a question?	Posso fazer uma pergunta?
line:535ee717	Can you repeat that?	Pode repetir?
line:835e0c27	Can't sthpeak well.	Não configo falar direito.
line:afa450c0	Come back whenever, Ryan.	Volte quando quiser, Ryan.
line:0cedfc3d	Conrad can go as long as he needs	O Conrad aguenta o tempo que precisar.
line:5462913f	conrad hooked up with ryan	Conrad ficou com Ryan.
line:61cd33c5	conrad hooked up with ryan	Conrad ficou com Ryan.
line:6a7610f3	conrad hooked up with ryan	Conrad ficou com Ryan.
line:bac1ce29	conrad hooked up with ryan	Conrad ficou com Ryan.
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	O Conrad precisa de um banho. Tem horário pra ele?
line:405b7ef1	Conrad needs a wash!	O Conrad precisa de um banho!
line:803c8f0c	Conrad was talking about you during our date.	O Conrad falou de você no nosso encontro.
line:f1787092	Conrad!	Conrad!
line:fd6c6213	Conrad!	Conrad!
line:484cd04d	Conrad...?	Conrad...?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: Na verdade... Quero dizer...
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: O Conrad só tá aproveitando.
line:fbe86c06	Conrad: Damn right!	Conrad: Isso mesmo, porra!
line:5660dc8b	Conrad: Don't worry about it!	Conrad: Não esquenta!
line:c050dbfc	Conrad: I do it all the time	Conrad: Faço isso o tempo todo.
line:cd3367da	Conrad: I want this to go well	Conrad: Quero que isso dê certo.
line:194c1381	Conrad: I'm ready to blow	Conrad: Tô pronto pra gozar.
line:ce4d0fef	Conrad: Yea	Conrad: É.
line:42c70daa	Conrad: You feel good	Conrad: Você é uma delícia.
line:3bc52918	Conrad: You having a good time?	Conrad: Tá gostando?
line:be0e51af	Cool.	Legal.
line:88c36bc7	Could do that, then get a hotel room... Hmm.	A gente podia ir e depois pegar um quarto de hotel... Hum.
line:b99e1503	Could you ask <i>me</i> a question?	Poderia fazer uma pergunta <i>para mim</i>?
line:12bf5baf	Could you get the gate...?	Poderia abrir o portão...?
line:3a6afae1	Could you go get the gate?	Pode abrir o portão?
line:9f49d9d4	Could you wash it away?	Pode enxaguar?
line:7661a0e9	D'aw... thanks.	Ah... Obrigado.
line:59bc5840	Damn right I do!	Tô mesmo, porra!
line:64889395	Damn right!	Isso mesmo, porra!
line:95aa0bf4	Damn right!	Pode apostar!
line:db592d76	Damn right!	Isso mesmo, porra!
line:0fcf9908	Damn right.	Isso mesmo, porra.
line:b964c99b	Damn shame then. Better change that.	Uma pena do caralho. Melhor mudar isso.
line:c6955ecc	Damn, you know how to use your hands.	Porra, você sabe usar as mãos.
line:eaf45022	Damn, you know how to use your hands.	Porra, você sabe usar as mãos.
line:684fb29a	Damn... Always feels good.	Porra... Sempre é gostoso.
line:7023cc94	DATE NIGHT!	NOITE DE ENCONTRO!
line:c71df70b	Date night!	Noite de encontro!
line:b57cc8ad	Depends	Depende.
line:07bd7f57	Did you do your uh...	Você fez alguma coisa nas suas, é...
line:4f38655d	Do I look like I'm okay?	Eu pareço bem?
line:8147156a	Do it!	Vai!
line:9ab6ddfb	Do you also do "special endings" here?	Aqui também tem "final feliz"?
line:4c90479c	Do you ask because I'm lavender?	Pergunta porque sou cor de lavanda?
line:3020c97c	Do you believe I am attractive?	Você me acha atraente?
line:c5e71850	Do you even need a wash?	Você precisa mesmo de um banho?
line:1810e75f	Do you have any advice?	Tem algum conselho?
line:6be807b5	Do you have any plans with ryan?	Você tem planos com o Ryan?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	Conhece algum lugar ou alguma galera legal pra eu sair?
line:412ba249	Do you know any good bars?	Conhece algum bar legal?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	Conhece alguém com quem eu possa conversar? Sabe... Pra ver se rola alguma coisa?
line:21c0526b	Do you like being big?	Gosta de ser grande?
line:daa040eb	Do you like purple?	O senhor gosta de roxo?
line:ef052302	Do you like purple?	Você gosta de roxo?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	Você faz dragões grandes, <size=60%>como eu, <size=100%>gozarem aqui?
line:ec64a696	Do you mind double checking if I'm clean?	Pode conferir de novo se estou limpo?
line:647187f1	Do you want to say what happened...?	Quer contar o que aconteceu...?
line:807df02d	Do you want to use it?	Quer usar?
line:5c42b85a	Doesn't mean I need to yell at you.	Isso não é motivo pra gritar com você.
line:eefa8ae2	Don't be sorry! Get a mount!	Não pede desculpa! Arruma um aparelho!
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	Não se preocupe, dragões foram feitos pra comer de tudo.
line:b90b01a9	Don't worry, he's real nice.	Não se preocupe, ele é muito gentil.
line:7de2a81c	Don't worry. I will.	Pode deixar. Vou contar.
line:c29d4071	Don't... make it sound like that.	Não... fala desse jeito.
line:31bdd33c	Dont talk with your mouth full	Não fala de boca cheia.
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	A história dos dragões é complexa. Brasões ornamentais <size=85%> costumam ser <size=70%> usados por dragões para <size=55%>mostrar a que família pertencem! <size=40%> São uma marca interessante de sua herança cultural <size=35%> e familiar. Muitas vezes me pergunto se devo continuar usando o meu. <size=20%> Mas os laços culturais e familiares são considerados importantes na tradição dos dragões! Por isso, preciso respeitá-los. <size=10%> Água. Terra. Fogo. Ar. Há muito tempo, as quatro nações viviam em harmonia. Mas tudo mudou quando a Nação do Fogo atacou.
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	O estômago de um dragão é um pouco mais... resistente que o seu.
line:7e352505	Dragons of the galaxy 2	Dragões da Galáxia 2.
line:c2c659d1	Eep!	Ai!
line:0bd1699e	Ehh..	É...
line:43dd32f5	Er... That's not-	É... Não era...
line:93b60dce	Even so. Not this time	Mesmo assim. Não desta vez.
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	Mesmo que só estivesse fazendo seu trabalho... Acho que ajudou muito.
line:a2ba222e	Evening. This establishment takes walk ins, correct?	Boa noite. Este estabelecimento atende sem hora marcada, correto?
line:f98c3b6c	Every ending here is special!	Aqui todo final é feliz!
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	Todo mago que se preze tem uma pena de fênix à mão.
line:57df700d	Everyone's gaze carries an immense weight.	O olhar de todos carrega um peso imenso.
line:9ad8d2dd	Excellent!	Excelente!
line:0c997163	Excellent.	Excelente.
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	Excelente. Então não se esqueça de cumprimentar seu cliente na janela.
line:7bbe7ee3	Expectations are laaaame.	Expectativas são um saaaaco.
line:f99eb2ff	Ey! The mount! Fuck yeah.	Ei! O aparelho! Isso, porra.
line:d376acb9	Ey, so. Was thinkin'	Ei, então. Tava pensando...
line:85ec0862	Ey, sorry for coming in late.	Ei, desculpa vir tarde.
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	Ei, usa as mãos no meu pau. É uma delícia!
line:271a3846	Fair enough. I'll be waiting!	Justo. Vou esperar!
line:4789095b	Fair enough. You two do seem cute together.	Justo. Vocês ficam fofos juntos.
line:f5b37855	Felt good sliding down though!	Mas foi bom sentir descer!
line:274367d7	Figured I'd bring in something nice after all you've done.	Achei que podia trazer algo gostoso depois de tudo que você fez.
line:aae8afca	Fine with me!	Por mim, tudo bem!
line:e98616be	For you!	Por você!
line:62a82aba	Found this one gryphon. About my size...	Conheci um grifo. Mais ou menos do meu tamanho...
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	Pelo que ouvi, parece que ele melhorou muito recentemente, né?
line:803bf378	Fuck man, I'm so pumped.	Porra, tô animado demais.
line:f2418086	Fuck no! Shit's embarrassing.	Porra, não! Que vergonha.
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	Foder alguma coisa e, com sorte, ganhar uma punheta depois.
line:203bce10	Fuuuck. You really know how to work a dragon!	Porraa. Você sabe mesmo como tratar um dragão!
line:f7f9b0db	G'day mate!	E aí, amigo!
line:664c994e	Gave me time to think.	Me deu tempo pra pensar.
line:1d9b3531	Get a handjob and fuck this mount.	Ganhar uma punheta e foder esse aparelho.
line:48afdce4	Give it to me!	Manda tudo!
line:9df043ad	Give me a bit	Me dá um tempinho.
line:e5c7f64a	Glad I'm here to remind you then.	Então que bom que estou aqui pra te lembrar.
line:354170aa	Go for it!	Pode ir!
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	Vou pro centro hoje à noite. Preciso ficar impecável. Ei...
line:dcb506d2	Good as!	Ótimo!
line:bcbc6373	Good evening!	Boa noite!
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	Ótimo. Não posso deixar a Faculdade Comunitária de Taumaturgia de Burnswick descobrir que seu melhor professor, Alexander, causou outro incidente.
line:12b72085	Good, you better. If I come back and there isn't one...	Ótimo, é bom mesmo. Se eu voltar e não tiver um...
line:2c851dad	Good.	Bom.
line:2712436c	Good. 'Aight, let me out.	Ótimo. Beleza, me deixa sair.
line:bab51ada	Good... That'd be correct.	Bom... Essa é a palavra certa.
line:44f2b8cf	Goodbye!	Até mais!
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	Minha nossa, graças a você ainda tenho uma chance de resolver esta situação.
line:745c3c12	Gosh!	Nossa!
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	Preciso <i>praticar</i> pro Ryan, se é que me entende.
line:e3cef2bc	Gotta make sure you're spotless!	Precisa ficar impecável!
line:b01b2159	Great, so uh,	Ótimo, então, é,
line:43c94954	Grouse as! Excited to see you work!	Bom demais! Quero ver você trabalhar!
line:9de16ee9	Ha!	Ha!
line:88d7e1e2	Haah. This is the best fuckin' wash.	Aaah. Esse é o melhor banho, caralho.
line:cc6e7856	Hah! There's the mount!	Ha! Aí está o aparelho!
line:90dd6d9d	Hah, eager as always.	Ha, animado como sempre.
line:9542e7a6	Hah, good. Let's break this thing in!	Ha, boa. Vamos estrear esse negócio!
line:fe21109b	Hah, he seems like the wild type.	Ha, ele parece mesmo do tipo selvagem.
line:e8bc1d95	Hah, I imagine it would be.	Ha, imagino que sim.
line:acbf628d	Hah, it is a motivator.	Ha, é uma motivação.
line:65b23418	Hah, okay. I'm game.	Ha, tá bom. Eu topo.
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	Ha, é. O Conrad tem experiência, sem dúvida...
line:8b878971	Hah, yeah. He sounds fun.	Ha, é. Ele parece divertido.
line:e3ed51d9	Hah. Conrad, you look good too.	Ha. Você também está bonito, Conrad.
line:f8b2e23b	Hah. Fine.	Ha. Tá bom.
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	Ha. Se pelo menos tivesse um kobold pra me lavar.
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	Ha. Sim. <size=70%><i>Legal ensinarem a bater punheta pra dragão na escola de banho...
line:50a559bb	Hah... <size=70%> yeah.	Ha... <size=70%>Sim.
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	Ha... Vai bater uma pra mim agora? Por mim, beleza.
line:4e920759	Hah... Yeah I'm excited.	Ha... É, tô animado.
line:b36365ce	Hah... Yeah...	Ha... É...
line:b8724c64	Hah... you do like that noise.	Ha... Você gosta mesmo desse barulhinho.
line:c8cde395	Haha, 'Yip' indeed.	Haha, "yip", de fato.
line:680991cf	Haha, yes. Happy to see you.	Haha, sim. Que bom ver você.
line:4c27b031	Haha, you certainly are!	Haha, é mesmo!
line:c3a2e14e	Haha, you certainly are!	Haha, é mesmo!
line:9ec40945	Haha. 'Yip' to you too.	Haha. "Yip" pra você também.
