# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Qué tal, perro grande.
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>Ooooh. </i>¿El aparato? Claro que sí, amigo.
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	<i>Esto</i> no es culpa tuya, Conrad.
line:72b244b7	<size=100%> That felt damn good!	<size=100%>¡Eso se sintió de maravilla, carajo!
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>Digo... Genial.
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%>¡CARAJO, SÍ!
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>EH, <size=100%>vengo a bañarme.
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>¡ESO, CARAJO!
line:f5462edf	<size=60%> that's hot.	<size=60%>Qué sexy.
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>Un dragón grande dándome el control. Vaya.
line:53d71f27	<size=70%> And for me.	<size=70%>Y por mí.
line:4fe271cc	<size=70%> woah.	<size=70%>Vaya.
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>Carajo, acabo de conseguir una cita con un dragón.
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>Pero fue agradable... Gracias.
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>Puede continuar, si quiere...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>Ah...</i> No, de hecho me encanta.
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>Vaya...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>¿Sí?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>Siguen en mi nómina.
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	Hace unos días...
line:c570a462	A rather good excuse to see my favorite kobold.	Una muy buena excusa para ver a mi kobold favorito.
line:5d2d16e0	A really good friend?	un muy buen amigo?
line:df4d3810	About earlier.	Sobre lo de antes.
line:1a5e1ba4	Act what way?	¿Así cómo?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	Después de su combustión espontánea, me aseguré de darle privacidad.
line:a983ffa3	Again...?	¿Otra vez...?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	Coincido, aunque me gustaría que me dejara entrar en cuanto pueda.
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	Ah, sí, así... Sigue.
line:e216aee0	Ah, good.	Ah, bien.
line:9b26ac5f	Ah, I see the button there, gotcha!	Ah, ya vi el botón. ¡Entendido!
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	Ah, disculpe, estos temas me apasionan.
line:bf2a8309	Ah, the grime did sting a little, thank you.	Ah, la suciedad me ardía un poco. Gracias.
line:ebdb9888	Ah, yeah, those types are pretty cute.	Ah, sí, los de ese tipo son bastante lindos.
line:b920f205	Ah. Do not worry.	Ah. No se preocupe.
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	Ah. Bueno, entonces retiro la disculpa.
line:6de2c490	Ah...	Ah...
line:4d6b365e	Ahh, all cleaned and with a lighter load.	Ah, limpio y con menos carga.
line:20f96302	Alexander!	¡Alexander!
line:f167e3d7	Alexander!	¡Alexander!
line:fe3996b8	Alexander!	¡Alexander!
line:af7db134	Alexander...?	¿Alexander...?
line:eb7cf9e5	All clean...	Todo limpio...
line:f57fc630	All done!	¡Todo listo!
line:0b734d82	All self respecting washers know how to please a dragon.	Cualquiera que se respete en este oficio sabe complacer a un dragón.
line:599ffb25	Already got seats at that bar I mentioned earlier.	Ya conseguí sitios en el bar que te dije.
line:642ddea3	Alright alright... Then I think I'd like to use it?	Bueno, bueno... ¿Entonces creo que me gustaría usarlo?
line:c7b3a185	Alright! I'll go get the gate.	¡Bueno! Voy a abrir la puerta.
line:7279121a	Alright! I'll go get you the gate.	¡Bueno! Voy a abrirle la puerta.
line:4fc4259c	Alright! I'm ready to go.	¡Bueno! Estoy listo para salir.
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	Bueno, ¡abre la puerta y yo me adelanto!
line:d04df8f8	Alright, I'll cya!	Bueno, ¡nos vemos!
line:4766af08	Alrighty! That should be it.	¡Bueno! Eso debería ser todo.
line:797ca540	Alrighty. All clean.	Bueno. Ya estoy limpio.
line:c4cb161a	Although grapes have always hit a specific craving.	Aunque las uvas siempre me quitan un antojo muy particular.
line:dc237557	Although, the portions might be a bit... dragon sized.	Aunque las porciones quizá sean un poco... tamaño dragón.
line:655b8c01	Always happy to have you, Conrad.	Siempre eres bienvenido, Conrad.
line:afedd1f5	An anomaly.	Una anomalía.
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	Y me alegra que tengas un botiquín... Tienes todo previsto.
line:0699aef9	And I'm really happy for you and Conrad.	Y me alegro mucho por Conrad y por ti.
line:a3a26459	And not just physically.	Y no solo por lo alto que soy.
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	¡Y por eso estoy aquí! Después del baño voy a verlo.
line:33440e8c	And why you are perfect for this job!	¡Y por eso usted es ideal para este trabajo!
line:cacb93ce	And you've tried everything.	Y ya lo intentaste todo.
line:8cae6240	Another dragon? Usually I don't really get along...	¿Otro dragón? Normalmente no me llevo muy bien...
line:5a7e4fd4	Any chance you can clean me up again?	¿Podrías bañarme otra vez?
line:92d2a30a	Anything. I'm just curious.	Lo que sea. Solo tengo curiosidad.
line:52695aa2	Anything?	¿Cualquier cosa?
line:8ead9ee9	Anytime, Ryan.	Cuando quieras, Ryan.
line:6d77feef	Anyway glad you're not finished, lets keep at it!	En fin, me alegra que no hayas terminado. ¡Sigamos!
line:bdb4f59c	Anyway, time to get writing!	En fin, ¡hora de ponerse a escribir!
line:75dd56ae	Anyways,	En fin,
line:8980260e	Anyways-	En fin...
line:a8e6291c	Anyways- Let me out.	En fin, déjame salir.
line:493a82ef	Anyways. Could you go get the gate?	En fin. ¿Me abres la puerta?
line:926f5f41	Anyways. Gonna use this thing now!	En fin. ¡Voy a usar esta cosa!
line:ad8ab02e	Anyways...	En fin...
line:e767dc51	Anywho, I'll get out of your scales now.	En fin, ya lo dejo tranquilo.
line:e81426c1	Anywho, I'm in need of a clean.	En fin, necesito un baño.
line:23e7d518	Approach the dragon entrance, and I will let you in.	Acérquese a la entrada para dragones y lo dejaré pasar.
line:72a9b5bb	Are you happy?	¿Es feliz?
line:be0118cc	Are you okay?	¿Estás bien?
line:de735c65	Are you open right now?	¿Está abierto ahora?
line:9369755d	Are you sure it will fit?	¿Seguro que va a entrar?
line:c35b717a	Are you sure...? In front of the food?	¿Estás seguro...? ¿Delante de la comida?
line:cb06d2bf	As am I.	Igualmente.
line:9a48b21c	As in you're unique.	Quiero decir que es único.
line:1c021ee0	At getting hand jobs.	En que me masturben.
line:e861b464	At least that's what I've heard anyway.	O al menos eso he oído.
line:2f54ceec	At least you can still use your hands. Heh.	Al menos todavía puedes usar las manos. Je.
line:cb04e062	At least you can still use your hands. Heh.	Al menos todavía puedes usar las manos. Je.
line:97792929	Aw, I'll go get you the gate.	Ay, voy a abrirte la puerta.
line:c6895517	Aw, Ryan.	Ay, Ryan.
line:db997182	Aw, thank you Alexander.	Ay, gracias, Alexander.
line:7157db26	Aw, thanks Alexander.	Ay, gracias, Alexander.
line:011f1458	Aw, thanks.	Ay, gracias.
line:aea0be6b	Aw, thanks.	Ay, gracias.
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	Ay, gracias. ¡Solo me veo así de bien gracias a tus baños!
line:453ff9be	Aw- Ryan...	Ay, Ryan...
line:5340a315	Aw... Thanks!	Ay... ¡Gracias!
line:c6202cf2	Aw... Thanks.	Ay... Gracias.
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	Ay... Gracias. ¿Es raro que te considere...
line:2bfa396c	Aw... That's really sweet	Ay... Qué lindo.
line:22053f7f	Awesome!	¡Genial!
line:6fdb2c3d	Awesome!	¡Genial!
line:70306ba1	Awesome!	¡Genial!
line:6126a614	Awesome! Come on in..	¡Genial! Pasa..
line:e85007ac	Awesome! See you later then!	¡Genial! ¡Entonces nos vemos después!
line:4c7f15d6	Awesome, I'll go get the gate.	Genial, voy a abrir la puerta.
line:9d126e4e	Awesome, I'm glad.	Genial, me alegra.
line:b60cc4a5	Awesome.	Genial.
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	Ay, ¡no necesita llenarse de tinta para venir a saludar!
line:8e20e028	Be yourself!	¡Sé tú mismo!
line:cd18f73f	Been looking forward to this.	Tenía ganas de esto.
line:8f1fccf9	Being muddy is really fun up until it starts drying.	Estar lleno de lodo es divertido hasta que empieza a secarse.
line:40783547	Berries.	Bayas.
line:59d4be6a	Berries.	Bayas.
line:61e781c1	Berries.	Bayas.
line:18ae08ef	Bet you had fun.	Seguro que la pasaron bien.
line:982fd3c7	big C...?	¿Gran C...?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	¿La biología...? <size=70%> <i>¿Creo?
line:9be63f47	Bleh. Thank you for grabbing that.	Uf. Gracias por agarrar eso.
line:66957ed2	Blue...?	¿Azul...?
line:a77c3afd	Both.	Las dos cosas.
line:78975048	Brrr! Cold water!	¡Brrr! ¡Agua fría!
line:8487a2c4	Burnswick Community College of Thaumaturgy	Colegio Comunitario de Taumaturgia de Burnswick.
line:f75126de	But honestly you've helped me a lot.	Pero, sinceramente, me has ayudado mucho.
line:cab69268	But I already know I'm liking this a lot.	Pero ya sé que esto me está gustando mucho.
line:d9534386	But I know the type... They tend to be big softies on the inside.	Pero conozco ese tipo... Suelen ser muy tiernos por dentro.
line:f73ddfbc	But I think its time to get cleaned up.	Pero creo que ya es hora de quitarme todo esto.
line:088ea4a7	But I'm hot shit, so I'll be fine.	Pero soy la gran cosa, así que estaré bien.
line:c8f8bc22	But I'm only your washer?	¿Pero si solo lo baño?
line:dda0419b	But I'm sure I'd enjoy it with you!	¡Pero seguro que la disfrutaría contigo!
line:aa74448a	But not in this sized package, right??	Pero no en alguien de este tamaño, ¿verdad?
line:7d9ffc48	But nothing beats a large gulp!	¡Pero nada supera un buen bocado entero!
line:d1ec7684	But that is why I am here!	¡Pero para eso estoy aquí!
line:b0d9d1e5	But you're the teacher dragon.	Pero el dragón maestro es usted.
line:2d7e1ab6	But, at least I got to meet you!	Pero ¡al menos pude conocerte!
line:b7f46902	But, I think you've taught me something.	Pero creo que usted me ha enseñado algo.
line:b1040415	By the stars! No no. You're excellent.	¡Por las estrellas! No, no. Usted es excelente.
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	Por cierto, ¿te enojarías si tu pareja hiciera un desastre en casa?
line:4199070f	Came in for another wash.	Vine por otro baño.
line:105cd3e2	Can I ask you a question?	¿Puedo hacerte una pregunta?
line:535ee717	Can you repeat that?	¿Puede repetirlo?
line:835e0c27	Can't sthpeak well.	No puedo hablar bien afí.
line:afa450c0	Come back whenever, Ryan.	Vuelve cuando quieras, Ryan.
line:0cedfc3d	Conrad can go as long as he needs	Conrad aguanta todo lo que haga falta.
line:5462913f	conrad hooked up with ryan	Conrad está con Ryan.
line:61cd33c5	conrad hooked up with ryan	Conrad está con Ryan.
line:6a7610f3	conrad hooked up with ryan	Conrad está con Ryan.
line:bac1ce29	conrad hooked up with ryan	Conrad está con Ryan.
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	Conrad necesita un baño. ¿Tienes un espacio para él?
line:405b7ef1	Conrad needs a wash!	¡Conrad necesita un baño!
line:803c8f0c	Conrad was talking about you during our date.	Conrad habló de ti durante nuestra cita.
line:f1787092	Conrad!	¡Conrad!
line:fd6c6213	Conrad!	¡Conrad!
line:484cd04d	Conrad...?	¿Conrad...?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: En realidad... Quiero decir...
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: Conrad solo disfruta.
line:fbe86c06	Conrad: Damn right!	Conrad: ¡Claro que sí, carajo!
line:5660dc8b	Conrad: Don't worry about it!	Conrad: ¡No te preocupes!
line:c050dbfc	Conrad: I do it all the time	Conrad: Yo lo hago todo el tiempo.
line:cd3367da	Conrad: I want this to go well	Conrad: Quiero que esto salga bien.
line:194c1381	Conrad: I'm ready to blow	Conrad: Estoy a punto de venirme.
line:ce4d0fef	Conrad: Yea	Conrad: Sí.
line:42c70daa	Conrad: You feel good	Conrad: Qué bien te sientes.
line:3bc52918	Conrad: You having a good time?	Conrad: ¿La estás pasando bien?
line:be0e51af	Cool.	Genial.
line:88c36bc7	Could do that, then get a hotel room... Hmm.	Podríamos ir y después buscar una habitación de hotel... Mmm.
line:b99e1503	Could you ask <i>me</i> a question?	¿Podría hacerme una pregunta <i>a mí</i>?
line:12bf5baf	Could you get the gate...?	¿Podría abrir la puerta...?
line:3a6afae1	Could you go get the gate?	¿Puedes abrirme la puerta?
line:9f49d9d4	Could you wash it away?	¿Puedes quitármelo?
line:7661a0e9	D'aw... thanks.	Ay... Gracias.
line:59bc5840	Damn right I do!	¡Claro que me veo bien!
line:64889395	Damn right!	¡Claro que sí, carajo!
line:95aa0bf4	Damn right!	¡Pues claro que sí!
line:db592d76	Damn right!	¡Claro que sí, carajo!
line:0fcf9908	Damn right.	Claro que sí, carajo.
line:b964c99b	Damn shame then. Better change that.	Pues qué lástima. Mejor cambia eso.
line:c6955ecc	Damn, you know how to use your hands.	Carajo, sí que sabes usar las manos.
line:eaf45022	Damn, you know how to use your hands.	Carajo, sí que sabes usar las manos.
line:684fb29a	Damn... Always feels good.	Carajo... Siempre se siente bien.
line:7023cc94	DATE NIGHT!	¡NOCHE DE CITA!
line:c71df70b	Date night!	¡Noche de cita!
line:b57cc8ad	Depends	Depende.
line:07bd7f57	Did you do your uh...	¿Hoy te hiciste algo en las...?
line:4f38655d	Do I look like I'm okay?	¿Te parece que estoy bien?
line:8147156a	Do it!	¡Hazlo!
line:9ab6ddfb	Do you also do "special endings" here?	¿Aquí también dan «finales felices»?
line:4c90479c	Do you ask because I'm lavender?	¿Lo pregunta porque soy de color lavanda?
line:3020c97c	Do you believe I am attractive?	¿Me considera atractivo?
line:c5e71850	Do you even need a wash?	¿Siquiera necesitas un baño?
line:1810e75f	Do you have any advice?	¿Tienes algún consejo?
line:6be807b5	Do you have any plans with ryan?	¿Tienes algún plan con Ryan?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	¿Conoces algún lugar o gente agradable con quien pasar el rato?
line:412ba249	Do you know any good bars?	¿Conoces algún buen bar?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	¿Conoces a alguien con quien pueda hablar? Ya sabes... Para ver si surge algo.
line:21c0526b	Do you like being big?	¿Le gusta ser grande?
line:daa040eb	Do you like purple?	¿Le gusta el morado?
line:ef052302	Do you like purple?	¿Le gusta el morado?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	¿Haces que los dragones grandes, <size=60%>como yo, <size=100%>se vengan aquí?
line:ec64a696	Do you mind double checking if I'm clean?	¿Puedes revisar otra vez si estoy limpio?
line:647187f1	Do you want to say what happened...?	¿Quieres contarme lo que pasó...?
line:807df02d	Do you want to use it?	¿Quiere usarlo?
line:5c42b85a	Doesn't mean I need to yell at you.	Eso no significa que tenga que gritarte.
line:eefa8ae2	Don't be sorry! Get a mount!	¡No te disculpes! ¡Consigue un aparato!
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	No te preocupes, los dragones estamos hechos para comer de todo.
line:b90b01a9	Don't worry, he's real nice.	No te preocupes, es muy amable.
line:7de2a81c	Don't worry. I will.	No te preocupes. Lo haré.
line:c29d4071	Don't... make it sound like that.	No... lo digas así.
line:31bdd33c	Dont talk with your mouth full	No hables con la boca llena.
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	La historia de los dragones es compleja. Los emblemas ornamentales <size=85%> suelen <size=70%> llevarse para <size=55%>indicar a qué familia pertenece cada dragón. <size=40%> Son una marca interesante de su herencia cultural <size=35%> y familiar. A menudo me pregunto si debería seguir llevando el mío. <size=20%> Pero los lazos culturales y familiares se consideran importantes en la tradición de los dragones, así que debo respetarlos. <size=10%> Agua. Tierra. Fuego. Aire. Hace mucho tiempo, las cuatro naciones vivían en armonía. Pero todo cambió cuando la Nación del Fuego atacó.
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	El estómago de un dragón es un poco más... resistente que el tuyo.
line:7e352505	Dragons of the galaxy 2	Dragones de la galaxia 2.
line:c2c659d1	Eep!	¡Ah!
line:0bd1699e	Ehh..	Eh...
line:43dd32f5	Er... That's not-	Eh... No era...
line:93b60dce	Even so. Not this time	Aun así, esta vez no.
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	Aunque solo hacías tu trabajo... Creo que le ayudó mucho.
line:a2ba222e	Evening. This establishment takes walk ins, correct?	Buenas noches. ¿Este establecimiento recibe clientes sin cita?
line:f98c3b6c	Every ending here is special!	¡Aquí todos los finales son felices!
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	Todo mago que se respete tiene una pluma de fénix a mano.
line:57df700d	Everyone's gaze carries an immense weight.	La mirada de los demás pesa muchísimo.
line:9ad8d2dd	Excellent!	¡Excelente!
line:0c997163	Excellent.	Excelente.
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	Excelente. Entonces no olvides ir a saludar a tu cliente a la ventana.
line:7bbe7ee3	Expectations are laaaame.	Las expectativas son un fastidioooo.
line:f99eb2ff	Ey! The mount! Fuck yeah.	¡Eh! ¡El aparato! ¡Carajo, sí!
line:d376acb9	Ey, so. Was thinkin'	Oye, estaba pensando...
line:85ec0862	Ey, sorry for coming in late.	Oye, perdón por venir tarde.
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	Oye, usa las manos en mi verga. ¡Se siente bien!
line:271a3846	Fair enough. I'll be waiting!	Está bien. ¡Aquí espero!
line:4789095b	Fair enough. You two do seem cute together.	Está bien. Se ven lindos juntos.
line:f5b37855	Felt good sliding down though!	¡Pero se sintió bien al bajar!
line:274367d7	Figured I'd bring in something nice after all you've done.	Pensé en traer algo rico después de todo lo que has hecho por mí.
line:aae8afca	Fine with me!	¡Por mí, perfecto!
line:e98616be	For you!	¡Por ti!
line:62a82aba	Found this one gryphon. About my size...	Conocí a un grifo. Más o menos de mi tamaño...
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	Por lo que he oído, parece que ha mejorado mucho últimamente, ¿no?
line:803bf378	Fuck man, I'm so pumped.	Carajo, tengo unas ganas enormes.
line:f2418086	Fuck no! Shit's embarrassing.	¡Claro que no, mierda! Me da vergüenza.
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	Cogerme algo y, con suerte, que después me masturben.
line:203bce10	Fuuuck. You really know how to work a dragon!	Mieeerda. ¡Sí que sabes complacer a un dragón!
line:f7f9b0db	G'day mate!	¡Qué tal, amigo!
line:664c994e	Gave me time to think.	Me diste tiempo para pensar.
line:1d9b3531	Get a handjob and fuck this mount.	Que me masturben y cogerme este aparato.
line:48afdce4	Give it to me!	¡Dámelo!
line:9df043ad	Give me a bit	Dame un momento.
line:e5c7f64a	Glad I'm here to remind you then.	Entonces qué bueno que vine a recordártelo.
line:354170aa	Go for it!	¡Adelante!
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	Voy al centro esta noche. Necesito quedar impecable. Oye...
line:dcb506d2	Good as!	¡Excelente!
line:bcbc6373	Good evening!	¡Buenas noches!
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	Bien. No puedo permitir que el Colegio Comunitario de Taumaturgia de Burnswick se entere de que su mejor profesor, Alexander, ha provocado otro incidente.
line:12b72085	Good, you better. If I come back and there isn't one...	Bien, más te vale. Si vuelvo y no hay uno...
line:2c851dad	Good.	Bien.
line:2712436c	Good. 'Aight, let me out.	Bien. Bueno, déjame salir.
line:bab51ada	Good... That'd be correct.	Bien... Sí, esa es la palabra.
line:44f2b8cf	Goodbye!	¡Adiós!
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	Cielos, gracias a usted aún puedo salvar la situación.
line:745c3c12	Gosh!	¡Madre mía!
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	Tengo que <i>practicar</i> para Ryan, si me entiendes.
line:e3cef2bc	Gotta make sure you're spotless!	¡Hay que dejarte impecable!
line:b01b2159	Great, so uh,	Genial, entonces, eh,
line:43c94954	Grouse as! Excited to see you work!	¡Buenísimo! ¡Tengo ganas de ver cómo trabajas!
line:9de16ee9	Ha!	¡Ja!
line:88d7e1e2	Haah. This is the best fuckin' wash.	Aaah. Este es el mejor maldito baño.
line:cc6e7856	Hah! There's the mount!	¡Ja! ¡Ahí está el aparato!
line:90dd6d9d	Hah, eager as always.	Ja, tan entusiasta como siempre.
line:9542e7a6	Hah, good. Let's break this thing in!	Ja, bien. ¡Vamos a estrenarlo!
line:fe21109b	Hah, he seems like the wild type.	Ja, sí parece de los salvajes.
line:e8bc1d95	Hah, I imagine it would be.	Ja, me lo imagino.
line:acbf628d	Hah, it is a motivator.	Ja, es una buena motivación.
line:65b23418	Hah, okay. I'm game.	Ja, bueno. Me apunto.
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	Ja, sí. Conrad sin duda tiene experiencia...
line:8b878971	Hah, yeah. He sounds fun.	Ja, sí. Parece divertido.
line:e3ed51d9	Hah. Conrad, you look good too.	Ja. Tú también te ves bien, Conrad.
line:f8b2e23b	Hah. Fine.	Ja. Bueno.
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	Ja. Si tan solo hubiera un kobold que pudiera bañarme.
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	Ja. Sí. <size=70%><i>Qué bien que enseñen a masturbar dragones en la escuela de baño...
line:50a559bb	Hah... <size=70%> yeah.	Ja... <size=70%>Sí.
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	Ja... ¿Ahora me vas a masturbar? Por mí, bien.
