# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Здоров, здоровенний псе.
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> Я знаю одного дракона, Раяна. Можу вас познайомити? </b></gradient><size=70%>(Відкриває стосунки Конрада з Раяном АБО роман із Раяном)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> Я б не відмовився провести з тобою час... </b></gradient><size=70%> (Відкриває роман із Конрадом)
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> Я не проти! </b></gradient><size=70%> (Веде до роману з Олександром!)
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> Сьогодні ввечері я зайнятий. Перепрошую. </b></gradient><size=70%> (Веде до фіналу без роману!)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>Зараз ніхто не спадає на думку.</b></gradient><size=70%> (Закріплює роман із Конрадом!)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>Знаю одного червоного дракона. Думаю, він тобі сподобається! </b></gradient><size=70%> (Зводить Раяна з Конрадом!)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>О. Ем. <size=70%> Я б не заперечував... Якби цим кимось став я. </b></gradient><size=70%> (Закріплює роман із Раяном!)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>ГЕЙ! </gradient><size=100%>Це ж тут миють, так?
line:c777ce0c	<i> that feels nice...</i>	<i>Це приємно...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>Ой... І книжки.
line:d67b1098	<i>I like spraying you with water.	<i>Мені подобається обливати тебе водою.
line:ad5d633a	<i>Oh...	<i>Ох...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>О.</i> Здається, до цього я ще не готовий.
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>О-о-о. </i>Станок? Бляха, так, друже.
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	У <i>цьому</i> немає твоєї провини, Конраде.
line:72b244b7	<size=100%> That felt damn good!	<size=100%> Оце було до біса приємно!
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>Тобто... Клас.
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%> БЛЯХА, ТАК!
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>ГЕЙ, <size=100%>хочу помитися.
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>ОЦЕ ТАК, БЛЯХА!
line:f5462edf	<size=60%> that's hot.	<size=60%>Це збуджує.
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>Великий дракон віддає мені контроль. Ого.
line:53d71f27	<size=70%> And for me.	<size=70%> І для себе.
line:4fe271cc	<size=70%> woah.	<size=70%>Ого.
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>Охрініти, щойно домовився про побачення з драконом.
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>Але приємно... Дякую вам.
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>Можете продовжувати...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>Ой...</i> Ні, це насправді дуже класно.
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>Ого...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>Справді?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>Я й далі плачу їм зарплату.
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	Кілька днів тому...
line:c570a462	A rather good excuse to see my favorite kobold.	Досить гарний привід побачити свого улюбленого кобольда.
line:5d2d16e0	A really good friend?	Дуже добрим другом?
line:df4d3810	About earlier.	Щодо того, що було раніше.
line:1a5e1ba4	Act what way?	Як саме?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	Після його самозаймання я подбав про те, щоб ніхто йому не заважав.
line:a983ffa3	Again...?	Знову...?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	Згоден, хоча все ж хотів би зайти, щойно вам буде зручно.
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	Ага, ось так... Продовжуй.
line:e216aee0	Ah, good.	А, добре.
line:9b26ac5f	Ah, I see the button there, gotcha!	А, бачу там кнопку. Зрозумів!
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	О, перепрошую, мене захоплюють такі речі.
line:bf2a8309	Ah, the grime did sting a little, thank you.	Ах, той бруд трохи пік. Дякую.
line:ebdb9888	Ah, yeah, those types are pretty cute.	А, так, такі досить милі.
line:b920f205	Ah. Do not worry.	О. Не хвилюйтеся.
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	А. Тоді гаразд, беру вибачення назад.
line:6de2c490	Ah...	А...
line:4d6b365e	Ahh, all cleaned and with a lighter load.	А-а, весь чистий і з легшим вантажем.
line:20f96302	Alexander!	Олександре!
line:f167e3d7	Alexander!	Олександр!
line:fe3996b8	Alexander!	Олександре!
line:af7db134	Alexander...?	Олександре...?
line:eb7cf9e5	All clean...	Зовсім чистий...
line:f57fc630	All done!	Готово!
line:0b734d82	All self respecting washers know how to please a dragon.	Кожен мийник, який себе поважає, знає, як догодити дракону.
line:599ffb25	Already got seats at that bar I mentioned earlier.	Уже забронював місця в тому барі, про який казав.
line:642ddea3	Alright alright... Then I think I'd like to use it?	Добре, добре... Тоді, мабуть, я хотів би ним скористатися?
line:c7b3a185	Alright! I'll go get the gate.	Добре! Відчиню браму.
line:7279121a	Alright! I'll go get you the gate.	Гаразд! Відчиню вам браму.
line:4fc4259c	Alright! I'm ready to go.	Гаразд! Я готовий іти.
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	Гаразд, відчини браму, а я вирушу туди!
line:d04df8f8	Alright, I'll cya!	Гаразд, побачимося!
line:4766af08	Alrighty! That should be it.	Ну ось! Це має бути все.
line:797ca540	Alrighty. All clean.	Ну ось. Зовсім чистий.
line:c4cb161a	Although grapes have always hit a specific craving.	Хоча винограду мені завжди хочеться якось особливо.
line:dc237557	Although, the portions might be a bit... dragon sized.	Щоправда, порції можуть бути трохи... драконячими.
line:655b8c01	Always happy to have you, Conrad.	Завжди радий тобі, Конраде.
line:afedd1f5	An anomaly.	Аномалія.
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	І добре, що в тебе є аптечка... Ти до всього готовий.
line:0699aef9	And I'm really happy for you and Conrad.	І я дуже радий за вас із Конрадом.
line:a3a26459	And not just physically.	І дивляться вгору не лише через мій зріст.
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	От чому я тут! Після миття одразу піду до нього.
line:33440e8c	And why you are perfect for this job!	І саме тому ви ідеально підходите для цієї роботи!
line:cacb93ce	And you've tried everything.	І вже все перепробував.
line:8cae6240	Another dragon? Usually I don't really get along...	Ще один дракон? Зазвичай ми не дуже ладнаємо...
line:5a7e4fd4	Any chance you can clean me up again?	Може, зможеш ще раз мене помити?
line:92d2a30a	Anything. I'm just curious.	Будь-що. Мені просто цікаво.
line:52695aa2	Anything?	Що завгодно?
line:8ead9ee9	Anytime, Ryan.	Завжди будь ласка, Раяне.
line:6d77feef	Anyway glad you're not finished, lets keep at it!	Хай там як, радий, що ми ще не закінчили. Продовжуймо!
line:bdb4f59c	Anyway, time to get writing!	Хай там як, час братися до написання!
line:75dd56ae	Anyways,	Коротше.
line:8980260e	Anyways-	Хай там як...
line:a8e6291c	Anyways- Let me out.	Коротше, випускай.
line:493a82ef	Anyways. Could you go get the gate?	Коротше. Відчиниш браму?
line:926f5f41	Anyways. Gonna use this thing now!	Коротше. Зараз візьмуся за цю штуку!
line:ad8ab02e	Anyways...	Хай там як...
line:e767dc51	Anywho, I'll get out of your scales now.	Хай там як, не плутатимусь у вас під лапами.
line:e81426c1	Anywho, I'm in need of a clean.	Хай там як, мені потрібне миття.
line:23e7d518	Approach the dragon entrance, and I will let you in.	Підійдіть до входу для драконів, і я вас упущу.
line:72a9b5bb	Are you happy?	Ви щасливий?
line:be0118cc	Are you okay?	Ти в порядку?
line:de735c65	Are you open right now?	Ви зараз відчинені?
line:9369755d	Are you sure it will fit?	Ти певен, що влізе?
line:c35b717a	Are you sure...? In front of the food?	Ти певен...? Просто тут, біля їжі?
line:cb06d2bf	As am I.	І я також.
line:9a48b21c	As in you're unique.	Тобто ви унікальний.
line:1c021ee0	At getting hand jobs.	У тому, щоб мені дрочили.
line:e861b464	At least that's what I've heard anyway.	Принаймні я так чув.
line:2f54ceec	At least you can still use your hands. Heh.	Хоч руками ще можеш попрацювати. Хе.
line:cb04e062	At least you can still use your hands. Heh.	Хоч руками ще можеш попрацювати. Хе.
line:97792929	Aw, I'll go get you the gate.	Ой, піду відчиню тобі браму.
line:c6895517	Aw, Ryan.	Ох, Раяне.
line:db997182	Aw, thank you Alexander.	Ой, дякую, Олександре.
line:7157db26	Aw, thanks Alexander.	Ой, дякую, Олександре.
line:011f1458	Aw, thanks.	Ой, дякую.
line:aea0be6b	Aw, thanks.	Ой, дякую.
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	Ой, дякую. Я такий гарний лише завдяки твоєму миттю!
line:453ff9be	Aw- Ryan...	Ох, Раяне...
line:5340a315	Aw... Thanks!	Ой... Дякую!
line:c6202cf2	Aw... Thanks.	Ой... Дякую.
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	Ох... Дякую. Це дивно, що я вважаю тебе...
line:2bfa396c	Aw... That's really sweet	Ой... Це дуже мило.
line:22053f7f	Awesome!	Клас!
line:6fdb2c3d	Awesome!	Клас!
line:70306ba1	Awesome!	Клас!
line:6126a614	Awesome! Come on in..	Чудово! Заходь...
line:e85007ac	Awesome! See you later then!	Чудово! Тоді до зустрічі!
line:4c7f15d6	Awesome, I'll go get the gate.	Клас, відчиню браму.
line:9d126e4e	Awesome, I'm glad.	Чудово, я радий.
line:b60cc4a5	Awesome.	Клас.
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	О-о. Щоб привітатися, не обов'язково вимазуватися чорнилом!
line:8e20e028	Be yourself!	Будь собою!
line:cd18f73f	Been looking forward to this.	Дуже цього чекав.
line:8f1fccf9	Being muddy is really fun up until it starts drying.	Бути в багнюці весело, поки вона не починає висихати.
line:40783547	Berries.	Ягоди.
line:59d4be6a	Berries.	Ягоди.
line:61e781c1	Berries.	Ягоди.
line:18ae08ef	Bet you had fun.	Мабуть, добре розважилися.
line:982fd3c7	big C...?	Великого К...?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	Біологія...? <size=70%> <i>Мабуть?
line:9be63f47	Bleh. Thank you for grabbing that.	Бе. Дякую, що забрав це.
line:66957ed2	Blue...?	Синє...?
line:a77c3afd	Both.	І так, і так.
line:78975048	Brrr! Cold water!	Бррр! Холодна вода!
line:8487a2c4	Burnswick Community College of Thaumaturgy	Громадський коледж тауматургії Бернсвіка
line:f75126de	But honestly you've helped me a lot.	Але, чесно, ти мені дуже допоміг.
line:cab69268	But I already know I'm liking this a lot.	Але вже знаю, що мені дуже подобається.
line:d9534386	But I know the type... They tend to be big softies on the inside.	Але знаю таких... Усередині вони зазвичай великі добряки.
line:f73ddfbc	But I think its time to get cleaned up.	Але, здається, час усе змити.
line:088ea4a7	But I'm hot shit, so I'll be fine.	Але я ще той красень, тож упораюся.
line:c8f8bc22	But I'm only your washer?	Але ж я лише ваш мийник?
line:dda0419b	But I'm sure I'd enjoy it with you!	Але з тобою я точно отримаю задоволення!
line:aa74448a	But not in this sized package, right??	Але ж не на комусь такого розміру, правда??
line:7d9ffc48	But nothing beats a large gulp!	Але ніщо не зрівняється з великим ковтком!
line:d1ec7684	But that is why I am here!	Але саме тому я тут!
line:b0d9d1e5	But you're the teacher dragon.	Але ж учитель-дракон тут ви.
line:2d7e1ab6	But, at least I got to meet you!	Але принаймні я познайомився з тобою!
line:b7f46902	But, I think you've taught me something.	Але, здається, ви мене дечого навчили.
line:b1040415	By the stars! No no. You're excellent.	Заради зірок! Ні-ні. Ви прекрасний.
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	До речі, ти б злився, якби твоя друга половинка наробила вдома безладу?
line:4199070f	Came in for another wash.	Зайшов знову помитися.
line:105cd3e2	Can I ask you a question?	Можна тебе дещо спитати?
line:535ee717	Can you repeat that?	Можете повторити?
line:835e0c27	Can't sthpeak well.	Не можу нофмально говорити.
line:afa450c0	Come back whenever, Ryan.	Заходь будь-коли, Раяне.
line:0cedfc3d	Conrad can go as long as he needs	Конрад може протриматися скільки треба.
line:5462913f	conrad hooked up with ryan	Конрад зійшовся з Раяном.
line:61cd33c5	conrad hooked up with ryan	Конрад зійшовся з Раяном.
line:6a7610f3	conrad hooked up with ryan	Конрад зійшовся з Раяном.
line:bac1ce29	conrad hooked up with ryan	Конрад зійшовся з Раяном.
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	Конраду треба помитися. Є для нього місце?
line:405b7ef1	Conrad needs a wash!	Конраду треба помитися!
line:803c8f0c	Conrad was talking about you during our date.	Конрад говорив про тебе на нашому побаченні.
line:f1787092	Conrad!	Конраде!
line:fd6c6213	Conrad!	Конраде!
line:484cd04d	Conrad...?	Конраду...?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: Насправді... Тобто...
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: Конрад просто насолоджується.
line:fbe86c06	Conrad: Damn right!	Conrad: Ще б пак!
line:5660dc8b	Conrad: Don't worry about it!	Conrad: Не переймайся!
line:c050dbfc	Conrad: I do it all the time	Conrad: Я постійно так роблю.
line:cd3367da	Conrad: I want this to go well	Conrad: Хочу, щоб усе пройшло добре.
line:194c1381	Conrad: I'm ready to blow	Conrad: Зараз кінчу.
line:ce4d0fef	Conrad: Yea	Conrad: Ага.
line:42c70daa	Conrad: You feel good	Conrad: З тобою так добре.
line:3bc52918	Conrad: You having a good time?	Conrad: Тобі добре?
line:be0e51af	Cool.	Крутий.
line:88c36bc7	Could do that, then get a hotel room... Hmm.	Можна туди, а потім зняти номер у готелі... Гмм.
line:b99e1503	Could you ask <i>me</i> a question?	Могли б ви поставити запитання <i>мені</i>?
line:12bf5baf	Could you get the gate...?	Ви могли б відчинити браму...?
line:3a6afae1	Could you go get the gate?	Відчиниш браму?
line:9f49d9d4	Could you wash it away?	Можеш це змити?
line:7661a0e9	D'aw... thanks.	Ой... Дякую.
line:59bc5840	Damn right I do!	Ще б пак!
line:64889395	Damn right!	Ще б пак!
line:95aa0bf4	Damn right!	Ще б пак!
line:db592d76	Damn right!	Ще б пак!
line:0fcf9908	Damn right.	Ще б пак.
line:b964c99b	Damn shame then. Better change that.	Прикро, блін. Треба це виправити.
line:c6955ecc	Damn, you know how to use your hands.	Блін, ти вмієш працювати руками.
line:eaf45022	Damn, you know how to use your hands.	Блін, ти вмієш працювати руками.
line:684fb29a	Damn... Always feels good.	Блін... Завжди приємно.
line:7023cc94	DATE NIGHT!	ВЕЧІР ПОБАЧЕННЯ!
line:c71df70b	Date night!	Увечері побачення!
line:b57cc8ad	Depends	Залежить.
line:07bd7f57	Did you do your uh...	Ти сьогодні якось інакше, ем...
line:4f38655d	Do I look like I'm okay?	Я схожий на того, хто в порядку?
line:8147156a	Do it!	Кінчай!
line:9ab6ddfb	Do you also do "special endings" here?	У вас тут теж є «особливі завершення»?
line:4c90479c	Do you ask because I'm lavender?	Ви питаєте, бо я лавандового кольору?
line:3020c97c	Do you believe I am attractive?	Ви вважаєте мене привабливим?
line:c5e71850	Do you even need a wash?	Тобі взагалі треба митися?
line:1810e75f	Do you have any advice?	Щось порадиш?
line:6be807b5	Do you have any plans with ryan?	Маєш якісь плани з Раяном?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	Знаєш якісь класні місця, де можна зависнути? Чи когось, із ким можна потусити?
line:412ba249	Do you know any good bars?	Знаєш якісь хороші бари?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	Знаєш когось, з ким я міг би поговорити? Ну... про стосунки й таке інше?
line:21c0526b	Do you like being big?	Вам подобається бути великим?
line:daa040eb	Do you like purple?	Вам подобається фіолетовий?
line:ef052302	Do you like purple?	Вам подобається фіолетовий?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	Ви тут доводите великих драконів, <size=60%>як-от мене, <size=100%>до оргазму?
line:ec64a696	Do you mind double checking if I'm clean?	Перевіриш ще раз, чи я чистий?
line:647187f1	Do you want to say what happened...?	Хочеш розповісти, що сталося...?
line:807df02d	Do you want to use it?	Хочете скористатися?
line:5c42b85a	Doesn't mean I need to yell at you.	Це не привід кричати на тебе.
line:eefa8ae2	Don't be sorry! Get a mount!	Не вибачайся! Роздобудь станок!
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	Не хвилюйся, дракони пристосовані їсти що завгодно.
line:b90b01a9	Don't worry, he's real nice.	Не хвилюйся, він дуже милий.
line:7de2a81c	Don't worry. I will.	Не хвилюйся. Розповім.
line:c29d4071	Don't... make it sound like that.	Не... кажи це таким тоном.
line:31bdd33c	Dont talk with your mouth full	Не говори з повним ротом.
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	Драконяча історія складна. Декоративні герби <size=85%> дракони часто <size=70%> носять, щоб <size=55%>показати належність до свого роду! <size=40%> Це цікавий символ їхньої культурної <size=35%> та родинної спадщини. Я часто міркував, чи варто й далі носити свій. <size=20%> Але культурні й родинні зв'язки в драконячих переказах вважаються важливими! Тому я маю їх шанувати. <size=10%> Вода. Земля. Вогонь. Повітря. Колись давно чотири народи жили в гармонії. Та все змінилося, коли Народ Вогню напав.
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	Драконячі шлунки трохи... витриваліші за твій.
line:7e352505	Dragons of the galaxy 2	Дракони галактики 2
line:c2c659d1	Eep!	І-і!
line:0bd1699e	Ehh..	Е-е...
line:43dd32f5	Er... That's not-	Е-е... Я не про...
line:93b60dce	Even so. Not this time	І все ж. Не цього разу.
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	Навіть якщо ти просто робив свою роботу... Думаю, це дуже йому допомогло.
line:a2ba222e	Evening. This establishment takes walk ins, correct?	Добрий вечір. У цьому закладі приймають без запису, чи не так?
line:f98c3b6c	Every ending here is special!	У нас кожне завершення особливе!
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	Кожен поважний чарівник тримає напохваті перо фенікса.
line:57df700d	Everyone's gaze carries an immense weight.	Погляди інших тиснуть на мене величезним тягарем.
line:9ad8d2dd	Excellent!	Чудово!
line:0c997163	Excellent.	Відмінно.
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	Чудово. Тоді обов'язково привітайте клієнта біля вікна.
line:7bbe7ee3	Expectations are laaaame.	Очікування — це тааак нудно.
line:f99eb2ff	Ey! The mount! Fuck yeah.	Гей! Станок! Бляха, так.
line:d376acb9	Ey, so. Was thinkin'	Гей, слухай. Тут подумав.
line:85ec0862	Ey, sorry for coming in late.	Гей, вибач, що зайшов так пізно.
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	Гей, попрацюй руками на моєму хую. Мені подобається!
line:271a3846	Fair enough. I'll be waiting!	Цілком слушно. Чекатиму!
line:4789095b	Fair enough. You two do seem cute together.	Ясно. Ви справді милі разом.
line:f5b37855	Felt good sliding down though!	Зате приємно ковзнув горлом!
line:274367d7	Figured I'd bring in something nice after all you've done.	Вирішив принести щось приємне після всього, що ти зробив.
line:aae8afca	Fine with me!	Я не проти!
line:e98616be	For you!	Для тебе!
line:62a82aba	Found this one gryphon. About my size...	Познайомився з одним грифоном. Приблизно мого розміру...
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	З того, що я чув, останнім часом він дуже змінився на краще, так?
line:803bf378	Fuck man, I'm so pumped.	Бляха, як же я чекаю.
line:f2418086	Fuck no! Shit's embarrassing.	Та ні, бляха! Це соромно.
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	Щось трахнути, а потім, сподіваюся, щоб мені подрочили.
line:203bce10	Fuuuck. You really know how to work a dragon!	Бля-я-ха. Ти справді знаєш, як догодити дракону!
line:f7f9b0db	G'day mate!	Здоров, друже!
line:664c994e	Gave me time to think.	Дав час подумати.
line:1d9b3531	Get a handjob and fuck this mount.	Щоб мені подрочили та щоб трахнути цей станок.
line:48afdce4	Give it to me!	Дай мені все!
line:9df043ad	Give me a bit	Дай мені трохи часу.
line:e5c7f64a	Glad I'm here to remind you then.	То добре, що я прийшов нагадати.
line:354170aa	Go for it!	Давайте!
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	Сьогодні йду до центру. Треба бути бездоганно чистим. Слухай...
line:dcb506d2	Good as!	Чудово!
line:bcbc6373	Good evening!	Добрий вечір!
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	Добре. Не можна допустити, щоб Громадський коледж тауматургії Бернсвіка дізнався, що його найкращий професор Олександр знову спричинив інцидент.
line:12b72085	Good, you better. If I come back and there isn't one...	Добре, дивись мені. Якщо повернуся, а його не буде...
line:2c851dad	Good.	Добре.
line:2712436c	Good. 'Aight, let me out.	От і добре. Гаразд, випускай.
line:bab51ada	Good... That'd be correct.	Добре... Так, це слушне слово.
line:44f2b8cf	Goodbye!	До побачення!
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	Ох, завдяки вам у мене є шанс урятувати становище.
line:745c3c12	Gosh!	Оце так!
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	Треба <i>потренуватися</i> для Раяна, якщо розумієш, про що я.
line:e3cef2bc	Gotta make sure you're spotless!	Треба, щоб ти був бездоганно чистий!
line:b01b2159	Great, so uh,	Чудово, то, ем...
line:43c94954	Grouse as! Excited to see you work!	Оце клас! Чекаю, коли побачу тебе за роботою!
line:9de16ee9	Ha!	Ха!
line:88d7e1e2	Haah. This is the best fuckin' wash.	Ха-а. Це найкраща, бляха, мийня.
line:cc6e7856	Hah! There's the mount!	Ха! Ось і станок!
line:90dd6d9d	Hah, eager as always.	Ха, завзятий, як завжди.
line:9542e7a6	Hah, good. Let's break this thing in!	Ха, чудово. Ну що, обкатаємо її!
line:fe21109b	Hah, he seems like the wild type.	Ха, він і справді здається нестримним.
line:e8bc1d95	Hah, I imagine it would be.	Ха, так і думав.
line:acbf628d	Hah, it is a motivator.	Ха, це справді мотивує.
line:65b23418	Hah, okay. I'm game.	Ха, добре. Я за.
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	Ха, так. Конрад точно досвідчений...
line:8b878971	Hah, yeah. He sounds fun.	Ха, так. Здається, з ним весело.
line:e3ed51d9	Hah. Conrad, you look good too.	Ха. Конраде, ти теж гарно виглядаєш.
line:f8b2e23b	Hah. Fine.	Ха. Добре.
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	Ха. От би тут був кобольд, який міг би мене помити.
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	Ха. Так. <size=70%><i>Класно, що в школі мийників учать дрочити драконам...
line:50a559bb	Hah... <size=70%> yeah.	Ха... <size=70%>Так.
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	Ха... Тепер подрочиш мені? Я не проти.
line:4e920759	Hah... Yeah I'm excited.	Ха... Так, не можу дочекатися.
line:b36365ce	Hah... Yeah...	Ха... Так...
line:b8724c64	Hah... you do like that noise.	Ха... Любиш ти цей звук.
line:c8cde395	Haha, 'Yip' indeed.	Ха-ха, саме так, «дзяв».
line:680991cf	Haha, yes. Happy to see you.	Ха-ха, так. Радий вас бачити.
line:4c27b031	Haha, you certainly are!	Ха-ха, це вже точно!
line:c3a2e14e	Haha, you certainly are!	Ха-ха, це вже точно!
