# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Salut, gros toutou.
line:453ff9be	Aw- Ryan...	Oh, Ryan...
line:5340a315	Aw... Thanks!	Oh... Merci !
line:c6202cf2	Aw... Thanks.	Oh... Merci.
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	Oh... Merci. C'est bizarre si je te considère comme...
line:2bfa396c	Aw... That's really sweet	Oh... C'est adorable.
line:22053f7f	Awesome!	Super !
line:6fdb2c3d	Awesome!	Super !
line:70306ba1	Awesome!	Super !
line:6126a614	Awesome! Come on in..	Super ! Entre..
line:e85007ac	Awesome! See you later then!	Super ! À plus tard, alors !
line:4c7f15d6	Awesome, I'll go get the gate.	Super, je vais ouvrir le portail.
line:9d126e4e	Awesome, I'm glad.	Super, tant mieux.
line:b60cc4a5	Awesome.	Super.
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	Oh... Pas besoin de vous couvrir d'encre pour venir me dire bonjour !
line:8e20e028	Be yourself!	Sois toi-même !
line:cd18f73f	Been looking forward to this.	J'avais hâte.
line:8f1fccf9	Being muddy is really fun up until it starts drying.	Être couvert de boue, c'est amusant jusqu'à ce qu'elle sèche.
line:40783547	Berries.	Des baies.
line:59d4be6a	Berries.	Des baies.
line:61e781c1	Berries.	Des baies.
line:18ae08ef	Bet you had fun.	Je parie que vous vous êtes amusés.
line:982fd3c7	big C...?	Le grand C... ?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	La biologie... ? <size=70%> <i>Je crois ?
line:9be63f47	Bleh. Thank you for grabbing that.	Bleuh. Merci d'avoir pris ça.
line:66957ed2	Blue...?	Bleu... ?
line:a77c3afd	Both.	Les deux.
line:78975048	Brrr! Cold water!	Brrr ! De l'eau froide !
line:8487a2c4	Burnswick Community College of Thaumaturgy	Collège communautaire de thaumaturgie de Burnswick.
line:f75126de	But honestly you've helped me a lot.	Mais franchement, tu m'as beaucoup aidé.
line:cab69268	But I already know I'm liking this a lot.	Mais je sais déjà que ça me plaît beaucoup.
line:d9534386	But I know the type... They tend to be big softies on the inside.	Mais je connais le genre... Souvent, ce sont de grands tendres à l'intérieur.
line:f73ddfbc	But I think its time to get cleaned up.	Mais je crois qu'il est temps de me nettoyer.
line:088ea4a7	But I'm hot shit, so I'll be fine.	Mais je suis un sacré morceau, alors ça ira.
line:c8f8bc22	But I'm only your washer?	Mais je ne fais que vous laver ?
line:dda0419b	But I'm sure I'd enjoy it with you!	Mais je suis sûr que ça me plairait avec toi !
line:aa74448a	But not in this sized package, right??	Mais pas sur quelqu'un de cette taille, hein ?
line:7d9ffc48	But nothing beats a large gulp!	Mais rien ne vaut une bonne grosse bouchée avalée d'un coup !
line:d1ec7684	But that is why I am here!	Mais c'est pour cela que je suis ici !
line:b0d9d1e5	But you're the teacher dragon.	Pourtant, c'est vous le dragon maître d'école.
line:2d7e1ab6	But, at least I got to meet you!	Mais au moins, j'ai pu te rencontrer !
line:b7f46902	But, I think you've taught me something.	Mais je crois que vous m'avez appris quelque chose.
line:b1040415	By the stars! No no. You're excellent.	Par les étoiles ! Non, non. Vous êtes excellent.
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	Au fait, tu serais en colère si ta moitié mettait le bazar à la maison ?
line:4199070f	Came in for another wash.	Je suis venu pour un autre bain.
line:105cd3e2	Can I ask you a question?	Je peux te poser une question ?
line:535ee717	Can you repeat that?	Vous pouvez répéter ?
line:835e0c27	Can't sthpeak well.	J'arrive pas à bien parler comme cha.
line:afa450c0	Come back whenever, Ryan.	Reviens quand tu veux, Ryan.
line:0cedfc3d	Conrad can go as long as he needs	Conrad tient aussi longtemps qu'il le faut.
line:5462913f	conrad hooked up with ryan	Conrad est avec Ryan.
line:61cd33c5	conrad hooked up with ryan	Conrad est avec Ryan.
line:6a7610f3	conrad hooked up with ryan	Conrad est avec Ryan.
line:bac1ce29	conrad hooked up with ryan	Conrad est avec Ryan.
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	Conrad a besoin d'un bain. T'as un créneau pour lui ?
line:405b7ef1	Conrad needs a wash!	Conrad a besoin d'un bain !
line:803c8f0c	Conrad was talking about you during our date.	Conrad a parlé de toi pendant notre rendez-vous.
line:f1787092	Conrad!	Conrad !
line:fd6c6213	Conrad!	Conrad !
line:484cd04d	Conrad...?	Conrad... ?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: En fait... Je veux dire...
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: Conrad prend juste son pied.
line:fbe86c06	Conrad: Damn right!	Conrad: Putain, carrément !
line:5660dc8b	Conrad: Don't worry about it!	Conrad: T'inquiète !
line:c050dbfc	Conrad: I do it all the time	Conrad: Je le fais tout le temps.
line:cd3367da	Conrad: I want this to go well	Conrad: Je veux que ça se passe bien.
line:194c1381	Conrad: I'm ready to blow	Conrad: Je vais exploser.
line:ce4d0fef	Conrad: Yea	Conrad: Ouais.
line:42c70daa	Conrad: You feel good	Conrad: Tu me fais du bien.
line:3bc52918	Conrad: You having a good time?	Conrad: Tu passes un bon moment ?
line:be0e51af	Cool.	Cool.
line:88c36bc7	Could do that, then get a hotel room... Hmm.	On pourrait y aller, puis prendre une chambre d'hôtel... Mmm.
line:b99e1503	Could you ask <i>me</i> a question?	Pourriez-vous <i>me</i> poser une question ?
line:12bf5baf	Could you get the gate...?	Pourriez-vous ouvrir le portail... ?
line:3a6afae1	Could you go get the gate?	Tu peux aller ouvrir le portail ?
line:9f49d9d4	Could you wash it away?	Tu peux me rincer ?
line:7661a0e9	D'aw... thanks.	Oh... Merci.
line:59bc5840	Damn right I do!	Et comment !
line:64889395	Damn right!	Putain, carrément !
line:95aa0bf4	Damn right!	Carrément !
line:db592d76	Damn right!	Putain, carrément !
line:0fcf9908	Damn right.	Putain, carrément.
line:b964c99b	Damn shame then. Better change that.	C'est bien dommage. Va falloir changer ça.
line:c6955ecc	Damn, you know how to use your hands.	Putain, tu sais te servir de tes mains.
line:eaf45022	Damn, you know how to use your hands.	Putain, tu sais te servir de tes mains.
line:684fb29a	Damn... Always feels good.	Putain... Ça fait toujours du bien.
line:7023cc94	DATE NIGHT!	SOIRÉE EN AMOUREUX !
line:c71df70b	Date night!	Soirée en amoureux !
line:b57cc8ad	Depends	Ça dépend.
line:07bd7f57	Did you do your uh...	T'as fait quelque chose à tes, euh...
line:4f38655d	Do I look like I'm okay?	J'ai l'air d'aller bien ?
line:8147156a	Do it!	Vas-y !
line:9ab6ddfb	Do you also do "special endings" here?	Vous faites aussi les « finitions spéciales », ici ?
line:4c90479c	Do you ask because I'm lavender?	Vous demandez cela parce que je suis couleur lavande ?
line:3020c97c	Do you believe I am attractive?	Me trouvez-vous attirant ?
line:c5e71850	Do you even need a wash?	Tu as vraiment besoin d'un bain ?
line:1810e75f	Do you have any advice?	T'as des conseils ?
line:6be807b5	Do you have any plans with ryan?	Tu as des projets avec Ryan ?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	Tu connais des endroits ou des gens sympas avec qui traîner ?
line:412ba249	Do you know any good bars?	Tu connais de bons bars ?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	Tu connais quelqu'un avec qui je pourrais discuter ? Tu sais... Pour voir si le courant passe ?
line:21c0526b	Do you like being big?	Vous aimez être grand ?
line:daa040eb	Do you like purple?	Vous aimez le violet ?
line:ef052302	Do you like purple?	Vous aimez le violet ?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	Tu fais jouir les grands dragons, <size=60%>comme moi, <size=100%>ici ?
line:ec64a696	Do you mind double checking if I'm clean?	Tu peux vérifier encore une fois si je suis propre ?
line:647187f1	Do you want to say what happened...?	Tu veux raconter ce qui s'est passé... ?
line:807df02d	Do you want to use it?	Vous voulez l'utiliser ?
line:5c42b85a	Doesn't mean I need to yell at you.	C'est pas une raison pour te crier dessus.
line:eefa8ae2	Don't be sorry! Get a mount!	T'excuse pas ! Achète un chevalet !
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	Ne t'inquiète pas, les dragons sont faits pour manger de tout.
line:b90b01a9	Don't worry, he's real nice.	Ne t'inquiète pas, il est vraiment gentil.
line:7de2a81c	Don't worry. I will.	T'inquiète. Je le ferai.
line:c29d4071	Don't... make it sound like that.	Ne... dis pas ça comme ça.
line:31bdd33c	Dont talk with your mouth full	Parle pas la bouche pleine.
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	L'histoire des dragons est complexe. Les emblèmes ornementaux <size=85%> sont souvent <size=70%> portés par les dragons pour <size=55%>indiquer leur famille ! <size=40%> C'est un témoignage intéressant de leur héritage culturel <size=35%> et familial. Je me demande souvent si je devrais continuer à porter le mien. <size=20%> Mais les liens culturels et familiaux sont jugés importants dans les traditions draconiques ! Je me dois donc de les respecter. <size=10%> L'Eau. La Terre. Le Feu. L'Air. Jadis, les quatre nations vivaient en harmonie. Mais tout a changé lorsque la Nation du Feu a attaqué.
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	Les estomacs des dragons sont un peu plus... robustes que le tien.
line:7e352505	Dragons of the galaxy 2	Les Dragons de la galaxie 2.
line:c2c659d1	Eep!	Aah !
line:0bd1699e	Ehh..	Euh...
line:43dd32f5	Er... That's not-	Euh... C'est pas...
line:93b60dce	Even so. Not this time	Malgré tout, pas cette fois.
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	Même si tu faisais juste ton travail... Je crois que ça lui a fait beaucoup de bien.
line:a2ba222e	Evening. This establishment takes walk ins, correct?	Bonsoir. Cet établissement reçoit sans rendez-vous, n'est-ce pas ?
line:f98c3b6c	Every ending here is special!	Ici, toutes nos finitions sont spéciales !
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	Tout mage qui se respecte garde une plume de phénix à portée de main.
line:57df700d	Everyone's gaze carries an immense weight.	Le regard de chacun est terriblement lourd.
line:9ad8d2dd	Excellent!	Excellent !
line:0c997163	Excellent.	Excellent.
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	Excellent. Alors, pense à aller saluer ton client à la fenêtre.
line:7bbe7ee3	Expectations are laaaame.	Les attentes des autres, c'est nuuul.
line:f99eb2ff	Ey! The mount! Fuck yeah.	Hé ! Le chevalet ! Putain, oui.
line:d376acb9	Ey, so. Was thinkin'	Hé, alors. Je me disais...
line:85ec0862	Ey, sorry for coming in late.	Hé, désolé de venir tard.
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	Hé, sers-toi de tes mains sur ma queue, ça fait du bien !
line:271a3846	Fair enough. I'll be waiting!	Très bien. Je vous attends !
line:4789095b	Fair enough. You two do seem cute together.	D'accord. Vous avez l'air mignons ensemble.
line:f5b37855	Felt good sliding down though!	Mais c'était agréable à avaler !
line:274367d7	Figured I'd bring in something nice after all you've done.	Je me suis dit que je pouvais apporter un petit plaisir après tout ce que tu as fait.
line:aae8afca	Fine with me!	Ça me va !
line:e98616be	For you!	Pour toi !
line:62a82aba	Found this one gryphon. About my size...	J'ai rencontré un griffon. À peu près de ma taille...
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	D'après ce que j'entends, il a fait beaucoup de progrès récemment, non ?
line:803bf378	Fuck man, I'm so pumped.	Putain, j'ai trop hâte.
line:f2418086	Fuck no! Shit's embarrassing.	Putain, non ! J'ai trop honte.
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	Baiser un truc et, avec un peu de chance, me faire branler après.
line:203bce10	Fuuuck. You really know how to work a dragon!	Putaiiin. Tu sais vraiment comment t'y prendre avec un dragon !
line:f7f9b0db	G'day mate!	Salut, mon pote !
line:664c994e	Gave me time to think.	Tu m'as laissé le temps de réfléchir.
line:1d9b3531	Get a handjob and fuck this mount.	Me faire branler et baiser ce chevalet.
line:48afdce4	Give it to me!	Donne-moi tout !
line:9df043ad	Give me a bit	Laisse-moi un moment.
line:e5c7f64a	Glad I'm here to remind you then.	Heureusement que je suis là pour te le rappeler, alors.
line:354170aa	Go for it!	Allez-y !
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	Je vais en ville ce soir. Faut que je sois impeccable. Dis...
line:dcb506d2	Good as!	Nickel !
line:bcbc6373	Good evening!	Bonsoir !
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	Bien. Le Collège communautaire de thaumaturgie de Burnswick ne doit surtout pas apprendre que son meilleur professeur, Alexander, a provoqué un nouvel incident.
line:12b72085	Good, you better. If I come back and there isn't one...	Bien, t'as intérêt. Si je reviens et qu'il y en a pas...
line:2c851dad	Good.	Bien.
line:2712436c	Good. 'Aight, let me out.	Bien. Allez, fais-moi sortir.
line:bab51ada	Good... That'd be correct.	Bien... Oui, c'est le mot.
line:44f2b8cf	Goodbye!	Au revoir !
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	Bonté divine, grâce à vous, je peux encore sauver la situation.
line:745c3c12	Gosh!	Oh là là !
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	Faut bien que je <i>m'entraîne</i> pour Ryan, si tu vois ce que je veux dire.
line:e3cef2bc	Gotta make sure you're spotless!	Il faut que tu sois impeccable !
line:b01b2159	Great, so uh,	Super, alors, euh,
line:43c94954	Grouse as! Excited to see you work!	Trop bien ! J'ai hâte de te voir à l'œuvre !
line:9de16ee9	Ha!	Ha !
line:88d7e1e2	Haah. This is the best fuckin' wash.	Haaah. C'est vraiment le meilleur putain d'établissement.
line:cc6e7856	Hah! There's the mount!	Ha ! Le voilà, ce chevalet !
line:90dd6d9d	Hah, eager as always.	Ha, toujours aussi enthousiaste.
line:9542e7a6	Hah, good. Let's break this thing in!	Ha, bien. On va l'inaugurer !
line:fe21109b	Hah, he seems like the wild type.	Ha, il semble effectivement assez fougueux.
line:e8bc1d95	Hah, I imagine it would be.	Ha, j'imagine.
line:acbf628d	Hah, it is a motivator.	Ha, c'est une motivation.
line:65b23418	Hah, okay. I'm game.	Ha, d'accord. Je suis partant.
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	Ha, oui. Conrad a clairement de l'expérience...
line:8b878971	Hah, yeah. He sounds fun.	Ha, oui. Il a l'air sympa.
line:e3ed51d9	Hah. Conrad, you look good too.	Ha. Toi aussi, tu es beau, Conrad.
line:f8b2e23b	Hah. Fine.	Ha. D'accord.
