# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Hey, großer Hund.
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> Ich kenne einen Drachen namens Ryan. Soll ich euch bekannt machen? </b></gradient><size=70%>(Schaltet Conrad/Ryan ODER eine Romanze mit Ryan frei)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> Ich hätte nichts gegen etwas gemeinsame Zeit... </b></gradient><size=70%> (Schaltet die Romanze mit Conrad frei)
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> Sehr gern! </b></gradient><size=70%> (Führt zur Romanze mit Alexander!)
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> Heute Abend habe ich leider keine Zeit. </b></gradient><size=70%> (Führt zu keiner Romanze!)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>Mir fällt gerade niemand ein.</b></gradient><size=70%> (Legt die Romanze mit Conrad fest!)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>Ich kenne einen roten Drachen. Der würde dir bestimmt gefallen! </b></gradient><size=70%> (Bringt Ryan und Conrad zusammen!)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>Oh. Ähm. <size=70%> Ich hätte nichts dagegen... wenn ich dieser Jemand wäre. </b></gradient><size=70%> (Legt die Romanze mit Ryan fest!)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>Hier wird gewaschen, oder?
line:c777ce0c	<i> that feels nice...</i>	<i>Das fühlt sich schön an...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>Oh je... und die Bücher.
line:d67b1098	<i>I like spraying you with water.	<i>Ich spritze dich gerne mit Wasser ab.
line:ad5d633a	<i>Oh...	<i>Oh...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>Oh.</i> Dazu bin ich wohl noch nicht bereit.
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>Ooooh. </i>Der Bock? Na klar, Mann!
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	An <i>dem hier</i> bist du nicht schuld, Conrad.
line:72b244b7	<size=100%> That felt damn good!	<size=100%> Das war verdammt geil!
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>Ich meine... Cool.
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%> FUCK, JA!
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>HEY, <size=100%>ich brauche eine Wäsche.
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>GEIL, MANN!
line:f5462edf	<size=60%> that's hot.	<size=60%> Das ist heiß.
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%> Ein großer Drache überlässt mir die Kontrolle. Wow.
line:53d71f27	<size=70%> And for me.	<size=70%> Und für mich.
line:4fe271cc	<size=70%> woah.	<size=70%> Wow.
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i> Heilige Scheiße, ich habe gerade ein Date mit einem Drachen klargemacht.
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>Aber angenehm... Danke.
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>Fahren Sie ruhig fort...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>Oh...</i> Nein, das finde ich sogar richtig schön.
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>Wow...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>Ja?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>Sie stehen weiterhin auf meiner Gehaltsliste.
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	Vor ein paar Tagen...
line:c570a462	A rather good excuse to see my favorite kobold.	Ein recht guter Vorwand, meinen liebsten Kobold zu besuchen.
line:5d2d16e0	A really good friend?	Ein richtig guter Freund bist?
line:df4d3810	About earlier.	Wegen vorhin.
line:1a5e1ba4	Act what way?	Wie denn?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	Nach seiner plötzlichen Entzündung habe ich ihm etwas Privatsphäre gegönnt.
line:a983ffa3	Again...?	Schon wieder...?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	Da stimme ich zu. Trotzdem würde ich gerne baldmöglichst hereinkommen.
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	Ah ja, genau so... Mach weiter.
line:e216aee0	Ah, good.	Ah, gut.
line:9b26ac5f	Ah, I see the button there, gotcha!	Ah, da ist ja der Knopf. Verstanden!
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	Ah, Verzeihung. Bei solchen Themen gerate ich ins Schwärmen.
line:bf2a8309	Ah, the grime did sting a little, thank you.	Ah, der Schmutz hat etwas gebrannt. Vielen Dank.
line:ebdb9888	Ah, yeah, those types are pretty cute.	Ach ja, solche Typen sind ziemlich süß.
line:b920f205	Ah. Do not worry.	Ach. Machen Sie sich keine Sorgen.
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	Ah, okay. Dann nehme ich die Entschuldigung zurück.
line:6de2c490	Ah...	Ah...
line:4d6b365e	Ahh, all cleaned and with a lighter load.	Ahh, sauber und eine Ladung leichter.
line:20f96302	Alexander!	Alexander!
line:f167e3d7	Alexander!	Alexander!
line:fe3996b8	Alexander!	Alexander!
line:af7db134	Alexander...?	Alexander...?
line:eb7cf9e5	All clean...	Ganz sauber...
line:f57fc630	All done!	Fertig!
line:0b734d82	All self respecting washers know how to please a dragon.	Jeder vernünftige Wäscher weiß doch, wie man einen Drachen verwöhnt.
line:599ffb25	Already got seats at that bar I mentioned earlier.	In der Bar, die ich erwähnt habe, sind schon Plätze reserviert.
line:642ddea3	Alright alright... Then I think I'd like to use it?	Gut, gut... Dann würde ich ihn wohl gerne benutzen?
line:c7b3a185	Alright! I'll go get the gate.	Alles klar! Ich öffne das Tor.
line:7279121a	Alright! I'll go get you the gate.	Alles klar! Ich öffne Ihnen das Tor.
line:4fc4259c	Alright! I'm ready to go.	Okay! Ich kann los.
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	Okay, öffne das Tor, dann gehe ich schon mal hin!
line:d04df8f8	Alright, I'll cya!	Alles klar, bis dann!
line:4766af08	Alrighty! That should be it.	So! Das sollte alles gewesen sein.
line:797ca540	Alrighty. All clean.	Na also. Alles sauber.
line:c4cb161a	Although grapes have always hit a specific craving.	Aber auf Trauben hatte ich schon immer einen besonderen Appetit.
line:dc237557	Although, the portions might be a bit... dragon sized.	Allerdings sind die Portionen vielleicht ein bisschen... drachengroß.
line:655b8c01	Always happy to have you, Conrad.	Du bist mir immer willkommen, Conrad.
line:afedd1f5	An anomaly.	Eine Anomalie.
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	Gut, dass du einen Verbandskasten hast... Du bist echt vorbereitet.
line:0699aef9	And I'm really happy for you and Conrad.	Und ich freue mich wirklich für dich und Conrad.
line:a3a26459	And not just physically.	Und das nicht nur körperlich.
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	Deshalb bin ich hier! Nach der Wäsche gehe ich ihn treffen.
line:33440e8c	And why you are perfect for this job!	Und deshalb sind Sie perfekt für diese Aufgabe!
line:cacb93ce	And you've tried everything.	Und man schon alles versucht hat.
line:8cae6240	Another dragon? Usually I don't really get along...	Noch ein Drache? Mit denen komme ich meistens nicht so gut klar...
line:5a7e4fd4	Any chance you can clean me up again?	Könntest du mich vielleicht noch mal waschen?
line:92d2a30a	Anything. I'm just curious.	Irgendetwas. Ich bin nur neugierig.
line:52695aa2	Anything?	Alles?
line:8ead9ee9	Anytime, Ryan.	Jederzeit, Ryan.
line:6d77feef	Anyway glad you're not finished, lets keep at it!	Jedenfalls gut, dass du noch nicht fertig bist. Machen wir weiter!
line:bdb4f59c	Anyway, time to get writing!	Wie auch immer, Zeit zum Schreiben!
line:75dd56ae	Anyways,	Jedenfalls...
line:8980260e	Anyways-	Jedenfalls...
line:a8e6291c	Anyways- Let me out.	Wie auch immer, lass mich raus.
line:493a82ef	Anyways. Could you go get the gate?	Also, machst du das Tor auf?
line:926f5f41	Anyways. Gonna use this thing now!	Jedenfalls benutze ich das Ding jetzt!
line:ad8ab02e	Anyways...	Wie auch immer...
line:e767dc51	Anywho, I'll get out of your scales now.	Nun denn, ich lasse Sie jetzt in Ruhe.
line:e81426c1	Anywho, I'm in need of a clean.	Wie dem auch sei, ich brauche eine Wäsche.
line:23e7d518	Approach the dragon entrance, and I will let you in.	Kommen Sie zum Dracheneingang, dann lasse ich Sie hinein.
line:72a9b5bb	Are you happy?	Sind Sie glücklich?
line:be0118cc	Are you okay?	Geht's dir gut?
line:de735c65	Are you open right now?	Haben Sie gerade geöffnet?
line:9369755d	Are you sure it will fit?	Bist du sicher, dass das passt?
line:c35b717a	Are you sure...? In front of the food?	Bist du sicher...? Hier beim Essen?
line:cb06d2bf	As am I.	Das geht mir ebenso.
line:9a48b21c	As in you're unique.	Ich meine damit: einzigartig.
line:1c021ee0	At getting hand jobs.	Darin, mir einen runterholen zu lassen.
line:e861b464	At least that's what I've heard anyway.	So habe ich es zumindest gehört.
line:2f54ceec	At least you can still use your hands. Heh.	Wenigstens kannst du noch deine Hände benutzen. Hehe.
line:cb04e062	At least you can still use your hands. Heh.	Wenigstens kannst du noch deine Hände benutzen. Hehe.
line:97792929	Aw, I'll go get you the gate.	Ach, ich mache dir auf.
line:c6895517	Aw, Ryan.	Ach, Ryan.
line:db997182	Aw, thank you Alexander.	Ach, danke, Alexander.
line:7157db26	Aw, thanks Alexander.	Ach, danke, Alexander.
line:011f1458	Aw, thanks.	Ach, danke.
line:aea0be6b	Aw, thanks.	Ach, danke.
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	Ach, danke. Dass ich so gut aussehe, liegt nur an deinen Wäschen!
line:453ff9be	Aw- Ryan...	Ach, Ryan...
line:5340a315	Aw... Thanks!	Ach... Danke!
line:c6202cf2	Aw... Thanks.	Ach... Danke.
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	Ach... Danke. Ist es komisch, dass du für mich...
line:2bfa396c	Aw... That's really sweet	Ach... Das ist wirklich lieb.
line:22053f7f	Awesome!	Klasse!
line:6fdb2c3d	Awesome!	Klasse!
line:70306ba1	Awesome!	Klasse!
line:6126a614	Awesome! Come on in..	Super! Komm rein..
line:e85007ac	Awesome! See you later then!	Super! Dann bis später!
line:4c7f15d6	Awesome, I'll go get the gate.	Klasse, ich öffne das Tor.
line:9d126e4e	Awesome, I'm glad.	Super, das freut mich.
line:b60cc4a5	Awesome.	Super.
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	Ach! Um Hallo zu sagen, müssen Sie sich nicht mit Tinte beschmieren!
line:8e20e028	Be yourself!	Sei du selbst!
line:cd18f73f	Been looking forward to this.	Darauf habe ich mich schon gefreut.
line:8f1fccf9	Being muddy is really fun up until it starts drying.	Schlammig zu sein macht Spaß, bis der Schlamm trocknet.
line:40783547	Berries.	Beeren.
line:59d4be6a	Berries.	Beeren.
line:61e781c1	Berries.	Beeren.
line:18ae08ef	Bet you had fun.	Ihr hattet bestimmt Spaß.
line:982fd3c7	big C...?	Den großen C...?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	Die Biologie...? <size=70%> <i>Glaube ich?
line:9be63f47	Bleh. Thank you for grabbing that.	Bäh. Danke fürs Abnehmen.
line:66957ed2	Blue...?	Ein blaues...?
line:a77c3afd	Both.	Beides.
line:78975048	Brrr! Cold water!	Brrr! Kaltes Wasser!
line:8487a2c4	Burnswick Community College of Thaumaturgy	Burnswick Community College für Thaumaturgie.
line:f75126de	But honestly you've helped me a lot.	Aber ehrlich, du hast mir sehr geholfen.
line:cab69268	But I already know I'm liking this a lot.	Aber ich weiß jetzt schon, dass mir das sehr gefällt.
line:d9534386	But I know the type... They tend to be big softies on the inside.	Aber ich kenne solche Typen... Im Innern sind sie meistens ganz weich.
line:f73ddfbc	But I think its time to get cleaned up.	Aber jetzt sollte ich mich wohl saubermachen lassen.
line:088ea4a7	But I'm hot shit, so I'll be fine.	Aber ich bin schließlich der Hammer. Wird schon.
line:c8f8bc22	But I'm only your washer?	Aber ich bin doch nur Ihr Wäscher?
line:dda0419b	But I'm sure I'd enjoy it with you!	Aber mit dir würde er mir bestimmt gefallen!
line:aa74448a	But not in this sized package, right??	Aber nicht an jemandem in meiner Größe, oder??
line:7d9ffc48	But nothing beats a large gulp!	Aber nichts geht über einen großen Schluck!
line:d1ec7684	But that is why I am here!	Aber dafür bin ich schließlich hier!
line:b0d9d1e5	But you're the teacher dragon.	Aber Sie sind doch der Lehrerdrache.
line:2d7e1ab6	But, at least I got to meet you!	Aber immerhin habe ich dich kennengelernt!
line:b7f46902	But, I think you've taught me something.	Aber ich glaube, Sie haben mir etwas beigebracht.
line:b1040415	By the stars! No no. You're excellent.	Bei den Sternen! Nein, nein. Sie sind ausgezeichnet.
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	Übrigens, wärst du sauer, wenn deine bessere Hälfte zu Hause eine Sauerei macht?
line:4199070f	Came in for another wash.	Bin für eine weitere Wäsche da.
line:105cd3e2	Can I ask you a question?	Darf ich dich etwas fragen?
line:535ee717	Can you repeat that?	Können Sie das wiederholen?
line:835e0c27	Can't sthpeak well.	Kann niff gut fprechen.
line:afa450c0	Come back whenever, Ryan.	Komm wieder, wann immer du möchtest, Ryan.
line:0cedfc3d	Conrad can go as long as he needs	Conrad hält so lange durch, wie er muss.
line:5462913f	conrad hooked up with ryan	Conrad ist mit Ryan zusammengekommen.
line:61cd33c5	conrad hooked up with ryan	Conrad ist mit Ryan zusammengekommen.
line:6a7610f3	conrad hooked up with ryan	Conrad ist mit Ryan zusammengekommen.
line:bac1ce29	conrad hooked up with ryan	Conrad ist mit Ryan zusammengekommen.
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	Conrad braucht eine Wäsche. Hast du einen Termin für ihn?
line:405b7ef1	Conrad needs a wash!	Conrad muss gewaschen werden!
line:803c8f0c	Conrad was talking about you during our date.	Conrad hat während unseres Dates über dich geredet.
line:f1787092	Conrad!	Conrad!
line:fd6c6213	Conrad!	Conrad!
line:484cd04d	Conrad...?	Conrad...?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: Eigentlich... Ich meine...
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: Conrad hat einfach seinen Spaß.
line:fbe86c06	Conrad: Damn right!	Conrad: Verdammt richtig!
line:5660dc8b	Conrad: Don't worry about it!	Conrad: Mach dir keinen Kopf!
line:c050dbfc	Conrad: I do it all the time	Conrad: Ich mach das ständig.
line:cd3367da	Conrad: I want this to go well	Conrad: Ich will, dass das hier gut läuft.
line:194c1381	Conrad: I'm ready to blow	Conrad: Ich bin gleich so weit.
line:ce4d0fef	Conrad: Yea	Conrad: Ja.
line:42c70daa	Conrad: You feel good	Conrad: Du fühlst dich gut an.
line:3bc52918	Conrad: You having a good time?	Conrad: Gefällt's dir?
line:be0e51af	Cool.	Cool bin.
line:88c36bc7	Could do that, then get a hotel room... Hmm.	Wir könnten erst dorthin und dann ein Hotelzimmer nehmen... Hm.
line:b99e1503	Could you ask <i>me</i> a question?	Könnten Sie <i>mir</i> eine Frage stellen?
line:12bf5baf	Could you get the gate...?	Könnten Sie das Tor öffnen...?
line:3a6afae1	Could you go get the gate?	Kannst du das Tor aufmachen?
line:9f49d9d4	Could you wash it away?	Kannst du sie abspülen?
line:7661a0e9	D'aw... thanks.	Ach... Danke.
line:59bc5840	Damn right I do!	Aber so was von!
line:64889395	Damn right!	Verdammt, ja!
line:95aa0bf4	Damn right!	Und ob!
line:db592d76	Damn right!	Verdammt, ja!
line:0fcf9908	Damn right.	Aber sicher.
line:b964c99b	Damn shame then. Better change that.	Verdammt schade. Solltest du ändern.
line:c6955ecc	Damn, you know how to use your hands.	Verdammt, du kannst mit deinen Händen umgehen.
line:eaf45022	Damn, you know how to use your hands.	Verdammt, du kannst mit deinen Händen umgehen.
line:684fb29a	Damn... Always feels good.	Verdammt... Fühlt sich immer gut an.
line:7023cc94	DATE NIGHT!	ZEIT FÜRS DATE!
line:c71df70b	Date night!	Zeit fürs Date!
line:b57cc8ad	Depends	Kommt drauf an.
line:07bd7f57	Did you do your uh...	Hast du heute deine, äh...
line:4f38655d	Do I look like I'm okay?	Sehe ich aus, als ginge es mir gut?
line:8147156a	Do it!	Tu's!
line:9ab6ddfb	Do you also do "special endings" here?	Gibt's hier auch ein Happy End?
line:4c90479c	Do you ask because I'm lavender?	Fragen Sie wegen meiner lavendelfarbenen Schuppen?
line:3020c97c	Do you believe I am attractive?	Finden Sie mich attraktiv?
line:c5e71850	Do you even need a wash?	Brauchst du überhaupt eine Wäsche?
line:1810e75f	Do you have any advice?	Hast du einen Rat?
line:6be807b5	Do you have any plans with ryan?	Hast du schon Pläne mit Ryan?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	Kennst du coole Orte oder Leute, mit denen man was unternehmen kann?
line:412ba249	Do you know any good bars?	Kennst du gute Bars?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	Kennst du jemanden, mit dem ich reden könnte? Also... über Beziehungssachen?
line:21c0526b	Do you like being big?	Sind Sie gerne groß?
line:daa040eb	Do you like purple?	Mögen Sie Lila?
line:ef052302	Do you like purple?	Mögen Sie Lila?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	Bringt ihr große Drachen, <size=60%>so wie mich, <size=100%>hier zum Abspritzen?
line:ec64a696	Do you mind double checking if I'm clean?	Kannst du noch mal nachsehen, ob ich sauber bin?
line:647187f1	Do you want to say what happened...?	Magst du erzählen, was passiert ist...?
line:807df02d	Do you want to use it?	Möchten Sie ihn benutzen?
line:5c42b85a	Doesn't mean I need to yell at you.	Deshalb muss ich dich nicht anschreien.
line:eefa8ae2	Don't be sorry! Get a mount!	Nicht entschuldigen! Einen Bock besorgen!
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	Keine Sorge, Drachen können alles fressen.
line:b90b01a9	Don't worry, he's real nice.	Keine Sorge, er ist wirklich nett.
line:7de2a81c	Don't worry. I will.	Keine Sorge, mache ich.
line:c29d4071	Don't... make it sound like that.	Lass es doch nicht... so klingen.
line:31bdd33c	Dont talk with your mouth full	Nicht mit vollem Mund reden.
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	Die Geschichte der Drachen ist komplex. Solche Wappen <size=85%> tragen Drachen <size=70%> häufig, um <size=55%>ihre Familienzugehörigkeit zu zeigen! <size=40%> Ein interessantes Zeichen ihres kulturellen <size=35%> und familiären Erbes. Ich habe mich oft gefragt, ob ich meines weiterhin tragen sollte. <size=20%> Doch kulturelle und familiäre Bindungen gelten in der Überlieferung der Drachen als wichtig! Daher muss ich mich danach richten. <size=10%> Wasser. Erde. Feuer. Luft. Vor langer Zeit lebten die vier Nationen in Harmonie zusammen. Doch dann erklärte die Feuernation den Krieg, und alles änderte sich.
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	Drachenmägen sind etwas... widerstandsfähiger als deiner.
line:7e352505	Dragons of the galaxy 2	Drachen der Galaxis 2
line:c2c659d1	Eep!	Iep!
line:0bd1699e	Ehh..	Äh...
line:43dd32f5	Er... That's not-	Äh... Das ist nicht...
line:93b60dce	Even so. Not this time	Trotzdem. Diesmal nicht.
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	Auch wenn du nur deine Arbeit gemacht hast... Es hat ihm sehr geholfen.
line:a2ba222e	Evening. This establishment takes walk ins, correct?	Guten Abend. Kann man Ihr Etablissement ohne Termin aufsuchen?
line:f98c3b6c	Every ending here is special!	Bei uns ist jedes Ende besonders!
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	Jeder vernünftige Magier hat eine Phönixfeder griffbereit.
line:57df700d	Everyone's gaze carries an immense weight.	Die Blicke aller anderen lasten so schwer auf mir.
line:9ad8d2dd	Excellent!	Großartig!
line:0c997163	Excellent.	Ausgezeichnet.
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	Ausgezeichnet. Begrüßen Sie Ihren Kunden dann bitte am Fenster.
line:7bbe7ee3	Expectations are laaaame.	Erwartungen sind so ääätzend.
line:f99eb2ff	Ey! The mount! Fuck yeah.	Hey! Der Bock! Fuck, ja.
line:d376acb9	Ey, so. Was thinkin'	Hey, ich hab mir überlegt...
line:85ec0862	Ey, sorry for coming in late.	Hey, sorry, dass ich so spät komme.
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	Hey, bearbeite meinen Schwanz mit den Händen. Das ist geil!
line:271a3846	Fair enough. I'll be waiting!	Verstanden. Ich warte!
line:4789095b	Fair enough. You two do seem cute together.	Verstehe. Ihr passt wirklich gut zusammen.
line:f5b37855	Felt good sliding down though!	Aber das Runterrutschen war schön!
line:274367d7	Figured I'd bring in something nice after all you've done.	Nach allem, was du getan hast, wollte ich dir etwas Gutes tun.
line:aae8afca	Fine with me!	Für mich ist das in Ordnung!
line:e98616be	For you!	Für dich!
line:62a82aba	Found this one gryphon. About my size...	Habe einen Greif kennengelernt. Ungefähr so groß wie ich...
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	Was man so hört, scheint er sich zuletzt sehr gebessert zu haben, oder?
line:803bf378	Fuck man, I'm so pumped.	Scheiße, Mann, ich freue mich so.
line:f2418086	Fuck no! Shit's embarrassing.	Fuck, nein! Das ist peinlich.
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	Was zu ficken und hoffentlich danach einen runtergeholt zu kriegen.
line:203bce10	Fuuuck. You really know how to work a dragon!	Fuuuck. Du weißt wirklich, wie man einen Drachen verwöhnt!
line:f7f9b0db	G'day mate!	Moin, Kumpel!
line:664c994e	Gave me time to think.	Mir Zeit zum Nachdenken gegeben.
line:1d9b3531	Get a handjob and fuck this mount.	Einen runtergeholt zu kriegen und diesen Bock zu ficken.
line:48afdce4	Give it to me!	Gib's mir!
line:9df043ad	Give me a bit	Gib mir noch einen Moment.
line:e5c7f64a	Glad I'm here to remind you then.	Gut, dass ich dich daran erinnere.
line:354170aa	Go for it!	Nur zu!
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	Ich gehe heute in die Innenstadt. Muss blitzblank sein. Sag mal...
line:dcb506d2	Good as!	Prima!
line:bcbc6373	Good evening!	Guten Abend!
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	Gut. Das Burnswick Community College für Thaumaturgie darf keinesfalls erfahren, dass sein bester Professor Alexander wieder einen Zwischenfall verursacht hat.
line:12b72085	Good, you better. If I come back and there isn't one...	Gut, wehe wenn nicht. Wenn ich wiederkomme und keiner da ist...
line:2c851dad	Good.	Gut.
line:2712436c	Good. 'Aight, let me out.	Gut. Dann lass mich raus.
line:bab51ada	Good... That'd be correct.	Gut... Ja, das trifft es.
line:44f2b8cf	Goodbye!	Auf Wiedersehen!
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	Gütiger Himmel, dank Ihnen lässt sich die Situation vielleicht noch retten.
line:745c3c12	Gosh!	Meine Güte!
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	Muss für Ryan <i>üben</i>, wenn du verstehst, was ich meine.
line:e3cef2bc	Gotta make sure you're spotless!	Du musst schließlich blitzblank sein!
line:b01b2159	Great, so uh,	Super, also, äh,
line:43c94954	Grouse as! Excited to see you work!	Sau gut! Bin gespannt, was du draufhast!
line:9de16ee9	Ha!	Ha!
line:88d7e1e2	Haah. This is the best fuckin' wash.	Haah. Das ist die verdammt beste Waschanlage.
