# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Ehi, cagnone.
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>Ooooh. </i>Il cavalletto? Cazzo, sì, amico.
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	<i>Questo</i> non è colpa tua, Conrad.
line:72b244b7	<size=100%> That felt damn good!	<size=100%> È stato una goduria!
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>Cioè... Forte.
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%> CAZZO, SÌ!
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>EHI, <size=100%>sono qui per una lavata.
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>CAZZO, SÌ!
line:f5462edf	<size=60%> that's hot.	<size=60%>Che sexy.
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>Un drago grosso che mi cede il controllo. Wow.
line:53d71f27	<size=70%> And for me.	<size=70%> E per me.
line:4fe271cc	<size=70%> woah.	<size=70%>Wow.
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>Porca miseria, ho appena rimediato un appuntamento con un drago.
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>Ma piacevole... La ringrazio.
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>Continui pure...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>Oh...</i> No, anzi, mi fa davvero piacere.
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>Wow...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>Ah sì?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>Sono ancora sul mio libro paga.
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	Qualche giorno fa...
line:c570a462	A rather good excuse to see my favorite kobold.	Un'ottima scusa per vedere il mio coboldo preferito.
line:5d2d16e0	A really good friend?	Un ottimo amico?
line:df4d3810	About earlier.	Riguardo a prima.
line:1a5e1ba4	Act what way?	Comportarti come?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	Dopo la sua combustione spontanea, mi sono assicurato di lasciargli un po' di riservatezza.
line:a983ffa3	Again...?	Ancora...?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	Concordo. Però vorrei comunque entrare appena le è possibile.
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	Ah sì, proprio così... Continua.
line:e216aee0	Ah, good.	Ah, bene.
line:9b26ac5f	Ah, I see the button there, gotcha!	Ah, vedo il pulsante laggiù. Capito!
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	Ah, mi scusi. Sono argomenti che mi appassionano.
line:bf2a8309	Ah, the grime did sting a little, thank you.	Ah, quella sporcizia bruciava un po'. La ringrazio.
line:ebdb9888	Ah, yeah, those types are pretty cute.	Ah, sì. Quelli così sono proprio carini.
line:b920f205	Ah. Do not worry.	Ah. Non si preoccupi.
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	Ah. Va bene, allora ritiro le scuse.
line:6de2c490	Ah...	Ah...
line:4d6b365e	Ahh, all cleaned and with a lighter load.	Ahh, tutto pulito e con il carico alleggerito.
line:20f96302	Alexander!	Alexander!
line:f167e3d7	Alexander!	Alexander!
line:fe3996b8	Alexander!	Alexander!
line:af7db134	Alexander...?	Alexander...?
line:eb7cf9e5	All clean...	Tutto pulito...
line:f57fc630	All done!	Finito!
line:0b734d82	All self respecting washers know how to please a dragon.	Ogni lavadraghi che si rispetti sa come soddisfare un drago.
line:599ffb25	Already got seats at that bar I mentioned earlier.	Ho già prenotato i posti nel bar di cui ti parlavo.
line:642ddea3	Alright alright... Then I think I'd like to use it?	Va bene, va bene... Allora credo che mi piacerebbe usarlo?
line:c7b3a185	Alright! I'll go get the gate.	Va bene! Vado ad aprire il cancello.
line:7279121a	Alright! I'll go get you the gate.	Va bene! Le apro il cancello.
line:4fc4259c	Alright! I'm ready to go.	Va bene! Sono pronto ad andare.
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	Va bene, apri il cancello e io raggiungo il posto!
line:d04df8f8	Alright, I'll cya!	Va bene, ci vediamo!
line:4766af08	Alrighty! That should be it.	Bene! Dovrebbe essere tutto.
line:797ca540	Alrighty. All clean.	Ecco fatto. Tutto pulito.
line:c4cb161a	Although grapes have always hit a specific craving.	Però l'uva ha sempre soddisfatto una voglia particolare.
line:dc237557	Although, the portions might be a bit... dragon sized.	Però le porzioni potrebbero essere un po'... a misura di drago.
line:655b8c01	Always happy to have you, Conrad.	Sei sempre il benvenuto, Conrad.
line:afedd1f5	An anomaly.	Un'anomalia.
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	E meno male che hai una cassetta del pronto soccorso... Sei ben attrezzato.
line:0699aef9	And I'm really happy for you and Conrad.	E sono davvero felice per te e Conrad.
line:a3a26459	And not just physically.	E non solo fisicamente.
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	Ed è per questo che sono qui! Dopo il lavaggio vado a incontrarlo.
line:33440e8c	And why you are perfect for this job!	Ed è per questo che lei è perfetto per questo lavoro!
line:cacb93ce	And you've tried everything.	E hai provato di tutto...
line:8cae6240	Another dragon? Usually I don't really get along...	Un altro drago? Di solito non vado molto d'accordo...
line:5a7e4fd4	Any chance you can clean me up again?	Riusciresti a ripulirmi un'altra volta?
line:92d2a30a	Anything. I'm just curious.	Qualsiasi cosa. Sono solo curioso.
line:52695aa2	Anything?	Qualsiasi cosa?
line:8ead9ee9	Anytime, Ryan.	Quando vuoi, Ryan.
line:6d77feef	Anyway glad you're not finished, lets keep at it!	Comunque, sono contento che tu non abbia finito. Continuiamo!
line:bdb4f59c	Anyway, time to get writing!	Comunque, è ora di mettersi a scrivere!
line:75dd56ae	Anyways,	Comunque,
line:8980260e	Anyways-	Comunque...
line:a8e6291c	Anyways- Let me out.	Comunque... Fammi uscire.
line:493a82ef	Anyways. Could you go get the gate?	Comunque. Mi apriresti il cancello?
line:926f5f41	Anyways. Gonna use this thing now!	Comunque. Adesso uso questo coso!
line:ad8ab02e	Anyways...	Comunque...
line:e767dc51	Anywho, I'll get out of your scales now.	Comunque, adesso la lascio al suo lavoro.
line:e81426c1	Anywho, I'm in need of a clean.	Comunque, avrei bisogno di una ripulita.
line:23e7d518	Approach the dragon entrance, and I will let you in.	Si avvicini all'ingresso per i draghi e la farò entrare.
line:72a9b5bb	Are you happy?	È felice?
line:be0118cc	Are you okay?	Stai bene?
line:de735c65	Are you open right now?	È aperto in questo momento?
line:9369755d	Are you sure it will fit?	Sei sicuro che entri?
line:c35b717a	Are you sure...? In front of the food?	Sei sicuro...? Davanti al cibo?
line:cb06d2bf	As am I.	Anch'io.
line:9a48b21c	As in you're unique.	Nel senso che è unico.
line:1c021ee0	At getting hand jobs.	A farmi fare le seghe.
line:e861b464	At least that's what I've heard anyway.	Almeno, è quello che ho sentito dire.
line:2f54ceec	At least you can still use your hands. Heh.	Almeno puoi ancora usare le mani. Eh.
line:cb04e062	At least you can still use your hands. Heh.	Almeno puoi ancora usare le mani. Eh.
line:97792929	Aw, I'll go get you the gate.	Oh, vado ad aprirti il cancello.
line:c6895517	Aw, Ryan.	Oh, Ryan.
line:db997182	Aw, thank you Alexander.	Oh, grazie, Alexander.
line:7157db26	Aw, thanks Alexander.	Oh, grazie, Alexander.
line:011f1458	Aw, thanks.	Oh, grazie.
line:aea0be6b	Aw, thanks.	Oh, grazie.
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	Oh, grazie. Sono così bello solo grazie ai tuoi lavaggi!
line:453ff9be	Aw- Ryan...	Oh, Ryan...
line:5340a315	Aw... Thanks!	Oh... Grazie!
line:c6202cf2	Aw... Thanks.	Oh... Grazie.
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	Oh... Grazie. È strano se ti considero...
line:2bfa396c	Aw... That's really sweet	Oh... È davvero dolce.
line:22053f7f	Awesome!	Fantastico!
line:6fdb2c3d	Awesome!	Fantastico!
line:70306ba1	Awesome!	Fantastico!
line:6126a614	Awesome! Come on in..	Fantastico! Entra pure...
line:e85007ac	Awesome! See you later then!	Fantastico! Allora ci vediamo più tardi!
line:4c7f15d6	Awesome, I'll go get the gate.	Fantastico, vado ad aprire il cancello.
line:9d126e4e	Awesome, I'm glad.	Fantastico, sono contento.
line:b60cc4a5	Awesome.	Fantastico.
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	Oooh. Non deve ricoprirsi d'inchiostro per salutarmi!
line:8e20e028	Be yourself!	Sii te stesso!
line:cd18f73f	Been looking forward to this.	Non vedevo l'ora.
line:8f1fccf9	Being muddy is really fun up until it starts drying.	Essere infangato è divertente finché il fango non comincia a seccarsi.
line:40783547	Berries.	Bacche.
line:59d4be6a	Berries.	Bacche.
line:61e781c1	Berries.	Bacche.
line:18ae08ef	Bet you had fun.	Scommetto che vi siete divertiti.
line:982fd3c7	big C...?	Grande C...?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	La biologia...? <size=70%> <i>Credo?
line:9be63f47	Bleh. Thank you for grabbing that.	Bleah. Grazie per averlo preso.
line:66957ed2	Blue...?	Blu...?
line:a77c3afd	Both.	Tutte e due.
line:78975048	Brrr! Cold water!	Brrr! Acqua fredda!
line:8487a2c4	Burnswick Community College of Thaumaturgy	Collegio comunitario di Taumaturgia di Burnswick
line:f75126de	But honestly you've helped me a lot.	Però, sinceramente, tu mi hai aiutato molto.
line:cab69268	But I already know I'm liking this a lot.	Ma so già che mi sta piacendo molto.
line:d9534386	But I know the type... They tend to be big softies on the inside.	Ma conosco il genere... Dentro tendono a essere dei gran teneroni.
line:f73ddfbc	But I think its time to get cleaned up.	Ma credo sia ora di ripulirmi.
line:088ea4a7	But I'm hot shit, so I'll be fine.	Ma sono un gran figo, quindi andrà bene.
line:c8f8bc22	But I'm only your washer?	Ma io sono solo il suo lavadraghi?
line:dda0419b	But I'm sure I'd enjoy it with you!	Ma sono sicuro che con te me lo godrei!
line:aa74448a	But not in this sized package, right??	Ma non su uno di questa taglia, vero??
line:7d9ffc48	But nothing beats a large gulp!	Ma niente batte un bel boccone inghiottito intero!
line:d1ec7684	But that is why I am here!	Ma è proprio per questo che sono qui!
line:b0d9d1e5	But you're the teacher dragon.	Ma il drago insegnante è lei.
line:2d7e1ab6	But, at least I got to meet you!	Però almeno ho conosciuto te!
line:b7f46902	But, I think you've taught me something.	Ma credo che mi abbia insegnato qualcosa.
line:b1040415	By the stars! No no. You're excellent.	Per tutti gli astri! No, no. Lei è eccellente.
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	A proposito, ti arrabbieresti se la persona con cui stai sporcasse tutta casa?
line:4199070f	Came in for another wash.	Sono venuto per un'altra lavata.
line:105cd3e2	Can I ask you a question?	Posso farti una domanda?
line:535ee717	Can you repeat that?	Può ripetere?
line:835e0c27	Can't sthpeak well.	Non riefco a parlare bene.
line:afa450c0	Come back whenever, Ryan.	Torna quando vuoi, Ryan.
line:0cedfc3d	Conrad can go as long as he needs	Conrad può continuare per tutto il tempo che serve.
line:5462913f	conrad hooked up with ryan	Conrad sta con Ryan.
line:61cd33c5	conrad hooked up with ryan	Conrad sta con Ryan.
line:6a7610f3	conrad hooked up with ryan	Conrad sta con Ryan.
line:bac1ce29	conrad hooked up with ryan	Conrad sta con Ryan.
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	Conrad ha bisogno di una ripulita. Hai un posto per lui?
line:405b7ef1	Conrad needs a wash!	Conrad ha bisogno di una lavata!
line:803c8f0c	Conrad was talking about you during our date.	Durante il nostro appuntamento Conrad ha parlato di te.
line:f1787092	Conrad!	Conrad!
line:fd6c6213	Conrad!	Conrad!
line:484cd04d	Conrad...?	Conrad...?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: In realtà... Cioè...
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: Conrad si gode solo il momento.
line:fbe86c06	Conrad: Damn right!	Conrad: Eccome, cazzo!
line:5660dc8b	Conrad: Don't worry about it!	Conrad: Non preoccuparti!
line:c050dbfc	Conrad: I do it all the time	Conrad: Io lo faccio sempre.
line:cd3367da	Conrad: I want this to go well	Conrad: Voglio che vada bene.
line:194c1381	Conrad: I'm ready to blow	Conrad: Sono pronto a venire.
line:ce4d0fef	Conrad: Yea	Conrad: Già.
line:42c70daa	Conrad: You feel good	Conrad: È bello sentirti.
line:3bc52918	Conrad: You having a good time?	Conrad: Ti stai divertendo?
line:be0e51af	Cool.	Figo.
line:88c36bc7	Could do that, then get a hotel room... Hmm.	Potremmo andare lì, poi prendere una camera d'albergo... Mmh.
line:b99e1503	Could you ask <i>me</i> a question?	Potrebbe fare una domanda a <i>me</i>?
line:12bf5baf	Could you get the gate...?	Potrebbe aprire il cancello...?
line:3a6afae1	Could you go get the gate?	Potresti aprire il cancello?
line:9f49d9d4	Could you wash it away?	Potresti sciacquarlo via?
line:7661a0e9	D'aw... thanks.	Oooh... Grazie.
line:59bc5840	Damn right I do!	Certo che sto bene!
line:64889395	Damn right!	Eccome, cazzo!
line:95aa0bf4	Damn right!	Eccome!
line:db592d76	Damn right!	Eccome, cazzo!
line:0fcf9908	Damn right.	Proprio così.
line:b964c99b	Damn shame then. Better change that.	Un vero peccato. Vedi di rimediare.
line:c6955ecc	Damn, you know how to use your hands.	Cazzo, sì che sai usare le mani.
line:eaf45022	Damn, you know how to use your hands.	Cazzo, sì che sai usare le mani.
line:684fb29a	Damn... Always feels good.	Cazzo... È sempre una goduria.
line:7023cc94	DATE NIGHT!	SERATA ROMANTICA!
line:c71df70b	Date night!	Serata romantica!
line:b57cc8ad	Depends	Dipende.
line:07bd7f57	Did you do your uh...	Oggi hai... Ehm...
line:4f38655d	Do I look like I'm okay?	Ti sembra che stia bene?
line:8147156a	Do it!	Fallo!
line:9ab6ddfb	Do you also do "special endings" here?	Qui fate anche il «lieto fine»?
line:4c90479c	Do you ask because I'm lavender?	Me lo chiede perché sono color lavanda?
line:3020c97c	Do you believe I am attractive?	Mi trova attraente?
line:c5e71850	Do you even need a wash?	Hai davvero bisogno di lavarti?
line:1810e75f	Do you have any advice?	Hai qualche consiglio?
line:6be807b5	Do you have any plans with ryan?	Hai dei programmi con Ryan?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	Conosci qualche bel posto, della gente in gamba con cui potrei passare il tempo?
line:412ba249	Do you know any good bars?	Conosci qualche bel bar?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	Conosci qualcuno con cui potrei parlare? Sai... di questioni di cuore?
line:21c0526b	Do you like being big?	Le piace essere grosso?
line:daa040eb	Do you like purple?	Le piace il viola?
line:ef052302	Do you like purple?	Le piace il viola?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	Qui fate venire i draghi grossi, <size=60%>come me, <size=100%>sì o no?
line:ec64a696	Do you mind double checking if I'm clean?	Ti dispiacerebbe controllare se sono pulito?
line:647187f1	Do you want to say what happened...?	Vuoi raccontarmi cos'è successo...?
line:807df02d	Do you want to use it?	Vorrebbe usarlo?
line:5c42b85a	Doesn't mean I need to yell at you.	Non significa che debba urlarti contro.
line:eefa8ae2	Don't be sorry! Get a mount!	Non scusarti! Procurati un cavalletto!
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	Tranquillo, i draghi sono fatti per mangiare qualsiasi cosa.
line:b90b01a9	Don't worry, he's real nice.	Tranquillo, è davvero gentile.
line:7de2a81c	Don't worry. I will.	Tranquillo. Lo farò.
line:c29d4071	Don't... make it sound like that.	Non... dirlo così.
line:31bdd33c	Dont talk with your mouth full	Non parlare con la bocca piena.
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	La storia dei draghi è complessa. Gli stemmi ornamentali <size=85%> vengono spesso <size=70%> indossati dai draghi per <size=55%>indicare la famiglia a cui appartengono! <size=40%> Sono un segno interessante del loro patrimonio culturale <size=35%> e familiare. Mi sono spesso chiesto se dovrei continuare a portare il mio. <size=20%> Ma nelle tradizioni dei draghi i legami culturali e familiari sono importanti! Quindi devo rispettarli. <size=10%> Acqua. Terra. Fuoco. Aria. Molto tempo fa, le quattro nazioni vivevano in armonia. Poi tutto cambiò quando la Nazione del Fuoco attaccò.
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	Lo stomaco dei draghi è un po' più... resistente del tuo.
line:7e352505	Dragons of the galaxy 2	Draghi della galassia 2
line:c2c659d1	Eep!	Iip!
line:0bd1699e	Ehh..	Ehm...
line:43dd32f5	Er... That's not-	Ehm... Non è...
line:93b60dce	Even so. Not this time	Comunque sia, non questa volta.
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	Anche se stavi solo facendo il tuo lavoro... Credo che gli abbia fatto molto bene.
line:a2ba222e	Evening. This establishment takes walk ins, correct?	Buonasera. Accettate clienti senza appuntamento, giusto?
line:f98c3b6c	Every ending here is special!	Qui ogni finale è lieto!
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	Ogni mago che si rispetti tiene a portata di mano una piuma di fenice.
line:57df700d	Everyone's gaze carries an immense weight.	Lo sguardo di tutti gli altri ha un peso enorme.
line:9ad8d2dd	Excellent!	Eccellente!
line:0c997163	Excellent.	Ottimo.
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	Ottimo. Allora ricordati di salutare il cliente alla finestra.
line:7bbe7ee3	Expectations are laaaame.	Le aspettative sono una noooia.
line:f99eb2ff	Ey! The mount! Fuck yeah.	Ehi! Il cavalletto! Cazzo, sì.
line:d376acb9	Ey, so. Was thinkin'	Ehi, senti. Stavo pensando...
line:85ec0862	Ey, sorry for coming in late.	Ehi, scusa se arrivo tardi.
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	Ehi, usa le mani sul mio cazzo... È una goduria!
line:271a3846	Fair enough. I'll be waiting!	Va bene. Aspetterò!
line:4789095b	Fair enough. You two do seem cute together.	Ci sta. Siete proprio carini insieme.
line:f5b37855	Felt good sliding down though!	Però è stato bello sentirla scivolare giù!
line:274367d7	Figured I'd bring in something nice after all you've done.	Pensavo di portarti qualcosa di buono dopo tutto quello che hai fatto.
line:aae8afca	Fine with me!	Per me va bene!
line:e98616be	For you!	Per te!
line:62a82aba	Found this one gryphon. About my size...	Ho conosciuto un grifone. Più o meno della mia taglia...
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	Da quello che ho sentito sembra molto migliorato ultimamente, no?
line:803bf378	Fuck man, I'm so pumped.	Cazzo, non sto più nella pelle.
line:f2418086	Fuck no! Shit's embarrassing.	Col cazzo! È imbarazzante.
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	Scoparmi qualcosa e, se va bene, farmi fare una sega.
line:203bce10	Fuuuck. You really know how to work a dragon!	Caaazzo. Sai proprio come trattare un drago!
line:f7f9b0db	G'day mate!	Ehilà, amico!
line:664c994e	Gave me time to think.	Mi hai dato il tempo di pensare.
line:1d9b3531	Get a handjob and fuck this mount.	Farmi fare una sega e scoparmi questo cavalletto.
line:48afdce4	Give it to me!	Dammi tutto!
line:9df043ad	Give me a bit	Dammi un momento.
line:e5c7f64a	Glad I'm here to remind you then.	Allora meno male che sono qui a ricordartelo.
line:354170aa	Go for it!	Si lasci andare!
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	Stasera vado in centro. Dovevo essere immacolato. Senti...
line:dcb506d2	Good as!	Alla grande!
line:bcbc6373	Good evening!	Buonasera!
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	Bene. Non posso permettere che il Collegio comunitario di Taumaturgia di Burnswick scopra che il suo miglior professore, Alexander, ha causato un altro incidente.
line:12b72085	Good, you better. If I come back and there isn't one...	Bene, ti conviene. Se torno e non ce n'è uno...
line:2c851dad	Good.	Bene.
line:2712436c	Good. 'Aight, let me out.	Bene. D'accordo, fammi uscire.
line:bab51ada	Good... That'd be correct.	Bene... È il termine giusto.
line:44f2b8cf	Goodbye!	Arrivederci!
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	Cielo, grazie a lei posso ancora rimediare a questa situazione.
line:745c3c12	Gosh!	Accidenti!
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	Devo <i>esercitarmi</i> per Ryan, se capisci cosa intendo.
line:e3cef2bc	Gotta make sure you're spotless!	Devo assicurarmi che tu sia immacolato!
line:b01b2159	Great, so uh,	Fantastico, quindi, ehm...
line:43c94954	Grouse as! Excited to see you work!	Una figata! Non vedo l'ora di vederti all'opera!
line:9de16ee9	Ha!	Ah!
line:88d7e1e2	Haah. This is the best fuckin' wash.	Ahh. Questo è il miglior cazzo di lavaggio.
line:cc6e7856	Hah! There's the mount!	Ah! Ecco il cavalletto!
line:90dd6d9d	Hah, eager as always.	Ah, entusiasta come sempre.
line:9542e7a6	Hah, good. Let's break this thing in!	Ah, bene. Inauguriamolo come si deve!
line:fe21109b	Hah, he seems like the wild type.	Ah, sembra proprio un tipo scatenato.
line:e8bc1d95	Hah, I imagine it would be.	Ah, ci avrei scommesso.
line:acbf628d	Hah, it is a motivator.	Ah, sono un buon incentivo.
line:65b23418	Hah, okay. I'm game.	Ah, va bene. Ci sto.
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	Ah, sì. Conrad è decisamente esperto...
line:8b878971	Hah, yeah. He sounds fun.	Ah, già. Sembra divertente.
line:e3ed51d9	Hah. Conrad, you look good too.	Ah. Anche tu stai bene, Conrad.
line:f8b2e23b	Hah. Fine.	Ah. Va bene.
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	Ah. Se solo ci fosse un coboldo capace di lavarmi.
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	Ah. Già. <size=70%><i>Forte che alla scuola di lavaggio ti insegnino a fare le seghe ai draghi...
line:50a559bb	Hah... <size=70%> yeah.	Ah... <size=70%>Già.
