# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Siema, duży piesku.
line:92601622	...Okay, come in	... Dobrze, wejdź.
line:e381559c	...Thank you for this.	... Dziękuję za to.
line:b7b5f7fb	...Thanks.	... Dzięki.
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>Czy zaproponowałeś Conradowi znajomość z Ryanem?
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> Znam smoka, Ryana. Może was ze sobą skontaktuję? </b></gradient><size=70%>(Odblokowuje spotkanie Conrada z Ryanem LUB romans z Ryanem)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> Ja chętnie bym z tobą spędził czas... </b></gradient><size=70%> (Odblokowuje romans z Conradem)
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> Z przyjemnością! </b></gradient><size=70%> (Prowadzi do romansu z Alexandrem!)
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> Dziś wieczorem będę zajęty. Przepraszam. </b></gradient><size=70%> (Prowadzi do zakończenia bez romansu!)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>Nikt nie przychodzi mi do głowy.</b></gradient><size=70%> (Potwierdza romans z Conradem!)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>Znam pewnego czerwonego smoka. Chyba by ci się spodobał! </b></gradient><size=70%> (Łączy Ryana z Conradem!)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>Och. Eee. <size=70%> Ja chętnie... byłbym tym kimś. </b></gradient><size=70%> (Potwierdza romans z Ryanem!)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>HEJ! </gradient><size=100%>To tutaj myją, co?
line:c777ce0c	<i> that feels nice...</i>	<i>To przyjemne...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>Ojej... I książki.
line:d67b1098	<i>I like spraying you with water.	<i>Lubię polewać cię wodą.
line:ad5d633a	<i>Oh...	<i>Och...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>Och.</i> Chyba nie jestem jeszcze na to gotowy.
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>Oooch. </i>Przyrząd? No pewnie, stary.
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	<i>To</i> nie twoja wina, Conrad.
line:72b244b7	<size=100%> That felt damn good!	<size=100%>Ale to było zajebiste!
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>Znaczy... Super.
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%>KURWA, TAK!
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>HEJ, <size=100%>potrzebuję mycia.
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>KURWA, TAK!
line:f5462edf	<size=60%> that's hot.	<size=60%>To seksowne.
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>Wielki smok oddaje mi kontrolę. O rany.
line:53d71f27	<size=70%> And for me.	<size=70%>I dla mnie.
line:4fe271cc	<size=70%> woah.	<size=70%>O rany.
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>Cholera, właśnie umówiłem się ze smokiem.
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>Ale przyjemne... Dziękuję.
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>Proszę śmiało kontynuować...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>O...</i> Nie, właściwie to bardzo mi miło.
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>O rany...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>Tak?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>Nadal wypłacam im pensje.
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	Kilka dni temu...
line:c570a462	A rather good excuse to see my favorite kobold.	Całkiem dobry powód, by zobaczyć ulubionego kobolda.
line:5d2d16e0	A really good friend?	naprawdę dobrego przyjaciela?
line:df4d3810	About earlier.	Wracając do tego, co wcześniej.
line:1a5e1ba4	Act what way?	Jak?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	Po jego samozapłonie zadbałem, by miał trochę prywatności.
line:a983ffa3	Again...?	Znowu...?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	Zgoda, choć nadal chciałbym wejść, gdy tylko będzie to możliwe.
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	O tak, właśnie tak... Nie przestawaj.
line:e216aee0	Ah, good.	A, dobrze.
line:9b26ac5f	Ah, I see the button there, gotcha!	A, widzę tam przycisk. Jasne!
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	Ach, przepraszam, takie sprawy mnie pasjonują.
line:bf2a8309	Ah, the grime did sting a little, thank you.	Ach, ten brud trochę szczypał. Dziękuję.
line:ebdb9888	Ah, yeah, those types are pretty cute.	Ach, tak, tacy bywają całkiem uroczy.
line:b920f205	Ah. Do not worry.	Och. Proszę się nie martwić.
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	Aha. To jednak nie przepraszam.
line:6de2c490	Ah...	Ach...
line:4d6b365e	Ahh, all cleaned and with a lighter load.	Ach, czysty i z lżejszym ładunkiem.
line:20f96302	Alexander!	Alexander!
line:f167e3d7	Alexander!	Alexander!
line:fe3996b8	Alexander!	Alexander!
line:af7db134	Alexander...?	Alexander...?
line:eb7cf9e5	All clean...	Cały czysty...
line:f57fc630	All done!	Gotowe!
line:0b734d82	All self respecting washers know how to please a dragon.	Każdy szanujący się myjący wie, jak dogodzić smokowi.
line:599ffb25	Already got seats at that bar I mentioned earlier.	Mam już miejsca w tym barze, o którym mówiłem.
line:642ddea3	Alright alright... Then I think I'd like to use it?	Dobrze, dobrze... To chyba chciałbym go użyć?
line:c7b3a185	Alright! I'll go get the gate.	Dobra! Otworzę bramę.
line:7279121a	Alright! I'll go get you the gate.	Dobrze! Otworzę panu bramę.
line:4fc4259c	Alright! I'm ready to go.	Dobra! Mogę iść.
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	Dobrze, otwórz bramę, a ja ruszam na miejsce!
line:d04df8f8	Alright, I'll cya!	Dobra, do zobaczenia!
line:4766af08	Alrighty! That should be it.	Gotowe! Chyba to wszystko.
line:797ca540	Alrighty. All clean.	No dobrze. Czysto.
line:c4cb161a	Although grapes have always hit a specific craving.	Ale winogrona zawsze zaspokajają taką szczególną zachciankę.
line:dc237557	Although, the portions might be a bit... dragon sized.	Choć porcje mogą być trochę... smoczych rozmiarów.
line:655b8c01	Always happy to have you, Conrad.	Zawsze jesteś mile widziany, Conrad.
line:afedd1f5	An anomaly.	Anomalią.
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	I dobrze, że masz apteczkę... Jesteś przygotowany na wszystko.
line:0699aef9	And I'm really happy for you and Conrad.	I naprawdę cieszę się waszym szczęściem, twoim i Conrada.
line:a3a26459	And not just physically.	I nie chodzi tylko o patrzenie w górę.
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	I dlatego tu jestem! Po myciu idę się z nim spotkać.
line:33440e8c	And why you are perfect for this job!	Dlatego tak doskonale nadaje się pan do tego zadania!
line:cacb93ce	And you've tried everything.	I próbowałeś już wszystkiego.
line:8cae6240	Another dragon? Usually I don't really get along...	Innego smoka? Zwykle nie bardzo się dogadujemy...
line:5a7e4fd4	Any chance you can clean me up again?	Mógłbyś umyć mnie jeszcze raz?
line:92d2a30a	Anything. I'm just curious.	Jakiekolwiek. Jestem po prostu ciekaw.
line:52695aa2	Anything?	Wszystko?
line:8ead9ee9	Anytime, Ryan.	Zawsze do usług, Ryan.
line:6d77feef	Anyway glad you're not finished, lets keep at it!	W każdym razie dobrze, że jeszcze nie skończyłeś. Róbmy dalej!
line:bdb4f59c	Anyway, time to get writing!	W każdym razie czas zabrać się za pisanie!
line:75dd56ae	Anyways,	W każdym razie,
line:8980260e	Anyways-	W każdym razie...
line:a8e6291c	Anyways- Let me out.	Dobra, wypuść mnie.
line:493a82ef	Anyways. Could you go get the gate?	Dobra. Otworzysz bramę?
line:926f5f41	Anyways. Gonna use this thing now!	Dobra. Biorę się za ten sprzęt!
line:ad8ab02e	Anyways...	W każdym razie...
line:e767dc51	Anywho, I'll get out of your scales now.	Tak czy inaczej, dam już panu spokój.
line:e81426c1	Anywho, I'm in need of a clean.	Tak czy inaczej, potrzebuję mycia.
line:23e7d518	Approach the dragon entrance, and I will let you in.	Proszę podejść do wejścia dla smoków, a ja pana wpuszczę.
line:72a9b5bb	Are you happy?	Jest pan szczęśliwy?
line:be0118cc	Are you okay?	Wszystko dobrze?
line:de735c65	Are you open right now?	Czy teraz jest otwarte?
line:9369755d	Are you sure it will fit?	Na pewno się zmieści?
line:c35b717a	Are you sure...? In front of the food?	Na pewno...? Przy jedzeniu?
line:cb06d2bf	As am I.	Ja również.
line:9a48b21c	As in you're unique.	To znaczy, jest pan wyjątkowy.
line:1c021ee0	At getting hand jobs.	W dawaniu sobie zwalić.
line:e861b464	At least that's what I've heard anyway.	Przynajmniej tak słyszałem.
line:2f54ceec	At least you can still use your hands. Heh.	Przynajmniej nadal możesz użyć rąk. He.
line:cb04e062	At least you can still use your hands. Heh.	Przynajmniej nadal możesz użyć rąk. He.
line:97792929	Aw, I'll go get you the gate.	Och, otworzę ci bramę.
line:c6895517	Aw, Ryan.	Och, Ryan.
line:db997182	Aw, thank you Alexander.	Och, dziękuję, Alexandrze.
line:7157db26	Aw, thanks Alexander.	Och, dziękuję, Alexandrze.
line:011f1458	Aw, thanks.	Och, dzięki.
line:aea0be6b	Aw, thanks.	Och, dzięki.
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	Och, dzięki. Wyglądam tak dobrze tylko dzięki twoim kąpielom!
line:453ff9be	Aw- Ryan...	Och, Ryan...
line:5340a315	Aw... Thanks!	Och... Dziękuję!
line:c6202cf2	Aw... Thanks.	Och... Dziękuję.
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	Och... Dzięki. To dziwne, że uważam cię za...
line:2bfa396c	Aw... That's really sweet	Och... To bardzo miłe.
line:22053f7f	Awesome!	Świetnie!
line:6fdb2c3d	Awesome!	Świetnie!
line:70306ba1	Awesome!	Świetnie!
line:6126a614	Awesome! Come on in..	Świetnie! Wejdź..
line:e85007ac	Awesome! See you later then!	Świetnie! To do zobaczenia!
line:4c7f15d6	Awesome, I'll go get the gate.	Świetnie, otworzę bramę.
line:9d126e4e	Awesome, I'm glad.	Świetnie, cieszę się.
line:b60cc4a5	Awesome.	Świetnie.
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	Och... Nie musi się pan oblewać atramentem, żeby się przywitać!
line:8e20e028	Be yourself!	Bądź sobą!
line:cd18f73f	Been looking forward to this.	Czekałem na to.
line:8f1fccf9	Being muddy is really fun up until it starts drying.	Błoto jest fajne, dopóki nie zacznie wysychać.
line:40783547	Berries.	Jagody.
line:59d4be6a	Berries.	Jagody.
line:61e781c1	Berries.	Jagody.
line:18ae08ef	Bet you had fun.	Pewnie dobrze się bawiłeś.
line:982fd3c7	big C...?	Wielkiego C...?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	Biologia...? <size=70%> <i>Chyba?
line:9be63f47	Bleh. Thank you for grabbing that.	Bleh. Dzięki, że to wziąłeś.
line:66957ed2	Blue...?	Niebieskie...?
line:a77c3afd	Both.	Tak i tak.
line:78975048	Brrr! Cold water!	Brrr! Zimna woda!
line:8487a2c4	Burnswick Community College of Thaumaturgy	Społeczna Szkoła Wyższa Taumaturgii w Burnswick.
line:f75126de	But honestly you've helped me a lot.	Ale naprawdę bardzo mi pomogłeś.
line:cab69268	But I already know I'm liking this a lot.	Ale już wiem, że bardzo mi się podoba.
line:d9534386	But I know the type... They tend to be big softies on the inside.	Ale znam ten typ... W środku zwykle są bardzo czuli.
line:f73ddfbc	But I think its time to get cleaned up.	Ale chyba pora to zmyć.
line:088ea4a7	But I'm hot shit, so I'll be fine.	Ale jestem zajebisty, więc będzie dobrze.
line:c8f8bc22	But I'm only your washer?	Ale przecież tylko pana myję?
line:dda0419b	But I'm sure I'd enjoy it with you!	Ale z tobą na pewno bym się dobrze bawił!
line:aa74448a	But not in this sized package, right??	Ale nie przy takim wzroście, co??
line:7d9ffc48	But nothing beats a large gulp!	Ale nic nie przebije wielkiego kęsa połkniętego naraz!
line:d1ec7684	But that is why I am here!	Ale właśnie dlatego tu jestem!
line:b0d9d1e5	But you're the teacher dragon.	Ale przecież to pan jest smokiem nauczycielem.
line:2d7e1ab6	But, at least I got to meet you!	Ale przynajmniej cię poznałem!
line:b7f46902	But, I think you've taught me something.	Ale chyba czegoś mnie pan nauczył.
line:b1040415	By the stars! No no. You're excellent.	Na gwiazdy! Nie, nie. Jest pan świetny.
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	Przy okazji, złościłbyś się, gdyby twoja druga połówka nabrudziła w domu?
line:4199070f	Came in for another wash.	Wpadłem na kolejne mycie.
line:105cd3e2	Can I ask you a question?	Mogę o coś zapytać?
line:535ee717	Can you repeat that?	Może pan powtórzyć?
line:835e0c27	Can't sthpeak well.	Nie mogę dobze mówić.
line:afa450c0	Come back whenever, Ryan.	Wpadaj, kiedy chcesz, Ryan.
line:0cedfc3d	Conrad can go as long as he needs	Conrad wytrzyma tyle, ile trzeba.
line:5462913f	conrad hooked up with ryan	Conrad jest z Ryanem.
line:61cd33c5	conrad hooked up with ryan	Conrad jest z Ryanem.
line:6a7610f3	conrad hooked up with ryan	Conrad jest z Ryanem.
line:bac1ce29	conrad hooked up with ryan	Conrad jest z Ryanem.
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	Conrad potrzebuje mycia. Masz dla niego termin?
line:405b7ef1	Conrad needs a wash!	Conrad potrzebuje mycia!
line:803c8f0c	Conrad was talking about you during our date.	Conrad mówił o tobie na naszej randce.
line:f1787092	Conrad!	Conrad!
line:fd6c6213	Conrad!	Conrad!
line:484cd04d	Conrad...?	Conrad...?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: Właściwie... To znaczy...
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: Conrad po prostu dobrze się bawi.
line:fbe86c06	Conrad: Damn right!	Conrad: No pewnie, kurwa!
line:5660dc8b	Conrad: Don't worry about it!	Conrad: Nie przejmuj się!
line:c050dbfc	Conrad: I do it all the time	Conrad: Robię to cały czas.
line:cd3367da	Conrad: I want this to go well	Conrad: Chcę, żeby było dobrze.
line:194c1381	Conrad: I'm ready to blow	Conrad: Zaraz dojdę.
line:ce4d0fef	Conrad: Yea	Conrad: Tak.
line:42c70daa	Conrad: You feel good	Conrad: Cudownie cię czuć.
line:3bc52918	Conrad: You having a good time?	Conrad: Dobrze ci?
line:be0e51af	Cool.	Fajny.
line:88c36bc7	Could do that, then get a hotel room... Hmm.	Możemy tam pójść, a potem wziąć pokój w hotelu... Hmm.
line:b99e1503	Could you ask <i>me</i> a question?	Czy mógłby pan zadać pytanie <i>mnie</i>?
line:12bf5baf	Could you get the gate...?	Mógłby pan otworzyć bramę...?
line:3a6afae1	Could you go get the gate?	Mógłbyś otworzyć bramę?
line:9f49d9d4	Could you wash it away?	Możesz je spłukać?
line:7661a0e9	D'aw... thanks.	Och... Dzięki.
line:59bc5840	Damn right I do!	A jakże!
line:64889395	Damn right!	No pewnie, kurwa!
line:95aa0bf4	Damn right!	No pewnie, że tak!
line:db592d76	Damn right!	No pewnie, kurwa!
line:0fcf9908	Damn right.	No pewnie, kurwa.
line:b964c99b	Damn shame then. Better change that.	Pieprzona szkoda. Lepiej to zmień.
line:c6955ecc	Damn, you know how to use your hands.	Kurwa, umiesz używać rąk.
line:eaf45022	Damn, you know how to use your hands.	Kurwa, umiesz używać rąk.
line:684fb29a	Damn... Always feels good.	Cholera... Zawsze przyjemne.
line:7023cc94	DATE NIGHT!	WIECZÓR RANDKOWY!
line:c71df70b	Date night!	Wieczór randkowy!
line:b57cc8ad	Depends	To zależy.
line:07bd7f57	Did you do your uh...	Zrobiłeś coś ze swoimi, eee...
line:4f38655d	Do I look like I'm okay?	Wyglądam, jakby nic mi nie było?
line:8147156a	Do it!	Zrób to!
line:9ab6ddfb	Do you also do "special endings" here?	Robicie tu też „szczęśliwe zakończenia”?
line:4c90479c	Do you ask because I'm lavender?	Pyta pan, bo mam lawendowy kolor?
line:3020c97c	Do you believe I am attractive?	Czy uważa mnie pan za atrakcyjnego?
line:c5e71850	Do you even need a wash?	W ogóle potrzebujesz mycia?
line:1810e75f	Do you have any advice?	Masz jakąś radę?
line:6be807b5	Do you have any plans with ryan?	Masz jakieś plany z Ryanem?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	Znasz jakieś fajne miejsca albo ludzi, z którymi mógłbym się spotykać?
line:412ba249	Do you know any good bars?	Znasz jakieś dobre bary?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	Znasz kogoś, z kim mógłbym porozmawiać? Wiesz... Tak pod kątem związku?
line:21c0526b	Do you like being big?	Lubi pan być duży?
line:daa040eb	Do you like purple?	Lubi pan fiolet?
line:ef052302	Do you like purple?	Lubi pan fiolet?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	Doprowadzasz tu duże smoki, <size=60%>takie jak ja, <size=100%>do orgazmu?
line:ec64a696	Do you mind double checking if I'm clean?	Możesz jeszcze raz sprawdzić, czy jestem czysty?
line:647187f1	Do you want to say what happened...?	Chcesz powiedzieć, co się stało...?
line:807df02d	Do you want to use it?	Chce pan skorzystać?
line:5c42b85a	Doesn't mean I need to yell at you.	To nie znaczy, że muszę na ciebie krzyczeć.
line:eefa8ae2	Don't be sorry! Get a mount!	Nie przepraszaj! Kup przyrząd!
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	Spokojnie, smoki są stworzone do jedzenia wszystkiego.
line:b90b01a9	Don't worry, he's real nice.	Spokojnie, on jest naprawdę miły.
line:7de2a81c	Don't worry. I will.	Spokojnie. Opowiem.
line:c29d4071	Don't... make it sound like that.	Nie... mów tego w taki sposób.
line:31bdd33c	Dont talk with your mouth full	Nie gadaj z pełnymi ustami.
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	Historia smoków jest złożona. Ozdobne herby <size=85%> są często <size=70%> noszone przez smoki, by <size=55%>wskazać rodzinę, do której należą! <size=40%> To ciekawy znak ich kulturowego <size=35%> i rodzinnego dziedzictwa. Często zastanawiam się, czy powinienem nadal nosić swój. <size=20%> Ale więzi kulturowe i rodzinne są ważne w smoczej tradycji! Muszę więc je szanować. <size=10%> Woda. Ziemia. Ogień. Powietrze. Dawno temu cztery narody żyły w harmonii. Wszystko się zmieniło, gdy Naród Ognia zaatakował.
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	Smocze żołądki są trochę... wytrzymalsze od twojego.
line:7e352505	Dragons of the galaxy 2	Smoki Galaktyki 2.
line:c2c659d1	Eep!	Aj!
line:0bd1699e	Ehh..	Eee...
line:43dd32f5	Er... That's not-	Eee... Nie o to...
line:93b60dce	Even so. Not this time	Mimo to, nie tym razem.
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	Choć tylko wykonywałeś pracę... Myślę, że bardzo mu to pomogło.
line:a2ba222e	Evening. This establishment takes walk ins, correct?	Dobry wieczór. Przyjmują tu państwo bez zapisów, prawda?
line:f98c3b6c	Every ending here is special!	U nas każde zakończenie jest szczęśliwe!
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	Każdy szanujący się mag ma pod ręką pióro feniksa.
line:57df700d	Everyone's gaze carries an immense weight.	Spojrzenie każdego niesie ogromny ciężar.
line:9ad8d2dd	Excellent!	Doskonale!
line:0c997163	Excellent.	Doskonale.
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	Doskonale. Pamiętaj więc, żeby przywitać klienta przy oknie.
line:7bbe7ee3	Expectations are laaaame.	Oczekiwania są do kituuu.
line:f99eb2ff	Ey! The mount! Fuck yeah.	Hej! Przyrząd! Kurwa, tak.
line:d376acb9	Ey, so. Was thinkin'	Ej, tak sobie myślałem...
line:85ec0862	Ey, sorry for coming in late.	Ej, sorry, że tak późno.
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	Ej, użyj rąk na moim kutasie. To przyjemne!
line:271a3846	Fair enough. I'll be waiting!	Rozumiem. Poczekam!
line:4789095b	Fair enough. You two do seem cute together.	Jasne. Wyglądacie uroczo razem.
line:f5b37855	Felt good sliding down though!	Ale miło było go połykać!
line:274367d7	Figured I'd bring in something nice after all you've done.	Uznałem, że po tym wszystkim, co zrobiłeś, przyniosę coś miłego.
line:aae8afca	Fine with me!	Mnie to pasuje!
line:e98616be	For you!	Dla ciebie!
line:62a82aba	Found this one gryphon. About my size...	Poznałem takiego gryfa. Mniej więcej mojego wzrostu...
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	Z tego, co słyszałem, ostatnio mocno się zmienił na lepsze, prawda?
line:803bf378	Fuck man, I'm so pumped.	Kurwa, ale się jaram.
line:f2418086	Fuck no! Shit's embarrassing.	Kurwa, nie! To żenujące.
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	Coś przelecieć i może potem dostać ręczną robótkę.
line:203bce10	Fuuuck. You really know how to work a dragon!	Kurwaaa. Naprawdę wiesz, jak zająć się smokiem!
line:f7f9b0db	G'day mate!	Siema, stary!
line:664c994e	Gave me time to think.	Dałeś mi czas do namysłu.
line:1d9b3531	Get a handjob and fuck this mount.	Dostać ręczną robótkę i wyruchać ten przyrząd.
line:48afdce4	Give it to me!	Daj mi wszystko!
line:9df043ad	Give me a bit	Daj mi chwilkę.
line:e5c7f64a	Glad I'm here to remind you then.	Dobrze, że przyszedłem ci przypomnieć.
line:354170aa	Go for it!	Śmiało!
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	Idę dziś do centrum. Muszę lśnić. Słuchaj...
line:dcb506d2	Good as!	Świetnie!
line:bcbc6373	Good evening!	Dobry wieczór!
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	Dobrze. Społeczna Szkoła Wyższa Taumaturgii w Burnswick nie może się dowiedzieć, że jej najlepszy profesor Alexander wywołał kolejny incydent.
line:12b72085	Good, you better. If I come back and there isn't one...	Dobra, lepiej tak zrób. Jeśli wrócę i go nie będzie...
line:2c851dad	Good.	Dobrze.
line:2712436c	Good. 'Aight, let me out.	Dobra. No to mnie wypuść.
line:bab51ada	Good... That'd be correct.	Dobrze... To właściwe określenie.
line:44f2b8cf	Goodbye!	Do widzenia!
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	O rety, dzięki panu mam szansę uratować sytuację.
line:745c3c12	Gosh!	O rany!
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	Trzeba <i>poćwiczyć</i> przed Ryanem, jeśli wiesz, co mam na myśli.
line:e3cef2bc	Gotta make sure you're spotless!	Musisz być nieskazitelnie czysty!
line:b01b2159	Great, so uh,	Świetnie, więc, eee,
line:43c94954	Grouse as! Excited to see you work!	Super! Chcę zobaczyć cię przy pracy!
line:9de16ee9	Ha!	Ha!
line:88d7e1e2	Haah. This is the best fuckin' wash.	Haa. To najlepsza pieprzona myjnia.
line:cc6e7856	Hah! There's the mount!	Ha! Jest i przyrząd!
line:90dd6d9d	Hah, eager as always.	Ha, entuzjastyczny jak zawsze.
line:9542e7a6	Hah, good. Let's break this thing in!	Ha, świetnie. Czas go ochrzcić!
line:fe21109b	Hah, he seems like the wild type.	Ha, wydaje się dość dziki.
line:e8bc1d95	Hah, I imagine it would be.	Ha, tak myślałem.
line:acbf628d	Hah, it is a motivator.	Ha, to motywuje.
line:65b23418	Hah, okay. I'm game.	Ha, dobrze. Wchodzę w to.
