# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	ไง เจ้าหมาตัวโต
line:df4d3810	About earlier.	เรื่องเมื่อกี้น่ะ
line:1a5e1ba4	Act what way?	ทำตัวแบบไหน?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	หลังจากเขาลุกไหม้ขึ้นมาเอง ผมก็ให้เขาอยู่เป็นส่วนตัว
line:a983ffa3	Again...?	อีกแล้วเหรอ...?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	เห็นด้วย แต่ก็อยากเข้าไปทันทีที่สะดวก
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	อา ใช่ แบบนั้นแหละ ทำต่อไป
line:e216aee0	Ah, good.	อ๋อ ดี
line:9b26ac5f	Ah, I see the button there, gotcha!	อ๋อ เห็นปุ่มตรงนั้นแล้ว เข้าใจแล้ว!
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	อ๋อ ขอโทษ ผมหลงใหลเรื่องพวกนี้
line:bf2a8309	Ah, the grime did sting a little, thank you.	อา คราบนั่นแสบหน่อย ขอบคุณ
line:ebdb9888	Ah, yeah, those types are pretty cute.	อ๋อ ใช่ คนแบบนั้นน่ารักดี
line:b920f205	Ah. Do not worry.	อ๋อ ไม่ต้องห่วง
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	อ๋อ งั้นช่างเถอะ ไม่ขอโทษแล้ว
line:6de2c490	Ah...	อ๋อ...
line:4d6b365e	Ahh, all cleaned and with a lighter load.	อา สะอาดแล้วก็เบาตัวขึ้นเยอะ
line:20f96302	Alexander!	อเล็กซานเดอร์!
line:f167e3d7	Alexander!	อเล็กซานเดอร์!
line:fe3996b8	Alexander!	อเล็กซานเดอร์!
line:af7db134	Alexander...?	อเล็กซานเดอร์...?
line:eb7cf9e5	All clean...	สะอาดแล้ว...
line:f57fc630	All done!	เสร็จแล้ว!
line:0b734d82	All self respecting washers know how to please a dragon.	คนอาบน้ำที่เคารพตัวเองย่อมรู้วิธีเอาใจมังกร
line:599ffb25	Already got seats at that bar I mentioned earlier.	ได้ที่นั่งในบาร์ที่บอกไปแล้ว
line:642ddea3	Alright alright... Then I think I'd like to use it?	ได้ๆ... งั้นคิดว่าผมอยากใช้?
line:c7b3a185	Alright! I'll go get the gate.	ได้! ผมจะเปิดประตู
line:7279121a	Alright! I'll go get you the gate.	ได้! ผมจะเปิดประตูให้
line:4fc4259c	Alright! I'm ready to go.	เอาล่ะ! พร้อมไปแล้ว
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	ได้ ไปเปิดประตู แล้วผมจะไปที่นัด!
line:d04df8f8	Alright, I'll cya!	ได้ แล้วเจอกัน!
line:4766af08	Alrighty! That should be it.	เอาล่ะ! น่าจะครบแล้ว
line:797ca540	Alrighty. All clean.	เอาล่ะ สะอาดแล้ว
line:c4cb161a	Although grapes have always hit a specific craving.	แต่องุ่นตอบสนองความอยากบางอย่างได้พอดีเสมอ
line:dc237557	Although, the portions might be a bit... dragon sized.	แต่ปริมาณอาจจะ... ขนาดมังกรหน่อย
line:655b8c01	Always happy to have you, Conrad.	ยินดีต้อนรับคุณเสมอ คอนราด
line:afedd1f5	An anomaly.	สิ่งแปลกจากธรรมดา
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	ดีที่นายมีกล่องปฐมพยาบาล... เตรียมพร้อมจริงๆ
line:0699aef9	And I'm really happy for you and Conrad.	แล้วผมก็ดีใจแทนคุณกับคอนราดจริงๆ
line:a3a26459	And not just physically.	และไม่ได้แค่เงยหน้ามองเพราะความสูง
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	เพราะงั้นถึงมานี่! อาบน้ำเสร็จจะไปเจอเขาเลย
line:33440e8c	And why you are perfect for this job!	และเป็นเหตุผลว่าทำไมคุณเหมาะกับงานนี้ที่สุด!
line:cacb93ce	And you've tried everything.	ทั้งที่ลองทุกทางแล้ว
line:8cae6240	Another dragon? Usually I don't really get along...	มังกรอีกตัวเหรอ? ปกติฉันเข้ากันไม่ค่อยได้...
line:5a7e4fd4	Any chance you can clean me up again?	ช่วยอาบน้ำให้อีกครั้งได้ไหม?
line:92d2a30a	Anything. I'm just curious.	อะไรก็ได้ ผมแค่สงสัย
line:52695aa2	Anything?	ทุกเรื่องเลย?
line:8ead9ee9	Anytime, Ryan.	ได้เสมอ ไรอัน
line:6d77feef	Anyway glad you're not finished, lets keep at it!	ว่าแต่ดีใจที่ยังไม่เสร็จ ทำต่อกันเถอะ!
line:bdb4f59c	Anyway, time to get writing!	เอาล่ะ ได้เวลาเริ่มเขียนแล้ว!
line:75dd56ae	Anyways,	ช่างเถอะ
line:8980260e	Anyways-	ช่างเถอะ...
line:a8e6291c	Anyways- Let me out.	ช่างเถอะ ปล่อยฉันออกไป
line:493a82ef	Anyways. Could you go get the gate?	ช่างเถอะ ช่วยเปิดประตูให้หน่อย?
line:926f5f41	Anyways. Gonna use this thing now!	ช่างเถอะ จะใช้ไอ้นี่แล้ว!
line:ad8ab02e	Anyways...	ช่างเถอะ...
line:e767dc51	Anywho, I'll get out of your scales now.	ว่าแต่ ผมจะไม่เกะกะแล้ว
line:e81426c1	Anywho, I'm in need of a clean.	ว่าแต่ ผมต้องทำความสะอาดหน่อย
line:23e7d518	Approach the dragon entrance, and I will let you in.	มาที่ทางเข้าสำหรับมังกร แล้วผมจะให้เข้ามา
line:72a9b5bb	Are you happy?	คุณมีความสุขไหม?
line:be0118cc	Are you okay?	คุณโอเคไหม?
line:de735c65	Are you open right now?	ตอนนี้เปิดอยู่ไหม?
line:9369755d	Are you sure it will fit?	แน่ใจเหรอว่าจะใส่ได้?
line:c35b717a	Are you sure...? In front of the food?	แน่ใจเหรอ...? ต่อหน้าอาหารเลย?
line:cb06d2bf	As am I.	ผมก็เช่นกัน
line:9a48b21c	As in you're unique.	หมายถึงคุณไม่เหมือนใคร
line:1c021ee0	At getting hand jobs.	มืออาชีพด้านให้คนชักให้
line:e861b464	At least that's what I've heard anyway.	อย่างน้อยก็ได้ยินมาแบบนั้น
line:2f54ceec	At least you can still use your hands. Heh.	อย่างน้อยนายก็ยังใช้มือได้ หึ
line:cb04e062	At least you can still use your hands. Heh.	อย่างน้อยนายก็ยังใช้มือได้ หึ
line:97792929	Aw, I'll go get you the gate.	อ๋า เดี๋ยวผมเปิดประตูให้
line:c6895517	Aw, Ryan.	โธ่ ไรอัน
line:db997182	Aw, thank you Alexander.	อ๋า ขอบคุณ อเล็กซานเดอร์
line:7157db26	Aw, thanks Alexander.	อ๋า ขอบคุณ อเล็กซานเดอร์
line:011f1458	Aw, thanks.	อ๋า ขอบคุณ
line:aea0be6b	Aw, thanks.	อ๋า ขอบคุณ
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	อ๋า ขอบคุณ ผมดูดีได้ก็เพราะคุณอาบน้ำให้!
line:453ff9be	Aw- Ryan...	โธ่ ไรอัน...
line:5340a315	Aw... Thanks!	อ๋า... ขอบคุณ!
line:c6202cf2	Aw... Thanks.	อ๋า... ขอบคุณ
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	อ๋า... ขอบคุณ จะแปลกไหมถ้าผมคิดว่าคุณเป็น...
line:2bfa396c	Aw... That's really sweet	อ๋า... น่ารักจริงๆ
line:22053f7f	Awesome!	เยี่ยม!
line:6fdb2c3d	Awesome!	เยี่ยม!
line:70306ba1	Awesome!	เยี่ยม!
line:6126a614	Awesome! Come on in..	เยี่ยม! เข้ามาเลย...
line:e85007ac	Awesome! See you later then!	เยี่ยม! งั้นเจอกัน!
line:4c7f15d6	Awesome, I'll go get the gate.	เยี่ยม ผมจะเปิดประตู
line:9d126e4e	Awesome, I'm glad.	เยี่ยม ดีใจจัง
line:b60cc4a5	Awesome.	เยี่ยม
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	อ๋า ไม่ต้องเปื้อนหมึกก็แวะมาทักได้!
line:8e20e028	Be yourself!	เป็นตัวเองสิ!
line:cd18f73f	Been looking forward to this.	ตั้งตารอเรื่องนี้อยู่
line:8f1fccf9	Being muddy is really fun up until it starts drying.	เปื้อนโคลนสนุกนะ จนมันเริ่มแห้ง
line:40783547	Berries.	เบอร์รี
line:59d4be6a	Berries.	เบอร์รี
line:61e781c1	Berries.	เบอร์รี
line:18ae08ef	Bet you had fun.	ต้องสนุกแน่เลย
line:982fd3c7	big C...?	บิ๊กซี...?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	ชีววิทยา...? <size=70%> <i>มั้ง?
line:9be63f47	Bleh. Thank you for grabbing that.	แหวะ ขอบคุณที่หยิบให้
line:66957ed2	Blue...?	สีฟ้า...?
line:a77c3afd	Both.	ทั้งคู่
line:78975048	Brrr! Cold water!	บรื๋อ! น้ำเย็น!
line:8487a2c4	Burnswick Community College of Thaumaturgy	วิทยาลัยชุมชนเวทมนตร์เบิร์นสวิก
line:f75126de	But honestly you've helped me a lot.	แต่พูดจริงๆ คุณช่วยผมมากเลย
line:cab69268	But I already know I'm liking this a lot.	แต่รู้แล้วว่าผมชอบแบบนี้มาก
line:d9534386	But I know the type... They tend to be big softies on the inside.	แต่ผมรู้จักคนแบบนี้... ข้างในมักใจอ่อนมาก
line:f73ddfbc	But I think its time to get cleaned up.	แต่คงถึงเวลาล้างออกแล้ว
line:088ea4a7	But I'm hot shit, so I'll be fine.	แต่ฉันหล่อโคตรๆ คงไม่เป็นไรหรอก
line:c8f8bc22	But I'm only your washer?	แต่ผมเป็นแค่คนอาบน้ำให้คุณ?
line:dda0419b	But I'm sure I'd enjoy it with you!	แต่ดูกับคุณต้องสนุกแน่!
line:aa74448a	But not in this sized package, right??	แต่ไม่ใช่บนร่างขนาดนี้ใช่ไหม??
line:7d9ffc48	But nothing beats a large gulp!	แต่ไม่มีอะไรสู้กลืนคำโตๆ ได้!
line:d1ec7684	But that is why I am here!	แต่นั่นคือเหตุผลที่ผมมาที่นี่!
line:b0d9d1e5	But you're the teacher dragon.	แต่คุณเป็นมังกรครูนี่
line:2d7e1ab6	But, at least I got to meet you!	แต่อย่างน้อยผมก็ได้เจอคุณ!
line:b7f46902	But, I think you've taught me something.	แต่คิดว่าคุณสอนอะไรผมอย่างหนึ่ง
line:b1040415	By the stars! No no. You're excellent.	ให้ตายสิ! ไม่ๆ คุณดีมาก
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	ว่าแต่คุณจะโกรธไหมถ้าแฟนทำบ้านเลอะ?
line:4199070f	Came in for another wash.	มาอาบน้ำอีกครั้ง
line:105cd3e2	Can I ask you a question?	ขอถามอะไรหน่อยได้ไหม?
line:535ee717	Can you repeat that?	พูดอีกทีได้ไหม?
line:835e0c27	Can't sthpeak well.	พูดไม่ถนัดเยย
line:afa450c0	Come back whenever, Ryan.	กลับมาได้ทุกเมื่อ ไรอัน
line:0cedfc3d	Conrad can go as long as he needs	คอนราดทำได้นานเท่าที่ต้องการ
line:5462913f	conrad hooked up with ryan	คอนราดคบกับไรอัน
line:61cd33c5	conrad hooked up with ryan	คอนราดคบกับไรอัน
line:6a7610f3	conrad hooked up with ryan	คอนราดคบกับไรอัน
line:bac1ce29	conrad hooked up with ryan	คอนราดคบกับไรอัน
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	คอนราดต้องอาบน้ำ มีคิวให้ไหม?
line:405b7ef1	Conrad needs a wash!	คอนราดต้องอาบน้ำ!
line:803c8f0c	Conrad was talking about you during our date.	คอนราดพูดถึงคุณตอนเราเดตกัน
line:f1787092	Conrad!	คอนราด!
line:fd6c6213	Conrad!	คอนราด!
line:484cd04d	Conrad...?	คอนราด...?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: จริงๆ แล้ว... หมายถึง...
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: คอนราดก็แค่กำลังสนุก
line:fbe86c06	Conrad: Damn right!	Conrad: แน่นอนอยู่แล้ว!
line:5660dc8b	Conrad: Don't worry about it!	Conrad: ไม่ต้องห่วงเรื่องนั้น!
line:c050dbfc	Conrad: I do it all the time	Conrad: ฉันทำประจำ
line:cd3367da	Conrad: I want this to go well	Conrad: ฉันอยากให้มันไปได้ดี
line:194c1381	Conrad: I'm ready to blow	Conrad: ฉันพร้อมแตกแล้ว
line:ce4d0fef	Conrad: Yea	Conrad: อืม
line:42c70daa	Conrad: You feel good	Conrad: นายทำให้รู้สึกดี
line:3bc52918	Conrad: You having a good time?	Conrad: สนุกไหม?
line:be0e51af	Cool.	เจ๋ง
line:88c36bc7	Could do that, then get a hotel room... Hmm.	ไปที่นั่นแล้วหาห้องโรงแรม... อืม
line:b99e1503	Could you ask <i>me</i> a question?	คุณช่วยถามคำถาม<i>ผม</i>หน่อยได้ไหม?
line:12bf5baf	Could you get the gate...?	ช่วยเปิดประตูได้ไหม...?
line:3a6afae1	Could you go get the gate?	ช่วยไปเปิดประตูหน่อยได้ไหม?
line:9f49d9d4	Could you wash it away?	ช่วยล้างออกหน่อย?
line:7661a0e9	D'aw... thanks.	อ๋า... ขอบคุณ
line:59bc5840	Damn right I do!	แน่นอน ฉันดูดี!
line:64889395	Damn right!	แน่นอนอยู่แล้ว!
line:95aa0bf4	Damn right!	แน่นอนอยู่แล้ว!
line:db592d76	Damn right!	แน่นอนอยู่แล้ว!
line:0fcf9908	Damn right.	แน่นอนอยู่แล้ว
line:b964c99b	Damn shame then. Better change that.	น่าเสียดายชะมัด เปลี่ยนซะดีกว่า
line:c6955ecc	Damn, you know how to use your hands.	แม่ง นายใช้มือเก่งนะ
line:eaf45022	Damn, you know how to use your hands.	แม่ง นายใช้มือเก่งนะ
line:684fb29a	Damn... Always feels good.	แม่ง... สบายเสมอเลย
line:7023cc94	DATE NIGHT!	คืนเดต!
line:c71df70b	Date night!	คืนเดต!
line:b57cc8ad	Depends	แล้วแต่
line:07bd7f57	Did you do your uh...	วันนี้นายทำ เอ่อ...
line:4f38655d	Do I look like I'm okay?	ดูเหมือนฉันโอเคเหรอ?
line:8147156a	Do it!	ปล่อยเลย!
line:9ab6ddfb	Do you also do "special endings" here?	ที่นี่มี “บริการส่งท้ายพิเศษ” ด้วยไหม?
line:4c90479c	Do you ask because I'm lavender?	ถามเพราะผมสีลาเวนเดอร์เหรอ?
line:3020c97c	Do you believe I am attractive?	คุณคิดว่าผมน่าดึงดูดไหม?
line:c5e71850	Do you even need a wash?	คุณต้องอาบน้ำจริงๆ เหรอ?
line:1810e75f	Do you have any advice?	มีคำแนะนำไหม?
line:6be807b5	Do you have any plans with ryan?	มีแผนอะไรกับไรอันไหม?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	รู้จักที่เจ๋งๆ หรือคนที่ฉันจะไปเที่ยวด้วยได้ไหม?
line:412ba249	Do you know any good bars?	รู้จักบาร์ดีๆ ไหม?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	รู้จักใครที่ผมพอจะคุยด้วยได้ไหม? แบบ... เรื่องความสัมพันธ์น่ะ?
line:21c0526b	Do you like being big?	คุณชอบที่ตัวใหญ่ไหม?
line:daa040eb	Do you like purple?	คุณชอบสีม่วงไหม?
line:ef052302	Do you like purple?	คุณชอบสีม่วงไหม?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	ที่นี่ทำให้มังกรตัวใหญ่ <size=60%>อย่างฉัน <size=100%>แตกได้ไหม?
line:ec64a696	Do you mind double checking if I'm clean?	ช่วยเช็กอีกทีได้ไหมว่าสะอาดแล้ว?
line:647187f1	Do you want to say what happened...?	อยากเล่าไหมว่าเกิดอะไรขึ้น...?
line:807df02d	Do you want to use it?	อยากใช้ไหม?
line:5c42b85a	Doesn't mean I need to yell at you.	แต่ก็ไม่ได้แปลว่าต้องตะโกนใส่นาย
line:eefa8ae2	Don't be sorry! Get a mount!	ไม่ต้องขอโทษ! หาแท่นมาสิ!
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	ไม่ต้องห่วง มังกรเกิดมาให้กินได้ทุกอย่าง
line:b90b01a9	Don't worry, he's real nice.	ไม่ต้องห่วง เขานิสัยดีจริงๆ
line:7de2a81c	Don't worry. I will.	ไม่ต้องห่วง จะเล่า
line:c29d4071	Don't... make it sound like that.	อย่า... พูดเสียงแบบนั้น
line:31bdd33c	Dont talk with your mouth full	อย่าพูดตอนปากเต็ม
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	ประวัติศาสตร์มังกรซับซ้อน ตราประดับ <size=85%> มักถูกสวม <size=70%> โดยมังกรเพื่อ <size=55%>แสดงว่าอยู่ตระกูลไหน! <size=40%> เป็นสัญลักษณ์มรดกทางวัฒนธรรม <size=35%> และครอบครัวที่น่าสนใจ ผมเคยคิดบ่อยๆ ว่าควรใส่ของตัวเองต่อไหม <size=20%> แต่สายสัมพันธ์ทางวัฒนธรรมและครอบครัวสำคัญในตำนานมังกร! ผมจึงต้องทำตาม <size=10%> น้ำ ดิน ไฟ ลม นานมาแล้ว สี่ชนชาติอยู่ร่วมกันอย่างสงบ แล้วทุกอย่างก็เปลี่ยนไปเมื่อชาติอัคคีบุกโจมตี
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	กระเพาะมังกร... ทนกว่าของคุณหน่อย
line:7e352505	Dragons of the galaxy 2	มังกรพิทักษ์จักรวาล 2
line:c2c659d1	Eep!	อี๊!
line:0bd1699e	Ehh..	เอ่อ...
line:43dd32f5	Er... That's not-	เอ่อ... ไม่ใช่...
line:93b60dce	Even so. Not this time	ถึงอย่างนั้น ครั้งนี้ไม่
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	ถึงคุณจะแค่ทำงาน... ผมว่าก็ช่วยเขามาก
line:a2ba222e	Evening. This establishment takes walk ins, correct?	สวัสดีตอนเย็น ที่นี่รับลูกค้าที่ไม่ได้นัดใช่ไหม?
line:f98c3b6c	Every ending here is special!	ที่นี่ทุกตอนจบพิเศษหมด!
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	พ่อมดที่เคารพตัวเองทุกคนย่อมมีขนนกฟีนิกซ์ติดตัว
line:57df700d	Everyone's gaze carries an immense weight.	สายตาของทุกคนหนักอึ้งเหลือเกิน
line:9ad8d2dd	Excellent!	เยี่ยมมาก!
line:0c997163	Excellent.	ดีมาก
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	เยี่ยม งั้นอย่าลืมไปทักลูกค้าที่หน้าต่าง
line:7bbe7ee3	Expectations are laaaame.	ความคาดหวังนี่น่าเบื่อออ
line:f99eb2ff	Ey! The mount! Fuck yeah.	เฮ้! แท่น! แม่ง เยี่ยม
line:d376acb9	Ey, so. Was thinkin'	นี่ คือฉันคิดว่า
line:85ec0862	Ey, sorry for coming in late.	นี่ โทษทีที่มาดึก
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	เฮ้ ใช้มือกับควยฉันสิ สบายดี!
line:271a3846	Fair enough. I'll be waiting!	ก็สมเหตุสมผล ผมจะรอ!
line:4789095b	Fair enough. You two do seem cute together.	ก็ได้ พวกนายดูน่ารักด้วยกันนะ
