# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Hei, anjing besar.
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> Aku kenal naga bernama Ryan. Bagaimana kalau kukenalkan kalian? </b></gradient><size=70%>(Membuka pasangan Conrad/Ryan ATAU romansa Ryan)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> Aku mau saja menghabiskan waktu bersamamu... </b></gradient><size=70%> (Membuka romansa Conrad)
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> Saya tidak keberatan! </b></gradient><size=70%> (Mengarah ke romansa Alexander!)
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> Saya akan sibuk malam ini. Maaf. </b></gradient><size=70%> (Mengarah ke akhir tanpa romansa!)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>Saat ini tidak ada yang terpikir.</b></gradient><size=70%> (Mengunci pilihan romansa Conrad!)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>Aku kenal seekor naga merah. Kurasa kamu akan menyukainya! </b></gradient><size=70%> (Menjodohkan Ryan dengan Conrad!)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>Oh. Ehm. <size=70%> Aku mau saja... kalau aku orang itu. </b></gradient><size=70%> (Mengunci pilihan romansa Ryan!)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>HEI! </gradient><size=100%>Ini tempat mandi itu, kan?
line:c777ce0c	<i> that feels nice...</i>	<i> Rasanya enak...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>Waduh... Dan buku-bukunya.
line:d67b1098	<i>I like spraying you with water.	<i>Aku suka menyemprotmu dengan air.
line:ad5d633a	<i>Oh...	<i>Oh...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>Oh.</i> Saya rasa belum siap untuk itu.
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>Ooooh. </i>Alatnya? Anjir, mantap, kawan.
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	<i>Ini</i> bukan salahmu, Conrad.
line:72b244b7	<size=100%> That felt damn good!	<size=100%> Enak banget tadi!
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>Maksudku... Keren.
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%> ANJIR, MANTAP!
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>HEI, <size=100%>aku mau mandi.
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>ANJIR, MANTAP!
line:f5462edf	<size=60%> that's hot.	<size=60%>Seksi sekali.
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>Naga besar menyerahkan kendali kepada saya. Wah.
line:53d71f27	<size=70%> And for me.	<size=70%> Dan untukku.
line:4fe271cc	<size=70%> woah.	<size=70%>Wah.
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>Astaga, aku baru saja dapat kencan dengan naga.
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>Tapi menyenangkan... Terima kasih.
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>Silakan teruskan...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>Oh...</i> Tidak, justru aku senang sekali.
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>Wah...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>Oh ya?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>Mereka masih saya gaji.
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	Beberapa hari lalu...
line:c570a462	A rather good excuse to see my favorite kobold.	Alasan yang bagus untuk menemui kobold favorit saya.
line:5d2d16e0	A really good friend?	Teman yang sangat baik?
line:df4d3810	About earlier.	Soal tadi.
line:1a5e1ba4	Act what way?	Bersikap bagaimana?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	Setelah dia tiba-tiba terbakar, saya memastikan dia mendapat privasi.
line:a983ffa3	Again...?	Lagi...?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	Setuju, tapi saya tetap ingin masuk sesegera mungkin.
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	Ah ya, begitu... Teruskan.
line:e216aee0	Ah, good.	Ah, bagus.
line:9b26ac5f	Ah, I see the button there, gotcha!	Ah, aku lihat tombolnya di sana. Mengerti!
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	Ah, maaf. Saya sangat antusias soal hal-hal seperti ini.
line:bf2a8309	Ah, the grime did sting a little, thank you.	Ah, kotorannya memang agak perih. Terima kasih.
line:ebdb9888	Ah, yeah, those types are pretty cute.	Ah ya, tipe seperti itu cukup imut.
line:b920f205	Ah. Do not worry.	Ah, tidak perlu khawatir.
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	Ah, oke. Kalau begitu kutarik permintaan maafku.
line:6de2c490	Ah...	Ah...
line:4d6b365e	Ahh, all cleaned and with a lighter load.	Ahh, sudah bersih dan muatan berkurang.
line:20f96302	Alexander!	Alexander!
line:f167e3d7	Alexander!	Alexander!
line:fe3996b8	Alexander!	Alexander!
line:af7db134	Alexander...?	Alexander...?
line:eb7cf9e5	All clean...	Sudah bersih...
line:f57fc630	All done!	Selesai!
line:0b734d82	All self respecting washers know how to please a dragon.	Petugas pemandian naga yang menghargai pekerjaannya pasti tahu cara memuaskan naga.
line:599ffb25	Already got seats at that bar I mentioned earlier.	Sudah memesan kursi di bar yang kusebut tadi.
line:642ddea3	Alright alright... Then I think I'd like to use it?	Baik, baik... Kalau begitu sepertinya saya ingin memakainya?
line:c7b3a185	Alright! I'll go get the gate.	Oke! Aku buka gerbangnya dulu.
line:7279121a	Alright! I'll go get you the gate.	Oke! Saya buka gerbangnya untuk Anda.
line:4fc4259c	Alright! I'm ready to go.	Oke! Aku siap berangkat.
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	Oke, buka gerbangnya dan aku akan berangkat ke sana!
line:d04df8f8	Alright, I'll cya!	Oke, sampai jumpa!
line:4766af08	Alrighty! That should be it.	Oke! Seharusnya sudah selesai.
line:797ca540	Alrighty. All clean.	Oke. Sudah bersih semua.
line:c4cb161a	Although grapes have always hit a specific craving.	Tapi anggur selalu pas untuk rasa yang sedang kuinginkan.
line:dc237557	Although, the portions might be a bit... dragon sized.	Tapi porsinya mungkin agak... ukuran naga.
line:655b8c01	Always happy to have you, Conrad.	Selalu senang menerima kamu, Conrad.
line:afedd1f5	An anomaly.	Sebuah anomali.
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	Aku juga senang kamu punya kotak P3K... Persiapanmu lengkap.
line:0699aef9	And I'm really happy for you and Conrad.	Aku juga sangat bahagia untukmu dan Conrad.
line:a3a26459	And not just physically.	Bukan hanya secara fisik.
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	Itulah sebabnya aku di sini! Setelah mandi, aku pergi menemuinya.
line:33440e8c	And why you are perfect for this job!	Dan alasan Anda sangat cocok untuk pekerjaan ini!
line:cacb93ce	And you've tried everything.	Dan kamu sudah mencoba segala cara...
line:8cae6240	Another dragon? Usually I don't really get along...	Naga lain? Biasanya aku tidak terlalu akur...
line:5a7e4fd4	Any chance you can clean me up again?	Mungkin kamu bisa membersihkanku lagi?
line:92d2a30a	Anything. I'm just curious.	Apa saja. Saya hanya penasaran.
line:52695aa2	Anything?	Apa saja?
line:8ead9ee9	Anytime, Ryan.	Kapan saja, Ryan.
line:6d77feef	Anyway glad you're not finished, lets keep at it!	Pokoknya, senang kamu belum selesai. Ayo lanjutkan!
line:bdb4f59c	Anyway, time to get writing!	Pokoknya, saatnya mulai menulis!
line:75dd56ae	Anyways,	Pokoknya,
line:8980260e	Anyways-	Pokoknya...
line:a8e6291c	Anyways- Let me out.	Pokoknya... Biarkan aku keluar.
line:493a82ef	Anyways. Could you go get the gate?	Pokoknya, bisa buka gerbangnya?
line:926f5f41	Anyways. Gonna use this thing now!	Pokoknya, sekarang aku mau memakai ini!
line:ad8ab02e	Anyways...	Pokoknya...
line:e767dc51	Anywho, I'll get out of your scales now.	Pokoknya, saya tidak akan mengganggu Anda lagi.
line:e81426c1	Anywho, I'm in need of a clean.	Pokoknya, saya perlu dibersihkan.
line:23e7d518	Approach the dragon entrance, and I will let you in.	Datanglah ke pintu masuk naga, saya akan membukakannya.
line:72a9b5bb	Are you happy?	Anda bahagia?
line:be0118cc	Are you okay?	Kamu baik-baik saja?
line:de735c65	Are you open right now?	Anda sedang buka?
line:9369755d	Are you sure it will fit?	Kamu yakin muat?
line:c35b717a	Are you sure...? In front of the food?	Kamu yakin...? Di depan makanan?
line:cb06d2bf	As am I.	Saya juga.
line:9a48b21c	As in you're unique.	Maksud saya, Anda unik.
line:1c021ee0	At getting hand jobs.	Dalam urusan dikocok.
line:e861b464	At least that's what I've heard anyway.	Setidaknya begitu yang kudengar.
line:2f54ceec	At least you can still use your hands. Heh.	Setidaknya kamu masih bisa pakai tangan. Heh.
line:cb04e062	At least you can still use your hands. Heh.	Setidaknya kamu masih bisa pakai tangan. Heh.
line:97792929	Aw, I'll go get you the gate.	Ah, aku buka gerbangnya untukmu.
line:c6895517	Aw, Ryan.	Ah, Ryan.
line:db997182	Aw, thank you Alexander.	Ah, terima kasih, Alexander.
line:7157db26	Aw, thanks Alexander.	Ah, terima kasih, Alexander.
line:011f1458	Aw, thanks.	Ah, makasih.
line:aea0be6b	Aw, thanks.	Ah, makasih.
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	Ah, makasih. Aku kelihatan sebagus ini hanya karena kamu memandikanku!
line:453ff9be	Aw- Ryan...	Ah, Ryan...
line:5340a315	Aw... Thanks!	Ah... Terima kasih!
line:c6202cf2	Aw... Thanks.	Ah... Terima kasih.
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	Ah... Makasih. Aneh tidak kalau aku menganggapmu...
line:2bfa396c	Aw... That's really sweet	Ah... Manis sekali.
line:22053f7f	Awesome!	Bagus sekali!
line:6fdb2c3d	Awesome!	Bagus sekali!
line:70306ba1	Awesome!	Bagus sekali!
line:6126a614	Awesome! Come on in..	Bagus sekali! Masuklah...
line:e85007ac	Awesome! See you later then!	Bagus sekali! Sampai nanti!
line:4c7f15d6	Awesome, I'll go get the gate.	Bagus, aku buka gerbangnya dulu.
line:9d126e4e	Awesome, I'm glad.	Bagus, aku senang.
line:b60cc4a5	Awesome.	Bagus sekali.
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	Ahh. Tidak perlu berlumuran tinta untuk menyapa!
line:8e20e028	Be yourself!	Jadi diri sendiri!
line:cd18f73f	Been looking forward to this.	Aku sudah lama menantikan ini.
line:8f1fccf9	Being muddy is really fun up until it starts drying.	Berlumpur itu sangat seru, sampai lumpurnya mulai mengering.
line:40783547	Berries.	Buah beri.
line:59d4be6a	Berries.	Buah beri.
line:61e781c1	Berries.	Buah beri.
line:18ae08ef	Bet you had fun.	Pasti kamu senang sekali.
line:982fd3c7	big C...?	C besar...?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	Biologi...? <size=70%> <i>Kurasa?
line:9be63f47	Bleh. Thank you for grabbing that.	Bleh. Terima kasih sudah mengambilnya.
line:66957ed2	Blue...?	Biru...?
line:a77c3afd	Both.	Keduanya.
line:78975048	Brrr! Cold water!	Brrr! Air dingin!
line:8487a2c4	Burnswick Community College of Thaumaturgy	Akademi Komunitas Taumaturgi Burnswick
line:f75126de	But honestly you've helped me a lot.	Tapi jujur, kamu sudah banyak membantuku.
line:cab69268	But I already know I'm liking this a lot.	Tapi aku sudah tahu aku sangat menikmatinya.
line:d9534386	But I know the type... They tend to be big softies on the inside.	Tapi aku tahu tipenya... Biasanya hati mereka lembut.
line:f73ddfbc	But I think its time to get cleaned up.	Tapi kurasa sudah waktunya dibersihkan.
line:088ea4a7	But I'm hot shit, so I'll be fine.	Tapi aku keren banget, jadi pasti baik-baik saja.
line:c8f8bc22	But I'm only your washer?	Tapi saya hanya memandikan Anda?
line:dda0419b	But I'm sure I'd enjoy it with you!	Tapi aku pasti menikmatinya kalau bersamamu!
line:aa74448a	But not in this sized package, right??	Tapi bukan di tubuh seukuran ini, kan??
line:7d9ffc48	But nothing beats a large gulp!	Tapi tidak ada yang mengalahkan menelan satu suapan besar!
line:d1ec7684	But that is why I am here!	Tapi itulah sebabnya saya di sini!
line:b0d9d1e5	But you're the teacher dragon.	Tapi Andalah naga guru itu.
line:2d7e1ab6	But, at least I got to meet you!	Tapi setidaknya aku bisa mengenalmu!
line:b7f46902	But, I think you've taught me something.	Tapi sepertinya Anda sudah mengajari saya sesuatu.
line:b1040415	By the stars! No no. You're excellent.	Demi bintang-bintang! Tidak, tidak. Anda sangat baik.
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	Omong-omong, kamu akan marah kalau pasanganmu membuat rumah berantakan?
line:4199070f	Came in for another wash.	Aku datang untuk mandi lagi.
line:105cd3e2	Can I ask you a question?	Boleh aku bertanya?
line:535ee717	Can you repeat that?	Bisa diulangi?
line:835e0c27	Can't sthpeak well.	Fusah bicara.
line:afa450c0	Come back whenever, Ryan.	Datang lagi kapan saja, Ryan.
line:0cedfc3d	Conrad can go as long as he needs	Conrad bisa terus melakukannya selama yang diperlukan.
line:5462913f	conrad hooked up with ryan	Conrad berpasangan dengan Ryan.
line:61cd33c5	conrad hooked up with ryan	Conrad berpasangan dengan Ryan.
line:6a7610f3	conrad hooked up with ryan	Conrad berpasangan dengan Ryan.
line:bac1ce29	conrad hooked up with ryan	Conrad berpasangan dengan Ryan.
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	Conrad butuh dibersihkan. Ada tempat buat dia?
line:405b7ef1	Conrad needs a wash!	Conrad butuh mandi!
line:803c8f0c	Conrad was talking about you during our date.	Conrad membicarakanmu saat kencan kami.
line:f1787092	Conrad!	Conrad!
line:fd6c6213	Conrad!	Conrad!
line:484cd04d	Conrad...?	Conrad...?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: Sebenarnya... Maksudku...
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: Conrad cuma menikmati momennya.
line:fbe86c06	Conrad: Damn right!	Conrad: Jelas dong!
line:5660dc8b	Conrad: Don't worry about it!	Conrad: Jangan khawatir!
line:c050dbfc	Conrad: I do it all the time	Conrad: Aku sering melakukannya.
line:cd3367da	Conrad: I want this to go well	Conrad: Aku ingin ini berjalan baik.
line:194c1381	Conrad: I'm ready to blow	Conrad: Aku sudah mau klimaks.
line:ce4d0fef	Conrad: Yea	Conrad: Ya.
line:42c70daa	Conrad: You feel good	Conrad: Rasanya enak bersamamu.
line:3bc52918	Conrad: You having a good time?	Conrad: Kamu menikmatinya?
line:be0e51af	Cool.	Keren.
line:88c36bc7	Could do that, then get a hotel room... Hmm.	Bisa ke sana, lalu pesan kamar hotel... Hmm.
line:b99e1503	Could you ask <i>me</i> a question?	Bisakah Anda bertanya kepada <i>saya</i>?
line:12bf5baf	Could you get the gate...?	Bisakah Anda membuka gerbang...?
line:3a6afae1	Could you go get the gate?	Bisa buka gerbangnya?
line:9f49d9d4	Could you wash it away?	Bisa dibilas?
line:7661a0e9	D'aw... thanks.	Ah... Makasih.
line:59bc5840	Damn right I do!	Jelas aku kelihatan bagus!
line:64889395	Damn right!	Jelas dong!
line:95aa0bf4	Damn right!	Jelas dong!
line:db592d76	Damn right!	Jelas dong!
line:0fcf9908	Damn right.	Jelas.
line:b964c99b	Damn shame then. Better change that.	Sayang sekali. Sebaiknya diubah.
line:c6955ecc	Damn, you know how to use your hands.	Sial, kamu memang tahu cara memakai tangan.
line:eaf45022	Damn, you know how to use your hands.	Sial, kamu memang tahu cara memakai tangan.
line:684fb29a	Damn... Always feels good.	Sial... Selalu enak.
line:7023cc94	DATE NIGHT!	MALAM KENCAN!
line:c71df70b	Date night!	Malam kencan!
line:b57cc8ad	Depends	Tergantung.
line:07bd7f57	Did you do your uh...	Hari ini kamu mengubah...
line:4f38655d	Do I look like I'm okay?	Kelihatannya aku baik-baik saja?
line:8147156a	Do it!	Lakukan!
line:9ab6ddfb	Do you also do "special endings" here?	Di sini ada «akhir bahagia» juga?
line:4c90479c	Do you ask because I'm lavender?	Anda bertanya karena warna saya ungu muda?
line:3020c97c	Do you believe I am attractive?	Apakah Anda menganggap saya menarik?
line:c5e71850	Do you even need a wash?	Kamu memang perlu mandi?
line:1810e75f	Do you have any advice?	Ada saran?
line:6be807b5	Do you have any plans with ryan?	Kamu punya rencana dengan Ryan?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	Kamu tahu tempat seru atau orang asyik yang bisa kuajak nongkrong?
line:412ba249	Do you know any good bars?	Kamu tahu bar yang bagus?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	Kamu kenal seseorang yang bisa kuajak bicara? Soal... urusan asmara?
line:21c0526b	Do you like being big?	Anda suka bertubuh besar?
line:daa040eb	Do you like purple?	Anda suka ungu?
line:ef052302	Do you like purple?	Anda suka ungu?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	Di sini kalian bisa bikin naga besar, <size=60%>sepertiku, <size=100%>keluar?
line:ec64a696	Do you mind double checking if I'm clean?	Bisa periksa lagi apakah aku sudah bersih?
line:647187f1	Do you want to say what happened...?	Mau cerita apa yang terjadi...?
line:807df02d	Do you want to use it?	Anda ingin memakainya?
line:5c42b85a	Doesn't mean I need to yell at you.	Bukan berarti aku perlu membentakmu.
line:eefa8ae2	Don't be sorry! Get a mount!	Jangan minta maaf! Beli alatnya!
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	Jangan khawatir, naga memang bisa makan apa saja.
line:b90b01a9	Don't worry, he's real nice.	Jangan khawatir, dia sangat baik.
line:7de2a81c	Don't worry. I will.	Tenang, pasti.
line:c29d4071	Don't... make it sound like that.	Jangan... bilang begitu.
line:31bdd33c	Dont talk with your mouth full	Jangan bicara saat mulut penuh.
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	Sejarah naga itu rumit. Lambang hiasan <size=85%> sering <size=70%> dikenakan naga untuk <size=55%>menunjukkan keluarga asal mereka! <size=40%> Itu penanda menarik dari warisan budaya <size=35%> dan keluarga mereka. Saya sering bertanya-tanya apakah perlu terus mengenakan milik saya. <size=20%> Tapi ikatan budaya dan keluarga dianggap penting dalam tradisi naga! Jadi saya harus mematuhinya. <size=10%> Air. Tanah. Api. Udara. Dahulu kala, keempat negara hidup harmonis. Lalu semuanya berubah ketika Negara Api menyerang.
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	Lambung naga sedikit lebih... kuat daripada punyamu.
line:7e352505	Dragons of the galaxy 2	Naga Galaksi 2
line:c2c659d1	Eep!	Iip!
line:0bd1699e	Ehh..	Ehh...
line:43dd32f5	Er... That's not-	Ehm... Bukan itu...
line:93b60dce	Even so. Not this time	Meski begitu, jangan kali ini.
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	Walaupun kamu hanya menjalankan tugas... Kurasa itu sangat membantunya.
line:a2ba222e	Evening. This establishment takes walk ins, correct?	Selamat malam. Tempat ini menerima pelanggan tanpa janji, benar?
line:f98c3b6c	Every ending here is special!	Di sini semua akhirnya bahagia!
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	Setiap penyihir yang menghargai dirinya selalu menyiapkan bulu feniks.
line:57df700d	Everyone's gaze carries an immense weight.	Tatapan semua orang membawa beban yang sangat berat.
line:9ad8d2dd	Excellent!	Bagus sekali!
line:0c997163	Excellent.	Bagus sekali.
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	Bagus. Jangan lupa menyapa pelangganmu di jendela.
line:7bbe7ee3	Expectations are laaaame.	Ekspektasi itu menyebalkaaan.
line:f99eb2ff	Ey! The mount! Fuck yeah.	Hei! Alatnya! Anjir, mantap.
line:d376acb9	Ey, so. Was thinkin'	Hei, jadi... Aku berpikir...
line:85ec0862	Ey, sorry for coming in late.	Hei, maaf datang selarut ini.
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	Hei, pakai tanganmu di kontolku... Enak!
line:271a3846	Fair enough. I'll be waiting!	Baiklah. Saya tunggu!
line:4789095b	Fair enough. You two do seem cute together.	Masuk akal. Kalian memang manis bersama.
line:f5b37855	Felt good sliding down though!	Tapi enak saat meluncur turun!
line:274367d7	Figured I'd bring in something nice after all you've done.	Kupikir aku perlu membawa sesuatu yang enak setelah semua bantuanmu.
line:aae8afca	Fine with me!	Bagi saya tidak masalah!
line:e98616be	For you!	Untukmu!
line:62a82aba	Found this one gryphon. About my size...	Aku menemukan seekor griffin. Kira-kira seukuranku...
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	Dari yang kudengar, dia sudah banyak berubah belakangan ini, ya?
line:803bf378	Fuck man, I'm so pumped.	Sial, aku tidak sabar.
line:f2418086	Fuck no! Shit's embarrassing.	Sial, tidak! Memalukan sekali.
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	Meniduri sesuatu, lalu semoga ada yang mengocokkanku.
line:203bce10	Fuuuck. You really know how to work a dragon!	Anjiiir. Kamu benar-benar tahu cara memuaskan naga!
line:f7f9b0db	G'day mate!	Halo, kawan!
line:664c994e	Gave me time to think.	Memberiku waktu untuk berpikir.
line:1d9b3531	Get a handjob and fuck this mount.	Dikocok dan mengentot alat ini.
line:48afdce4	Give it to me!	Berikan padaku!
line:9df043ad	Give me a bit	Beri aku waktu sebentar.
line:e5c7f64a	Glad I'm here to remind you then.	Untung aku datang mengingatkanmu.
line:354170aa	Go for it!	Silakan!
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	Malam ini aku ke pusat kota. Harus bersih sempurna dulu. Hei...
line:dcb506d2	Good as!	Mantap!
line:bcbc6373	Good evening!	Selamat malam!
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	Bagus. Akademi Komunitas Taumaturgi Burnswick tidak boleh tahu profesor terbaik mereka, Alexander, menyebabkan insiden lagi.
line:12b72085	Good, you better. If I come back and there isn't one...	Bagus, awas kalau tidak. Kalau aku kembali dan alatnya belum ada...
line:2c851dad	Good.	Syukurlah.
line:2712436c	Good. 'Aight, let me out.	Bagus. Oke, biarkan aku keluar.
line:bab51ada	Good... That'd be correct.	Enak... Itu kata yang tepat.
line:44f2b8cf	Goodbye!	Sampai jumpa!
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	Astaga, berkat Anda saya punya kesempatan memperbaiki situasi ini.
line:745c3c12	Gosh!	Astaga!
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	Harus <i>latihan</i> untuk Ryan, kalau kamu paham maksudku.
line:e3cef2bc	Gotta make sure you're spotless!	Harus memastikan kamu bersih sempurna!
line:b01b2159	Great, so uh,	Bagus, jadi, ehm...
line:43c94954	Grouse as! Excited to see you work!	Mantap! Tidak sabar melihatmu bekerja!
line:9de16ee9	Ha!	Hah!
line:88d7e1e2	Haah. This is the best fuckin' wash.	Haah. Anjir, ini tempat mandi paling mantap.
line:cc6e7856	Hah! There's the mount!	Hah! Itu dia alatnya!
line:90dd6d9d	Hah, eager as always.	Hah, penuh semangat seperti biasa.
line:9542e7a6	Hah, good. Let's break this thing in!	Hah, bagus. Ayo resmikan alat ini!
line:fe21109b	Hah, he seems like the wild type.	Hah, dia memang kelihatan tipe yang liar.
line:e8bc1d95	Hah, I imagine it would be.	Hah, aku bisa membayangkannya.
line:acbf628d	Hah, it is a motivator.	Hah, memang bisa jadi pendorong.
