# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	a, soweli suli o.
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> pimeja ni la, mi jo e pali mute. mi pakala. </b></gradient><size=70%> (ni li open e nasin pi olin ala!)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>tenpo ni la mi sona ala e jan pona.</b></gradient><size=70%> (ni li pana e nasin olin pi jan Konwa taso!)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>mi sona e akesi loje wan. mi pilin e ni: sina la ona li pona! </b></gradient><size=70%> (ni li wan e jan Wajan e jan Konwa lon nasin olin!)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>a. mmm. <size=70%> mi wile kin... mi ken jan ni. </b></gradient><size=70%> (ni li pana e nasin olin pi jan Wajan taso!)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>O! </gradient><size=100%>tomo ni li tomo telo, anu seme?
line:c777ce0c	<i> that feels nice...</i>	<i> ni li pilin pona...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>a pakala.. lipu kin
line:d67b1098	<i>I like spraying you with water.	<i>mi wile pana e telo tawa sina.
line:ad5d633a	<i>Oh...	<i>a...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>a.</i> mi pilin e ni: mi ken ala ni lon tenpo ni.
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>aaa. </i>ilo unpa? pakala, lon a.
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	jan Konwa o, sina mama ala e <i>ni</i>.
line:72b244b7	<size=100%> That felt damn good!	<size=100%>ni li pona suli tawa sijelo mi!
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>mi toki e... pona.
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%>PAKALA A, PONA!
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>toki a, <size=100%>mi wile e telo.
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>PAKALA, PONA A!
line:f5462edf	<size=60%> that's hot.	<size=60%> ni li pana e pilin unpa.
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%> akesi suli li pana e wawa lawa tawa mi. a.
line:53d71f27	<size=70%> And for me.	<size=70%> tawa mi kin.
line:4fe271cc	<size=70%> woah.	<size=70%> a.
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>pakala a, mi kama jo e tenpo olin lon poka akesi.
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>taso ni li pona... sina pona.
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>o awen pali lon wile sina...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>a...</i> ala. ni li pona mute tawa mi.
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>a...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>lon anu seme?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>mi awen pana e mani tawa ona.
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	tenpo suno pini lili la...
line:c570a462	A rather good excuse to see my favorite kobold.	ni li tan pona pi lukin mi tawa jan akesi lili pi pona nanpa wan mi.
line:5d2d16e0	A really good friend?	sina jan pona suli mi?
line:df4d3810	About earlier.	mi toki e ijo pi tenpo pini lili.
line:1a5e1ba4	Act what way?	pali seme?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	seli li open lon ona. ni li pini la mi pana e tenpo wan tawa ona.
line:a983ffa3	Again...?	sin...?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	mi pilin sama. taso sina ken la, mi wile kama insa lon tenpo poka.
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	a, lon. ni li pona. o awen pali.
line:e216aee0	Ah, good.	a, pona.
line:9b26ac5f	Ah, I see the button there, gotcha!	a, mi lukin e nena ilo ni. mi sona!
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	a, mi pakala. ijo ni li pona suli tawa mi.
line:bf2a8309	Ah, the grime did sting a little, thank you.	a, jaki li pakala lili e pilin selo. sina pona.
line:ebdb9888	Ah, yeah, those types are pretty cute.	a lon, jan sama ni li suwi.
line:b920f205	Ah. Do not worry.	a. o pilin ike ala.
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	a. pona, ni la mi weka e toki mi. mi pilin ike ala.
line:6de2c490	Ah...	a...
line:4d6b365e	Ahh, all cleaned and with a lighter load.	a, jaki li weka. telo insa mi li lili kin.
line:20f96302	Alexander!	jan Aleksanta o!
line:f167e3d7	Alexander!	jan Aleksanta a!
line:fe3996b8	Alexander!	jan Aleksanta o!
line:af7db134	Alexander...?	jan Aleksanta...?
line:eb7cf9e5	All clean...	jaki ale li weka...
line:f57fc630	All done!	ale li pini!
line:0b734d82	All self respecting washers know how to please a dragon.	jan pi telo akesi pona li sona e nasin pi pona sijelo tawa akesi.
line:599ffb25	Already got seats at that bar I mentioned earlier.	mi pini awen e ma mi lon tomo pi telo nasa ni: mi toki e ona lon tenpo pini.
line:642ddea3	Alright alright... Then I think I'd like to use it?	pona pona... ni la, mi pilin e ni: mi wile kepeken ona?
line:c7b3a185	Alright! I'll go get the gate.	pona! mi tawa open e lupa suli.
line:7279121a	Alright! I'll go get you the gate.	pona! mi tawa open e lupa suli tawa sina.
line:4fc4259c	Alright! I'm ready to go.	pona! mi ken tawa.
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	pona, o tawa open e lupa suli. mi tawa ma ni!
line:d04df8f8	Alright, I'll cya!	pona, mi lukin sin e sina!
line:4766af08	Alrighty! That should be it.	pona! mi pilin e ni: mi pini.
line:797ca540	Alrighty. All clean.	pona. jaki li weka.
line:c4cb161a	Although grapes have always hit a specific craving.	taso mi wile e moku wan la, kili lili ni li pona a tawa wile ni.
line:dc237557	Although, the portions might be a bit... dragon sized.	taso suli pi kipisi moku li ken... suli akesi.
line:655b8c01	Always happy to have you, Conrad.	jan Konwa o, sina lon ni la mi pilin pona lon tenpo ale.
line:afedd1f5	An anomaly.	ijo pi ante suli.
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	poki pi pona sijelo li lon sina. mi pilin pona... sina awen e ken pali ale.
line:0699aef9	And I'm really happy for you and Conrad.	mi pilin pona mute tan sina tan jan Konwa kin.
line:a3a26459	And not just physically.	ni li lon pilin kin. ona li lukin tawa sewi taso ala.
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	tan ni la mi lon ni! telo ni li pini la, mi tawa lukin e ona.
line:33440e8c	And why you are perfect for this job!	tan ni la sina pona tawa pali ni!
line:cacb93ce	And you've tried everything.	sina alasa e nasin pona ale.
line:8cae6240	Another dragon? Usually I don't really get along...	akesi ante? tenpo mute la mi pilin pona ala lon poka...
line:5a7e4fd4	Any chance you can clean me up again?	sina ken weka sin e jaki mi anu seme?
line:92d2a30a	Anything. I'm just curious.	ijo ale. mi wile sona taso.
line:52695aa2	Anything?	ijo ale?
line:8ead9ee9	Anytime, Ryan.	jan Wajan o, lon tenpo ale.
line:6d77feef	Anyway glad you're not finished, lets keep at it!	ni la, sina pini ala la mi pilin pona. o awen pali!
line:bdb4f59c	Anyway, time to get writing!	taso mi o open sitelen!
line:75dd56ae	Anyways,	ni la,
line:8980260e	Anyways-	taso...
line:a8e6291c	Anyways- Let me out.	taso o pana e ken weka tawa mi.
line:493a82ef	Anyways. Could you go get the gate?	ni la. sina ken tawa open e lupa suli anu seme?
line:926f5f41	Anyways. Gonna use this thing now!	taso mi kepeken ilo ni lon tenpo ni!
line:ad8ab02e	Anyways...	ni la...
line:e767dc51	Anywho, I'll get out of your scales now.	ni la, tenpo ni la mi tawa.
line:e81426c1	Anywho, I'm in need of a clean.	ni la, mi wile e weka jaki.
line:23e7d518	Approach the dragon entrance, and I will let you in.	o kama tawa lupa akesi. mi open tawa sina.
line:72a9b5bb	Are you happy?	sina pilin pona ala pona?
line:be0118cc	Are you okay?	sina pona anu seme?
line:de735c65	Are you open right now?	sina open lon tenpo ni anu seme?
line:9369755d	Are you sure it will fit?	sina sona a anu seme: ona li ken kama insa?
line:c35b717a	Are you sure...? In front of the food?	sina wile a anu seme...? lon sinpin moku?
line:cb06d2bf	As am I.	mi kin.
line:9a48b21c	As in you're unique.	mi toki e ni: sina sama ala ante.
line:1c021ee0	At getting hand jobs.	mi sona e kama jo pi musi luka.
line:e861b464	At least that's what I've heard anyway.	mi kute e ni.
line:2f54ceec	At least you can still use your hands. Heh.	taso sina ken kepeken luka sina. a.
line:cb04e062	At least you can still use your hands. Heh.	taso sina ken kepeken luka sina. a.
line:97792929	Aw, I'll go get you the gate.	a, mi tawa open e lupa suli tawa sina.
line:c6895517	Aw, Ryan.	a, jan Wajan o.
line:db997182	Aw, thank you Alexander.	a, sina pona, jan Aleksanta o.
line:7157db26	Aw, thanks Alexander.	a, sina pona, jan Aleksanta o.
line:011f1458	Aw, thanks.	a, sina pona.
line:aea0be6b	Aw, thanks.	a, sina pona.
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	a, sina pona. mi lukin pona tan ni taso: sina telo e mi!
line:453ff9be	Aw- Ryan...	a, jan Wajan o...
line:5340a315	Aw... Thanks!	a... sina pona!
line:c6202cf2	Aw... Thanks.	a... sina pona.
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	a... sina pona. ni li nasa ala nasa: mi pilin e ni...
line:2bfa396c	Aw... That's really sweet	a... ni li suwi mute.
line:22053f7f	Awesome!	pona mute!
line:6fdb2c3d	Awesome!	pona mute!
line:70306ba1	Awesome!	pona mute!
line:6126a614	Awesome! Come on in..	pona mute! o kama insa..
line:e85007ac	Awesome! See you later then!	pona mute! ni la, mi lukin e sina lon tenpo kama!
line:4c7f15d6	Awesome, I'll go get the gate.	pona a, mi tawa open e lupa suli.
line:9d126e4e	Awesome, I'm glad.	pona a! mi pilin pona.
line:b60cc4a5	Awesome.	pona a.
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	a... sina ken toki tawa mi lon telo sitelen ala!
line:8e20e028	Be yourself!	o awen sama sina!
line:cd18f73f	Been looking forward to this.	mi wile e ni tan tenpo pini.
line:8f1fccf9	Being muddy is really fun up until it starts drying.	ko ma li musi mute lon sijelo, taso ona li open kiwen la, ona li musi ala.
line:40783547	Berries.	kili lili.
line:59d4be6a	Berries.	kili lili.
line:61e781c1	Berries.	kili lili.
line:18ae08ef	Bet you had fun.	mi pilin e ni: sina pilin pona.
line:982fd3c7	big C...?	K suli...?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	sona sijelo...? <size=70%> <i>mi pilin e ni?
line:9be63f47	Bleh. Thank you for grabbing that.	pa. sina kama jo e ni la, sina pona.
line:66957ed2	Blue...?	laso...?
line:a77c3afd	Both.	tu ni.
line:78975048	Brrr! Cold water!	prrr! telo lete!
line:8487a2c4	Burnswick Community College of Thaumaturgy	tomo sona suli pi kulupu ma pi wawa nasa lon ma Panwi
line:f75126de	But honestly you've helped me a lot.	taso sina pona suli e mi.
line:cab69268	But I already know I'm liking this a lot.	taso mi sona e ni lon tenpo ni: ni li pona mute tawa mi.
line:d9534386	But I know the type... They tend to be big softies on the inside.	taso mi sona e jan sama... tenpo mute la, insa ona li suwi mute.
line:f73ddfbc	But I think its time to get cleaned up.	taso mi pilin e ni: tenpo ni la o weka e sitelen ni.
line:088ea4a7	But I'm hot shit, so I'll be fine.	taso mi pona wawa a. ni la mi pona.
line:c8f8bc22	But I'm only your washer?	taso mi jan telo sina taso?
line:dda0419b	But I'm sure I'd enjoy it with you!	taso mi lon poka sina la, mi pilin pona a tan ona!
line:aa74448a	But not in this sized package, right??	taso ona li lon sijelo lili ni ala, lon??
line:7d9ffc48	But nothing beats a large gulp!	taso pana suli wan tawa insa li pona nanpa wan!
line:d1ec7684	But that is why I am here!	taso tan ni la mi lon ni!
line:b0d9d1e5	But you're the teacher dragon.	taso sina akesi pi pana sona.
line:2d7e1ab6	But, at least I got to meet you!	taso mi kama sona e sina!
line:b7f46902	But, I think you've taught me something.	taso mi pilin e ni: sina pana e sona tawa mi.
line:b1040415	By the stars! No no. You're excellent.	mun sewi o! ala, ala. sina pona mute.
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	a, jan olin sina li jaki e tomo la, sina pilin utala anu seme?
line:4199070f	Came in for another wash.	mi kama tan wile pi telo sin.
line:105cd3e2	Can I ask you a question?	mi ken ala ken wile sona e ijo tan sina?
line:535ee717	Can you repeat that?	sina ken ala ken toki sin e ni?
line:835e0c27	Can't sthpeak well.	mi ken ala toki pona.
line:afa450c0	Come back whenever, Ryan.	jan Wajan o, o kama sin lon tenpo ale.
line:0cedfc3d	Conrad can go as long as he needs	jan Konwa li ken awen lon tenpo wile ale ona
line:5462913f	conrad hooked up with ryan	jan Konwa li olin e jan Wajan
line:61cd33c5	conrad hooked up with ryan	jan Konwa li olin e jan Wajan
line:6a7610f3	conrad hooked up with ryan	jan Konwa li olin e jan Wajan
line:bac1ce29	conrad hooked up with ryan	jan Konwa li olin e jan Wajan
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	jan Konwa li wile e weka jaki. sina jo e tenpo tawa ona anu seme?
line:405b7ef1	Conrad needs a wash!	jan Konwa li wile e telo!
line:803c8f0c	Conrad was talking about you during our date.	lon tenpo olin mi tu la, jan Konwa li toki e sina.
line:f1787092	Conrad!	jan Konwa a!
line:fd6c6213	Conrad!	jan Konwa a!
line:484cd04d	Conrad...?	jan Konwa...?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: lon la.. mi toki e ni..
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: jan Konwa li pilin pona taso
line:fbe86c06	Conrad: Damn right!	Conrad: pakala, lon a!
line:5660dc8b	Conrad: Don't worry about it!	Conrad: o pilin ike ala tan ni!
line:c050dbfc	Conrad: I do it all the time	Conrad: mi pali e ni lon tenpo ale
line:cd3367da	Conrad: I want this to go well	Conrad: mi wile e ni: ni li kama pona
line:194c1381	Conrad: I'm ready to blow	Conrad: mi ken pana e telo unpa
line:ce4d0fef	Conrad: Yea	Conrad: lon
line:42c70daa	Conrad: You feel good	Conrad: sina pana e pilin pona
line:3bc52918	Conrad: You having a good time?	Conrad: sina pilin pona anu seme?
line:be0e51af	Cool.	pona mute.
line:88c36bc7	Could do that, then get a hotel room... Hmm.	mi tu li ken ni, li kama jo e tomo lape... mmm.
line:b99e1503	Could you ask <i>me</i> a question?	sina ken ala ken wile sona tan <i>mi</i>?
line:12bf5baf	Could you get the gate...?	sina ken open e lupa suli anu seme...?
line:3a6afae1	Could you go get the gate?	sina ken tawa open e lupa suli anu seme?
line:9f49d9d4	Could you wash it away?	sina ken weka e ona kepeken telo anu seme?
line:7661a0e9	D'aw... thanks.	a... sina pona.
line:59bc5840	Damn right I do!	mi lukin pona a!
line:64889395	Damn right!	pakala, lon a!
line:95aa0bf4	Damn right!	pakala, lon a!
line:db592d76	Damn right!	pakala, lon a!
line:0fcf9908	Damn right.	lon a.
line:b964c99b	Damn shame then. Better change that.	pakala. ike a. o ante e ni.
line:c6955ecc	Damn, you know how to use your hands.	pakala, sina sona e nasin luka.
line:eaf45022	Damn, you know how to use your hands.	pakala, sina sona e nasin luka.
line:684fb29a	Damn... Always feels good.	pakala... ni li pilin pona lon tenpo ale.
line:7023cc94	DATE NIGHT!	tenpo PIMEJA OLIN a!
line:c71df70b	Date night!	tenpo pimeja olin!
line:b57cc8ad	Depends	tenpo li ante la, ni li ante
line:07bd7f57	Did you do your uh...	tenpo suno ni la, sina ante e...
line:4f38655d	Do I look like I'm okay?	mi lukin pona tawa sina anu seme?
line:8147156a	Do it!	o ni!
line:9ab6ddfb	Do you also do "special endings" here?	sina pali e "pini unpa" lon ni kin anu seme?
line:4c90479c	Do you ask because I'm lavender?	kule mi li laso loje walo la sina wile sona?
line:3020c97c	Do you believe I am attractive?	sina pilin e ni anu seme: mi pona olin lukin?
line:c5e71850	Do you even need a wash?	sina wile e telo anu seme?
line:1810e75f	Do you have any advice?	sina jo e sona pona anu seme?
line:6be807b5	Do you have any plans with ryan?	sina jo e nasin tenpo lon poka pi jan Wajan anu seme?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	sina sona ala sona e ma pona e jan pona pi ken musi poka?
line:412ba249	Do you know any good bars?	sina sona e tomo pona pi telo nasa anu seme?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	sina sona e jan seme? mi ken toki tawa ona e... ijo olin?
line:21c0526b	Do you like being big?	suli sina li pona ala pona tawa sina?
line:daa040eb	Do you like purple?	kule laso loje li pona ala pona tawa sina?
line:ef052302	Do you like purple?	kule laso loje li pona ala pona tawa sina?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	sina pali la akesi suli <size=60%>sama mi <size=100%>li pana ala pana e telo unpa?
line:ec64a696	Do you mind double checking if I'm clean?	sina ken lukin sin e ni anu seme: jaki mi li weka?
line:647187f1	Do you want to say what happened...?	sina wile ala wile toki e kama ni...?
line:807df02d	Do you want to use it?	sina wile kepeken ona anu seme?
line:5c42b85a	Doesn't mean I need to yell at you.	taso ni li pana ala e ken pi toki wawa ike tawa mi.
line:eefa8ae2	Don't be sorry! Get a mount!	o toki ala e pakala sina! o kama jo e ilo unpa!
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	o pilin ike ala. akesi li ken moku e ijo ale tan sijelo ona.
line:b90b01a9	Don't worry, he's real nice.	o pilin ike ala. ona li pona mute.
line:7de2a81c	Don't worry. I will.	o pilin ike ala. mi toki.
line:c29d4071	Don't... make it sound like that.	o... toki ala kepeken nasin ni.
line:31bdd33c	Dont talk with your mouth full	uta sina li jo e ijo la, o toki ala
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	tenpo pini pi akesi li jo e ijo mute. sitelen pi pona lukin <size=85%> li lon <size=70%> akesi tan ni: <size=55%>ona li wile toki e kulupu mama ona! <size=40%> ni li sitelen pona pi nasin kulupu <size=35%> en tenpo pini mama. mi pilin lon tenpo mute: mi o awen ala awen jo e ona? <size=20%> taso nasin akesi la kulupu en mama li suli! mi o awen kepeken nasin ni. <size=10%> telo. ma. seli. kon. tenpo pini suli la ma kulupu tu tu li awen pona lon poka. taso ma kulupu Seli li utala la ale li kama ante.
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	insa moku akesi li... wawa mute tawa insa sina.
line:7e352505	Dragons of the galaxy 2	akesi pi kulupu mun 2
line:c2c659d1	Eep!	wi!
line:0bd1699e	Ehh..	mmm..
line:43dd32f5	Er... That's not-	a... ni ala...
line:93b60dce	Even so. Not this time	ni la kin. tenpo ni ala
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	sina pali e pali sina taso la kin... mi pilin e ni: ni li pona mute e ona.
line:a2ba222e	Evening. This establishment takes walk ins, correct?	tenpo pimeja pona. jan li ken ala ken kama tawa ni lon toki open ala?
line:f98c3b6c	Every ending here is special!	pini ale lon ni li musi nasa!
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	jan pi wawa nasa li sona e pona ona la, ona li jo poka e lipu pi waso seli pi kama lon sin.
line:57df700d	Everyone's gaze carries an immense weight.	lukin pi jan ale li sama kiwen suli.
line:9ad8d2dd	Excellent!	pona mute!
line:0c997163	Excellent.	pona mute.
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	pona mute. o tawa lupa toki o toki tawa jan esun sina.
line:7bbe7ee3	Expectations are laaaame.	wile pi jan ante li ike tawa mi a.
line:f99eb2ff	Ey! The mount! Fuck yeah.	a! ilo unpa! pakala a, pona.
line:d376acb9	Ey, so. Was thinkin'	o. mi pilin...
line:85ec0862	Ey, sorry for coming in late.	a, mi pakala tan kama mi pi tenpo monsi.
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	o luka e palisa unpa mi. ni li pona!
line:271a3846	Fair enough. I'll be waiting!	ni li pona. mi awen!
line:4789095b	Fair enough. You two do seem cute together.	ni li pona. sina tu li suwi lukin lon poka.
line:f5b37855	Felt good sliding down though!	taso ona li tawa anpa la, ni li pona!
line:274367d7	Figured I'd bring in something nice after all you've done.	sina pali e pona ale ni la, mi wile pana e ijo pona.
line:aae8afca	Fine with me!	ni li pona tawa mi!
line:e98616be	For you!	tawa sina!
line:62a82aba	Found this one gryphon. About my size...	mi kama sona e soweli waso wan. ona li suli sama mi...
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	mi kute e ni: tenpo pini poka la, ona li kama pona mute, anu seme?
line:803bf378	Fuck man, I'm so pumped.	pakala a, mi pilin wawa mute.
line:f2418086	Fuck no! Shit's embarrassing.	pakala, ala! mi wile weka tan lukin jan tan ni.
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	mi unpa e ijo. mi wile e ni: musi luka li kama kin.
line:203bce10	Fuuuck. You really know how to work a dragon!	pakalaaa. sina sona a e nasin pi pana pona tawa akesi!
line:f7f9b0db	G'day mate!	toki, jan pona o!
line:664c994e	Gave me time to think.	sina pana e tenpo pi pilin sona tawa mi.
line:1d9b3531	Get a handjob and fuck this mount.	mi kama jo e musi luka. mi unpa e ilo ni.
line:48afdce4	Give it to me!	o pana tawa mi!
line:9df043ad	Give me a bit	o pana e tenpo lili tawa mi
line:e5c7f64a	Glad I'm here to remind you then.	ni la, mi lon ni li pana sin e sona la, pona.
line:354170aa	Go for it!	o pana!
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	mi tawa insa ma tomo lon pimeja ni. mi wile weka e jaki ale. a...
line:dcb506d2	Good as!	pona a!
line:bcbc6373	Good evening!	tenpo pimeja pona!
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	pona. tomo sona suli pi kulupu ma pi wawa nasa lon ma Panwi o sona ala e ni: jan pi pana sona nanpa wan ona, jan Aleksanta, li pana e pakala sin.
line:12b72085	Good, you better. If I come back and there isn't one...	pona. o pali. mi kama sin la ilo li lon ala la...
line:2c851dad	Good.	pona.
line:2712436c	Good. 'Aight, let me out.	pona. o pana e ken weka tawa mi.
line:bab51ada	Good... That'd be correct.	pona... nimi ni li lon.
line:44f2b8cf	Goodbye!	mi tawa!
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	a, sina pona la, mi ken pona e tenpo ike ni.
line:745c3c12	Gosh!	a!
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	mi wile <i>kama sona unpa</i> tawa jan Wajan. sina sona e toki mi la.
line:e3cef2bc	Gotta make sure you're spotless!	o weka e jaki ale sina!
line:b01b2159	Great, so uh,	pona mute, ni la mmm,
line:43c94954	Grouse as! Excited to see you work!	pona a! mi wile a lukin e pali sina!
line:9de16ee9	Ha!	a!
line:88d7e1e2	Haah. This is the best fuckin' wash.	haa. tomo telo ni li pona nanpa wan a.
line:cc6e7856	Hah! There's the mount!	a! ilo unpa li lon!
line:90dd6d9d	Hah, eager as always.	a a, sina wile wawa sama tenpo ale.
