# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	嘿，大狗狗。
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>喔。</i>我想我還沒準備好。
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>喔——。</i>交配架？幹，好啊，老兄。
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	康拉德，<i>這件事</i>不是你的錯。
line:72b244b7	<size=100%> That felt damn good!	<size=100%>舒服死了！
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>我是說——酷。
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%>幹，太爽啦！
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>嘿，<size=100%>我想洗個澡。
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>爽啦！
line:f5462edf	<size=60%> that's hot.	<size=60%>好性感。
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>一條大龍把主導權交給我。哇。
line:53d71f27	<size=70%> And for me.	<size=70%>也給我自己。
line:4fe271cc	<size=70%> woah.	<size=70%>哇。
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>天啊，我竟然約到一條龍了。
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>不過很舒服……謝謝你。
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>請繼續，不用客氣——</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>喔——</i>不會，其實這樣超棒的。
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>哇……
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>是嗎？
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>我還在照付他們薪水。
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	幾天前……
line:c570a462	A rather good excuse to see my favorite kobold.	這可是來見我最喜歡的狗頭人的好藉口。
line:5d2d16e0	A really good friend?	一個非常好的朋友。
line:df4d3810	About earlier.	關於剛才。
line:1a5e1ba4	Act what way?	怎麼樣？
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	他突然燒起來之後，我就識相地讓他獨處了。
line:a983ffa3	Again...?	再來一次……？
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	同意，不過還是麻煩你方便的話，盡快讓我進去。
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	啊，對，就是這樣……繼續。
line:e216aee0	Ah, good.	啊，很好。
line:9b26ac5f	Ah, I see the button there, gotcha!	啊，我看到那個按鈕了，懂了！
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	啊，抱歉，我對這些事很有熱情。
line:bf2a8309	Ah, the grime did sting a little, thank you.	啊，那些髒東西確實有點刺痛，謝謝。
line:ebdb9888	Ah, yeah, those types are pretty cute.	啊，對，那種類型挺可愛的。
line:b920f205	Ah. Do not worry.	啊，別放在心上。
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	啊，好吧，那我就不抱歉了。
line:6de2c490	Ah...	啊……
line:4d6b365e	Ahh, all cleaned and with a lighter load.	啊，洗乾淨了，也卸下了一點負擔。
line:20f96302	Alexander!	亞歷山大！
line:f167e3d7	Alexander!	亞歷山大！
line:fe3996b8	Alexander!	亞歷山大！
line:af7db134	Alexander...?	亞歷山大……？
line:eb7cf9e5	All clean...	都洗乾淨了……
line:f57fc630	All done!	全部好了！
line:0b734d82	All self respecting washers know how to please a dragon.	有點自尊的洗浴師，都知道怎麼取悅一條龍。
line:599ffb25	Already got seats at that bar I mentioned earlier.	之前說的那間酒吧，座位已經訂好了。
line:642ddea3	Alright alright... Then I think I'd like to use it?	好吧，好吧……那我想試著用用看？
line:c7b3a185	Alright! I'll go get the gate.	好！我去開門。
line:7279121a	Alright! I'll go get you the gate.	好！我去幫你開門。
line:4fc4259c	Alright! I'm ready to go.	好！我準備走了。
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	好，去開門吧，我先去那裡！
line:d04df8f8	Alright, I'll cya!	好，那回頭見！
line:4766af08	Alrighty! That should be it.	好啦！應該好了。
line:797ca540	Alrighty. All clean.	好啦，全洗乾淨了。
line:c4cb161a	Although grapes have always hit a specific craving.	不過嘴饞的時候，葡萄就是特別對我的胃口。
line:dc237557	Although, the portions might be a bit... dragon sized.	不過份量可能有點……龍族規格。
line:655b8c01	Always happy to have you, Conrad.	康拉德，我隨時都歡迎你。
line:afedd1f5	An anomaly.	一個異數。
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	還有，幸好你有急救箱……你準備得很周全。
line:0699aef9	And I'm really happy for you and Conrad.	我也真的替你和康拉德感到高興。
line:a3a26459	And not just physically.	而且不只是身高上的仰望。
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	所以我才來這裡！洗完澡就要去見他了。
line:33440e8c	And why you are perfect for this job!	也正因如此，你最適合幫這個忙！
line:cacb93ce	And you've tried everything.	而且你已經什麼都試過了。
line:8cae6240	Another dragon? Usually I don't really get along...	另一條龍？我通常跟其他龍不太合……
line:5a7e4fd4	Any chance you can clean me up again?	能不能再幫我洗一次？
line:92d2a30a	Anything. I'm just curious.	什麼都行。我只是好奇。
line:52695aa2	Anything?	什麼都能說？
line:8ead9ee9	Anytime, Ryan.	隨時歡迎，萊恩。
line:6d77feef	Anyway glad you're not finished, lets keep at it!	總之，還沒洗完就好，繼續吧！
line:bdb4f59c	Anyway, time to get writing!	總之，該開始寫了！
line:75dd56ae	Anyways,	總之，
line:8980260e	Anyways-	總之——
line:a8e6291c	Anyways- Let me out.	總之——讓我出去。
line:493a82ef	Anyways. Could you go get the gate?	總之，可以幫我開門嗎？
line:926f5f41	Anyways. Gonna use this thing now!	總之，我現在要用這玩意了！
line:ad8ab02e	Anyways...	總之……
line:e767dc51	Anywho, I'll get out of your scales now.	總之，我就不打擾你了。
line:e81426c1	Anywho, I'm in need of a clean.	總之，我需要洗個澡。
line:23e7d518	Approach the dragon entrance, and I will let you in.	走到龍族入口，我就會讓你進來。
line:72a9b5bb	Are you happy?	你快樂嗎？
line:be0118cc	Are you okay?	你還好嗎？
line:de735c65	Are you open right now?	你們現在有營業嗎？
line:9369755d	Are you sure it will fit?	你確定放得進去？
line:c35b717a	Are you sure...? In front of the food?	你確定……？在食物面前？
line:cb06d2bf	As am I.	我也是。
line:9a48b21c	As in you're unique.	也就是說，你很獨特。
line:1c021ee0	At getting hand jobs.	被打手槍方面的專家。
line:e861b464	At least that's what I've heard anyway.	至少我聽說是這樣啦。
line:2f54ceec	At least you can still use your hands. Heh.	至少你還能用手。嘿。
line:cb04e062	At least you can still use your hands. Heh.	至少你還能用手。嘿。
line:97792929	Aw, I'll go get you the gate.	噢，我去幫你開門。
line:c6895517	Aw, Ryan.	噢，萊恩。
line:db997182	Aw, thank you Alexander.	哎呀，謝謝你，亞歷山大。
line:7157db26	Aw, thanks Alexander.	哎呀，謝謝你，亞歷山大。
line:011f1458	Aw, thanks.	噢，謝啦。
line:aea0be6b	Aw, thanks.	噢，謝啦。
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	噢，謝謝。都是你幫我洗澡，我才這麼好看！
line:453ff9be	Aw- Ryan...	噢——萊恩……
line:5340a315	Aw... Thanks!	哎呀……謝謝！
line:c6202cf2	Aw... Thanks.	噢……謝謝。
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	噢……謝謝。我把你當成……會不會很奇怪？
line:2bfa396c	Aw... That's really sweet	噢……真暖心。
line:22053f7f	Awesome!	太棒了！
line:6fdb2c3d	Awesome!	太棒了！
line:70306ba1	Awesome!	太棒了！
line:6126a614	Awesome! Come on in..	太棒了！進來吧……
line:e85007ac	Awesome! See you later then!	太棒了！那晚點見！
line:4c7f15d6	Awesome, I'll go get the gate.	太好了，我去開門。
line:9d126e4e	Awesome, I'm glad.	太好了，真開心。
line:b60cc4a5	Awesome.	太好了。
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	噢，你不用弄得滿身墨水也能來打招呼啊！
line:8e20e028	Be yourself!	做你自己！
line:cd18f73f	Been looking forward to this.	我一直很期待。
line:8f1fccf9	Being muddy is really fun up until it starts drying.	玩泥巴很好玩，直到泥開始乾掉就不一樣了。
line:40783547	Berries.	莓果。
line:59d4be6a	Berries.	莓果。
line:61e781c1	Berries.	莓果。
line:18ae08ef	Bet you had fun.	你一定玩得很開心。
line:982fd3c7	big C...?	C 大爺……？
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	生物學……？<size=70%><i>我想啦？
line:9be63f47	Bleh. Thank you for grabbing that.	呸。謝謝你幫我拿。
line:66957ed2	Blue...?	藍色的……？
line:a77c3afd	Both.	都有。
line:78975048	Brrr! Cold water!	嘶！是冷水！
line:8487a2c4	Burnswick Community College of Thaumaturgy	伯恩斯威克社區魔法學院
line:f75126de	But honestly you've helped me a lot.	但說真的，你幫了我很多。
line:cab69268	But I already know I'm liking this a lot.	但我已經知道，自己非常喜歡這種感覺。
line:d9534386	But I know the type... They tend to be big softies on the inside.	不過我懂那種類型……內心通常都很柔軟。
line:f73ddfbc	But I think its time to get cleaned up.	不過我想該洗乾淨了。
line:088ea4a7	But I'm hot shit, so I'll be fine.	但我可是個大帥哥，所以會沒事的。
line:c8f8bc22	But I'm only your washer?	可我只是幫你洗澡的？
line:dda0419b	But I'm sure I'd enjoy it with you!	但跟你一起看，我一定會喜歡！
line:aa74448a	But not in this sized package, right??	但沒看過這種身材配這麼大的吧？？
line:7d9ffc48	But nothing beats a large gulp!	但什麼都比不上一大口吞下去！
line:d1ec7684	But that is why I am here!	但我就是為此而來的！
line:b0d9d1e5	But you're the teacher dragon.	可是你才是當老師的龍啊。
line:2d7e1ab6	But, at least I got to meet you!	不過，至少我認識了你！
line:b7f46902	But, I think you've taught me something.	但我想，你教會了我一件事。
line:b1040415	By the stars! No no. You're excellent.	天啊！不不，你非常出色。
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	順帶一問，如果你的伴侶把家裡弄髒，你會生氣嗎？
line:4199070f	Came in for another wash.	又來洗個澡。
line:105cd3e2	Can I ask you a question?	可以問你一個問題嗎？
line:535ee717	Can you repeat that?	可以再說一次嗎？
line:835e0c27	Can't sthpeak well.	說不清粗。
line:afa450c0	Come back whenever, Ryan.	萊恩，隨時歡迎你再來。
line:0cedfc3d	Conrad can go as long as he needs	康拉德想撐多久就能撐多久。
line:5462913f	conrad hooked up with ryan	康拉德和萊恩上床了
line:61cd33c5	conrad hooked up with ryan	康拉德和萊恩上床了
line:6a7610f3	conrad hooked up with ryan	康拉德和萊恩上床了
line:bac1ce29	conrad hooked up with ryan	康拉德和萊恩上床了
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	康拉德想洗個澡，有空位給他嗎？
line:405b7ef1	Conrad needs a wash!	康拉德要洗澡！
line:803c8f0c	Conrad was talking about you during our date.	我們約會時，康拉德有提到你。
line:f1787092	Conrad!	康拉德！
line:fd6c6213	Conrad!	康拉德！
line:484cd04d	Conrad...?	康拉德……？
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: 其實……我是說……
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: 康拉德只管自己爽。
line:fbe86c06	Conrad: Damn right!	Conrad: 那當然！
line:5660dc8b	Conrad: Don't worry about it!	Conrad: 別擔心！
line:c050dbfc	Conrad: I do it all the time	Conrad: 我常常這樣。
line:cd3367da	Conrad: I want this to go well	Conrad: 我希望這次能順利。
line:194c1381	Conrad: I'm ready to blow	Conrad: 我快射了。
line:ce4d0fef	Conrad: Yea	Conrad: 對啊。
line:42c70daa	Conrad: You feel good	Conrad: 你讓我好舒服。
line:3bc52918	Conrad: You having a good time?	Conrad: 你玩得開心嗎？
line:be0e51af	Cool.	很酷。
line:88c36bc7	Could do that, then get a hotel room... Hmm.	可以去那裡，之後再訂間旅館……嗯。
line:b99e1503	Could you ask <i>me</i> a question?	你能問<i>我</i>一個問題嗎？
line:12bf5baf	Could you get the gate...?	可以幫我開門嗎……？
line:3a6afae1	Could you go get the gate?	可以幫我開門嗎？
line:9f49d9d4	Could you wash it away?	可以幫我沖掉嗎？
line:7661a0e9	D'aw... thanks.	噢……謝謝。
line:59bc5840	Damn right I do!	那還用說！
line:64889395	Damn right!	那當然！
line:95aa0bf4	Damn right!	那當然！
line:db592d76	Damn right!	那當然！
line:0fcf9908	Damn right.	那當然。
line:b964c99b	Damn shame then. Better change that.	那也太可惜了。最好改一下。
line:c6955ecc	Damn, you know how to use your hands.	幹，你真會用手。
line:eaf45022	Damn, you know how to use your hands.	幹，你真會用手。
line:684fb29a	Damn... Always feels good.	幹……每次都好舒服。
line:7023cc94	DATE NIGHT!	約會之夜！
line:c71df70b	Date night!	約會之夜！
line:b57cc8ad	Depends	看情況
line:07bd7f57	Did you do your uh...	你今天是不是把，呃……
line:4f38655d	Do I look like I'm okay?	我看起來像沒事嗎？
line:8147156a	Do it!	來吧！
line:9ab6ddfb	Do you also do "special endings" here?	你們這裡也有「特殊收尾」嗎？
line:4c90479c	Do you ask because I'm lavender?	因為我是薰衣草色，你才這麼問？
line:3020c97c	Do you believe I am attractive?	你覺得我有魅力嗎？
line:c5e71850	Do you even need a wash?	你真的需要洗澡嗎？
line:1810e75f	Do you have any advice?	你有什麼建議嗎？
line:6be807b5	Do you have any plans with ryan?	你和萊恩有什麼計畫嗎？
line:a0cf6cae	Do you know any cool places, people, I could hang around?	你知道有什麼不錯的地方可以去，或有誰可以一起混嗎？
line:412ba249	Do you know any good bars?	你知道什麼好酒吧嗎？
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	你有認識什麼人能讓我聊聊嗎？就是……感情方面的事？
line:21c0526b	Do you like being big?	你喜歡長得這麼大嗎？
line:daa040eb	Do you like purple?	你喜歡紫色嗎？
line:ef052302	Do you like purple?	你喜歡紫色嗎？
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	你會幫大龍，<size=60%>像我這種，<size=100%>弄到射出來嗎？
line:ec64a696	Do you mind double checking if I'm clean?	可以再確認一下我洗乾淨了沒嗎？
line:647187f1	Do you want to say what happened...?	你想說說發生了什麼嗎……？
line:807df02d	Do you want to use it?	你想用嗎？
line:5c42b85a	Doesn't mean I need to yell at you.	那也不代表我該對你大吼。
line:eefa8ae2	Don't be sorry! Get a mount!	別道歉！去買交配架！
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	別擔心，龍天生什麼都能吃。
line:b90b01a9	Don't worry, he's real nice.	別擔心，他人真的很好。
line:7de2a81c	Don't worry. I will.	別擔心，我會的。
line:c29d4071	Don't... make it sound like that.	別……用那種語氣。
line:31bdd33c	Dont talk with your mouth full	嘴裡有東西時別說話。
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	龍族的歷史相當複雜。龍常常<size=85%>戴著裝飾性的頭冠，<size=70%>用來<size=55%>表明自己屬於哪個家族！<size=40%>這是牠們文化<size=35%>與家族傳承的有趣象徵。我常想，自己是否該繼續戴著它。<size=20%>不過，文化與家族的連結在龍族傳統中備受重視！所以我必須遵循這些規矩。<size=10%>水、土、火、氣。很久以前，四大國和平共處。直到烈火國發動戰爭，一切都改變了。
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	龍的胃比你的……強韌一點。
line:7e352505	Dragons of the galaxy 2	《星際異龍隊 2》
line:c2c659d1	Eep!	咿！
line:0bd1699e	Ehh..	呃……
line:43dd32f5	Er... That's not-	呃……我不是——
line:93b60dce	Even so. Not this time	即便如此，這次還是算了
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	即使你只是做自己的工作……我想那還是幫了他很多。
line:a2ba222e	Evening. This establishment takes walk ins, correct?	晚安。貴店接受未預約的客人，對嗎？
line:f98c3b6c	Every ending here is special!	我們這裡每次收尾都很特別！
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	任何有自尊的巫師，手邊都會備著鳳凰羽毛。
line:57df700d	Everyone's gaze carries an immense weight.	每個人的目光都帶著沉重的壓力。
line:9ad8d2dd	Excellent!	太好了！
line:0c997163	Excellent.	很好。
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	很好。那就記得去窗口招呼客人。
line:7bbe7ee3	Expectations are laaaame.	別人的期待真的好煩喔。
line:f99eb2ff	Ey! The mount! Fuck yeah.	嘿！交配架！幹，太好了。
line:d376acb9	Ey, so. Was thinkin'	嘿，那個，我在想。
line:85ec0862	Ey, sorry for coming in late.	嘿，抱歉這麼晚來。
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	嘿！用你的手摸我的屌——很舒服！
line:271a3846	Fair enough. I'll be waiting!	好吧。那我等你！
line:4789095b	Fair enough. You two do seem cute together.	也是。你們兩個看起來很登對。
line:f5b37855	Felt good sliding down though!	不過滑下去的感覺很舒服！
line:274367d7	Figured I'd bring in something nice after all you've done.	你幫了我這麼多，想說帶點好東西來。
line:aae8afca	Fine with me!	我沒問題！
line:e98616be	For you!	給你的！
line:62a82aba	Found this one gryphon. About my size...	認識了一隻獅鷲。跟我差不多大……
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	聽你這麼說，他最近進步很多，對吧？
line:803bf378	Fuck man, I'm so pumped.	幹，老兄，我超興奮的。
line:f2418086	Fuck no! Shit's embarrassing.	幹，才不要！丟臉死了。
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	找個東西幹一幹，然後希望有人幫我打手槍。
line:203bce10	Fuuuck. You really know how to work a dragon!	幹——你真知道怎麼讓龍爽！
line:f7f9b0db	G'day mate!	嗨，老兄！
line:664c994e	Gave me time to think.	讓我有時間好好想想。
line:1d9b3531	Get a handjob and fuck this mount.	讓人幫我打手槍，再幹這個交配架。
line:48afdce4	Give it to me!	給我吧！
line:9df043ad	Give me a bit	再給我一點時間。
line:e5c7f64a	Glad I'm here to remind you then.	幸好我有來提醒你。
line:354170aa	Go for it!	來吧！
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	今晚要去市中心，得洗得乾乾淨淨。話說……
line:dcb506d2	Good as!	太讚啦！
line:bcbc6373	Good evening!	晚安！
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	很好，我可不能讓伯恩斯威克社區魔法學院知道，他們最優秀的亞歷山大教授又惹出了事故。
line:12b72085	Good, you better. If I come back and there isn't one...	很好，你最好說到做到。要是我再來還沒有……
line:2c851dad	Good.	很好。
line:2712436c	Good. 'Aight, let me out.	很好。行了，讓我出去。
line:bab51ada	Good... That'd be correct.	舒服……這形容很貼切。
line:44f2b8cf	Goodbye!	再見！
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	天啊，多虧有你，我才有機會挽回局面。
line:745c3c12	Gosh!	天啊！
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	得為了萊恩好好<i>練習</i>一下，懂我意思吧。
line:e3cef2bc	Gotta make sure you're spotless!	得把你洗得一塵不染！
line:b01b2159	Great, so uh,	太好了，那，呃，
line:43c94954	Grouse as! Excited to see you work!	太棒啦！等不及看你露一手了！
line:9de16ee9	Ha!	哈！
line:88d7e1e2	Haah. This is the best fuckin' wash.	哈啊。這間洗浴店真他媽棒。
line:cc6e7856	Hah! There's the mount!	哈！交配架在那裡！
line:90dd6d9d	Hah, eager as always.	哈，還是一樣熱情。
line:9542e7a6	Hah, good. Let's break this thing in!	哈，很好。來幫這玩意開個苞！
line:fe21109b	Hah, he seems like the wild type.	哈，他看起來就是狂野的類型。
line:e8bc1d95	Hah, I imagine it would be.	哈，想也知道。
line:acbf628d	Hah, it is a motivator.	哈，確實很有吸引力。
line:65b23418	Hah, okay. I'm game.	哈，好啊。我奉陪。
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	哈，對啊。康拉德的確很有經驗……
line:8b878971	Hah, yeah. He sounds fun.	哈，對啊。他聽起來很有趣。
line:e3ed51d9	Hah. Conrad, you look good too.	哈，康拉德，你也很好看。
line:f8b2e23b	Hah. Fine.	哈，好吧。
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	哈，要是有隻狗頭人能幫我洗澡就好了。
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	哈。對。<size=70%><i>洗浴學校還會教怎麼幫龍打手槍，真酷……
line:50a559bb	Hah... <size=70%> yeah.	哈……<size=70%>對啊。
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	哈……現在要幫我打手槍？好啊。
line:4e920759	Hah... Yeah I'm excited.	哈……對啊，我好期待。
line:b36365ce	Hah... Yeah...	哈……對啊……
line:b8724c64	Hah... you do like that noise.	哈……你真的很喜歡發出那個聲音。
line:c8cde395	Haha, 'Yip' indeed.	哈哈，確實該「嗷」一下。
line:680991cf	Haha, yes. Happy to see you.	哈哈，是啊。很高興見到你。
line:4c27b031	Haha, you certainly are!	哈哈，你確實就是！
line:c3a2e14e	Haha, you certainly are!	哈哈，你確實就是！
line:9ec40945	Haha. 'Yip' to you too.	哈哈，我也對你「嗷」一下。
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	哈哈……是啊，我還不太習慣稱讚人。
line:44689f21	Happy to be back.	很高興能再來。
line:2672f65d	Happy to be here.	很高興能來。
line:192fcb8e	Happy to get it off.	很高興能把它洗掉。
line:3517b28e	Have a productive day.	祝你工作順利。
line:7c1adc57	He called me, we met up. He's really damn nice.	他打電話給我，我們就見面了。他人真的超好。
line:e71f9a0b	HE DIED!?	他死了！？
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	據我了解，他已經……嗯，很久沒被人好好關心過了。
line:de25de6e	He just... Knew what to say to snap me out of all that.	他就是……知道該說什麼，讓我別再那樣。
line:a035a3fd	He prefers 'vertically challenged'... But yes.	他比較喜歡說自己「身高受限」……不過沒錯。
line:04b29e42	He really is.	他真的是。
line:c7e1b369	He really is.	他真的是。
line:c64bd5ce	He said I was chill, we planned a date...	他說我很好相處，我們就約好了約會……
line:e8a91447	He's a lot. But, I like it.	他很有個性。不過我喜歡。
line:a7181b1a	He's a red dragon. I think you two would like eachother!	他是條紅龍。我覺得你們會互相喜歡！
line:8245fe2b	He's already back to work. Thanks for helping with all that.	他已經回去工作了。謝謝你當時幫忙。
line:aaea8391	He's been way nicer recently.	他最近溫柔多了。
line:7363c004	He's great.	他很棒。
