# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Эй, здоровенный пёс!
line:4d6b365e	Ahh, all cleaned and with a lighter load.	Ах, и отмылся, и груз с себя сбросил.
line:20f96302	Alexander!	Александр!
line:f167e3d7	Alexander!	Александр!
line:fe3996b8	Alexander!	Александр!
line:af7db134	Alexander...?	Александр...?
line:eb7cf9e5	All clean...	Теперь чистый...
line:f57fc630	All done!	Всё готово!
line:0b734d82	All self respecting washers know how to please a dragon.	Уважающий себя мойщик должен знать, как доставить дракону удовольствие.
line:599ffb25	Already got seats at that bar I mentioned earlier.	Уже забронировал места в том баре, о котором говорил.
line:642ddea3	Alright alright... Then I think I'd like to use it?	Хорошо-хорошо... Тогда я, пожалуй, хотел бы им воспользоваться?
line:c7b3a185	Alright! I'll go get the gate.	Хорошо! Иду открывать ворота.
line:7279121a	Alright! I'll go get you the gate.	Хорошо! Сейчас вам открою.
line:4fc4259c	Alright! I'm ready to go.	Ну вот! Я готов идти.
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	Ну, открывай, а я пойду к месту встречи!
line:d04df8f8	Alright, I'll cya!	Ну ладно, увидимся!
line:4766af08	Alrighty! That should be it.	Вот и всё! Кажется, закончили.
line:797ca540	Alrighty. All clean.	Ну вот. Теперь чисто.
line:c4cb161a	Although grapes have always hit a specific craving.	Но к винограду у меня всегда особая тяга.
line:dc237557	Although, the portions might be a bit... dragon sized.	Правда, порции, возможно, немного... драконьи.
line:655b8c01	Always happy to have you, Conrad.	Всегда рад тебе, Конрад.
line:afedd1f5	An anomaly.	Аномалия.
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	Хорошо, что у тебя аптечка есть... Всё предусмотрел.
line:0699aef9	And I'm really happy for you and Conrad.	И я очень рад за тебя с Конрадом.
line:a3a26459	And not just physically.	И я не только о росте.
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	Вот потому и пришёл! Помоюсь и сразу к нему.
line:33440e8c	And why you are perfect for this job!	И вот почему вы идеально подходите для этой работы!
line:cacb93ce	And you've tried everything.	И ты уже всё перепробовал.
line:8cae6240	Another dragon? Usually I don't really get along...	Ещё дракон? Я с другими обычно не очень лажу...
line:5a7e4fd4	Any chance you can clean me up again?	Может, ещё раз меня отмоешь?
line:92d2a30a	Anything. I'm just curious.	О чём угодно. Мне любопытно.
line:52695aa2	Anything?	Что угодно?
line:8ead9ee9	Anytime, Ryan.	Всегда пожалуйста, Райан.
line:6d77feef	Anyway glad you're not finished, lets keep at it!	В общем, хорошо, что ещё не всё. Давай продолжим!
line:bdb4f59c	Anyway, time to get writing!	Ладно, пора приниматься за текст!
line:75dd56ae	Anyways,	Короче...
line:8980260e	Anyways-	Ладно...
line:a8e6291c	Anyways- Let me out.	В общем, выпускай меня.
line:493a82ef	Anyways. Could you go get the gate?	Ну что, откроешь ворота?
line:926f5f41	Anyways. Gonna use this thing now!	Короче, сейчас я этой штукой займусь!
line:ad8ab02e	Anyways...	Ну, в общем...
line:e767dc51	Anywho, I'll get out of your scales now.	Что ж, не буду больше вас задерживать.
line:e81426c1	Anywho, I'm in need of a clean.	Итак, мне требуется мытьё.
line:23e7d518	Approach the dragon entrance, and I will let you in.	Подойдите ко входу для драконов, я вас впущу.
line:72a9b5bb	Are you happy?	Вы счастливы?
line:be0118cc	Are you okay?	Ты в порядке?
line:de735c65	Are you open right now?	Вы сейчас работаете?
line:9369755d	Are you sure it will fit?	Точно поместится?
line:c35b717a	Are you sure...? In front of the food?	Ты уверен...? Прямо здесь, при еде?
line:cb06d2bf	As am I.	Взаимно.
line:9a48b21c	As in you're unique.	В том смысле, что вы неповторимы.
line:1c021ee0	At getting hand jobs.	По части того, чтобы мне дрочили.
line:e861b464	At least that's what I've heard anyway.	Ну, по крайней мере, я так слышал.
line:2f54ceec	At least you can still use your hands. Heh.	Хорошо хоть руки у тебя есть. Хех.
line:cb04e062	At least you can still use your hands. Heh.	Хорошо хоть руки у тебя есть. Хех.
line:97792929	Aw, I'll go get you the gate.	Ох, сейчас тебя впущу.
line:c6895517	Aw, Ryan.	Бедный Райан.
line:db997182	Aw, thank you Alexander.	Ох, спасибо, Александр.
line:7157db26	Aw, thanks Alexander.	Ох, спасибо, Александр.
line:011f1458	Aw, thanks.	Ох, спасибо.
line:aea0be6b	Aw, thanks.	Ох, спасибо.
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	Ох, спасибо. Это я благодаря твоим мойкам так хорошо выгляжу!
line:453ff9be	Aw- Ryan...	Ох, Райан...
line:5340a315	Aw... Thanks!	Ох... Спасибо!
line:c6202cf2	Aw... Thanks.	Ох... Спасибо.
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	Ох... Спасибо. Не странно, что я считаю тебя...
line:2bfa396c	Aw... That's really sweet	Ох... Это очень мило.
line:22053f7f	Awesome!	Отлично!
line:6fdb2c3d	Awesome!	Отлично!
line:70306ba1	Awesome!	Отлично!
line:6126a614	Awesome! Come on in..	Прекрасно! Заходи...
line:e85007ac	Awesome! See you later then!	Замечательно! Тогда до встречи!
line:4c7f15d6	Awesome, I'll go get the gate.	Отлично, сейчас открою.
line:9d126e4e	Awesome, I'm glad.	Отлично, я рад.
line:b60cc4a5	Awesome.	Здорово.
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	Ну что вы! Чтобы поздороваться, не обязательно обливаться чернилами!
line:8e20e028	Be yourself!	Будь собой!
line:cd18f73f	Been looking forward to this.	Давно этого ждал.
line:8f1fccf9	Being muddy is really fun up until it starts drying.	Валяться в грязи весело, пока она не начинает сохнуть.
line:40783547	Berries.	Ягоды.
line:59d4be6a	Berries.	Ягоды.
line:61e781c1	Berries.	Ягоды.
line:18ae08ef	Bet you had fun.	Небось хорошо провели время.
line:982fd3c7	big C...?	Большого К...?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	Биология...? <size=70%> <i>Наверное?
line:9be63f47	Bleh. Thank you for grabbing that.	Бе-е. Спасибо, что забрал.
line:66957ed2	Blue...?	Синее...?
line:a77c3afd	Both.	И тому и другому.
line:78975048	Brrr! Cold water!	Б-р-р! Вода холодная!
line:8487a2c4	Burnswick Community College of Thaumaturgy	Общественный колледж тауматургии Бёрнсвика
line:f75126de	But honestly you've helped me a lot.	Но ты, честно, очень мне помог.
line:cab69268	But I already know I'm liking this a lot.	Но уже понимаю, что мне очень нравится.
line:d9534386	But I know the type... They tend to be big softies on the inside.	Но я таких знаю... Внутри они обычно очень нежные.
line:f73ddfbc	But I think its time to get cleaned up.	Но теперь, пожалуй, пора всё смыть.
line:088ea4a7	But I'm hot shit, so I'll be fine.	Но я же охрененный, так что всё будет в порядке.
line:c8f8bc22	But I'm only your washer?	Но я же просто ваш мойщик?
line:dda0419b	But I'm sure I'd enjoy it with you!	Но с тобой я наверняка получу удовольствие!
line:aa74448a	But not in this sized package, right??	Но не при таком маленьком теле, верно?
line:7d9ffc48	But nothing beats a large gulp!	Но нет ничего лучше, чем проглотить одним махом!
line:d1ec7684	But that is why I am here!	Но ведь именно поэтому я сюда и пришёл!
line:b0d9d1e5	But you're the teacher dragon.	Но ведь дракон-учитель — это вы.
line:2d7e1ab6	But, at least I got to meet you!	Зато я встретил тебя!
line:b7f46902	But, I think you've taught me something.	Но, кажется, вы кое-чему меня научили.
line:b1040415	By the stars! No no. You're excellent.	Звёзды милосердные! Нет-нет. Вы замечательны.
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	Кстати, тебя бы злил беспорядок, который устраивает дома твоя вторая половинка?
line:4199070f	Came in for another wash.	Зашёл ещё раз помыться.
line:105cd3e2	Can I ask you a question?	Можно тебя кое о чём спросить?
line:535ee717	Can you repeat that?	Можете повторить?
line:835e0c27	Can't sthpeak well.	Не могу норфально говорить.
line:afa450c0	Come back whenever, Ryan.	Приходи, когда захочешь, Райан.
line:0cedfc3d	Conrad can go as long as he needs	Конрад сколько надо продержится.
line:5462913f	conrad hooked up with ryan	Конрад сошёлся с Райаном.
line:61cd33c5	conrad hooked up with ryan	Конрад сошёлся с Райаном.
line:6a7610f3	conrad hooked up with ryan	Конрад сошёлся с Райаном.
line:bac1ce29	conrad hooked up with ryan	Конрад сошёлся с Райаном.
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	Конрада надо отмыть, найдётся местечко?
line:405b7ef1	Conrad needs a wash!	Конраду пора мыться!
line:803c8f0c	Conrad was talking about you during our date.	На свидании Конрад говорил о тебе.
line:f1787092	Conrad!	Конрад!
line:fd6c6213	Conrad!	Конрад!
line:484cd04d	Conrad...?	Конрад...?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: Вообще-то... Я хотел сказать...
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: Конрад просто наслаждается.
line:fbe86c06	Conrad: Damn right!	Conrad: Ещё бы, чёрт возьми!
line:5660dc8b	Conrad: Don't worry about it!	Conrad: Не переживай!
line:c050dbfc	Conrad: I do it all the time	Conrad: Я постоянно так делаю.
line:cd3367da	Conrad: I want this to go well	Conrad: Хочу, чтобы всё прошло хорошо.
line:194c1381	Conrad: I'm ready to blow	Conrad: Сейчас кончу.
line:ce4d0fef	Conrad: Yea	Conrad: Ага.
line:42c70daa	Conrad: You feel good	Conrad: Как же с тобой приятно.
line:3bc52918	Conrad: You having a good time?	Conrad: Тебе хорошо?
line:be0e51af	Cool.	Крутой.
line:88c36bc7	Could do that, then get a hotel room... Hmm.	Можно туда сходить, а потом снять номер в гостинице... Хм.
line:b99e1503	Could you ask <i>me</i> a question?	Не могли бы вы задать вопрос <i>мне</i>?
line:12bf5baf	Could you get the gate...?	Вы не могли бы открыть ворота...?
line:3a6afae1	Could you go get the gate?	Сходишь ворота открыть?
line:9f49d9d4	Could you wash it away?	Смоешь его?
line:7661a0e9	D'aw... thanks.	Ох... Спасибо тебе.
line:59bc5840	Damn right I do!	Ещё бы не хорошо!
line:64889395	Damn right!	Ещё бы, чёрт возьми!
line:95aa0bf4	Damn right!	Ещё бы, чёрт возьми!
line:db592d76	Damn right!	Ещё бы, чёрт возьми!
line:0fcf9908	Damn right.	А то.
line:b964c99b	Damn shame then. Better change that.	Чертовски жаль. Надо это исправить.
line:c6955ecc	Damn, you know how to use your hands.	Чёрт, ну и ловкие же у тебя руки.
line:eaf45022	Damn, you know how to use your hands.	Чёрт, ну и ловкие же у тебя руки.
line:684fb29a	Damn... Always feels good.	Чёрт... Всегда так хорошо.
line:7023cc94	DATE NIGHT!	ВЕЧЕР СВИДАНИЯ!
line:c71df70b	Date night!	Пора на свидание!
line:b57cc8ad	Depends	Смотря по ситуации.
line:07bd7f57	Did you do your uh...	Ты это... Сделал себе...
line:4f38655d	Do I look like I'm okay?	Похоже, что со мной всё нормально?
line:8147156a	Do it!	Давай уже!
line:9ab6ddfb	Do you also do "special endings" here?	А «особое завершение» тут тоже делают?
line:4c90479c	Do you ask because I'm lavender?	Вы спрашиваете из-за моего лавандового окраса?
line:3020c97c	Do you believe I am attractive?	Вы находите меня привлекательным?
line:c5e71850	Do you even need a wash?	Тебе вообще нужно мыться?
line:1810e75f	Do you have any advice?	Что посоветуешь?
line:6be807b5	Do you have any plans with ryan?	У тебя с Райаном есть какие-нибудь планы?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	Не знаешь, где можно потусить? Или с кем?
line:412ba249	Do you know any good bars?	Не знаешь хороших баров?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	Нет у тебя знакомого, с которым можно поговорить? Ну... об отношениях и всё такое?
line:21c0526b	Do you like being big?	Вам нравится быть большим?
line:daa040eb	Do you like purple?	Вам нравится фиолетовый?
line:ef052302	Do you like purple?	Вам нравится фиолетовый?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	Вы здесь помогаете здоровенным драконам, <size=60%>вроде меня, <size=100%>кончить?
line:ec64a696	Do you mind double checking if I'm clean?	Проверишь ещё раз, всё ли чисто?
line:647187f1	Do you want to say what happened...?	Может, расскажешь, что произошло...?
line:807df02d	Do you want to use it?	Хотите попробовать?
line:5c42b85a	Doesn't mean I need to yell at you.	Это не повод на тебя орать.
line:eefa8ae2	Don't be sorry! Get a mount!	Не извиняйся, а станок купи!
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	Не волнуйся, драконы могут есть что угодно.
line:b90b01a9	Don't worry, he's real nice.	Не переживай, он очень хороший.
line:7de2a81c	Don't worry. I will.	Не волнуйся, расскажу.
line:c29d4071	Don't... make it sound like that.	Ты это... Не говори таким тоном.
line:31bdd33c	Dont talk with your mouth full	Не говори с набитым ртом.
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	История драконов весьма сложна. Драконы <size=85%> часто носят <size=70%> декоративные гербы, <size=55%>обозначающие принадлежность к определённому роду! <size=40%> Это любопытный символ культурного <size=35%> и семейного наследия. Я не раз задавался вопросом, стоит ли продолжать носить свой. <size=20%> Однако в драконьей традиции придают большое значение культурным и родственным связям! Так что приходится соблюдать обычай. <size=10%> Вода. Земля. Огонь. Воздух. Когда-то четыре народа жили в согласии. Но всё изменилось, когда народ Огня развязал войну.
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	Драконий желудок немного... крепче твоего.
line:7e352505	Dragons of the galaxy 2	Драконы Галактики 2
line:c2c659d1	Eep!	Ип!
line:0bd1699e	Ehh..	Э-э...
line:43dd32f5	Er... That's not-	Э-э... Я не об этом...
line:93b60dce	Even so. Not this time	И всё же не в этот раз.
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	Пусть ты просто делал свою работу... Ему это очень помогло.
line:a2ba222e	Evening. This establishment takes walk ins, correct?	Добрый вечер. Здесь можно обслужиться без предварительной записи?
line:f98c3b6c	Every ending here is special!	У нас каждое завершение особенное!
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	Любой уважающий себя волшебник носит с собой перо феникса.
line:57df700d	Everyone's gaze carries an immense weight.	Взгляды окружающих так давят на меня.
line:9ad8d2dd	Excellent!	Превосходно!
line:0c997163	Excellent.	Отлично.
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	Замечательно. Тогда не забудьте поприветствовать клиента у окошка.
line:7bbe7ee3	Expectations are laaaame.	Чужие ожидания — такая тягооомотина.
line:f99eb2ff	Ey! The mount! Fuck yeah.	Эй! Станок! Да, бля!
line:d376acb9	Ey, so. Was thinkin'	Слушай, я тут подумал.
line:85ec0862	Ey, sorry for coming in late.	Эй, извини за поздний визит.
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	Эй, поработай руками над моим членом. Приятно же!
line:271a3846	Fair enough. I'll be waiting!	Что ж, понятно. Я подожду!
line:4789095b	Fair enough. You two do seem cute together.	Понятно. Вы и правда хорошо вместе смотритесь.
line:f5b37855	Felt good sliding down though!	Зато приятно прошёл по горлу!
line:274367d7	Figured I'd bring in something nice after all you've done.	После всего, что ты сделал, захотелось порадовать тебя чем-нибудь.
line:aae8afca	Fine with me!	Я совсем не против!
line:e98616be	For you!	Для тебя!
line:62a82aba	Found this one gryphon. About my size...	Познакомился с одним грифоном. Примерно с меня ростом...
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	Судя по тому, что я слышал, он за последнее время здорово изменился, да?
line:803bf378	Fuck man, I'm so pumped.	Бля, дружище, как же я жду.
line:f2418086	Fuck no! Shit's embarrassing.	Да хрен там! Мне стыдно, блядь.
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	Что-нибудь трахнуть. И, надеюсь, ты мне потом подрочишь.
line:203bce10	Fuuuck. You really know how to work a dragon!	Бля-я. Ты умеешь доставить дракону удовольствие!
line:f7f9b0db	G'day mate!	Здорово, приятель!
line:664c994e	Gave me time to think.	Дал время всё обдумать.
line:1d9b3531	Get a handjob and fuck this mount.	Чтобы ты мне подрочил, а ещё — трахнуть этот станок.
line:48afdce4	Give it to me!	Дай мне всё!
line:9df043ad	Give me a bit	Дай ещё немного времени.
line:e5c7f64a	Glad I'm here to remind you then.	Хорошо, что я пришёл напомнить.
line:354170aa	Go for it!	Можете кончать!
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	Сегодня вечером в центр иду. Надо, чтоб ни пятнышка. Слушай...
line:dcb506d2	Good as!	Отлично же!
line:bcbc6373	Good evening!	Доброго вечера!
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	Хорошо. Нельзя, чтобы в Общественном колледже тауматургии Бёрнсвика узнали, что их лучший профессор Александр опять устроил происшествие.
line:12b72085	Good, you better. If I come back and there isn't one...	Хорошо. Смотри у меня. Если приду, а станка нет...
line:2c851dad	Good.	Хорошо.
line:2712436c	Good. 'Aight, let me out.	Вот и славно. Ну, выпускай.
line:bab51ada	Good... That'd be correct.	Хорошо... Именно так.
line:44f2b8cf	Goodbye!	До свидания!
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	Слава небесам, благодаря вам у меня есть шанс всё исправить.
line:745c3c12	Gosh!	Вот это да!
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	Надо <i>потренироваться</i> перед Райаном, понимаешь, о чём я?
line:e3cef2bc	Gotta make sure you're spotless!	Надо вымыть тебя до блеска!
line:b01b2159	Great, so uh,	Здорово, тогда, эм...
line:43c94954	Grouse as! Excited to see you work!	Зашибись! Жду не дождусь твоей работы!
line:9de16ee9	Ha!	Ха!
line:88d7e1e2	Haah. This is the best fuckin' wash.	А-ах. Охренительная мойка, лучшая.
line:cc6e7856	Hah! There's the mount!	Ха! А вот и станок!
line:90dd6d9d	Hah, eager as always.	Ха, всё так же полны энтузиазма.
line:9542e7a6	Hah, good. Let's break this thing in!	Ха, отлично. Пора его обкатать!
line:fe21109b	Hah, he seems like the wild type.	Ха, он действительно производит такое впечатление.
line:e8bc1d95	Hah, I imagine it would be.	Ха, так я и думал.
line:acbf628d	Hah, it is a motivator.	Ха, да, весомый стимул.
line:65b23418	Hah, okay. I'm game.	Ха, ладно. Я согласен.
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	Ха, да. У Конрада определённо есть опыт...
line:8b878971	Hah, yeah. He sounds fun.	Ха, да. Похоже, с ним весело.
line:e3ed51d9	Hah. Conrad, you look good too.	Ха. Ты тоже хорошо выглядишь, Конрад.
line:f8b2e23b	Hah. Fine.	Ха. Ладно.
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	Ха. Был бы тут кобольд, который может меня отмыть.
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	Ха. Ага. <size=70%><i>Круто, что в школе мойщиков учат драконам дрочить...
line:50a559bb	Hah... <size=70%> yeah.	Ха... <size=70%> Ага.
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	Ха... Сейчас мне подрочишь? Я только за.
line:4e920759	Hah... Yeah I'm excited.	Ха... Да, не терпится.
line:b36365ce	Hah... Yeah...	Ха... Да...
line:b8724c64	Hah... you do like that noise.	Ха... Любишь ты так пищать.
