# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	よう、でかいワンコ。
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b>ライアンってドラゴンを知ってる。紹介しようか？</b></gradient><size=70%>（コンラッドとライアンの関係、またはライアンとの恋愛を解放）
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b>僕なら、一緒に遊んでもいいよ……。</b></gradient><size=70%>（コンラッドとの恋愛を解放）
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b>喜んで！</b></gradient><size=70%>（アレクサンダーとの恋愛ルートへ！）
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b>今夜は忙しいんだ。ごめん。</b></gradient><size=70%>（恋愛ルートには進みません！）
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>今は誰も思いつかないな。</b></gradient><size=70%>（コンラッドとの恋愛が確定します！）
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>赤いドラゴンを知ってる。きっと気に入るよ！</b></gradient><size=70%>（ライアンとコンラッドが結ばれます！）
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>ああ、えっと。<size=70%>僕がその相手でも……いいんだけど。</b></gradient><size=70%>（ライアンとの恋愛が確定します！）
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>よう！</gradient><size=100%>ここ、洗ってくれる店だよな？
line:c777ce0c	<i> that feels nice...</i>	<i>気持ちいい……</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>しまった……本もだ。
line:d67b1098	<i>I like spraying you with water.	<i>君に水をかけるの、好き。
line:ad5d633a	<i>Oh...	<i>ああ……。
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>ああ。</i>まだ、そこまでする心の準備はできていないかな。
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>おお。</i>マウント？ 最高じゃん。
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	<i>こんなこと</i>、君のせいじゃないよ、コンラッド。
line:72b244b7	<size=100%> That felt damn good!	<size=100%>めちゃくちゃ気持ちよかった！
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>いや、その……いいね。
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%>ああ、最高だ！
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>よう、<size=100%>洗ってほしいんだけど。
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>よっしゃあ！
line:f5462edf	<size=60%> that's hot.	<size=60%>それ、そそる。
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>大きなドラゴンが、僕に任せてくれるなんて。すごい。
line:53d71f27	<size=70%> And for me.	<size=70%>それと、僕のため。
line:4fe271cc	<size=70%> woah.	<size=70%>すごい。
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>やばい、ドラゴンとデートの約束しちゃった。
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>でも、気持ちよかった……ありがとう。
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>そのまま続けてくれて構わない……</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>わあ……</i>ううん、むしろすごくうれしい。
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>わあ……。
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>そうなの？
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>彼らには今も給料を払っている。
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	数日前に……。
line:c570a462	A rather good excuse to see my favorite kobold.	お気に入りのコボルトに会うには、いい口実だろう。
line:5d2d16e0	A really good friend?	すごくいい友達だと思うのって、変かな？
line:df4d3810	About earlier.	さっきのことだけど。
line:1a5e1ba4	Act what way?	どういうこと？
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	彼が突然燃え上がったあと、邪魔しないようにしておいた。
line:a983ffa3	Again...?	また……？
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	同感だ。だが、できれば早めに中へ入れてほしい。
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	ああ、それだ……そのまま続けて。
line:e216aee0	Ah, good.	ああ、よかった。
line:9b26ac5f	Ah, I see the button there, gotcha!	ああ、そこにボタンがあるんだね。わかった！
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	ああ、すまない。こういう話になると熱が入る。
line:bf2a8309	Ah, the grime did sting a little, thank you.	ああ、汚れが少ししみていたんだ。ありがとう。
line:ebdb9888	Ah, yeah, those types are pretty cute.	ああ、うん。そういうタイプ、かわいいよね。
line:b920f205	Ah. Do not worry.	ああ。気にしないでくれ。
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	ああ。じゃあ、謝るのはなし。
line:6de2c490	Ah...	ああ……。
line:4d6b365e	Ahh, all cleaned and with a lighter load.	ああ、きれいになって、たまってたものも出せた。
line:20f96302	Alexander!	アレクサンダー！
line:f167e3d7	Alexander!	アレクサンダー！
line:fe3996b8	Alexander!	アレクサンダー！
line:af7db134	Alexander...?	アレクサンダー……？
line:eb7cf9e5	All clean...	すっかりきれいになった……。
line:f57fc630	All done!	全部終わり！
line:0b734d82	All self respecting washers know how to please a dragon.	一人前の洗い手なら、ドラゴンを喜ばせる方法を知ってるもんだ。
line:599ffb25	Already got seats at that bar I mentioned earlier.	前に話したバー、もう席を取った。
line:642ddea3	Alright alright... Then I think I'd like to use it?	わかった、わかった……では、使ってみたいと思う。
line:c7b3a185	Alright! I'll go get the gate.	よし！ 門を開けてくる。
line:7279121a	Alright! I'll go get you the gate.	よし！ 門を開けてくるね。
line:4fc4259c	Alright! I'm ready to go.	よし！ 出発できるよ。
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	じゃあ、門を開けて。先に行ってるね！
line:d04df8f8	Alright, I'll cya!	じゃあ、またな！
line:4766af08	Alrighty! That should be it.	よし！ これで終わり。
line:797ca540	Alrighty. All clean.	よし。きれいになった。
line:c4cb161a	Although grapes have always hit a specific craving.	でも、ブドウって妙に食べたくなるんだ。
line:dc237557	Although, the portions might be a bit... dragon sized.	でも、量はちょっと……ドラゴンサイズかも。
line:655b8c01	Always happy to have you, Conrad.	コンラッドなら、いつでも歓迎だよ。
line:afedd1f5	An anomaly.	特異な存在だ。
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	救急箱があって助かった……準備がいいんだな。
line:0699aef9	And I'm really happy for you and Conrad.	それに、君とコンラッドのことも本当にうれしい。
line:a3a26459	And not just physically.	背が高くて見上げられるという意味だけではなくね。
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	それで来たんだ！ 洗い終わったら会いに行く。
line:33440e8c	And why you are perfect for this job!	だからこそ、君が適任なんだ！
line:cacb93ce	And you've tried everything.	もう、できることは全部試して。
line:8cae6240	Another dragon? Usually I don't really get along...	別のドラゴンか。普段はあんまり仲よくなれないんだけど……。
line:5a7e4fd4	Any chance you can clean me up again?	もう一度洗ってもらえるかな？
line:92d2a30a	Anything. I'm just curious.	何でも。ちょっと気になってね。
line:52695aa2	Anything?	何でも？
line:8ead9ee9	Anytime, Ryan.	いつでも聞くよ、ライアン。
line:6d77feef	Anyway glad you're not finished, lets keep at it!	ともかく、まだ終わりじゃなくてよかった。続けよう！
line:bdb4f59c	Anyway, time to get writing!	さて、書き始めよう！
line:75dd56ae	Anyways,	それはさておき。
line:8980260e	Anyways-	ともかく……。
line:a8e6291c	Anyways- Let me out.	ともかく、出してくれ。
line:493a82ef	Anyways. Could you go get the gate?	さて、門を開けてくれる？
line:926f5f41	Anyways. Gonna use this thing now!	さて、さっそく使わせてもらうぜ！
line:ad8ab02e	Anyways...	さて……。
line:e767dc51	Anywho, I'll get out of your scales now.	さて、そろそろ失礼しよう。
line:e81426c1	Anywho, I'm in need of a clean.	さて、洗ってもらいたい。
line:23e7d518	Approach the dragon entrance, and I will let you in.	ドラゴン用の入口まで来てくれれば、中へ案内しよう。
line:72a9b5bb	Are you happy?	幸せ？
line:be0118cc	Are you okay?	大丈夫？
line:de735c65	Are you open right now?	今、営業しているかね？
line:9369755d	Are you sure it will fit?	本当に入る？
line:c35b717a	Are you sure...? In front of the food?	いいの……？ 食べ物の前で？
line:cb06d2bf	As am I.	私もだ。
line:9a48b21c	As in you're unique.	つまり、他にはいないということ。
line:1c021ee0	At getting hand jobs.	手で抜いてもらうプロ。
line:e861b464	At least that's what I've heard anyway.	少なくとも、そう聞いてるよ。
line:2f54ceec	At least you can still use your hands. Heh.	まあ、手は使えるよな。へへ。
line:cb04e062	At least you can still use your hands. Heh.	まあ、手は使えるよな。へへ。
line:97792929	Aw, I'll go get you the gate.	ふふ、門を開けてくるね。
line:c6895517	Aw, Ryan.	ああ、ライアン。
line:db997182	Aw, thank you Alexander.	えへへ、ありがとう、アレクサンダー。
line:7157db26	Aw, thanks Alexander.	えへへ、ありがとう、アレクサンダー。
line:011f1458	Aw, thanks.	ああ、ありがとう。
line:aea0be6b	Aw, thanks.	ああ、ありがとな。
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	ああ、ありがとう。君が洗ってくれるから、こんなに格好いいんだよ！
line:453ff9be	Aw- Ryan...	ああ、ライアン……。
line:5340a315	Aw... Thanks!	えへへ……ありがとう！
line:c6202cf2	Aw... Thanks.	ああ……ありがとう。
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	ああ……ありがとう。君のことを……。
line:2bfa396c	Aw... That's really sweet	ああ……素敵だね。
line:22053f7f	Awesome!	最高！
line:6fdb2c3d	Awesome!	最高！
line:70306ba1	Awesome!	最高！
line:6126a614	Awesome! Come on in..	最高！ 入って……。
line:e85007ac	Awesome! See you later then!	やった！ じゃあ、またあとで！
line:4c7f15d6	Awesome, I'll go get the gate.	いいね、門を開けてくる。
line:9d126e4e	Awesome, I'm glad.	よかった、うれしい。
line:b60cc4a5	Awesome.	最高。
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	もう。顔を見せに来るだけなら、インクまみれになる必要はないよ！
line:8e20e028	Be yourself!	自分らしくしてればいいよ！
line:cd18f73f	Been looking forward to this.	楽しみにしてたんだ。
line:8f1fccf9	Being muddy is really fun up until it starts drying.	泥まみれになるのは楽しいけど、乾き始めるとね。
line:40783547	Berries.	ベリーだよ。
line:59d4be6a	Berries.	ベリーだよ。
line:61e781c1	Berries.	ベリーだよ。
line:18ae08ef	Bet you had fun.	楽しかっただろ。
line:982fd3c7	big C...?	ビッグ C……？
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	生物学……？<size=70%><i>たぶん？
line:9be63f47	Bleh. Thank you for grabbing that.	ぷはっ。持ってくれてありがとう。
line:66957ed2	Blue...?	青い卵……？
line:a77c3afd	Both.	両方。
line:78975048	Brrr! Cold water!	ぶるっ！ 冷水だ！
line:8487a2c4	Burnswick Community College of Thaumaturgy	バーンズウィック地域魔術大学
line:f75126de	But honestly you've helped me a lot.	でも、本当に君には助けられた。
line:cab69268	But I already know I'm liking this a lot.	でも、もう、すごく気に入ってる。
line:d9534386	But I know the type... They tend to be big softies on the inside.	でも、そういうタイプはわかる……中身はすごく優しかったりする。
line:f73ddfbc	But I think its time to get cleaned up.	でも、そろそろきれいにしないとね。
line:088ea4a7	But I'm hot shit, so I'll be fine.	でも、俺はイケてるから大丈夫。
line:c8f8bc22	But I'm only your washer?	でも、僕はただの洗い手だよ？
line:dda0419b	But I'm sure I'd enjoy it with you!	でも、君となら楽しめると思う！
line:aa74448a	But not in this sized package, right??	でも、この体格では見たことないだろ？？
line:7d9ffc48	But nothing beats a large gulp!	でも、大きくごくんと飲むのが最高！
line:d1ec7684	But that is why I am here!	だが、まさにそのためにここへ来たのだ！
line:b0d9d1e5	But you're the teacher dragon.	でも、先生ドラゴンは君だよ。
line:2d7e1ab6	But, at least I got to meet you!	でも、少なくとも君に会えた！
line:b7f46902	But, I think you've taught me something.	だが、君に教わったことがあると思う。
line:b1040415	By the stars! No no. You're excellent.	とんでもない！ 違う、君はすばらしいよ。
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	ところで、恋人が家を汚したら怒る？
line:4199070f	Came in for another wash.	また洗ってもらいに来た。
line:105cd3e2	Can I ask you a question?	質問してもいい？
line:535ee717	Can you repeat that?	もう一度言ってくれる？
line:835e0c27	Can't sthpeak well.	うまくしゃべれなひ。
line:afa450c0	Come back whenever, Ryan.	いつでも来てね、ライアン。
line:0cedfc3d	Conrad can go as long as he needs	コンラッド様は、必要なだけ続けられる。
line:5462913f	conrad hooked up with ryan	コンラッドとライアンが結ばれた
line:61cd33c5	conrad hooked up with ryan	コンラッドとライアンが結ばれた
line:6a7610f3	conrad hooked up with ryan	コンラッドとライアンが結ばれた
line:bac1ce29	conrad hooked up with ryan	コンラッドとライアンが結ばれた
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	コンラッド様を洗ってくれるか？ 空いてる？
line:405b7ef1	Conrad needs a wash!	コンラッド様を洗ってくれ！
line:803c8f0c	Conrad was talking about you during our date.	デート中、コンラッドが君の話をしてた。
line:f1787092	Conrad!	コンラッド！
line:fd6c6213	Conrad!	コンラッド！
line:484cd04d	Conrad...?	コンラッド……？
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: いや……その……。
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: コンラッド様は、自分が楽しむだけだ。
line:fbe86c06	Conrad: Damn right!	Conrad: 当たり前だろ！
line:5660dc8b	Conrad: Don't worry about it!	Conrad: 気にするなよ！
line:c050dbfc	Conrad: I do it all the time	Conrad: 俺はいつもやってる。
line:cd3367da	Conrad: I want this to go well	Conrad: うまくいってほしいんだ。
line:194c1381	Conrad: I'm ready to blow	Conrad: もう出そう。
line:ce4d0fef	Conrad: Yea	Conrad: うん。
line:42c70daa	Conrad: You feel good	Conrad: 気持ちいい。
line:3bc52918	Conrad: You having a good time?	Conrad: 楽しんでる？
line:be0e51af	Cool.	格好いいからな。
line:88c36bc7	Could do that, then get a hotel room... Hmm.	そこに行って、それからホテルの部屋を取って……ふむ。
line:b99e1503	Could you ask <i>me</i> a question?	<i>私に</i>何か質問してくれないか？
line:12bf5baf	Could you get the gate...?	門を開けてくれないか……？
line:3a6afae1	Could you go get the gate?	門を開けてくれる？
line:9f49d9d4	Could you wash it away?	洗い流してくれる？
line:7661a0e9	D'aw... thanks.	えへへ……ありがとう。
line:59bc5840	Damn right I do!	当たり前だろ！
line:64889395	Damn right!	そうこなくちゃ！
line:95aa0bf4	Damn right!	もちろんさ！
line:db592d76	Damn right!	そうこなくちゃ！
line:0fcf9908	Damn right.	もちろん。
line:b964c99b	Damn shame then. Better change that.	残念すぎるな。変えた方がいい。
line:c6955ecc	Damn, you know how to use your hands.	くそ、手の使い方をわかってるな。
line:eaf45022	Damn, you know how to use your hands.	くそ、手の使い方をわかってるな。
line:684fb29a	Damn... Always feels good.	くそ……いつも気持ちいい。
line:7023cc94	DATE NIGHT!	デートの夜！
line:c71df70b	Date night!	デートの時間！
line:b57cc8ad	Depends	場合による。
line:07bd7f57	Did you do your uh...	今日は、その……。
line:4f38655d	Do I look like I'm okay?	大丈夫に見えるか？
line:8147156a	Do it!	出して！
line:9ab6ddfb	Do you also do "special endings" here?	ここって「特別な仕上げ」もやってる？
line:4c90479c	Do you ask because I'm lavender?	私が薄紫色だから聞くのかね？
line:3020c97c	Do you believe I am attractive?	私に魅力があると思うかね？
line:c5e71850	Do you even need a wash?	そもそも、洗う必要あるの？
line:1810e75f	Do you have any advice?	何かアドバイスある？
line:6be807b5	Do you have any plans with ryan?	ライアンと何か予定はある？
line:a0cf6cae	Do you know any cool places, people, I could hang around?	遊びに行けるいい場所とか、一緒に遊べるやつとか、知らない？
line:412ba249	Do you know any good bars?	いいバー、知ってる？
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	話せそうな人、誰か知ってる？ ほら……恋愛相手として。
line:21c0526b	Do you like being big?	大きい体は気に入ってる？
line:daa040eb	Do you like purple?	紫色はお好きですか？
line:ef052302	Do you like purple?	君は紫色が好きかい？
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	ここで大きなドラゴンを、<size=60%>俺みたいなやつを、<size=100%>イかせてくれるの？
line:ec64a696	Do you mind double checking if I'm clean?	きれいになったか、もう一度確認してくれる？
line:647187f1	Do you want to say what happened...?	何があったか、話したい……？
line:807df02d	Do you want to use it?	使ってみたいの？
line:5c42b85a	Doesn't mean I need to yell at you.	だからって、怒鳴っていいわけじゃない。
line:eefa8ae2	Don't be sorry! Get a mount!	謝るより、マウントを買えよ！
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	大丈夫。ドラゴンは何でも食べられる体なんだ。
line:b90b01a9	Don't worry, he's real nice.	心配しないで。本当にいいやつ。
line:7de2a81c	Don't worry. I will.	大丈夫。話すよ。
line:c29d4071	Don't... make it sound like that.	そういう……言い方はやめて。
line:31bdd33c	Dont talk with your mouth full	口いっぱいのまま話すなよ。
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	ドラゴンの歴史は複雑だ。装飾用の紋章は<size=85%>多くの場合、<size=70%>ドラゴンが自分の<size=55%>家系を示すために身につける！<size=40%>文化的、<size=35%>家系的な遺産を示す興味深い印だ。私も身につけ続けるべきか、よく考える。<size=20%>だが、ドラゴンの伝承では文化と家族の絆が大切とされている！ だから従わねばならない。<size=10%>水。土。火。気。はるか昔、四つの国は調和して暮らしていた。だが、火の国の侵攻ですべてが変わった。
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	ドラゴンの胃は、君たちより少し……頑丈だから。
line:7e352505	Dragons of the galaxy 2	ドラゴンズ・オブ・ギャラクシー 2
line:c2c659d1	Eep!	ひゃっ！
line:0bd1699e	Ehh..	ええ……。
line:43dd32f5	Er... That's not-	いや……そういう意味じゃ……。
line:93b60dce	Even so. Not this time	それでも、今回はやめておこう。
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	仕事だったとしても……彼には大きな助けだったと思う。
line:a2ba222e	Evening. This establishment takes walk ins, correct?	こんばんは。ここは予約なしでも利用できるのかね？
line:f98c3b6c	Every ending here is special!	うちは、どんな仕上げも特別だよ！
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	まともな魔術師なら、不死鳥の羽根を常備しているものだ。
line:57df700d	Everyone's gaze carries an immense weight.	誰の視線にも、重いものを感じる。
line:9ad8d2dd	Excellent!	すばらしい！
line:0c997163	Excellent.	すばらしい。
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	すばらしい。では、窓口でお客さんに挨拶してね。
line:7bbe7ee3	Expectations are laaaame.	期待されるのって、めんどくさーい。
line:f99eb2ff	Ey! The mount! Fuck yeah.	おっ！ マウント！ よっしゃ。
line:d376acb9	Ey, so. Was thinkin'	なあ、ちょっと考えてたんだけど。
line:85ec0862	Ey, sorry for coming in late.	よう、遅くにごめん。
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	なあ、手でチンポを触ってくれよ。気持ちいいんだ！
line:271a3846	Fair enough. I'll be waiting!	まあいい。待っているよ！
line:4789095b	Fair enough. You two do seem cute together.	そっか。お前ら、かわいいカップルだと思う。
line:f5b37855	Felt good sliding down though!	でも、滑り落ちる感覚はよかった！
line:274367d7	Figured I'd bring in something nice after all you've done.	いろいろしてくれたお礼に、何かいい物を持ってきたくて。
line:aae8afca	Fine with me!	僕はいいよ！
line:e98616be	For you!	君のため！
line:62a82aba	Found this one gryphon. About my size...	俺と同じくらいの大きさのグリフォンがいてさ……。
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	聞いた話だと、最近すごく変わったんだよね？
line:803bf378	Fuck man, I'm so pumped.	くそ、めちゃくちゃ楽しみだ。
line:f2418086	Fuck no! Shit's embarrassing.	話したくねえよ！ 恥ずかしすぎる。
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	何かに突っ込んで、できれば手でも抜いてもらうため。
line:203bce10	Fuuuck. You really know how to work a dragon!	くそ……ドラゴンの扱い、わかってるな！
line:f7f9b0db	G'day mate!	よう、相棒！
line:664c994e	Gave me time to think.	考える時間をくれたから。
line:1d9b3531	Get a handjob and fuck this mount.	手で抜いてもらって、このマウントとヤるため。
line:48afdce4	Give it to me!	僕に出して！
line:9df043ad	Give me a bit	ちょっと待って。
line:e5c7f64a	Glad I'm here to remind you then.	思い出させに来てよかった。
line:354170aa	Go for it!	いいよ！
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	今夜は街に行くんだ。ピカピカにしたくてさ。なあ……。
line:dcb506d2	Good as!	最高じゃん！
line:bcbc6373	Good evening!	こんばんは！
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	よし。バーンズウィック地域魔術大学の最高の教授、アレクサンダーがまた事故を起こしたなどと知られるわけにはいかない。
line:12b72085	Good, you better. If I come back and there isn't one...	よし、頼むぞ。次に来てもなかったら……。
line:2c851dad	Good.	よかった。
line:2712436c	Good. 'Aight, let me out.	よし。じゃ、外に出してくれ。
line:bab51ada	Good... That'd be correct.	気持ちいい……まさに、その通りだ。
line:44f2b8cf	Goodbye!	さようなら！
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	ああ、君のおかげで事態を立て直せそうだ。
line:745c3c12	Gosh!	なんと！
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	ライアンのために<i>練習</i>しなきゃな。わかるだろ。
line:e3cef2bc	Gotta make sure you're spotless!	ピカピカにしないとね！
line:b01b2159	Great, so uh,	よかった。それで、その……。
line:43c94954	Grouse as! Excited to see you work!	最高！ どんな腕前か楽しみだ！
line:9de16ee9	Ha!	はは！
line:88d7e1e2	Haah. This is the best fuckin' wash.	はあ。ここ、マジで最高の洗い場だ。
line:cc6e7856	Hah! There's the mount!	はは！ マウントだ！
line:90dd6d9d	Hah, eager as always.	はは、相変わらず元気だね。
line:9542e7a6	Hah, good. Let's break this thing in!	はは、よかった。さっそく使い込んでやろう！
line:fe21109b	Hah, he seems like the wild type.	はは、確かにそういうタイプだね。
line:e8bc1d95	Hah, I imagine it would be.	はは、そうだろうな。
line:acbf628d	Hah, it is a motivator.	はは、確かにやる気が出るものだ。
line:65b23418	Hah, okay. I'm game.	はは、いいね。乗った。
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	はは、うん。コンラッドは、確かに慣れてるね……。
line:8b878971	Hah, yeah. He sounds fun.	はは、うん。楽しそうな人だね。
line:e3ed51d9	Hah. Conrad, you look good too.	はは。コンラッドも格好いいよ。
line:f8b2e23b	Hah. Fine.	はは、わかった。
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	はは。俺を洗ってくれるコボルトがいたらなあ。
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	はは、そう。<size=70%><i>洗い手の学校じゃ、ドラゴンの抜き方も教わるんだな……。
line:50a559bb	Hah... <size=70%> yeah.	はは……<size=70%>うん。
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	はは……今から抜いてくれるの？ いいよ。
line:4e920759	Hah... Yeah I'm excited.	はは……うん、楽しみ。
line:b36365ce	Hah... Yeah...	はは……うん……。
line:b8724c64	Hah... you do like that noise.	はは……その鳴き声、好きだね。
line:c8cde395	Haha, 'Yip' indeed.	はは、まったく「きゅっ」だね。
line:680991cf	Haha, yes. Happy to see you.	はは、ああ。会えてうれしい。
line:4c27b031	Haha, you certainly are!	はは、確かにそうだね！
line:c3a2e14e	Haha, you certainly are!	はは、確かにそうだね！
line:9ec40945	Haha. 'Yip' to you too.	はは。君にも「きゅっ」。
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	はは……うん。褒めるのに慣れてなくてさ。
line:44689f21	Happy to be back.	また来られてうれしいよ。
