# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	嘿，大狗狗。
line:9d126e4e	Awesome, I'm glad.	太好了，真开心。
line:b60cc4a5	Awesome.	太好了。
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	噢，你不用弄得满身墨水也能来打招呼啊！
line:8e20e028	Be yourself!	做你自己！
line:cd18f73f	Been looking forward to this.	我一直很期待。
line:8f1fccf9	Being muddy is really fun up until it starts drying.	玩泥巴很好玩，直到泥开始干掉就不一样了。
line:40783547	Berries.	莓果。
line:59d4be6a	Berries.	莓果。
line:61e781c1	Berries.	莓果。
line:18ae08ef	Bet you had fun.	你一定玩得很开心。
line:982fd3c7	big C...?	C 大爷……？
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	生物学……？<size=70%><i>我想啦？
line:9be63f47	Bleh. Thank you for grabbing that.	呸。谢谢你帮我拿。
line:66957ed2	Blue...?	蓝色的……？
line:a77c3afd	Both.	都有。
line:78975048	Brrr! Cold water!	嘶！是冷水！
line:8487a2c4	Burnswick Community College of Thaumaturgy	伯恩斯威克社区魔法学院
line:f75126de	But honestly you've helped me a lot.	但说真的，你帮了我很多。
line:cab69268	But I already know I'm liking this a lot.	但我已经知道，自己非常喜欢这种感觉。
line:d9534386	But I know the type... They tend to be big softies on the inside.	不过我懂那种类型……内心通常都很柔软。
line:f73ddfbc	But I think its time to get cleaned up.	不过我想该洗干净了。
line:088ea4a7	But I'm hot shit, so I'll be fine.	但我可是个大帅哥，所以会没事的。
line:c8f8bc22	But I'm only your washer?	可我只是帮你洗澡的？
line:dda0419b	But I'm sure I'd enjoy it with you!	但跟你一起看，我一定会喜欢！
line:aa74448a	But not in this sized package, right??	但没看过这种身材配这么大的吧？？
line:7d9ffc48	But nothing beats a large gulp!	但什么都比不上一大口吞下去！
line:d1ec7684	But that is why I am here!	但我就是为此而来的！
line:b0d9d1e5	But you're the teacher dragon.	可是你才是当老师的龙啊。
line:2d7e1ab6	But, at least I got to meet you!	不过，至少我认识了你！
line:b7f46902	But, I think you've taught me something.	但我想，你教会了我一件事。
line:b1040415	By the stars! No no. You're excellent.	天啊！不不，你非常出色。
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	顺带一问，如果你的伴侣把家里弄脏，你会生气吗？
line:4199070f	Came in for another wash.	又来洗个澡。
line:105cd3e2	Can I ask you a question?	可以问你一个问题吗？
line:535ee717	Can you repeat that?	可以再说一次吗？
line:835e0c27	Can't sthpeak well.	说不清粗。
line:afa450c0	Come back whenever, Ryan.	莱恩，随时欢迎你再来。
line:0cedfc3d	Conrad can go as long as he needs	康拉德想撑多久就能撑多久。
line:5462913f	conrad hooked up with ryan	康拉德和莱恩上床了
line:61cd33c5	conrad hooked up with ryan	康拉德和莱恩上床了
line:6a7610f3	conrad hooked up with ryan	康拉德和莱恩上床了
line:bac1ce29	conrad hooked up with ryan	康拉德和莱恩上床了
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	康拉德想洗个澡，有空位给他吗？
line:405b7ef1	Conrad needs a wash!	康拉德要洗澡！
line:803c8f0c	Conrad was talking about you during our date.	我们约会时，康拉德有提到你。
line:f1787092	Conrad!	康拉德！
line:fd6c6213	Conrad!	康拉德！
line:484cd04d	Conrad...?	康拉德……？
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: 其实……我是说……
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: 康拉德只管自己爽。
line:fbe86c06	Conrad: Damn right!	Conrad: 那当然！
line:5660dc8b	Conrad: Don't worry about it!	Conrad: 别担心！
line:c050dbfc	Conrad: I do it all the time	Conrad: 我常常这样。
line:cd3367da	Conrad: I want this to go well	Conrad: 我希望这次能顺利。
line:194c1381	Conrad: I'm ready to blow	Conrad: 我快射了。
line:ce4d0fef	Conrad: Yea	Conrad: 对啊。
line:42c70daa	Conrad: You feel good	Conrad: 你让我好舒服。
line:3bc52918	Conrad: You having a good time?	Conrad: 你玩得开心吗？
line:be0e51af	Cool.	很酷。
line:88c36bc7	Could do that, then get a hotel room... Hmm.	可以去那里，之后再订间旅馆……嗯。
line:b99e1503	Could you ask <i>me</i> a question?	你能问<i>我</i>一个问题吗？
line:12bf5baf	Could you get the gate...?	可以帮我开门吗……？
line:3a6afae1	Could you go get the gate?	可以帮我开门吗？
line:9f49d9d4	Could you wash it away?	可以帮我冲掉吗？
line:7661a0e9	D'aw... thanks.	噢……谢谢。
line:59bc5840	Damn right I do!	那还用说！
line:64889395	Damn right!	那当然！
line:95aa0bf4	Damn right!	那当然！
line:db592d76	Damn right!	那当然！
line:0fcf9908	Damn right.	那当然。
line:b964c99b	Damn shame then. Better change that.	那也太可惜了。最好改一下。
line:c6955ecc	Damn, you know how to use your hands.	操，你真会用手。
line:eaf45022	Damn, you know how to use your hands.	操，你真会用手。
line:684fb29a	Damn... Always feels good.	靠……每次都好舒服。
line:7023cc94	DATE NIGHT!	约会之夜！
line:c71df70b	Date night!	约会之夜！
line:b57cc8ad	Depends	看情况
line:07bd7f57	Did you do your uh...	你今天是不是把，呃……
line:4f38655d	Do I look like I'm okay?	我看起来像没事吗？
line:8147156a	Do it!	来吧！
line:9ab6ddfb	Do you also do "special endings" here?	你们这里也有「特殊收尾」吗？
line:4c90479c	Do you ask because I'm lavender?	因为我是薰衣草色，你才这么问？
line:3020c97c	Do you believe I am attractive?	你觉得我有魅力吗？
line:c5e71850	Do you even need a wash?	你真的需要洗澡吗？
line:1810e75f	Do you have any advice?	你有什么建议吗？
line:6be807b5	Do you have any plans with ryan?	你和莱恩有什么计划吗？
line:a0cf6cae	Do you know any cool places, people, I could hang around?	你知道有什么好玩的地方，或者能一起玩的朋友吗？
line:412ba249	Do you know any good bars?	你知道什么好酒吧吗？
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	你有认识什么人能让我聊聊吗？就是……感情方面的事？
line:21c0526b	Do you like being big?	你喜欢长得这么大吗？
line:daa040eb	Do you like purple?	你喜欢紫色吗？
line:ef052302	Do you like purple?	你喜欢紫色吗？
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	你会帮大龙，<size=60%>像我这种，<size=100%>弄到射出来吗？
line:ec64a696	Do you mind double checking if I'm clean?	可以再确认一下我洗干净了没吗？
line:647187f1	Do you want to say what happened...?	你想说说发生了什么吗……？
line:807df02d	Do you want to use it?	你想用吗？
line:5c42b85a	Doesn't mean I need to yell at you.	那也不代表我该对你大吼。
line:eefa8ae2	Don't be sorry! Get a mount!	别道歉！去买交配架！
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	别担心，龙天生什么都能吃。
line:b90b01a9	Don't worry, he's real nice.	别担心，他人真的很好。
line:7de2a81c	Don't worry. I will.	别担心，我会的。
line:c29d4071	Don't... make it sound like that.	别……用那种语气。
line:31bdd33c	Dont talk with your mouth full	嘴里有东西时别说话。
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	龙族的历史相当复杂。龙常常<size=85%>戴着装饰性的头冠，<size=70%>用来<size=55%>表明自己属于哪个家族！<size=40%>这是它们文化<size=35%>与家族传承的有趣象征。我常想，自己是否该继续戴着它。<size=20%>不过，文化与家族的联系在龙族传统中备受重视！所以我必须遵循这些规矩。<size=10%>水、土、火、气。很久以前，四大国和平共处。直到烈火国发动战争，一切都改变了。
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	龙的胃比你的……强韧一点。
line:7e352505	Dragons of the galaxy 2	《星际异龙队 2》
line:c2c659d1	Eep!	咿！
line:0bd1699e	Ehh..	呃……
line:43dd32f5	Er... That's not-	呃……我不是——
line:93b60dce	Even so. Not this time	即便如此，这次还是算了
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	即使你只是做自己的工作……我想那还是帮了他很多。
line:a2ba222e	Evening. This establishment takes walk ins, correct?	晚上好。贵店接受未预约的客人，对吗？
line:f98c3b6c	Every ending here is special!	我们这里每次收尾都很特别！
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	任何有自尊的巫师，手边都会备着凤凰羽毛。
line:57df700d	Everyone's gaze carries an immense weight.	每个人的目光都带着沉重的压力。
line:9ad8d2dd	Excellent!	太好了！
line:0c997163	Excellent.	很好。
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	很好。那就记得去窗口招呼客人。
line:7bbe7ee3	Expectations are laaaame.	别人的期待真的好烦喔。
line:f99eb2ff	Ey! The mount! Fuck yeah.	嘿！交配架！操，太好了。
line:d376acb9	Ey, so. Was thinkin'	嘿，那个，我在想。
line:85ec0862	Ey, sorry for coming in late.	嘿，抱歉这么晚来。
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	嘿！用你的手摸我的屌——很舒服！
line:271a3846	Fair enough. I'll be waiting!	好吧。那我等你！
line:4789095b	Fair enough. You two do seem cute together.	也是。你们两个看起来很登对。
line:f5b37855	Felt good sliding down though!	不过滑下去的感觉很舒服！
line:274367d7	Figured I'd bring in something nice after all you've done.	你帮了我这么多，想说带点好东西来。
line:aae8afca	Fine with me!	我没问题！
line:e98616be	For you!	给你的！
line:62a82aba	Found this one gryphon. About my size...	认识了一只狮鹫。跟我差不多大……
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	听你这么说，他最近进步很多，对吧？
line:803bf378	Fuck man, I'm so pumped.	操，老兄，我太兴奋了。
line:f2418086	Fuck no! Shit's embarrassing.	操，才不说！丢脸死了。
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	找个东西插一插，再让人帮我撸一发就更好了。
line:203bce10	Fuuuck. You really know how to work a dragon!	操——你真知道怎么让龙爽！
line:f7f9b0db	G'day mate!	嗨，老兄！
line:664c994e	Gave me time to think.	让我有时间好好想想。
line:1d9b3531	Get a handjob and fuck this mount.	让人帮我打手枪，再干这个交配架。
line:48afdce4	Give it to me!	给我吧！
line:9df043ad	Give me a bit	再给我一点时间。
line:e5c7f64a	Glad I'm here to remind you then.	幸好我有来提醒你。
line:354170aa	Go for it!	来吧！
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	今晚要去市中心，得洗得干干净净。话说……
line:dcb506d2	Good as!	太赞啦！
line:bcbc6373	Good evening!	晚上好！
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	很好，我可不能让伯恩斯威克社区魔法学院知道，他们最优秀的亚历山大教授又惹出了事故。
line:12b72085	Good, you better. If I come back and there isn't one...	很好，你最好说到做到。要是我再来还没有……
line:2c851dad	Good.	很好。
line:2712436c	Good. 'Aight, let me out.	很好。行了，让我出去。
line:bab51ada	Good... That'd be correct.	舒服……这形容很贴切。
line:44f2b8cf	Goodbye!	再见！
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	天啊，多亏有你，我才有机会挽回局面。
line:745c3c12	Gosh!	天啊！
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	得为了莱恩好好<i>练习</i>一下，懂我意思吧。
line:e3cef2bc	Gotta make sure you're spotless!	得把你洗得一尘不染！
line:b01b2159	Great, so uh,	太好了，那，呃，
line:43c94954	Grouse as! Excited to see you work!	太棒啦！等不及看你露一手了！
line:9de16ee9	Ha!	哈！
line:88d7e1e2	Haah. This is the best fuckin' wash.	哈啊。这真是最他妈棒的洗浴店。
line:cc6e7856	Hah! There's the mount!	哈！交配架在那里！
line:90dd6d9d	Hah, eager as always.	哈，还是一样热情。
line:9542e7a6	Hah, good. Let's break this thing in!	哈，很好。来帮这玩意开个苞！
line:fe21109b	Hah, he seems like the wild type.	哈，他看起来就是狂野的类型。
line:e8bc1d95	Hah, I imagine it would be.	哈，想也知道。
line:acbf628d	Hah, it is a motivator.	哈，确实很有吸引力。
line:65b23418	Hah, okay. I'm game.	哈，好啊。我奉陪。
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	哈，对啊。康拉德的确很有经验……
line:8b878971	Hah, yeah. He sounds fun.	哈，对啊。他听起来很有趣。
line:e3ed51d9	Hah. Conrad, you look good too.	哈，康拉德，你也很好看。
line:f8b2e23b	Hah. Fine.	哈，好吧。
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	哈，要是有只狗头人能帮我洗澡就好了。
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	哈。对。<size=70%><i>洗浴学校还会教怎么帮龙打手枪，真酷……
line:50a559bb	Hah... <size=70%> yeah.	哈……<size=70%>对啊。
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	哈……现在要帮我打手枪？好啊。
line:4e920759	Hah... Yeah I'm excited.	哈……对啊，我好期待。
line:b36365ce	Hah... Yeah...	哈……对啊……
line:b8724c64	Hah... you do like that noise.	哈……你真的很喜欢发出那个声音。
line:c8cde395	Haha, 'Yip' indeed.	哈哈，确实该「嗷」一下。
line:680991cf	Haha, yes. Happy to see you.	哈哈，是啊。很高兴见到你。
line:4c27b031	Haha, you certainly are!	哈哈，你确实就是！
line:c3a2e14e	Haha, you certainly are!	哈哈，你确实就是！
line:9ec40945	Haha. 'Yip' to you too.	哈哈，我也对你「嗷」一下。
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	哈哈……是啊，我还不太习惯称赞人。
line:44689f21	Happy to be back.	很高兴能再来。
line:2672f65d	Happy to be here.	很高兴能来。
line:192fcb8e	Happy to get it off.	很高兴能把它洗掉。
line:3517b28e	Have a productive day.	祝你工作顺利。
line:7c1adc57	He called me, we met up. He's really damn nice.	他打电话给我，我们就见面了。他人真的超好。
line:e71f9a0b	HE DIED!?	他死了！？
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	据我了解，他已经……嗯，很久没被人好好关心过了。
line:de25de6e	He just... Knew what to say to snap me out of all that.	他就是……知道该说什么，让我别再那样。
line:a035a3fd	He prefers 'vertically challenged'... But yes.	他比较喜欢说自己「身高受限」……不过没错。
line:04b29e42	He really is.	他真的是。
line:c7e1b369	He really is.	他真的是。
line:c64bd5ce	He said I was chill, we planned a date...	他说我很好相处，我们就约好了约会……
line:e8a91447	He's a lot. But, I like it.	他很有个性。不过我喜欢。
line:a7181b1a	He's a red dragon. I think you two would like eachother!	他是条红龙。我觉得你们会互相喜欢！
line:8245fe2b	He's already back to work. Thanks for helping with all that.	他已经回去工作了。谢谢你当时帮忙。
line:aaea8391	He's been way nicer recently.	他最近温柔多了。
line:7363c004	He's great.	他很棒。
line:c13d4e24	He's hot.	他很性感。
line:675d7e37	He's like. SUPER hung.	他的那个，超级大。
line:7deb9fff	He's like... a big softy surrounded by sharp pointy bits.	他就像是……一颗软软的心，外面包满尖刺。
line:800c553d	He's my dream dragon.	他就是我的理想型。
line:4b3c70d9	He's snappy, but tender too!	他嘴巴很凶，但也很温柔！
