# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Chào chó bự.
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>Bạn đã giới thiệu Ryan với Conrad chưa?
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> Tôi biết một con rồng tên Ryan. Hay tôi giới thiệu hai người? </b></gradient><size=70%>(Mở nhánh Conrad/Ryan HOẶC tình cảm với Ryan)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> Tôi cũng muốn đi chơi cùng anh... </b></gradient><size=70%> (Mở nhánh tình cảm với Conrad)
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> Tôi sẵn lòng! </b></gradient><size=70%> (Dẫn đến nhánh tình cảm với Alexander!)
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> Tối nay tôi bận. Xin lỗi. </b></gradient><size=70%> (Dẫn đến kết thúc không có tình cảm!)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>Giờ tôi chưa nghĩ ra ai.</b></gradient><size=70%> (Chốt nhánh tình cảm với Conrad!)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>Tôi biết một con rồng đỏ. Chắc cậu sẽ thích anh ấy! </b></gradient><size=70%> (Ghép đôi Ryan với Conrad!)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>Ồ. Ừm. <size=70%> Tôi cũng muốn... được là người đó. </b></gradient><size=70%> (Chốt nhánh tình cảm với Ryan!)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>NÀY! </gradient><size=100%>Chỗ này là chỗ tắm rửa đúng không?
line:c777ce0c	<i> that feels nice...</i>	<i>Dễ chịu thật...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>Ôi... Và cả sách.
line:d67b1098	<i>I like spraying you with water.	<i>Tôi thích xịt nước lên anh.
line:ad5d633a	<i>Oh...	<i>Ồ...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>Ồ.</i> Tôi nghĩ mình chưa sẵn sàng cho việc đó.
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>Ồồồ. </i>Cái giá? Đệt, được chứ.
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	<i>Chuyện này</i> không phải lỗi của anh, Conrad.
line:72b244b7	<size=100%> That felt damn good!	<size=100%> Đã vãi!
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>Ý tôi là... Hay đấy.
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%> ĐỆT, ĐÚNG RỒI!
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>NÀY, <size=100%>tôi muốn tắm.
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>ĐỆT, TUYỆT VỜI!
line:f5462edf	<size=60%> that's hot.	<size=60%>Gợi cảm thật.
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>Một con rồng to trao quyền kiểm soát cho tôi. Oa.
line:53d71f27	<size=70%> And for me.	<size=70%> Và vì tôi.
line:4fe271cc	<size=70%> woah.	<size=70%>Oa.
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>Trời đất, vừa có hẹn với một con rồng.
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>Nhưng dễ chịu lắm... Cảm ơn cậu.
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>Cứ tiếp tục nhé...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>Ồ...</i> Không, thật ra rất tuyệt.
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>Oa...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>Thật à?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>Tôi vẫn trả lương cho họ.
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	Mấy ngày trước...
line:c570a462	A rather good excuse to see my favorite kobold.	Một cái cớ khá hay để gặp kobold tôi yêu quý nhất.
line:5d2d16e0	A really good friend?	Một người bạn rất thân?
line:df4d3810	About earlier.	Về chuyện lúc nãy.
line:1a5e1ba4	Act what way?	Cư xử thế nào?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	Sau khi ông ấy tự bốc cháy, tôi đã để ông ấy được riêng tư.
line:a983ffa3	Again...?	Lại nữa...?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	Đồng ý, nhưng tôi vẫn muốn được vào ngay khi tiện.
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	À đúng, thế đấy... Tiếp đi.
line:e216aee0	Ah, good.	À, tốt.
line:9b26ac5f	Ah, I see the button there, gotcha!	À, thấy nút bấm đằng kia rồi, hiểu rồi!
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	À, xin lỗi, tôi rất say mê những chuyện này.
line:bf2a8309	Ah, the grime did sting a little, thank you.	À, chỗ bẩn hơi rát, cảm ơn.
line:ebdb9888	Ah, yeah, those types are pretty cute.	À, ừ, kiểu đó khá dễ thương.
line:b920f205	Ah. Do not worry.	À. Đừng lo.
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	À. Thế thôi, tôi không xin lỗi nữa.
line:6de2c490	Ah...	À...
line:4d6b365e	Ahh, all cleaned and with a lighter load.	À, vừa sạch vừa nhẹ bớt cả một mẻ.
line:20f96302	Alexander!	Alexander!
line:f167e3d7	Alexander!	Alexander!
line:fe3996b8	Alexander!	Alexander!
line:af7db134	Alexander...?	Alexander...?
line:eb7cf9e5	All clean...	Sạch hết...
line:f57fc630	All done!	Xong hết!
line:0b734d82	All self respecting washers know how to please a dragon.	Người tắm rửa nào có lòng tự trọng cũng biết chiều rồng.
line:599ffb25	Already got seats at that bar I mentioned earlier.	Tôi có chỗ ở quán bar đã nhắc rồi.
line:642ddea3	Alright alright... Then I think I'd like to use it?	Được, được... Vậy chắc tôi muốn dùng?
line:c7b3a185	Alright! I'll go get the gate.	Được! Tôi mở cổng.
line:7279121a	Alright! I'll go get you the gate.	Được! Tôi mở cổng cho ông.
line:4fc4259c	Alright! I'm ready to go.	Được! Tôi sẵn sàng đi rồi.
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	Được, cậu mở cổng đi, tôi sẽ đến đó trước!
line:d04df8f8	Alright, I'll cya!	Rồi, gặp sau!
line:4766af08	Alrighty! That should be it.	Rồi! Chắc thế là xong.
line:797ca540	Alrighty. All clean.	Rồi. Sạch hết rồi.
line:c4cb161a	Although grapes have always hit a specific craving.	Nhưng nho luôn thỏa mãn một cơn thèm rất riêng.
line:dc237557	Although, the portions might be a bit... dragon sized.	Nhưng khẩu phần có thể hơi... cỡ rồng.
line:655b8c01	Always happy to have you, Conrad.	Luôn vui được đón anh, Conrad.
line:afedd1f5	An anomaly.	Một ngoại lệ.
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	Và mừng là cậu có hộp sơ cứu... Chuẩn bị chu đáo thật.
line:0699aef9	And I'm really happy for you and Conrad.	Và tôi thật sự mừng cho cậu với Conrad.
line:a3a26459	And not just physically.	Và không chỉ ngước nhìn theo nghĩa đen.
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	Vậy nên tôi mới đến! Tắm xong là đi gặp cậu ấy ngay.
line:33440e8c	And why you are perfect for this job!	Và vì thế cậu là người hoàn hảo cho việc này!
line:cacb93ce	And you've tried everything.	Mà cậu đã thử mọi cách.
line:8cae6240	Another dragon? Usually I don't really get along...	Một con rồng khác? Thường tôi không hợp lắm...
line:5a7e4fd4	Any chance you can clean me up again?	Cậu tắm lại cho tôi được không?
line:92d2a30a	Anything. I'm just curious.	Bất cứ điều gì. Tôi chỉ tò mò.
line:52695aa2	Anything?	Bất cứ điều gì?
line:8ead9ee9	Anytime, Ryan.	Lúc nào cũng được, Ryan.
line:6d77feef	Anyway glad you're not finished, lets keep at it!	Dù sao mừng là chưa xong, tiếp tục nào!
line:bdb4f59c	Anyway, time to get writing!	Dù sao thì cũng đến lúc bắt tay vào viết rồi!
line:75dd56ae	Anyways,	Dù sao thì.
line:8980260e	Anyways-	Dù sao thì...
line:a8e6291c	Anyways- Let me out.	Thôi, cho tôi ra.
line:493a82ef	Anyways. Could you go get the gate?	Dù sao thì, cậu mở cổng nhé?
line:926f5f41	Anyways. Gonna use this thing now!	Dù sao thì tôi dùng cái này đây!
line:ad8ab02e	Anyways...	Dù sao thì...
line:e767dc51	Anywho, I'll get out of your scales now.	Dù sao thì tôi không làm vướng chân cậu nữa.
line:e81426c1	Anywho, I'm in need of a clean.	Dù sao thì tôi cần làm sạch.
line:23e7d518	Approach the dragon entrance, and I will let you in.	Đến lối vào dành cho rồng, tôi sẽ mở cửa.
line:72a9b5bb	Are you happy?	Ông có hạnh phúc không?
line:be0118cc	Are you okay?	Anh ổn chứ?
line:de735c65	Are you open right now?	Giờ có mở cửa không?
line:9369755d	Are you sure it will fit?	Cậu chắc sẽ vừa chứ?
line:c35b717a	Are you sure...? In front of the food?	Cậu chắc chứ...? Ngay trước đồ ăn?
line:cb06d2bf	As am I.	Tôi cũng vậy.
line:9a48b21c	As in you're unique.	Ý tôi là cậu độc nhất.
line:1c021ee0	At getting hand jobs.	Chuyên được người khác quay tay cho.
line:e861b464	At least that's what I've heard anyway.	Ít ra tôi nghe bảo thế.
line:2f54ceec	At least you can still use your hands. Heh.	Ít ra cậu vẫn dùng tay được. Heh.
line:cb04e062	At least you can still use your hands. Heh.	Ít ra cậu vẫn dùng tay được. Heh.
line:97792929	Aw, I'll go get you the gate.	Ôi, để tôi mở cổng cho anh.
line:c6895517	Aw, Ryan.	Ôi, Ryan.
line:db997182	Aw, thank you Alexander.	Ôi, cảm ơn ông, Alexander.
line:7157db26	Aw, thanks Alexander.	Ôi, cảm ơn ông, Alexander.
line:011f1458	Aw, thanks.	Ôi, cảm ơn.
line:aea0be6b	Aw, thanks.	Ôi, cảm ơn.
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	Ôi, cảm ơn. Tôi đẹp thế này nhờ cậu tắm rửa cho đấy!
line:453ff9be	Aw- Ryan...	Ôi, Ryan...
line:5340a315	Aw... Thanks!	Ôi... Cảm ơn!
line:c6202cf2	Aw... Thanks.	Ôi... Cảm ơn.
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	Ôi... Cảm ơn. Có kỳ không nếu tôi coi cậu là...
line:2bfa396c	Aw... That's really sweet	Ôi... Ngọt ngào thật.
line:22053f7f	Awesome!	Tuyệt!
line:6fdb2c3d	Awesome!	Tuyệt!
line:70306ba1	Awesome!	Tuyệt!
line:6126a614	Awesome! Come on in..	Tuyệt! Vào đi...
line:e85007ac	Awesome! See you later then!	Tuyệt! Vậy gặp sau nhé!
line:4c7f15d6	Awesome, I'll go get the gate.	Tuyệt, tôi mở cổng.
line:9d126e4e	Awesome, I'm glad.	Tuyệt, mừng quá.
line:b60cc4a5	Awesome.	Tuyệt.
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	Ôi. Đâu cần dính đầy mực mới được đến chào!
line:8e20e028	Be yourself!	Cứ là chính mình!
line:cd18f73f	Been looking forward to this.	Tôi mong chuyện này lắm.
line:8f1fccf9	Being muddy is really fun up until it starts drying.	Nghịch bùn vui lắm cho đến khi nó bắt đầu khô.
line:40783547	Berries.	Quả mọng.
line:59d4be6a	Berries.	Quả mọng.
line:61e781c1	Berries.	Quả mọng.
line:18ae08ef	Bet you had fun.	Chắc vui lắm.
line:982fd3c7	big C...?	Anh C bự...?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	Sinh học...? <size=70%> <i>Chắc vậy?
line:9be63f47	Bleh. Thank you for grabbing that.	Phù. Cảm ơn đã lấy giúp.
line:66957ed2	Blue...?	Màu xanh...?
line:a77c3afd	Both.	Cả hai.
line:78975048	Brrr! Cold water!	Brrr! Nước lạnh!
line:8487a2c4	Burnswick Community College of Thaumaturgy	Cao đẳng Cộng đồng Pháp thuật Burnswick
line:f75126de	But honestly you've helped me a lot.	Nhưng thật lòng, cậu đã giúp tôi rất nhiều.
line:cab69268	But I already know I'm liking this a lot.	Nhưng tôi đã biết mình rất thích chuyện này.
line:d9534386	But I know the type... They tend to be big softies on the inside.	Nhưng tôi biết kiểu đó... Bên trong thường rất mềm lòng.
line:f73ddfbc	But I think its time to get cleaned up.	Nhưng chắc đến lúc rửa sạch rồi.
line:088ea4a7	But I'm hot shit, so I'll be fine.	Nhưng tôi hấp dẫn vãi, nên sẽ ổn thôi.
line:c8f8bc22	But I'm only your washer?	Nhưng tôi chỉ tắm rửa cho ông thôi mà?
line:dda0419b	But I'm sure I'd enjoy it with you!	Nhưng xem cùng cậu chắc chắn tôi sẽ thích!
line:aa74448a	But not in this sized package, right??	Nhưng không phải trên cơ thể cỡ này, nhỉ??
line:7d9ffc48	But nothing beats a large gulp!	Nhưng không gì bằng một cú nuốt lớn!
line:d1ec7684	But that is why I am here!	Nhưng chính vì thế tôi mới đến đây!
line:b0d9d1e5	But you're the teacher dragon.	Nhưng ông mới là rồng thầy giáo.
line:2d7e1ab6	But, at least I got to meet you!	Nhưng ít ra tôi đã gặp cậu!
line:b7f46902	But, I think you've taught me something.	Nhưng tôi nghĩ cậu đã dạy tôi một điều.
line:b1040415	By the stars! No no. You're excellent.	Trời sao chứng giám! Không không. Cậu rất tuyệt.
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	Nhân tiện, cậu có giận nếu người yêu làm bừa bộn ở nhà không?
line:4199070f	Came in for another wash.	Tôi đến tắm lần nữa.
line:105cd3e2	Can I ask you a question?	Cho tôi hỏi một câu được không?
line:535ee717	Can you repeat that?	Ông nhắc lại được không?
line:835e0c27	Can't sthpeak well.	Khó nói quó.
line:afa450c0	Come back whenever, Ryan.	Cứ ghé bất cứ lúc nào, Ryan.
line:0cedfc3d	Conrad can go as long as he needs	Conrad kéo dài bao lâu cũng được.
line:5462913f	conrad hooked up with ryan	Conrad thành đôi với Ryan.
line:61cd33c5	conrad hooked up with ryan	Conrad thành đôi với Ryan.
line:6a7610f3	conrad hooked up with ryan	Conrad thành đôi với Ryan.
line:bac1ce29	conrad hooked up with ryan	Conrad thành đôi với Ryan.
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	Conrad cần tắm, còn chỗ cho anh ta không?
line:405b7ef1	Conrad needs a wash!	Conrad cần tắm!
line:803c8f0c	Conrad was talking about you during our date.	Conrad có nhắc đến cậu trong buổi hẹn.
line:f1787092	Conrad!	Conrad!
line:fd6c6213	Conrad!	Conrad!
line:484cd04d	Conrad...?	Conrad...?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: Thật ra... Ý tôi là...
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: Conrad chỉ đang tận hưởng thôi.
line:fbe86c06	Conrad: Damn right!	Conrad: Chuẩn luôn!
line:5660dc8b	Conrad: Don't worry about it!	Conrad: Đừng lo chuyện đó!
line:c050dbfc	Conrad: I do it all the time	Conrad: Tôi làm suốt mà.
line:cd3367da	Conrad: I want this to go well	Conrad: Tôi muốn mọi chuyện tốt đẹp.
line:194c1381	Conrad: I'm ready to blow	Conrad: Tôi sắp bắn rồi.
line:ce4d0fef	Conrad: Yea	Conrad: Ừ.
line:42c70daa	Conrad: You feel good	Conrad: Cậu làm tôi đã lắm.
line:3bc52918	Conrad: You having a good time?	Conrad: Cậu thấy vui chứ?
line:be0e51af	Cool.	Ngầu.
line:88c36bc7	Could do that, then get a hotel room... Hmm.	Có thể đến đó rồi thuê phòng khách sạn... Hừm.
line:b99e1503	Could you ask <i>me</i> a question?	Cậu đặt câu hỏi cho <i>tôi</i> được không?
line:12bf5baf	Could you get the gate...?	Cậu mở cổng được không...?
line:3a6afae1	Could you go get the gate?	Cậu đi mở cổng nhé?
line:9f49d9d4	Could you wash it away?	Cậu xả sạch được không?
line:7661a0e9	D'aw... thanks.	Ôi... Cảm ơn.
line:59bc5840	Damn right I do!	Chuẩn luôn, tôi đẹp mà!
line:64889395	Damn right!	Chuẩn luôn!
line:95aa0bf4	Damn right!	Chuẩn luôn!
line:db592d76	Damn right!	Chuẩn luôn!
line:0fcf9908	Damn right.	Chuẩn luôn.
line:b964c99b	Damn shame then. Better change that.	Tiếc thật. Nên thay đổi đi.
line:c6955ecc	Damn, you know how to use your hands.	Đệt, cậu biết dùng tay thật.
line:eaf45022	Damn, you know how to use your hands.	Đệt, cậu biết dùng tay thật.
line:684fb29a	Damn... Always feels good.	Đệt... Lúc nào cũng đã.
line:7023cc94	DATE NIGHT!	ĐÊM HẸN HÒ!
line:c71df70b	Date night!	Đêm hẹn hò!
line:b57cc8ad	Depends	Còn tùy.
line:07bd7f57	Did you do your uh...	Hôm nay cậu làm cái... ừm...
line:4f38655d	Do I look like I'm okay?	Trông tôi giống đang ổn lắm à?
line:8147156a	Do it!	Ra đi!
line:9ab6ddfb	Do you also do "special endings" here?	Ở đây cũng có «kết thúc đặc biệt» chứ?
line:4c90479c	Do you ask because I'm lavender?	Cậu hỏi vì tôi có màu oải hương à?
line:3020c97c	Do you believe I am attractive?	Cậu thấy tôi hấp dẫn không?
line:c5e71850	Do you even need a wash?	Cậu có cần tắm thật không?
line:1810e75f	Do you have any advice?	Cậu có lời khuyên gì không?
line:6be807b5	Do you have any plans with ryan?	Cậu có kế hoạch gì với Ryan không?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	Cậu biết chỗ nào vui, hay ai thú vị để tôi đi chơi cùng không?
line:412ba249	Do you know any good bars?	Cậu biết quán bar nào hay không?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	Cậu biết ai để tôi nói chuyện không? Kiểu... chuyện tình cảm ấy?
line:21c0526b	Do you like being big?	Ông thích cơ thể to lớn không?
line:daa040eb	Do you like purple?	Ông thích màu tím không?
line:ef052302	Do you like purple?	Cậu thích màu tím không?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	Ở đây có làm cho rồng to, <size=60%>như tôi, <size=100%>bắn ra không?
line:ec64a696	Do you mind double checking if I'm clean?	Cậu kiểm tra lại xem tôi sạch chưa nhé?
line:647187f1	Do you want to say what happened...?	Anh muốn kể chuyện gì đã xảy ra không...?
line:807df02d	Do you want to use it?	Ông muốn dùng không?
line:5c42b85a	Doesn't mean I need to yell at you.	Đâu có nghĩa tôi phải quát cậu.
line:eefa8ae2	Don't be sorry! Get a mount!	Đừng xin lỗi! Kiếm giá giao phối đi!
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	Đừng lo, rồng sinh ra để ăn mọi thứ.
line:b90b01a9	Don't worry, he's real nice.	Đừng lo, cậu ấy rất tốt.
line:7de2a81c	Don't worry. I will.	Đừng lo. Tôi sẽ kể.
line:c29d4071	Don't... make it sound like that.	Đừng... nói bằng cái giọng đó.
line:31bdd33c	Dont talk with your mouth full	Đừng nói khi miệng đang đầy.
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	Lịch sử rồng rất phức tạp. Gia huy trang trí <size=85%> thường được <size=70%> rồng đeo để <size=55%>biểu thị mình thuộc dòng họ nào! <size=40%> Đó là dấu ấn thú vị của di sản văn hóa <size=35%> và gia đình. Tôi vẫn thường tự hỏi có nên tiếp tục đeo của mình không. <size=20%> Nhưng trong truyền thống rồng, gắn kết văn hóa và gia đình rất quan trọng! Vì thế tôi phải tuân theo. <size=10%> Thủy. Thổ. Hỏa. Khí. Ngày xưa, bốn quốc gia chung sống hòa thuận. Rồi mọi thứ thay đổi khi Hỏa Quốc tấn công.
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	Dạ dày rồng hơi... khỏe hơn của cậu.
line:7e352505	Dragons of the galaxy 2	Những Con Rồng Dải Ngân Hà 2
line:c2c659d1	Eep!	Í!
line:0bd1699e	Ehh..	Ờ...
line:43dd32f5	Er... That's not-	Ờ... Không phải...
line:93b60dce	Even so. Not this time	Nhưng dù sao, lần này thì không.
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	Dù cậu chỉ làm việc của mình... Tôi nghĩ nó giúp anh ấy rất nhiều.
line:a2ba222e	Evening. This establishment takes walk ins, correct?	Chào buổi tối. Chỗ này nhận khách không hẹn trước, đúng chứ?
line:f98c3b6c	Every ending here is special!	Kết thúc nào ở đây cũng đặc biệt!
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	Pháp sư có lòng tự trọng nào cũng để sẵn một chiếc lông phượng hoàng.
line:57df700d	Everyone's gaze carries an immense weight.	Ánh nhìn của mọi người đều mang sức nặng khủng khiếp.
line:9ad8d2dd	Excellent!	Tốt quá!
line:0c997163	Excellent.	Tốt lắm.
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	Tốt lắm. Vậy nhớ đến cửa sổ chào khách nhé.
line:7bbe7ee3	Expectations are laaaame.	Kỳ vọng chán ngắắắt.
line:f99eb2ff	Ey! The mount! Fuck yeah.	Này! Cái giá! Đệt, tuyệt.
line:d376acb9	Ey, so. Was thinkin'	Này, tôi đang nghĩ.
line:85ec0862	Ey, sorry for coming in late.	Này, xin lỗi đến muộn.
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	Này, dùng tay với con cu tôi đi. Đã lắm!
line:271a3846	Fair enough. I'll be waiting!	Cũng phải. Tôi chờ!
line:4789095b	Fair enough. You two do seem cute together.	Cũng được. Hai người trông dễ thương bên nhau.
line:f5b37855	Felt good sliding down though!	Nhưng cảm giác trôi xuống đã lắm!
line:274367d7	Figured I'd bring in something nice after all you've done.	Sau mọi điều cậu làm, tôi muốn mang chút gì ngon đến.
line:aae8afca	Fine with me!	Tôi không ngại!
line:e98616be	For you!	Vì cậu!
line:62a82aba	Found this one gryphon. About my size...	Gặp một anh điểu sư. Cỡ tôi...
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	Nghe nói gần đây anh ấy cải thiện nhiều lắm nhỉ?
line:803bf378	Fuck man, I'm so pumped.	Đệt, tôi phấn khích quá.
line:f2418086	Fuck no! Shit's embarrassing.	Đéo muốn! Nhục chết đi được.
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	Đụ thứ gì đó rồi hy vọng được quay tay cho.
line:203bce10	Fuuuck. You really know how to work a dragon!	Đệệệt. Cậu biết chiều rồng thật!
line:f7f9b0db	G'day mate!	Chào bạn hiền!
line:664c994e	Gave me time to think.	Cho tôi thời gian suy nghĩ.
line:1d9b3531	Get a handjob and fuck this mount.	Được quay tay cho rồi đụ cái giá này.
line:48afdce4	Give it to me!	Cho tôi đi!
line:9df043ad	Give me a bit	Cho tôi chút nữa.
line:e5c7f64a	Glad I'm here to remind you then.	Vậy mừng là tôi đến nhắc cậu.
line:354170aa	Go for it!	Cứ ra đi!
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	Tối nay đến trung tâm. Phải sạch không tì vết. Này...
line:dcb506d2	Good as!	Quá tốt!
line:bcbc6373	Good evening!	Chào buổi tối!
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	Tốt. Tôi không thể để Cao đẳng Cộng đồng Pháp thuật Burnswick biết giáo sư giỏi nhất của họ, Alexander, lại gây ra sự cố.
line:12b72085	Good, you better. If I come back and there isn't one...	Tốt, nhớ đấy. Nếu tôi quay lại mà vẫn chưa có...
line:2c851dad	Good.	Tốt.
line:2712436c	Good. 'Aight, let me out.	Tốt. Rồi, cho tôi ra.
line:bab51ada	Good... That'd be correct.	Được... Đúng là vậy.
line:44f2b8cf	Goodbye!	Tạm biệt!
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	Trời đất, nhờ cậu tôi còn có cơ hội cứu vãn.
