# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Čau, hafane.
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> Rád přijdu! </b></gradient><size=70%> (Vede k románku s Alexandrem!)
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> Dnes večer budu mít práci. Promiňte. </b></gradient><size=70%> (Vede k závěru bez románku!)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>Teď mě nikdo nenapadá.</b></gradient><size=70%> (Potvrdí románek s Conradem!)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>Znám jednoho červeného draka. Myslím, že by se ti líbil! </b></gradient><size=70%> (Dá Ryana dohromady s Conradem!)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>Aha. Ehm. <size=70%> Nevadilo by mi... být tím někým já. </b></gradient><size=70%> (Potvrdí románek s Ryanem!)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>HEJ! </gradient><size=100%>Tady se myje, jo?
line:c777ce0c	<i> that feels nice...</i>	<i>To je příjemné...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>Jejda... a knihy.
line:d67b1098	<i>I like spraying you with water.	<i>Rád tě stříkám vodou.
line:ad5d633a	<i>Oh...	<i>Ach...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>Aha.</i> Myslím, že na to ještě nejsem připravený.
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>Ooo. </i>Kozlík? Kurva jo, kámo.
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	<i>Tohle</i> není tvoje chyba, Conrade.
line:72b244b7	<size=100%> That felt damn good!	<size=100%> To bylo zatraceně dobrý!
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>Teda... Paráda.
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%> KURVA, JO!
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>ČAU, <size=100%>potřebuju umýt.
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>KURVA JO!
line:f5462edf	<size=60%> that's hot.	<size=60%>To je sexy.
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>Velký drak mi přenechává vedení. Páni.
line:53d71f27	<size=70%> And for me.	<size=70%> A kvůli sobě.
line:4fe271cc	<size=70%> woah.	<size=70%>Páni.
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>Ty kráso, právě jsem si domluvil rande s drakem.
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>Ale příjemné... Děkuji vám.
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>Klidně pokračujte...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>Jé-</i> ne, naopak, to je moc fajn.
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>Páni...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>Vážně?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>Stále je platím.
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	Před pár dny...
line:c570a462	A rather good excuse to see my favorite kobold.	Docela dobrá záminka navštívit svého oblíbeného kobolda.
line:5d2d16e0	A really good friend?	Opravdu dobrého kamaráda?
line:df4d3810	About earlier.	K tomu předtím.
line:1a5e1ba4	Act what way?	Jak chovat?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	Po jeho samovolném vzplanutí jsem mu zajistil soukromí.
line:a983ffa3	Again...?	Znovu...?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	Souhlasím, ale přesto bych rád dovnitř, jakmile to bude možné.
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	Á jo, to je ono... Nepřestávej.
line:e216aee0	Ah, good.	Výborně.
line:9b26ac5f	Ah, I see the button there, gotcha!	Aha, vidím tam to tlačítko. Jasně!
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	Ach, promiňte, tyhle věci mě velmi zajímají.
line:bf2a8309	Ah, the grime did sting a little, thank you.	Ach, ta špína trochu štípala. Děkuji.
line:ebdb9888	Ah, yeah, those types are pretty cute.	Jo, takoví bývají docela roztomilí.
line:b920f205	Ah. Do not worry.	Ach. Nedělejte si starosti.
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	Aha. Tak nic, v tom případě se neomlouvám.
line:6de2c490	Ah...	Aha...
line:4d6b365e	Ahh, all cleaned and with a lighter load.	Áá, celej čistej a o pořádnou nálož lehčí.
line:20f96302	Alexander!	Alexandere!
line:f167e3d7	Alexander!	Alexander!
line:fe3996b8	Alexander!	Alexandere!
line:af7db134	Alexander...?	Alexandere...?
line:eb7cf9e5	All clean...	Celej čistej...
line:f57fc630	All done!	Hotovo!
line:0b734d82	All self respecting washers know how to please a dragon.	Každý myč, který si váží sám sebe, ví, jak uspokojit draka.
line:599ffb25	Already got seats at that bar I mentioned earlier.	Už mám místa v tom baru, o kterým jsem ti říkal.
line:642ddea3	Alright alright... Then I think I'd like to use it?	Dobře, dobře... Tak bych ho asi rád použil?
line:c7b3a185	Alright! I'll go get the gate.	Dobře! Otevřu ti bránu.
line:7279121a	Alright! I'll go get you the gate.	Dobře! Otevřu vám bránu.
line:4fc4259c	Alright! I'm ready to go.	Tak jo! Jsem připravenej vyrazit.
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	Dobře, otevři bránu a já tam vyrazím!
line:d04df8f8	Alright, I'll cya!	Tak jo, měj se!
line:4766af08	Alrighty! That should be it.	Tak jo! To by mělo být všechno.
line:797ca540	Alrighty. All clean.	Tak jo. Všechno čisté.
line:c4cb161a	Although grapes have always hit a specific craving.	Ale hrozny vždycky uspokojí jednu moji zvláštní chuť.
line:dc237557	Although, the portions might be a bit... dragon sized.	I když ty porce možná budou trochu... dračí.
line:655b8c01	Always happy to have you, Conrad.	Vždycky tě tu rád mám, Conrade.
line:afedd1f5	An anomaly.	Anomálie.
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	A jsem rád, že máš lékárničku... Jsi dobře připravený.
line:0699aef9	And I'm really happy for you and Conrad.	A moc to tobě a Conradovi přeju.
line:a3a26459	And not just physically.	A nejen kvůli mé výšce.
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	A proto jsem tady! Až mě umeješ, půjdu za ním.
line:33440e8c	And why you are perfect for this job!	A proto jste pro tuhle práci ideální!
line:cacb93ce	And you've tried everything.	A už jsi vyzkoušel všechno...
line:8cae6240	Another dragon? Usually I don't really get along...	Další drak? S těma většinou moc nevycházím...
line:5a7e4fd4	Any chance you can clean me up again?	Mohl bys mě náhodou znovu umýt?
line:92d2a30a	Anything. I'm just curious.	Na cokoli. Jen mě to zajímá.
line:52695aa2	Anything?	Cokoli?
line:8ead9ee9	Anytime, Ryan.	Kdykoli, Ryane.
line:6d77feef	Anyway glad you're not finished, lets keep at it!	Každopádně jsem rád, že ještě nekončíme. Pokračujme!
line:bdb4f59c	Anyway, time to get writing!	Každopádně je čas pustit se do psaní!
line:75dd56ae	Anyways,	Každopádně.
line:8980260e	Anyways-	Každopádně...
line:a8e6291c	Anyways- Let me out.	Každopádně... Pusť mě ven.
line:493a82ef	Anyways. Could you go get the gate?	Každopádně. Otevřeš mi bránu?
line:926f5f41	Anyways. Gonna use this thing now!	Každopádně. Teď se do toho pustím!
line:ad8ab02e	Anyways...	Každopádně...
line:e767dc51	Anywho, I'll get out of your scales now.	Každopádně už vás nebudu zdržovat.
line:e81426c1	Anywho, I'm in need of a clean.	Každopádně potřebuji očistu.
line:23e7d518	Approach the dragon entrance, and I will let you in.	Přijďte k dračímu vchodu a já vás pustím dovnitř.
line:72a9b5bb	Are you happy?	Jste šťastný?
line:be0118cc	Are you okay?	Jsi v pořádku?
line:de735c65	Are you open right now?	Máte právě otevřeno?
line:9369755d	Are you sure it will fit?	Jsi si jistý, že se vejde?
line:c35b717a	Are you sure...? In front of the food?	Jsi si jistý...? Tady u jídla?
line:cb06d2bf	As am I.	Já také.
line:9a48b21c	As in you're unique.	Tím myslím, že jste jedinečný.
line:1c021ee0	At getting hand jobs.	Na to, když mi někdo honí.
line:e861b464	At least that's what I've heard anyway.	Aspoň jsem to tak slyšel.
line:2f54ceec	At least you can still use your hands. Heh.	Aspoň máš pořád ruce. Hehe.
line:cb04e062	At least you can still use your hands. Heh.	Aspoň máš pořád ruce. Hehe.
line:97792929	Aw, I'll go get you the gate.	Jé, otevřu ti bránu.
line:c6895517	Aw, Ryan.	Ach, Ryane.
line:db997182	Aw, thank you Alexander.	Jé, děkuju, Alexandere.
line:7157db26	Aw, thanks Alexander.	Jé, děkuju, Alexandere.
line:011f1458	Aw, thanks.	Jé, díky.
line:aea0be6b	Aw, thanks.	Jé, díky.
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	Jé, díky. Vypadám tak dobře jen díky tomu, jak mě myješ!
line:453ff9be	Aw- Ryan...	Ach, Ryane...
line:5340a315	Aw... Thanks!	Jé... Děkuju!
line:c6202cf2	Aw... Thanks.	Jé... Díky.
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	Jé... Díky. Je divné, že tě považuju za...
line:2bfa396c	Aw... That's really sweet	Jé... To je moc milé.
line:22053f7f	Awesome!	Paráda!
line:6fdb2c3d	Awesome!	Paráda!
line:70306ba1	Awesome!	Paráda!
line:6126a614	Awesome! Come on in..	Bezva! Pojď dál...
line:e85007ac	Awesome! See you later then!	Bezva! Tak zatím!
line:4c7f15d6	Awesome, I'll go get the gate.	Bezva, otevřu ti bránu.
line:9d126e4e	Awesome, I'm glad.	Skvělé, to jsem rád.
line:b60cc4a5	Awesome.	Paráda.
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	Jé. Nemusíte být od inkoustu, abyste se přišel pozdravit!
line:8e20e028	Be yourself!	Buď sám sebou!
line:cd18f73f	Been looking forward to this.	Těšil jsem se na to.
line:8f1fccf9	Being muddy is really fun up until it starts drying.	Být od bláta je hrozná zábava, dokud nezačne schnout.
line:40783547	Berries.	Bobule.
line:59d4be6a	Berries.	Bobule.
line:61e781c1	Berries.	Bobule.
line:18ae08ef	Bet you had fun.	Vsadím se, že jste si užili.
line:982fd3c7	big C...?	Velkýho C...?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	Biologie...? <size=70%> <i>Asi?
line:9be63f47	Bleh. Thank you for grabbing that.	Ble. Díky, že jsi to vzal.
line:66957ed2	Blue...?	Modré...?
line:a77c3afd	Both.	Obojí.
line:78975048	Brrr! Cold water!	Brrr! Studená voda!
line:8487a2c4	Burnswick Community College of Thaumaturgy	Komunitní vysoká škola thaumaturgie v Burnswicku
line:f75126de	But honestly you've helped me a lot.	Ale upřímně, hodně jsi mi pomohl.
line:cab69268	But I already know I'm liking this a lot.	Ale už teď vím, že se mi to moc líbí.
line:d9534386	But I know the type... They tend to be big softies on the inside.	Ale tenhle typ znám... Uvnitř to bývají velcí dobráci.
line:f73ddfbc	But I think its time to get cleaned up.	Ale myslím, že je načase se umýt.
line:088ea4a7	But I'm hot shit, so I'll be fine.	Ale jsem fakt kus, takže to zvládnu.
line:c8f8bc22	But I'm only your washer?	Ale vždyť vás jen myju?
line:dda0419b	But I'm sure I'd enjoy it with you!	Ale s tebou si ho určitě užiju!
line:aa74448a	But not in this sized package, right??	Ale ne na někom takhle malým, ne??
line:7d9ffc48	But nothing beats a large gulp!	Ale pořádnému spolknutí se nic nevyrovná!
line:d1ec7684	But that is why I am here!	Ale právě proto jsem tady!
line:b0d9d1e5	But you're the teacher dragon.	Ale učitel jste přece vy.
line:2d7e1ab6	But, at least I got to meet you!	Ale aspoň jsem díky tomu poznal tebe!
line:b7f46902	But, I think you've taught me something.	Ale myslím, že jste mě něco naučil.
line:b1040415	By the stars! No no. You're excellent.	U všech hvězd! Ne, ne. Jste skvělý.
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	Mimochodem, zlobil by ses, kdyby ti partner doma nadělal nepořádek?
line:4199070f	Came in for another wash.	Přišel jsem se zase nechat umýt.
line:105cd3e2	Can I ask you a question?	Můžu se tě na něco zeptat?
line:535ee717	Can you repeat that?	Můžete to zopakovat?
line:835e0c27	Can't sthpeak well.	Nemůžu pořádně mluvit.
line:afa450c0	Come back whenever, Ryan.	Přijď kdykoli, Ryane.
line:0cedfc3d	Conrad can go as long as he needs	Conrad vydrží tak dlouho, jak bude potřeba.
line:5462913f	conrad hooked up with ryan	Conrad se dal dohromady s Ryanem.
line:61cd33c5	conrad hooked up with ryan	Conrad se dal dohromady s Ryanem.
line:6a7610f3	conrad hooked up with ryan	Conrad se dal dohromady s Ryanem.
line:bac1ce29	conrad hooked up with ryan	Conrad se dal dohromady s Ryanem.
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	Conrad potřebuje umýt. Máš pro něj místo?
line:405b7ef1	Conrad needs a wash!	Conrad potřebuje umýt!
line:803c8f0c	Conrad was talking about you during our date.	Conrad o tobě na našem rande mluvil.
line:f1787092	Conrad!	Conrade!
line:fd6c6213	Conrad!	Conrade!
line:484cd04d	Conrad...?	Conradovi...?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: Vlastně... Chci říct...
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: Conrad si prostě užívá.
line:fbe86c06	Conrad: Damn right!	Conrad: To si piš!
line:5660dc8b	Conrad: Don't worry about it!	Conrad: S tím si nedělej starosti!
line:c050dbfc	Conrad: I do it all the time	Conrad: Dělám to pořád.
line:cd3367da	Conrad: I want this to go well	Conrad: Chci, aby to dobře dopadlo.
line:194c1381	Conrad: I'm ready to blow	Conrad: Už budu stříkat.
line:ce4d0fef	Conrad: Yea	Conrad: Jo.
line:42c70daa	Conrad: You feel good	Conrad: Jsi moc příjemnej.
line:3bc52918	Conrad: You having a good time?	Conrad: Užíváš si to?
line:be0e51af	Cool.	Borec.
line:88c36bc7	Could do that, then get a hotel room... Hmm.	Mohli bychom tam a pak si vzít pokoj v hotelu... Hmm.
line:b99e1503	Could you ask <i>me</i> a question?	Mohl byste položit otázku <i>vy mně</i>?
line:12bf5baf	Could you get the gate...?	Mohl byste otevřít bránu...?
line:3a6afae1	Could you go get the gate?	Mohl bys otevřít bránu?
line:9f49d9d4	Could you wash it away?	Mohl bys to opláchnout?
line:7661a0e9	D'aw... thanks.	Jé... Díky.
line:59bc5840	Damn right I do!	To si piš, že jo!
line:64889395	Damn right!	To si piš!
line:95aa0bf4	Damn right!	To si piš!
line:db592d76	Damn right!	To si piš!
line:0fcf9908	Damn right.	To si piš.
line:b964c99b	Damn shame then. Better change that.	Tak to je sakra škoda. Měl bys to změnit.
line:c6955ecc	Damn, you know how to use your hands.	Sakra, s rukama to vážně umíš.
line:eaf45022	Damn, you know how to use your hands.	Sakra, s rukama to vážně umíš.
line:684fb29a	Damn... Always feels good.	Sakra... Vždycky je to příjemný.
line:7023cc94	DATE NIGHT!	VEČER MÁME RANDE!
line:c71df70b	Date night!	Večer máme rande!
line:b57cc8ad	Depends	Záleží.
line:07bd7f57	Did you do your uh...	Udělal sis nějak jinak ty svoje...
line:4f38655d	Do I look like I'm okay?	Vypadám snad v pořádku?
line:8147156a	Do it!	Udělej se!
line:9ab6ddfb	Do you also do "special endings" here?	Děláte tu taky „šťastný konce“?
line:4c90479c	Do you ask because I'm lavender?	Ptáte se proto, že jsem levandulový?
line:3020c97c	Do you believe I am attractive?	Připadám vám přitažlivý?
line:c5e71850	Do you even need a wash?	Potřebuješ vůbec umýt?
line:1810e75f	Do you have any advice?	Máš nějakou radu?
line:6be807b5	Do you have any plans with ryan?	Plánujete něco s Ryanem?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	Znáš nějaký fajn místa, kam bych mohl zajít? Nebo lidi, se kterejma bych mohl trávit čas?
line:412ba249	Do you know any good bars?	Znáš nějaké dobré bary?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	Znáš někoho, s kým bych si mohl promluvit? Víš... o vztazích a tak?
line:21c0526b	Do you like being big?	Jste rád, že jste tak velký?
line:daa040eb	Do you like purple?	Máte rád fialovou?
line:ef052302	Do you like purple?	Máte rád fialovou?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	Umíte tady velké draky, <size=60%>jako jsem já, <size=100%>udělat?
line:ec64a696	Do you mind double checking if I'm clean?	Mohl bys ještě jednou zkontrolovat, jestli jsem čistý?
line:647187f1	Do you want to say what happened...?	Chceš mi říct, co se stalo...?
line:807df02d	Do you want to use it?	Chcete ho použít?
line:5c42b85a	Doesn't mean I need to yell at you.	To neznamená, že na tebe musím řvát.
line:eefa8ae2	Don't be sorry! Get a mount!	Neomlouvej se! Pořiď kozlík!
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	Neboj, draci jsou stavění na to, aby snědli cokoli.
line:b90b01a9	Don't worry, he's real nice.	Neboj, je vážně moc milý.
line:7de2a81c	Don't worry. I will.	Neboj. Povím.
line:c29d4071	Don't... make it sound like that.	Neříkej to... takhle.
line:31bdd33c	Dont talk with your mouth full	Nemluv s plnou pusou.
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	Dračí dějiny jsou složité. Ozdobné erby <size=85%> draci často <size=70%> nosí, aby <size=55%>ukázali příslušnost ke svému rodu! <size=40%> Je to zajímavý symbol jejich kulturního <size=35%> a rodinného dědictví. Často přemýšlím, zda bych měl ten svůj dál nosit. <size=20%> Kulturní a rodinné vazby jsou však v dračích tradicích důležité! Proto je musím ctít. <size=10%> Voda. Země. Oheň. Vzduch. Kdysi dávno žily čtyři národy v harmonii. Pak se však všechno změnilo, když Národ ohně zaútočil.
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	Dračí žaludek je trochu... odolnější než tvůj.
line:7e352505	Dragons of the galaxy 2	Draci galaxie 2
line:c2c659d1	Eep!	Ík!
line:0bd1699e	Ehh..	Ehm...
line:43dd32f5	Er... That's not-	Ehm... Takhle ne...
line:93b60dce	Even so. Not this time	I tak. Tentokrát ne.
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	I když jsi jen dělal svou práci... Myslím, že mu to hodně pomohlo.
line:a2ba222e	Evening. This establishment takes walk ins, correct?	Dobrý večer. Přijímáte zákazníky bez objednání, správně?
line:f98c3b6c	Every ending here is special!	Tady je každý konec šťastný!
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	Každý čaroděj, který si váží sám sebe, má po ruce fénixovo pero.
line:57df700d	Everyone's gaze carries an immense weight.	Pohled každého druhého na sobě nese nesmírnou tíhu.
line:9ad8d2dd	Excellent!	Skvělé!
line:0c997163	Excellent.	Výborně.
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	Výborně. Tak nezapomeňte jít k oknu přivítat zákazníka.
line:7bbe7ee3	Expectations are laaaame.	Očekávání jsou tááák otravná.
line:f99eb2ff	Ey! The mount! Fuck yeah.	Hej! Kozlík! Kurva jo.
line:d376acb9	Ey, so. Was thinkin'	Hele, tak jsem přemejšlel.
line:85ec0862	Ey, sorry for coming in late.	Hele, promiň, že jdu pozdě.
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	Hej, vezmi mi ptáka do rukou. Je to příjemný!
line:271a3846	Fair enough. I'll be waiting!	Dobrá tedy. Počkám!
line:4789095b	Fair enough. You two do seem cute together.	Jasně. Vypadáte spolu roztomile.
line:f5b37855	Felt good sliding down though!	Ale příjemně klouzal do krku!
line:274367d7	Figured I'd bring in something nice after all you've done.	Po tom všem, cos pro mě udělal, jsem ti chtěl přinést něco dobrého.
line:aae8afca	Fine with me!	Mně to nevadí!
line:e98616be	For you!	Kvůli tobě!
line:62a82aba	Found this one gryphon. About my size...	Poznal jsem jednoho gryfa. Asi tak mojí velikosti...
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	Podle toho, co jsem slyšel, se poslední dobou hodně zlepšil, že?
line:803bf378	Fuck man, I'm so pumped.	Kurva, já se tak těším.
line:f2418086	Fuck no! Shit's embarrassing.	Kurva, ne! Je to trapný.
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	Něco ojel a pak si snad nechal vyhonit.
line:203bce10	Fuuuck. You really know how to work a dragon!	Kurváá. Ty fakt víš, jak na draka!
line:f7f9b0db	G'day mate!	Zdar, kámo!
line:664c994e	Gave me time to think.	Dal jsi mi čas přemýšlet.
line:1d9b3531	Get a handjob and fuck this mount.	Nechal si vyhonit a ojel tenhle kozlík.
line:48afdce4	Give it to me!	Dej mi to!
line:9df043ad	Give me a bit	Dej mi chvilku.
line:e5c7f64a	Glad I'm here to remind you then.	Tak ještě že jsem ti to přišel připomenout.
line:354170aa	Go for it!	Do toho!
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	Dneska vyrážím do centra. Potřebuju bejt dokonale čistej. Hele...
line:dcb506d2	Good as!	Paráda!
line:bcbc6373	Good evening!	Dobrý večer!
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	Dobře, nemohu dopustit, aby se Komunitní vysoká škola thaumaturgie v Burnswicku dozvěděla, že její nejlepší profesor Alexander způsobil další nehodu.
line:12b72085	Good, you better. If I come back and there isn't one...	Fajn, radši to udělej. Jestli přijdu znovu a pořád tu nebude...
line:2c851dad	Good.	Dobře.
line:2712436c	Good. 'Aight, let me out.	Fajn. Tak mě pusť ven.
line:bab51ada	Good... That'd be correct.	Příjemné... Ano, to je správné slovo.
line:44f2b8cf	Goodbye!	Na shledanou!
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	Propána, díky vám mám šanci tuhle situaci napravit.
line:745c3c12	Gosh!	Páni!
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	Musím na Ryana <i>potrénovat</i>, jestli víš, jak to myslím.
line:e3cef2bc	Gotta make sure you're spotless!	Musíme se ujistit, že budeš dokonale čistý!
line:b01b2159	Great, so uh,	Skvělé, takže, ehm...
line:43c94954	Grouse as! Excited to see you work!	Naprostá paráda! Těším se, až tě uvidím v akci!
line:9de16ee9	Ha!	Ha!
line:88d7e1e2	Haah. This is the best fuckin' wash.	Háá. Tohle je kurva nejlepší myčka.
line:cc6e7856	Hah! There's the mount!	Ha! Tady je ten kozlík!
line:90dd6d9d	Hah, eager as always.	Ha, nadšený jako vždy.
line:9542e7a6	Hah, good. Let's break this thing in!	Ha, dobře. Tak ho zajedeme!
line:fe21109b	Hah, he seems like the wild type.	Ha, působí jako divoký typ.
line:e8bc1d95	Hah, I imagine it would be.	Ha, to si dokážu představit.
line:acbf628d	Hah, it is a motivator.	Ha, ty člověka motivují.
line:65b23418	Hah, okay. I'm game.	Ha, dobře. Jdu do toho.
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	Ha, jo. Conrad má rozhodně zkušenosti...
line:8b878971	Hah, yeah. He sounds fun.	Ha, jo. Zdá se, že s ním bude zábava.
line:e3ed51d9	Hah. Conrad, you look good too.	Ha. Tobě to taky sluší, Conrade.
line:f8b2e23b	Hah. Fine.	Ha. Dobře.
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	Ha. Kdyby tu tak byl kobold, co by mě umyl.
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	Ha. Jo. <size=70%><i>Je fajn, že vás na škole pro myče učí honit drakům...
