# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	היי, כלב גדול.
line:497d3f67	A few days ago...	לפני כמה ימים...
line:c570a462	A rather good excuse to see my favorite kobold.	תירוץ טוב למדי לראות את הקובולד האהוב עליי.
line:5d2d16e0	A really good friend?	חבר ממש טוב?
line:df4d3810	About earlier.	בקשר למה שהיה קודם.
line:1a5e1ba4	Act what way?	איך?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	אחרי הבעירה הספונטנית שלו, דאגתי להעניק לו פרטיות.
line:a983ffa3	Again...?	שוב...?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	מסכים, אם כי עדיין אשמח להיכנס בהקדם האפשרי.
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	אה, כן, זה זה... תמשיך.
line:e216aee0	Ah, good.	אה, טוב.
line:9b26ac5f	Ah, I see the button there, gotcha!	אה, אני רואה שם את הכפתור. הבנתי!
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	אה, סליחה, הנושאים האלה מרתקים אותי.
line:bf2a8309	Ah, the grime did sting a little, thank you.	אה, הלכלוך קצת צרב. תודה.
line:ebdb9888	Ah, yeah, those types are pretty cute.	אה, כן, כאלה יכולים להיות חמודים מאוד.
line:b920f205	Ah. Do not worry.	אה. אל תדאג.
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	אה. בסדר, אז אני לוקח בחזרה את ההתנצלות.
line:6de2c490	Ah...	אה...
line:4d6b365e	Ahh, all cleaned and with a lighter load.	אהה, נקי ועם מטען קל יותר.
line:20f96302	Alexander!	אלכסנדר!
line:f167e3d7	Alexander!	אלכסנדר!
line:fe3996b8	Alexander!	אלכסנדר!
line:af7db134	Alexander...?	אלכסנדר...?
line:eb7cf9e5	All clean...	נקי לגמרי...
line:f57fc630	All done!	סיימנו!
line:0b734d82	All self respecting washers know how to please a dragon.	כל רוחץ שמכבד את עצמו יודע איך לענג דרקון.
line:599ffb25	Already got seats at that bar I mentioned earlier.	כבר השגתי מקומות בבר שהזכרתי.
line:642ddea3	Alright alright... Then I think I'd like to use it?	בסדר, בסדר... אז נדמה לי שהייתי רוצה להשתמש בו?
line:c7b3a185	Alright! I'll go get the gate.	בסדר! אפתח את השער.
line:7279121a	Alright! I'll go get you the gate.	בסדר! אפתח לך את השער.
line:4fc4259c	Alright! I'm ready to go.	בסדר! אני מוכן ללכת.
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	טוב, תפתח את השער ואני אצא למקום!
line:d04df8f8	Alright, I'll cya!	טוב, נתראה!
line:4766af08	Alrighty! That should be it.	זהו! נראה לי שסיימנו.
line:797ca540	Alrighty. All clean.	טוב. נקי לגמרי.
line:c4cb161a	Although grapes have always hit a specific craving.	אם כי ענבים תמיד מספקים חשק מסוים.
line:dc237557	Although, the portions might be a bit... dragon sized.	אם כי המנות אולי קצת... בגודל של דרקון.
line:655b8c01	Always happy to have you, Conrad.	תמיד שמח לארח אותך, קונרד.
line:afedd1f5	An anomaly.	תופעה חריגה.
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	ואני שמח שיש לך ערכת עזרה ראשונה... אתה מוכן לכל דבר.
line:0699aef9	And I'm really happy for you and Conrad.	ואני ממש שמח בשבילך ובשביל קונרד.
line:a3a26459	And not just physically.	ולא רק במובן הגופני.
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	ובגלל זה אני כאן! אחרי הרחיצה אלך לפגוש אותו.
line:33440e8c	And why you are perfect for this job!	וזו הסיבה שאתה מושלם לעבודה הזאת!
line:cacb93ce	And you've tried everything.	וכבר ניסית הכול.
line:8cae6240	Another dragon? Usually I don't really get along...	עוד דרקון? בדרך כלל אני לא ממש מסתדר...
line:5a7e4fd4	Any chance you can clean me up again?	יש סיכוי שתוכל לרחוץ אותי שוב?
line:92d2a30a	Anything. I'm just curious.	כל דבר. אני רק סקרן.
line:52695aa2	Anything?	כל דבר?
line:8ead9ee9	Anytime, Ryan.	מתי שתרצה, ראיין.
line:6d77feef	Anyway glad you're not finished, lets keep at it!	בכל מקרה, שמח שלא סיימת. בוא נמשיך!
line:bdb4f59c	Anyway, time to get writing!	בכל מקרה, הגיע הזמן להתחיל לכתוב!
line:75dd56ae	Anyways,	בכל מקרה,
line:8980260e	Anyways-	בכל מקרה...
line:a8e6291c	Anyways- Let me out.	בכל מקרה, תוציא אותי.
line:493a82ef	Anyways. Could you go get the gate?	בכל מקרה, תוכל לפתוח את השער?
line:926f5f41	Anyways. Gonna use this thing now!	בכל מקרה, עכשיו אני משתמש בדבר הזה!
line:ad8ab02e	Anyways...	בכל מקרה...
line:e767dc51	Anywho, I'll get out of your scales now.	בכל מקרה, אניח לך עכשיו.
line:e81426c1	Anywho, I'm in need of a clean.	בכל מקרה, אני זקוק לרחיצה.
line:23e7d518	Approach the dragon entrance, and I will let you in.	גש לכניסת הדרקונים, ואני אכניס אותך.
line:72a9b5bb	Are you happy?	אתה מאושר?
line:be0118cc	Are you okay?	אתה בסדר?
line:de735c65	Are you open right now?	אתה פתוח כרגע?
line:9369755d	Are you sure it will fit?	אתה בטוח שזה ייכנס?
line:c35b717a	Are you sure...? In front of the food?	אתה בטוח...? מול האוכל?
line:cb06d2bf	As am I.	גם אני.
line:9a48b21c	As in you're unique.	כלומר, אתה ייחודי.
line:1c021ee0	At getting hand jobs.	בלקבל עבודת יד.
line:e861b464	At least that's what I've heard anyway.	לפחות זה מה ששמעתי.
line:2f54ceec	At least you can still use your hands. Heh.	לפחות עדיין יש לך ידיים. הא.
line:cb04e062	At least you can still use your hands. Heh.	לפחות עדיין יש לך ידיים. הא.
line:97792929	Aw, I'll go get you the gate.	אוי, אפתח לך את השער.
line:c6895517	Aw, Ryan.	אוי, ראיין.
line:db997182	Aw, thank you Alexander.	אוי, תודה, אלכסנדר.
line:7157db26	Aw, thanks Alexander.	אוי, תודה, אלכסנדר.
line:011f1458	Aw, thanks.	אוי, תודה.
line:aea0be6b	Aw, thanks.	אוי, תודה.
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	אוי, תודה. אני נראה טוב רק בזכות הרחיצות שלך!
line:453ff9be	Aw- Ryan...	אוי, ראיין...
line:5340a315	Aw... Thanks!	אוי... תודה!
line:c6202cf2	Aw... Thanks.	אוי... תודה.
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	אוי... תודה. זה מוזר שאני רואה בך...
line:2bfa396c	Aw... That's really sweet	אוי... זה ממש מקסים.
line:22053f7f	Awesome!	מעולה!
line:6fdb2c3d	Awesome!	מעולה!
line:70306ba1	Awesome!	מעולה!
line:6126a614	Awesome! Come on in..	מעולה! תיכנס..
line:e85007ac	Awesome! See you later then!	מעולה! אז נתראה אחר כך!
line:4c7f15d6	Awesome, I'll go get the gate.	מעולה, אפתח את השער.
line:9d126e4e	Awesome, I'm glad.	מעולה, אני שמח.
line:b60cc4a5	Awesome.	מעולה.
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	אוי... אתה לא צריך להתכסות בדיו כדי להגיד שלום!
line:8e20e028	Be yourself!	תהיה עצמך!
line:cd18f73f	Been looking forward to this.	חיכיתי לזה.
line:8f1fccf9	Being muddy is really fun up until it starts drying.	להיות בוצי זה כיף עד שהבוץ מתחיל להתייבש.
line:40783547	Berries.	פירות יער.
line:59d4be6a	Berries.	פירות יער.
line:61e781c1	Berries.	פירות יער.
line:18ae08ef	Bet you had fun.	בטח נהניתם.
line:982fd3c7	big C...?	ק׳ הגדול...?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	הביולוגיה...? <size=70%> <i>נראה לי?
line:9be63f47	Bleh. Thank you for grabbing that.	בלה. תודה שלקחת את זה.
line:66957ed2	Blue...?	כחולה...?
line:a77c3afd	Both.	גם וגם.
line:78975048	Brrr! Cold water!	בררר! מים קרים!
line:8487a2c4	Burnswick Community College of Thaumaturgy	המכללה הקהילתית לתאומטורגיה של ברנסוויק.
line:f75126de	But honestly you've helped me a lot.	אבל האמת היא שעזרת לי מאוד.
line:cab69268	But I already know I'm liking this a lot.	אבל אני כבר יודע שאני נהנה מאוד.
line:d9534386	But I know the type... They tend to be big softies on the inside.	אבל אני מכיר את הטיפוס... בדרך כלל הם רכים מבפנים.
line:f73ddfbc	But I think its time to get cleaned up.	אבל נראה לי שהגיע הזמן להתנקות.
line:088ea4a7	But I'm hot shit, so I'll be fine.	אבל אני חתיכת מציאה, אז יהיה בסדר.
line:c8f8bc22	But I'm only your washer?	אבל אני רק רוחץ אותך?
line:dda0419b	But I'm sure I'd enjoy it with you!	אבל איתך בטח אהנה!
line:aa74448a	But not in this sized package, right??	אבל לא על גוף בגודל הזה, נכון??
line:7d9ffc48	But nothing beats a large gulp!	אבל אין כמו בליעה גדולה אחת!
line:d1ec7684	But that is why I am here!	אבל בשביל זה אני כאן!
line:b0d9d1e5	But you're the teacher dragon.	אבל אתה הדרקון המורה.
line:2d7e1ab6	But, at least I got to meet you!	אבל לפחות הכרתי אותך!
line:b7f46902	But, I think you've taught me something.	אבל נדמה לי שלימדת אותי משהו.
line:b1040415	By the stars! No no. You're excellent.	בשם הכוכבים! לא, לא. אתה מצוין.
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	דרך אגב, היית כועס אם החצי השני שלך היה עושה בלגן בבית?
line:4199070f	Came in for another wash.	באתי לעוד רחיצה.
line:105cd3e2	Can I ask you a question?	אפשר לשאול שאלה?
line:535ee717	Can you repeat that?	תוכל לחזור על זה?
line:835e0c27	Can't sthpeak well.	קשה לדבר ככה.
line:afa450c0	Come back whenever, Ryan.	תחזור מתי שתרצה, ראיין.
line:0cedfc3d	Conrad can go as long as he needs	קונרד יכול להמשיך כמה שצריך.
line:5462913f	conrad hooked up with ryan	קונרד יחד עם ראיין.
line:61cd33c5	conrad hooked up with ryan	קונרד יחד עם ראיין.
line:6a7610f3	conrad hooked up with ryan	קונרד יחד עם ראיין.
line:bac1ce29	conrad hooked up with ryan	קונרד יחד עם ראיין.
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	קונרד צריך רחיצה. יש לך מקום בשבילו?
line:405b7ef1	Conrad needs a wash!	קונרד צריך רחיצה!
line:803c8f0c	Conrad was talking about you during our date.	קונרד דיבר עליך בדייט שלנו.
line:f1787092	Conrad!	קונרד!
line:fd6c6213	Conrad!	קונרד!
line:484cd04d	Conrad...?	קונרד...?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: בעצם... כלומר...
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: קונרד פשוט נהנה.
line:fbe86c06	Conrad: Damn right!	Conrad: ברור שכן, לעזאזל!
line:5660dc8b	Conrad: Don't worry about it!	Conrad: אל תדאג!
line:c050dbfc	Conrad: I do it all the time	Conrad: אני עושה את זה כל הזמן.
line:cd3367da	Conrad: I want this to go well	Conrad: אני רוצה שזה ילך טוב.
line:194c1381	Conrad: I'm ready to blow	Conrad: אני עומד לגמור.
line:ce4d0fef	Conrad: Yea	Conrad: כן.
line:42c70daa	Conrad: You feel good	Conrad: נעים להרגיש אותך.
line:3bc52918	Conrad: You having a good time?	Conrad: אתה נהנה?
line:be0e51af	Cool.	מגניב.
line:88c36bc7	Could do that, then get a hotel room... Hmm.	נוכל ללכת לשם, ואז לקחת חדר במלון... הממ.
line:b99e1503	Could you ask <i>me</i> a question?	תוכל לשאול <i>אותי</i> שאלה?
line:12bf5baf	Could you get the gate...?	תוכל לפתוח את השער...?
line:3a6afae1	Could you go get the gate?	תוכל לפתוח את השער?
line:9f49d9d4	Could you wash it away?	תוכל לשטוף אותו?
line:7661a0e9	D'aw... thanks.	אוי... תודה.
line:59bc5840	Damn right I do!	ברור שאני נראה טוב!
line:64889395	Damn right!	ברור שכן, לעזאזל!
line:95aa0bf4	Damn right!	ברור שכן, לעזאזל!
line:db592d76	Damn right!	ברור שכן, לעזאזל!
line:0fcf9908	Damn right.	ברור שכן, לעזאזל.
line:b964c99b	Damn shame then. Better change that.	חבל מאוד, לעזאזל. כדאי שתשנה את זה.
line:c6955ecc	Damn, you know how to use your hands.	לעזאזל, אתה יודע להשתמש בידיים.
line:eaf45022	Damn, you know how to use your hands.	לעזאזל, אתה יודע להשתמש בידיים.
line:684fb29a	Damn... Always feels good.	לעזאזל... תמיד נעים.
line:7023cc94	DATE NIGHT!	ערב דייט!
line:c71df70b	Date night!	ערב דייט!
line:b57cc8ad	Depends	תלוי.
line:07bd7f57	Did you do your uh...	עשית משהו אחר עם ה...
line:4f38655d	Do I look like I'm okay?	אני נראה לך בסדר?
line:8147156a	Do it!	תעשה את זה!
line:9ab6ddfb	Do you also do "special endings" here?	אתם עושים כאן גם ״סיומים מיוחדים״?
line:4c90479c	Do you ask because I'm lavender?	אתה שואל כי אני בצבע לבנדר?
line:3020c97c	Do you believe I am attractive?	אתה חושב שאני מושך?
line:c5e71850	Do you even need a wash?	אתה בכלל צריך רחיצה?
line:1810e75f	Do you have any advice?	יש לך עצה?
line:6be807b5	Do you have any plans with ryan?	יש לך תוכניות עם ראיין?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	אתה מכיר מקומות או אנשים נחמדים שאוכל לבלות איתם?
line:412ba249	Do you know any good bars?	מכיר ברים טובים?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	אתה מכיר מישהו שאוכל לדבר איתו? אתה יודע... בכיוון של זוגיות?
line:21c0526b	Do you like being big?	אתה אוהב להיות גדול?
line:daa040eb	Do you like purple?	אתה אוהב סגול?
line:ef052302	Do you like purple?	אתה אוהב סגול?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	אתה גורם כאן לדרקונים גדולים, <size=60%>כמוני, <size=100%>לגמור?
line:ec64a696	Do you mind double checking if I'm clean?	תוכל לבדוק שוב אם אני נקי?
line:647187f1	Do you want to say what happened...?	רוצה לספר מה קרה...?
line:807df02d	Do you want to use it?	רוצה להשתמש בו?
line:5c42b85a	Doesn't mean I need to yell at you.	זה לא אומר שאני צריך לצעוק עליך.
line:eefa8ae2	Don't be sorry! Get a mount!	אל תתנצל! תשיג מתקן!
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	אל תדאג, דרקונים בנויים לאכול הכול.
line:b90b01a9	Don't worry, he's real nice.	אל תדאג, הוא ממש נחמד.
line:7de2a81c	Don't worry. I will.	אל תדאג. אספר.
line:c29d4071	Don't... make it sound like that.	אל... תגרום לזה להישמע ככה.
line:31bdd33c	Dont talk with your mouth full	אל תדבר בפה מלא.
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	ההיסטוריה של הדרקונים מורכבת. דרקונים עונדים סמלים דקורטיביים <size=85%> לעיתים קרובות <size=70%> כדי לציין <size=55%>לאיזו משפחה הם שייכים! <size=40%> זהו סימן מעניין למורשת התרבותית <size=35%> והמשפחתית שלהם. לא פעם תהיתי אם עליי להמשיך לענוד את שלי. <size=20%> אבל קשרים תרבותיים ומשפחתיים נחשבים חשובים במסורת הדרקונים! לכן עליי לכבד אותם. <size=10%> מים. אדמה. אש. אוויר. לפני זמן רב חיו ארבע האומות בהרמוניה. ואז הכול השתנה כשאומת האש תקפה.
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	קיבות של דרקונים קצת יותר... עמידות משלך.
line:7e352505	Dragons of the galaxy 2	דרקוני הגלקסיה 2.
line:c2c659d1	Eep!	איי!
line:0bd1699e	Ehh..	אממ...
line:43dd32f5	Er... That's not-	אממ... זה לא...
line:93b60dce	Even so. Not this time	ובכל זאת, לא הפעם.
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	גם אם רק עשית את העבודה שלך... נראה לי שזה עזר לו מאוד.
line:a2ba222e	Evening. This establishment takes walk ins, correct?	ערב טוב. המקום הזה מקבל גם בלי תור, נכון?
line:f98c3b6c	Every ending here is special!	אצלנו כל סיום הוא מיוחד!
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	כל קוסם שמכבד את עצמו מחזיק נוצת עוף חול בהישג יד.
line:57df700d	Everyone's gaze carries an immense weight.	מבטם של כולם נושא משקל עצום.
line:9ad8d2dd	Excellent!	מצוין!
line:0c997163	Excellent.	מצוין.
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	מצוין. אז אל תשכח לגשת לחלון ולברך את הלקוח.
line:7bbe7ee3	Expectations are laaaame.	ציפיות זה מבאססס.
line:f99eb2ff	Ey! The mount! Fuck yeah.	היי! המתקן! פאק, כן.
line:d376acb9	Ey, so. Was thinkin'	היי, אז חשבתי...
line:85ec0862	Ey, sorry for coming in late.	היי, סליחה שבאתי מאוחר.
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	היי, תשתמש בידיים על הזין שלי. זה נעים!
line:271a3846	Fair enough. I'll be waiting!	הגיוני. אחכה!
line:4789095b	Fair enough. You two do seem cute together.	הגיוני. אתם באמת נראים חמודים יחד.
line:f5b37855	Felt good sliding down though!	אבל הוא החליק למטה בנעימות!
line:274367d7	Figured I'd bring in something nice after all you've done.	חשבתי להביא משהו נחמד אחרי כל מה שעשית בשבילי.
line:aae8afca	Fine with me!	מבחינתי זה בסדר!
line:e98616be	For you!	בשבילך!
line:62a82aba	Found this one gryphon. About my size...	מצאתי גריפון אחד. בערך בגודל שלי...
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	ממה ששמעתי, נראה שהוא השתפר מאוד לאחרונה, נכון?
line:803bf378	Fuck man, I'm so pumped.	פאק, אני ממש מתרגש.
line:f2418086	Fuck no! Shit's embarrassing.	פאק, לא! זה מביך.
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	לזיין משהו, ואז לקבל עבודת יד, בתקווה.
line:203bce10	Fuuuck. You really know how to work a dragon!	פאאאק. אתה באמת יודע איך לענג דרקון!
line:f7f9b0db	G'day mate!	היי, חבר!
line:664c994e	Gave me time to think.	נתת לי זמן לחשוב.
line:1d9b3531	Get a handjob and fuck this mount.	לקבל עבודת יד ולזיין את המתקן הזה.
line:48afdce4	Give it to me!	תן לי את זה!
line:9df043ad	Give me a bit	תן לי רגע.
line:e5c7f64a	Glad I'm here to remind you then.	אז טוב שאני כאן כדי להזכיר לך.
line:354170aa	Go for it!	קדימה!
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	יוצא למרכז העיר הערב. צריך להיות מצוחצח. תגיד...
line:dcb506d2	Good as!	מעולה!
line:bcbc6373	Good evening!	ערב טוב!
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	טוב. איני יכול להרשות למכללה הקהילתית לתאומטורגיה של ברנסוויק לדעת שהפרופסור הטוב ביותר שלה, אלכסנדר, גרם לתקרית נוספת.
line:12b72085	Good, you better. If I come back and there isn't one...	טוב, כדאי מאוד. אם אחזור ולא יהיה אחד...
line:2c851dad	Good.	טוב.
line:2712436c	Good. 'Aight, let me out.	טוב. יאללה, תוציא אותי.
line:bab51ada	Good... That'd be correct.	טוב... זאת המילה הנכונה.
line:44f2b8cf	Goodbye!	להתראות!
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	אלוהים, בזכותך יש לי סיכוי להציל את המצב.
line:745c3c12	Gosh!	אלוהים!
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	צריך <i>להתאמן</i> לקראת ראיין, אם אתה מבין למה אני מתכוון.
line:e3cef2bc	Gotta make sure you're spotless!	צריך לוודא שאתה מצוחצח!
line:b01b2159	Great, so uh,	מעולה, אז, אממ,
line:43c94954	Grouse as! Excited to see you work!	מעולה! מת לראות אותך עובד!
line:9de16ee9	Ha!	הא!
line:88d7e1e2	Haah. This is the best fuckin' wash.	האא. זה בית הרחצה הכי טוב, לעזאזל.
line:cc6e7856	Hah! There's the mount!	הא! הנה המתקן!
line:90dd6d9d	Hah, eager as always.	הא, נלהב כתמיד.
line:9542e7a6	Hah, good. Let's break this thing in!	הא, טוב. בוא נחנוך אותו!
line:fe21109b	Hah, he seems like the wild type.	הא, הוא אכן נראה מהטיפוסים הפראיים.
line:e8bc1d95	Hah, I imagine it would be.	הא, תיארתי לעצמי.
line:acbf628d	Hah, it is a motivator.	הא, זה בהחלט מדרבן.
