# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Hej, granda hundo.
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>Ĉu vi sugestis Rajanon al Konrado?
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> Mi konas drakon, Rajanon. Ĉu mi metu vin en kontakton? </b></gradient><size=70%>(Ebligas renkontiĝon Konrado/Rajano AŬ amrilaton kun Rajano)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> Mi volonte pasigus tempon kun vi... </b></gradient><size=70%> (Ebligas amrilaton kun Konrado)
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> Mi volonte! </b></gradient><size=70%> (Kondukas al amrilato kun Aleksandro!)
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> Mi estos okupata ĉi-vespere. Pardonu. </b></gradient><size=70%> (Kondukas al fino sen amrilato!)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>Neniu tuj venas en mian kapon.</b></gradient><size=70%> (Konfirmas la amrilaton kun Konrado!)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>Mi konas ruĝan drakon. Mi kredas, ke li plaĉus al vi! </b></gradient><size=70%> (Kunigas Rajanon kaj Konradon!)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>Ho. Nu. <size=70%> Mi volonte... estus tiu iu. </b></gradient><size=70%> (Konfirmas la amrilaton kun Rajano!)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>HEJ! </gradient><size=100%>Jen la lavejo, ĉu ne?
line:c777ce0c	<i> that feels nice...</i>	<i>Tio estas agrabla...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>Ho ne... Kaj la librojn.
line:d67b1098	<i>I like spraying you with water.	<i>Mi ŝatas ŝpruci vin per akvo.
line:ad5d633a	<i>Oh...	<i>Ho...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>Ho.</i> Mi ne kredas, ke mi jam pretas por tio.
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>Ooo. </i>La seksapogilo? Fek, jes, kamarado.
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	<i>Tio</i> ne estas via kulpo, Konrado.
line:72b244b7	<size=100%> That felt damn good!	<size=100%>Tio sentigis min diable bone!
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>Mi volas diri... Mojose.
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%>FEK, JES!
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>HEJ, <size=100%>mi serĉas lavadon.
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>FEK, JES!
line:f5462edf	<size=60%> that's hot.	<size=60%>Tio estas seksalloga.
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>Granda drako donas al mi la regadon. Ho ve.
line:53d71f27	<size=70%> And for me.	<size=70%>Kaj por mi.
line:4fe271cc	<size=70%> woah.	<size=70%>Ho ve.
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>Ho fek, mi ĵus aranĝis rendevuon kun drako.
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>Sed agrabla... Dankon.
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>Bonvolu libere daŭrigi...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>Ho...</i> Ne, efektive tio tre plaĉas al mi.
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>Ho ve...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>Ĉu jes?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>Mi ankoraŭ pagas iliajn salajrojn.
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	Antaŭ kelkaj tagoj...
line:c570a462	A rather good excuse to see my favorite kobold.	Tre bona preteksto por vidi mian plej ŝatatan koboldon.
line:5d2d16e0	A really good friend?	vere bona amiko?
line:df4d3810	About earlier.	Pri tio de pli frue.
line:1a5e1ba4	Act what way?	Kiel?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	Post lia spontanea ekbrulo, mi zorgis lasi lin sola.
line:a983ffa3	Again...?	Denove...?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	Konsentite, tamen mi ŝatus eniri kiel eble plej baldaŭ.
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	Ha jes, ĝuste tiel... Daŭrigu.
line:e216aee0	Ah, good.	Ha, bone.
line:9b26ac5f	Ah, I see the button there, gotcha!	Ha, mi vidas la butonon tie. Komprenite!
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	Ha, pardonu, mi pasie interesiĝas pri tiaj aferoj.
line:bf2a8309	Ah, the grime did sting a little, thank you.	Ha, la malpuraĵo iom pikis. Dankon.
line:ebdb9888	Ah, yeah, those types are pretty cute.	Ha jes, tiaj estas sufiĉe ĉarmaj.
line:b920f205	Ah. Do not worry.	Ha. Ne zorgu.
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	Ha. Bone, do mi ne plu pardonpetas.
line:6de2c490	Ah...	Ha...
line:4d6b365e	Ahh, all cleaned and with a lighter load.	Ah, tute lavita kaj kun pli malpeza ŝarĝo.
line:20f96302	Alexander!	Aleksandro!
line:f167e3d7	Alexander!	Aleksandro!
line:fe3996b8	Alexander!	Aleksandro!
line:af7db134	Alexander...?	Aleksandro...?
line:eb7cf9e5	All clean...	Tute pura...
line:f57fc630	All done!	Farite!
line:0b734d82	All self respecting washers know how to please a dragon.	Ĉiu sin respektanta lavisto scias plaĉi al drako.
line:599ffb25	Already got seats at that bar I mentioned earlier.	Mi jam akiris sidlokojn en tiu drinkejo, kiun mi menciis.
line:642ddea3	Alright alright... Then I think I'd like to use it?	Bone, bone... Do mi kredas, ke mi volus uzi ĝin?
line:c7b3a185	Alright! I'll go get the gate.	Bone! Mi malfermos la pordegon.
line:7279121a	Alright! I'll go get you the gate.	Bone! Mi malfermos por vi.
line:4fc4259c	Alright! I'm ready to go.	Bone! Mi pretas iri.
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	Bone, malfermu la pordegon kaj mi iros al la loko!
line:d04df8f8	Alright, I'll cya!	Bone, ĝis poste!
line:4766af08	Alrighty! That should be it.	Jen! Tio devus esti ĉio.
line:797ca540	Alrighty. All clean.	Jen. Tute pura.
line:c4cb161a	Although grapes have always hit a specific craving.	Sed vinberoj ĉiam kontentigas apartan avidon.
line:dc237557	Although, the portions might be a bit... dragon sized.	Kvankam la porcioj eble estas iom... drakgrandaj.
line:655b8c01	Always happy to have you, Conrad.	Vi ĉiam bonvenas, Konrado.
line:afedd1f5	An anomaly.	Anomalio.
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	Kaj mi ĝojas, ke vi havas sukurkeston... Vi estas tre preta.
line:0699aef9	And I'm really happy for you and Conrad.	Kaj mi vere ĝojas por vi kaj Konrado.
line:a3a26459	And not just physically.	Kaj ne nur ĉar ili rigardas supren.
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	Kaj tial mi estas ĉi tie! Post la lavado mi iros renkonti lin.
line:33440e8c	And why you are perfect for this job!	Kaj jen kial vi perfekte taŭgas por ĉi tiu laboro!
line:cacb93ce	And you've tried everything.	Kaj vi provis ĉion.
line:8cae6240	Another dragon? Usually I don't really get along...	Alian drakon? Kutime ni ne vere interkonsentas...
line:5a7e4fd4	Any chance you can clean me up again?	Ĉu vi eble povus denove lavi min?
line:92d2a30a	Anything. I'm just curious.	Ion ajn. Mi nur scivolas.
line:52695aa2	Anything?	Ion ajn?
line:8ead9ee9	Anytime, Ryan.	Iam ajn, Rajano.
line:6d77feef	Anyway glad you're not finished, lets keep at it!	Ĉiuokaze, mi ĝojas, ke vi ne finis. Ni daŭrigu!
line:bdb4f59c	Anyway, time to get writing!	Ĉiuokaze, estas tempo ekverki!
line:75dd56ae	Anyways,	Ĉiuokaze,
line:8980260e	Anyways-	Ĉiuokaze...
line:a8e6291c	Anyways- Let me out.	Ĉiuokaze, ellasu min.
line:493a82ef	Anyways. Could you go get the gate?	Ĉiuokaze, ĉu vi malfermus la pordegon?
line:926f5f41	Anyways. Gonna use this thing now!	Ĉiuokaze, nun mi uzos ĉi tion!
line:ad8ab02e	Anyways...	Ĉiuokaze...
line:e767dc51	Anywho, I'll get out of your scales now.	Ĉiuokaze, mi nun lasos vin trankvila.
line:e81426c1	Anywho, I'm in need of a clean.	Ĉiuokaze, mi bezonas lavadon.
line:23e7d518	Approach the dragon entrance, and I will let you in.	Venu al la draka enirejo, kaj mi enlasos vin.
line:72a9b5bb	Are you happy?	Ĉu vi estas feliĉa?
line:be0118cc	Are you okay?	Ĉu vi estas en ordo?
line:de735c65	Are you open right now?	Ĉu vi estas malfermita nun?
line:9369755d	Are you sure it will fit?	Ĉu vi certas, ke ĝi eniros?
line:c35b717a	Are you sure...? In front of the food?	Ĉu vi certas...? Antaŭ la manĝaĵo?
line:cb06d2bf	As am I.	Ankaŭ mi.
line:9a48b21c	As in you're unique.	Mi volas diri, ke vi estas unika.
line:1c021ee0	At getting hand jobs.	Pri ricevi manumadon.
line:e861b464	At least that's what I've heard anyway.	Almenaŭ tion mi aŭdis.
line:2f54ceec	At least you can still use your hands. Heh.	Almenaŭ vi ankoraŭ povas uzi viajn manojn. He.
line:cb04e062	At least you can still use your hands. Heh.	Almenaŭ vi ankoraŭ povas uzi viajn manojn. He.
line:97792929	Aw, I'll go get you the gate.	Ho, mi malfermos por vi.
line:c6895517	Aw, Ryan.	Ho, Rajano.
line:db997182	Aw, thank you Alexander.	Ho, dankon, Aleksandro.
line:7157db26	Aw, thanks Alexander.	Ho, dankon, Aleksandro.
line:011f1458	Aw, thanks.	Ho, dankon.
line:aea0be6b	Aw, thanks.	Ho, dankon.
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	Ho, dankon. Mi aspektas tiel bone nur pro viaj lavadoj!
line:453ff9be	Aw- Ryan...	Ho, Rajano...
line:5340a315	Aw... Thanks!	Ho... Dankon!
line:c6202cf2	Aw... Thanks.	Ho... Dankon.
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	Ho... Dankon. Ĉu estas strange, ke mi konsideras vin...
line:2bfa396c	Aw... That's really sweet	Ho... Tio estas vere dolĉa.
line:22053f7f	Awesome!	Bonege!
line:6fdb2c3d	Awesome!	Bonege!
line:70306ba1	Awesome!	Bonege!
line:6126a614	Awesome! Come on in..	Bonege! Envenu..
line:e85007ac	Awesome! See you later then!	Bonege! Ĝis poste do!
line:4c7f15d6	Awesome, I'll go get the gate.	Bonege, mi malfermos la pordegon.
line:9d126e4e	Awesome, I'm glad.	Bonege, mi ĝojas.
line:b60cc4a5	Awesome.	Bonege.
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	Ho... Vi ne bezonas kovri vin per inko por saluti!
line:8e20e028	Be yourself!	Estu vi mem!
line:cd18f73f	Been looking forward to this.	Mi antaŭĝojis tion.
line:8f1fccf9	Being muddy is really fun up until it starts drying.	Esti kota estas amuze ĝis la koto eksekiĝas.
line:40783547	Berries.	Beroj.
line:59d4be6a	Berries.	Beroj.
line:61e781c1	Berries.	Beroj.
line:18ae08ef	Bet you had fun.	Vi certe amuziĝis.
line:982fd3c7	big C...?	Granda K...?
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	Biologio...? <size=70%> <i>Mi kredas?
line:9be63f47	Bleh. Thank you for grabbing that.	Ble. Dankon, ke vi prenis tion.
line:66957ed2	Blue...?	Blua...?
line:a77c3afd	Both.	Ambaŭ.
line:78975048	Brrr! Cold water!	Brrr! Malvarma akvo!
line:8487a2c4	Burnswick Community College of Thaumaturgy	Komunuma Altlernejo pri Taŭmaturgio de Burnswick.
line:f75126de	But honestly you've helped me a lot.	Sed vere, vi multe helpis min.
line:cab69268	But I already know I'm liking this a lot.	Sed mi jam scias, ke tio tre plaĉas al mi.
line:d9534386	But I know the type... They tend to be big softies on the inside.	Sed mi konas la tipon... Interne ili ofte estas teneraj.
line:f73ddfbc	But I think its time to get cleaned up.	Sed mi kredas, ke estas tempo forlavi tion.
line:088ea4a7	But I'm hot shit, so I'll be fine.	Sed mi estas diable alloga, do mi estos en ordo.
line:c8f8bc22	But I'm only your washer?	Sed mi estas nur via lavisto?
line:dda0419b	But I'm sure I'd enjoy it with you!	Sed mi certe ĝuus ĝin kun vi!
line:aa74448a	But not in this sized package, right??	Sed ne ĉe iu de ĉi tiu grandeco, ĉu??
line:7d9ffc48	But nothing beats a large gulp!	Sed nenio superas grandan gluton!
line:d1ec7684	But that is why I am here!	Sed ĝuste tial mi estas ĉi tie!
line:b0d9d1e5	But you're the teacher dragon.	Sed vi estas la drako-instruisto.
line:2d7e1ab6	But, at least I got to meet you!	Sed almenaŭ mi renkontis vin!
line:b7f46902	But, I think you've taught me something.	Sed mi kredas, ke vi instruis ion al mi.
line:b1040415	By the stars! No no. You're excellent.	Je la steloj! Ne, ne. Vi estas bonega.
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	Cetere, ĉu vi kolerus, se via partnero malordigus la hejmon?
line:4199070f	Came in for another wash.	Mi venis por alia lavado.
line:105cd3e2	Can I ask you a question?	Ĉu mi povas fari demandon?
line:535ee717	Can you repeat that?	Ĉu vi povus ripeti tion?
line:835e0c27	Can't sthpeak well.	Mi ne bone povaf paroli.
line:afa450c0	Come back whenever, Ryan.	Revenu iam ajn, Rajano.
line:0cedfc3d	Conrad can go as long as he needs	Konrado povas daŭri tiel longe, kiel necesas.
line:5462913f	conrad hooked up with ryan	Konrado kuniĝis kun Rajano.
line:61cd33c5	conrad hooked up with ryan	Konrado kuniĝis kun Rajano.
line:6a7610f3	conrad hooked up with ryan	Konrado kuniĝis kun Rajano.
line:bac1ce29	conrad hooked up with ryan	Konrado kuniĝis kun Rajano.
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	Konrado bezonas lavadon. Ĉu estas loko por li?
line:405b7ef1	Conrad needs a wash!	Konrado bezonas lavadon!
line:803c8f0c	Conrad was talking about you during our date.	Konrado parolis pri vi dum nia rendevuo.
line:f1787092	Conrad!	Konrado!
line:fd6c6213	Conrad!	Konrado!
line:484cd04d	Conrad...?	Konrado...?
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: Fakte... Mi volas diri...
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: Konrado nur ĝuas sin.
line:fbe86c06	Conrad: Damn right!	Conrad: Diable prave!
line:5660dc8b	Conrad: Don't worry about it!	Conrad: Ne zorgu pri tio!
line:c050dbfc	Conrad: I do it all the time	Conrad: Mi faras tion la tutan tempon.
line:cd3367da	Conrad: I want this to go well	Conrad: Mi volas, ke tio iru bone.
line:194c1381	Conrad: I'm ready to blow	Conrad: Mi pretas orgasmi.
line:ce4d0fef	Conrad: Yea	Conrad: Jes.
line:42c70daa	Conrad: You feel good	Conrad: Estas bone senti vin.
line:3bc52918	Conrad: You having a good time?	Conrad: Ĉu estas agrable al vi?
line:be0e51af	Cool.	Mojosa.
line:88c36bc7	Could do that, then get a hotel room... Hmm.	Ni povus iri tien, poste preni hotelĉambron... Hmm.
line:b99e1503	Could you ask <i>me</i> a question?	Ĉu vi povus fari demandon al <i>mi</i>?
line:12bf5baf	Could you get the gate...?	Ĉu vi povus malfermi la pordegon...?
line:3a6afae1	Could you go get the gate?	Ĉu vi povus malfermi la pordegon?
line:9f49d9d4	Could you wash it away?	Ĉu vi povus forlavi ĝin?
line:7661a0e9	D'aw... thanks.	Ho... Dankon.
line:59bc5840	Damn right I do!	Diable, certe mi aspektas bone!
line:64889395	Damn right!	Diable prave!
line:95aa0bf4	Damn right!	Diable prave!
line:db592d76	Damn right!	Diable prave!
line:0fcf9908	Damn right.	Diable prave.
line:b964c99b	Damn shame then. Better change that.	Feka domaĝo. Prefere ŝanĝu tion.
line:c6955ecc	Damn, you know how to use your hands.	Diable, vi scias uzi viajn manojn.
line:eaf45022	Damn, you know how to use your hands.	Diable, vi scias uzi viajn manojn.
line:684fb29a	Damn... Always feels good.	Diable... Ĉiam agrable.
line:7023cc94	DATE NIGHT!	RENDEVUA VESPERO!
line:c71df70b	Date night!	Rendevua vespero!
line:b57cc8ad	Depends	Dependas.
line:07bd7f57	Did you do your uh...	Ĉu vi hodiaŭ alie aranĝis viajn...
line:4f38655d	Do I look like I'm okay?	Ĉu mi aspektas bonfarta?
line:8147156a	Do it!	Faru ĝin!
line:9ab6ddfb	Do you also do "special endings" here?	Ĉu vi ankaŭ faras «specialajn finojn» ĉi tie?
line:4c90479c	Do you ask because I'm lavender?	Ĉu vi demandas, ĉar mi estas lavendkolora?
line:3020c97c	Do you believe I am attractive?	Ĉu vi trovas min alloga?
line:c5e71850	Do you even need a wash?	Ĉu vi eĉ bezonas lavadon?
line:1810e75f	Do you have any advice?	Ĉu vi havas konsilon?
line:6be807b5	Do you have any plans with ryan?	Ĉu vi havas planojn kun Rajano?
line:a0cf6cae	Do you know any cool places, people, I could hang around?	Ĉu vi konas agrablajn lokojn aŭ homojn, kun kiuj mi povus pasigi tempon?
line:412ba249	Do you know any good bars?	Ĉu vi konas bonajn drinkejojn?
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	Ĉu vi konas iun, kun kiu mi povus paroli? Vi scias... Pri ebla amrilato?
line:21c0526b	Do you like being big?	Ĉu vi ŝatas esti granda?
line:daa040eb	Do you like purple?	Ĉu vi ŝatas purpuron?
line:ef052302	Do you like purple?	Ĉu vi ŝatas purpuron?
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	Ĉu vi igas grandajn drakojn, <size=60%>kiel mi, <size=100%>orgasmi ĉi tie?
line:ec64a696	Do you mind double checking if I'm clean?	Ĉu vi denove kontrolus, ĉu mi estas pura?
line:647187f1	Do you want to say what happened...?	Ĉu vi volas rakonti, kio okazis...?
line:807df02d	Do you want to use it?	Ĉu vi volas uzi ĝin?
line:5c42b85a	Doesn't mean I need to yell at you.	Tio ne signifas, ke mi devas kriegi al vi.
line:eefa8ae2	Don't be sorry! Get a mount!	Ne pardonpetu! Akiru seksapogilon!
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	Ne zorgu, drakoj estas faritaj por manĝi ĉion.
line:b90b01a9	Don't worry, he's real nice.	Ne zorgu, li estas vere afabla.
line:7de2a81c	Don't worry. I will.	Ne zorgu. Mi rakontos.
line:c29d4071	Don't... make it sound like that.	Ne... diru tion tiel.
line:31bdd33c	Dont talk with your mouth full	Ne parolu kun plena buŝo.
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	Draka historio estas kompleksa. Ornamaj blazonoj <size=85%> estas ofte <size=70%> portataj de drakoj por <size=55%>montri, al kiu familio ili apartenas! <size=40%> Ili estas interesa signo de kultura <size=35%> kaj familia heredaĵo. Mi ofte demandas min, ĉu mi daŭre portu la mian. <size=20%> Sed kulturaj kaj familiaj ligoj estas gravaj en la tradicioj de drakoj! Do mi devas respekti ilin. <size=10%> Akvo. Tero. Fajro. Aero. Antaŭ longe la kvar nacioj kunvivis harmonie. Sed ĉio ŝanĝiĝis, kiam la Fajra Nacio atakis.
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	Drakaj stomakoj estas iom pli... fortikaj ol via.
line:7e352505	Dragons of the galaxy 2	Drakoj de la galaksio 2.
line:c2c659d1	Eep!	Aj!
line:0bd1699e	Ehh..	Eee...
line:43dd32f5	Er... That's not-	Nu... Ne tio...
line:93b60dce	Even so. Not this time	Tamen, ne ĉi-foje.
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	Kvankam vi nur faris vian laboron... Mi kredas, ke tio multe helpis lin.
line:a2ba222e	Evening. This establishment takes walk ins, correct?	Bonan vesperon. Ĉi tiu establo akceptas sen antaŭa rendevuo, ĉu ne?
line:f98c3b6c	Every ending here is special!	Ĉiu fino ĉi tie estas speciala!
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	Ĉiu sin respektanta sorĉisto havas feniksan plumon ĉemane.
line:57df700d	Everyone's gaze carries an immense weight.	Ĉies rigardo portas grandegan pezon.
line:9ad8d2dd	Excellent!	Bonege!
line:0c997163	Excellent.	Bonege.
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	Bonege. Do nepre salutu vian klienton ĉe la fenestro.
line:7bbe7ee3	Expectations are laaaame.	Atendoj estas enuuiiigaj.
line:f99eb2ff	Ey! The mount! Fuck yeah.	Hej! La seksapogilo! Fek, jes.
line:d376acb9	Ey, so. Was thinkin'	Hej, do. Mi pensis...
line:85ec0862	Ey, sorry for coming in late.	Hej, pardonu, ke mi venas malfrue.
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	Hej, uzu viajn manojn sur mia kaco. Estas agrable!
line:271a3846	Fair enough. I'll be waiting!	Kompreneble. Mi atendos!
line:4789095b	Fair enough. You two do seem cute together.	Kompreneble. Vi ja ŝajnas ĉarmaj kune.
line:f5b37855	Felt good sliding down though!	Sed estis agrable gluti ĝin!
line:274367d7	Figured I'd bring in something nice after all you've done.	Mi pensis alporti ion bonan post ĉio, kion vi faris.
line:aae8afca	Fine with me!	Por mi estas bone!
line:e98616be	For you!	Por vi!
line:62a82aba	Found this one gryphon. About my size...	Mi trovis grifon. Proksimume mian grandecon...
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	Laŭ tio, kion mi aŭdis, li multe pliboniĝis lastatempe, ĉu?
line:803bf378	Fuck man, I'm so pumped.	Fek, mi tiel antaŭĝojas.
line:f2418086	Fuck no! Shit's embarrassing.	Fek, ne! Tio estas hontiga.
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	Fiki ion kaj poste, espereble, ricevi manumadon.
line:203bce10	Fuuuck. You really know how to work a dragon!	Feeek. Vi vere scias kiel plaĉi al drako!
line:f7f9b0db	G'day mate!	Saluton, kamarado!
line:664c994e	Gave me time to think.	Vi donis al mi tempon por pensi.
line:1d9b3531	Get a handjob and fuck this mount.	Ricevi manumadon kaj fiki ĉi tiun seksapogilon.
line:48afdce4	Give it to me!	Donu ĝin al mi!
line:9df043ad	Give me a bit	Donu al mi momenton.
line:e5c7f64a	Glad I'm here to remind you then.	Do bone, ke mi venis por memorigi vin.
line:354170aa	Go for it!	Ek!
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	Mi iros al la urbocentro ĉi-vespere. Mi bezonas esti senmakula. Diru...
line:dcb506d2	Good as!	Bonege!
line:bcbc6373	Good evening!	Bonan vesperon!
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	Bone. Mi ne povas permesi, ke la Komunuma Altlernejo pri Taŭmaturgio de Burnswick eksciu, ke ĝia plej bona profesoro Aleksandro kaŭzis ankoraŭ unu incidenton.
line:12b72085	Good, you better. If I come back and there isn't one...	Bone, prefere tiel faru. Se mi revenos kaj ne estos unu...
line:2c851dad	Good.	Bone.
line:2712436c	Good. 'Aight, let me out.	Bone. Nu, ellasu min.
line:bab51ada	Good... That'd be correct.	Bona... Jen la ĝusta vorto.
line:44f2b8cf	Goodbye!	Ĝis revido!
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	Ho ve, danke al vi mi ankoraŭ povas savi la situacion.
line:745c3c12	Gosh!	Ho ve!
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	Necesas <i>ekzerci</i> por Rajano, se vi komprenas.
line:e3cef2bc	Gotta make sure you're spotless!	Necesas, ke vi estu senmakula!
line:b01b2159	Great, so uh,	Bonege, do, nu,
line:43c94954	Grouse as! Excited to see you work!	Bonege! Mi antaŭĝojas vidi vin labori!
line:9de16ee9	Ha!	Ha!
