# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	喂，大狗。
line:d9534386	But I know the type... They tend to be big softies on the inside.	不過我知呢類型……通常內心都好溫柔。
line:f73ddfbc	But I think its time to get cleaned up.	不過我諗係時候洗乾淨喇。
line:088ea4a7	But I'm hot shit, so I'll be fine.	不過我咁正，應該冇問題。
line:c8f8bc22	But I'm only your washer?	但我只係幫你沖涼？
line:dda0419b	But I'm sure I'd enjoy it with you!	不過同你一齊睇，我一定會開心！
line:aa74448a	But not in this sized package, right??	不過冇咁細隻嘅身形配住，係咪？？
line:7d9ffc48	But nothing beats a large gulp!	不過點都比唔上一大啖吞落去！
line:d1ec7684	But that is why I am here!	不過，呢個就係我嚟嘅原因！
line:b0d9d1e5	But you're the teacher dragon.	但你先係做老師嗰條龍。
line:2d7e1ab6	But, at least I got to meet you!	不過，至少我識到你！
line:b7f46902	But, I think you've taught me something.	不過，我諗你教識咗我一件事。
line:b1040415	By the stars! No no. You're excellent.	天呀！唔唔。你好出色。
line:3a88a2dd	By the way would you be mad if your partner made a mess at home?	順帶一問，如果你另一半搞到屋企污糟，你會唔會嬲？
line:4199070f	Came in for another wash.	又嚟沖涼喇。
line:105cd3e2	Can I ask you a question?	可唔可以問你一個問題？
line:535ee717	Can you repeat that?	可唔可以再講一次？
line:835e0c27	Can't sthpeak well.	講嘢……唔清楚。
line:afa450c0	Come back whenever, Ryan.	賴恩，隨時再嚟啦。
line:0cedfc3d	Conrad can go as long as he needs	康拉德想幾耐就可以幾耐。
line:5462913f	conrad hooked up with ryan	康拉德同賴恩配對
line:61cd33c5	conrad hooked up with ryan	康拉德同賴恩配對
line:6a7610f3	conrad hooked up with ryan	康拉德同賴恩配對
line:bac1ce29	conrad hooked up with ryan	康拉德同賴恩配對
line:61c9b7ac	Conrad needs a cleaning, got a slot for 'im?	康拉德要沖涼，有冇位畀佢？
line:405b7ef1	Conrad needs a wash!	康拉德要沖涼！
line:803c8f0c	Conrad was talking about you during our date.	我哋約會嗰陣，康拉德有提起你。
line:f1787092	Conrad!	康拉德！
line:fd6c6213	Conrad!	康拉德！
line:484cd04d	Conrad...?	康拉德……？
line:5b0360ad	Conrad: Actually.. I mean..	Conrad: 其實……我意思係……
line:3ce891ff	Conrad: Conrad just enjoys himself	Conrad: 康拉德只係享受緊。
line:fbe86c06	Conrad: Damn right!	Conrad: 梗係啦！
line:5660dc8b	Conrad: Don't worry about it!	Conrad: 唔使擔心啦！
line:c050dbfc	Conrad: I do it all the time	Conrad: 我成日都咁做。
line:cd3367da	Conrad: I want this to go well	Conrad: 我想今次順順利利。
line:194c1381	Conrad: I'm ready to blow	Conrad: 我準備射喇。
line:ce4d0fef	Conrad: Yea	Conrad: 係呀。
line:42c70daa	Conrad: You feel good	Conrad: 你令我好舒服。
line:3bc52918	Conrad: You having a good time?	Conrad: 你開唔開心？
line:be0e51af	Cool.	型。
line:88c36bc7	Could do that, then get a hotel room... Hmm.	可以去完嗰度，再開間酒店房……嗯。
line:b99e1503	Could you ask <i>me</i> a question?	你可唔可以問<i>我</i>一個問題？
line:12bf5baf	Could you get the gate...?	可唔可以開閘……？
line:3a6afae1	Could you go get the gate?	可唔可以幫我開閘？
line:9f49d9d4	Could you wash it away?	可唔可以沖走佢？
line:7661a0e9	D'aw... thanks.	啊……多謝。
line:59bc5840	Damn right I do!	梗係好睇啦！
line:64889395	Damn right!	梗係啦！
line:95aa0bf4	Damn right!	梗係啦！
line:db592d76	Damn right!	梗係啦！
line:0fcf9908	Damn right.	梗係。
line:b964c99b	Damn shame then. Better change that.	咁就真係可惜。最好改吓啦。
line:c6955ecc	Damn, you know how to use your hands.	嘩，你真係好識用手。
line:eaf45022	Damn, you know how to use your hands.	嘩，你真係好識用手。
line:684fb29a	Damn... Always feels good.	嘩……次次都好舒服。
line:7023cc94	DATE NIGHT!	今晚約會！
line:c71df70b	Date night!	今晚約會！
line:b57cc8ad	Depends	睇情況。
line:07bd7f57	Did you do your uh...	你今日係咪……
line:4f38655d	Do I look like I'm okay?	我似冇事咩？
line:8147156a	Do it!	射啦！
line:9ab6ddfb	Do you also do "special endings" here?	呢度都有「特別收尾服務」？
line:4c90479c	Do you ask because I'm lavender?	因為我係淡紫色，所以你咁問？
line:3020c97c	Do you believe I am attractive?	你覺得我有吸引力嗎？
line:c5e71850	Do you even need a wash?	你有需要沖涼咩？
line:1810e75f	Do you have any advice?	你有冇咩貼士？
line:6be807b5	Do you have any plans with ryan?	你同賴恩有咩安排？
line:a0cf6cae	Do you know any cool places, people, I could hang around?	你知唔知有咩好地方、好玩嘅人，可以一齊玩？
line:412ba249	Do you know any good bars?	你知唔知有咩好酒吧？
line:28ec716a	Do you know anyone I could talk to? Y'know... about relationship stuffs?	你有冇識啲人可以同我傾吓？即係……感情嗰方面？
line:21c0526b	Do you like being big?	你鍾唔鍾意自己咁大隻？
line:daa040eb	Do you like purple?	你鍾唔鍾意紫色？
line:ef052302	Do you like purple?	你鍾唔鍾意紫色？
line:d5ed3582	Do you make big dragons, <size=60%>like me, <size=100%>cum here?	你哋會幫大龍，<size=60%>好似我咁，<size=100%>射出嚟㗎？
line:ec64a696	Do you mind double checking if I'm clean?	可唔可以再睇吓我乾淨未？
line:647187f1	Do you want to say what happened...?	你想唔想講發生咩事……？
line:807df02d	Do you want to use it?	你想用？
line:5c42b85a	Doesn't mean I need to yell at you.	咁都唔代表我可以鬧你。
line:eefa8ae2	Don't be sorry! Get a mount!	唔好講對唔住！買個交配架啦！
line:dd0f7b1d	Don't worry, dragons are made to eat anything.	唔使擔心，龍天生就乜都食得。
line:b90b01a9	Don't worry, he's real nice.	唔使擔心，佢真係好好。
line:7de2a81c	Don't worry. I will.	放心，我會。
line:c29d4071	Don't... make it sound like that.	唔好……講到咁啦。
line:31bdd33c	Dont talk with your mouth full	含住嘢唔好講嘢。
line:8ee41fdc	Dragon history is complex. Ornamental crest <size=85%> are often <size=70%> worn by dragons to <size=55%>signify what family they belong to! <size=40%> It's an interesting mark of their culutral <size=35%> and familial heritage. I've often wondered if I should continue to wear mine. <size=20%> But culutural and familiar ties are considered important within the lore of dragons! so I must adhere to such things. <size=10%> Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then everything changed when the Fire Nation attacked.	龍族歷史相當複雜。龍族<size=85%>經常佩戴<size=70%>裝飾徽飾，<size=55%>顯示自己所屬嘅家族！<size=40%>呢個係一種有趣嘅文化<size=35%>同家族傳承標記。我經常諗，自己係咪應該繼續戴住。不過，<size=20%>龍族傳統好重視文化同家族聯繫！所以我必須遵循。<size=10%>水、土、火、氣。好耐以前，四國和平共處。直到火烈國發動侵略，一切都改變咗。
line:0a0e6773	Dragon stomachs are a bit more... robust than yours.	龍個胃比你嘅……強勁啲。
line:7e352505	Dragons of the galaxy 2	銀河之龍 2
line:c2c659d1	Eep!	吱！
line:0bd1699e	Ehh..	呃……
line:43dd32f5	Er... That's not-	呃……唔係呢個——
line:93b60dce	Even so. Not this time	即便如此，今次都唔用。
line:573d9362	Even though you were just doing your job... I think it helped him a lot.	就算你只係做自己份工……我諗對佢幫助都好大。
line:a2ba222e	Evening. This establishment takes walk ins, correct?	晚安。貴店接受冇預約嘅客人，對嗎？
line:f98c3b6c	Every ending here is special!	呢度次次收尾都好特別㗎！
line:bfeaec15	Every self respecting wizard has a phoenix feather handy.	有返啲自尊嘅巫師，都會隨身帶支鳳凰羽毛。
line:57df700d	Everyone's gaze carries an immense weight.	每個人嘅目光都帶住沉重壓力。
line:9ad8d2dd	Excellent!	非常好！
line:0c997163	Excellent.	非常好。
line:1976bc60	Excellent. Then make sure to go greet your customer at the window.	非常好。記得去窗口招呼客人。
line:7bbe7ee3	Expectations are laaaame.	其他人嘅期望真係好煩呀。
line:f99eb2ff	Ey! The mount! Fuck yeah.	喂！交配架！屌，正呀。
line:d376acb9	Ey, so. Was thinkin'	喂，咁呀，我諗緊
line:85ec0862	Ey, sorry for coming in late.	喂，咁夜先嚟，唔好意思。
line:12e8ae42	Ey, Use your hands on my cock- it feels good!	喂，用手幫我捽碌鳩——好舒服！
line:271a3846	Fair enough. I'll be waiting!	好吧。我等你！
line:4789095b	Fair enough. You two do seem cute together.	都好。你哋兩個一齊真係幾可愛。
line:f5b37855	Felt good sliding down though!	不過滑落去真係幾舒服！
line:274367d7	Figured I'd bring in something nice after all you've done.	你幫咗我咁多，我想帶啲好嘢過嚟。
line:aae8afca	Fine with me!	我冇問題！
line:e98616be	For you!	畀你㗎！
line:62a82aba	Found this one gryphon. About my size...	識咗隻獅鷲。身形同我差唔多……
line:807fdc76	From what I've heard he sounds like he's improved a lot recently, yeah?	照我聽返嚟，佢最近好似改咗好多，係咪？
line:803bf378	Fuck man, I'm so pumped.	屌，我好撚期待。
line:f2418086	Fuck no! Shit's embarrassing.	屌，梗係唔想！好撚瘀。
line:a7ca3ca8	Fuck something and then get a handjob hopefully.	扑吓嘢，再有人幫我打飛機就最好。
line:203bce10	Fuuuck. You really know how to work a dragon!	屌。你真係識點令條龍爽！
line:f7f9b0db	G'day mate!	你好，老友！
line:664c994e	Gave me time to think.	畀咗時間我諗清楚。
line:1d9b3531	Get a handjob and fuck this mount.	畀人打飛機，同埋屌吓個交配架。
line:48afdce4	Give it to me!	射畀我啦！
line:9df043ad	Give me a bit	畀我少少時間。
line:e5c7f64a	Glad I'm here to remind you then.	咁好彩我嚟提醒你。
line:354170aa	Go for it!	嚟啦！
line:2d0b6b06	Goin' downtown tonight. Needed to be spotless. Say...	今晚去市中心，要洗到乾淨晒先。喂……
line:dcb506d2	Good as!	好呀！
line:bcbc6373	Good evening!	晚安！
line:607a5c47	Good, I can't be having the Burnswick Community College of Thaumaturgy know that their best professor Alexander has caused another incident.	好。唔可以畀伯恩斯威克奇術社區學院知道，佢哋最出色嘅亞歷山大教授又惹咗事故。
line:12b72085	Good, you better. If I come back and there isn't one...	好，你最好係。如果我下次嚟都仲未有……
line:2c851dad	Good.	咁就好。
line:2712436c	Good. 'Aight, let me out.	好。得喇，畀我出去。
line:bab51ada	Good... That'd be correct.	舒服……呢個形容正確。
line:44f2b8cf	Goodbye!	再見！
line:a8e6ac2a	Goodness, thanks to you I have a chance at redeeming this situation.	謝天謝地，多得你，我先有機會補救。
line:745c3c12	Gosh!	嘩！
line:6b5c6564	Gotta <i>practice</i> for Ryan if you catch what I mean.	要為賴恩<i>練習</i>吓嘛，你明我講咩啦。
line:e3cef2bc	Gotta make sure you're spotless!	一定要幫你洗到乾淨晒！
line:b01b2159	Great, so uh,	太好喇，咁，呃，
line:43c94954	Grouse as! Excited to see you work!	正呀！好想快啲睇你出手！
line:9de16ee9	Ha!	哈！
line:88d7e1e2	Haah. This is the best fuckin' wash.	哈啊。呢度真係洗得正到爆。
line:cc6e7856	Hah! There's the mount!	哈！交配架喺度喇！
line:90dd6d9d	Hah, eager as always.	哈，一如既往咁熱情。
line:9542e7a6	Hah, good. Let's break this thing in!	哈，好。等我幫佢開苞啦！
line:fe21109b	Hah, he seems like the wild type.	哈，佢睇落的確係狂野嗰類。
line:e8bc1d95	Hah, I imagine it would be.	哈，估到會幾好。
line:acbf628d	Hah, it is a motivator.	哈，的確係個動力。
line:65b23418	Hah, okay. I'm game.	哈，好呀。我奉陪。
line:058d9d5c	Hah, yeah. Conrad is definitely experienced...	哈，係呀。康拉德真係好有經驗……
line:8b878971	Hah, yeah. He sounds fun.	哈，係呀。聽落佢幾好玩。
line:e3ed51d9	Hah. Conrad, you look good too.	哈。康拉德，你都幾好睇。
line:f8b2e23b	Hah. Fine.	哈，好啦。
line:ea23c5f9	Hah. If only there was a kobold that could clean me.	哈。如果有個狗頭人可以幫我洗乾淨就好。
line:c9bb2a93	Hah. Yeah. <size=70%><i>It's cool that you learn to jerk off dragons in cleaning school...	哈。係呀。<size=70%><i>洗龍學校會教點幫條龍打飛機，真係幾正……
line:50a559bb	Hah... <size=70%> yeah.	哈……<size=70%>係呀。
line:4d4d9986	Hah... Gonna jerk me off now? That's fine.	哈……而家幫我打飛機？冇問題。
line:4e920759	Hah... Yeah I'm excited.	哈……係呀，我好期待。
line:b36365ce	Hah... Yeah...	哈……係呀……
line:b8724c64	Hah... you do like that noise.	哈……你真係好鍾意咁叫。
line:c8cde395	Haha, 'Yip' indeed.	哈哈，的確係「吱」。
line:680991cf	Haha, yes. Happy to see you.	哈哈，係。好高興見到你。
line:4c27b031	Haha, you certainly are!	哈哈，真係你喎！
line:c3a2e14e	Haha, you certainly are!	哈哈，真係你喎！
line:9ec40945	Haha. 'Yip' to you too.	哈哈。我都同你講聲「吱」。
line:5e91e0a7	Haha... Yeah. I'm not really used to complimenting.	哈哈……係呀。我唔係好慣讚人。
line:44689f21	Happy to be back.	好高興返到嚟。
line:2672f65d	Happy to be here.	好開心嚟到呢度。
line:192fcb8e	Happy to get it off.	洗走佢就舒服晒。
line:3517b28e	Have a productive day.	祝你今日工作順利。
line:7c1adc57	He called me, we met up. He's really damn nice.	佢打畀我，我哋就見面。佢真係好好。
line:e71f9a0b	HE DIED!?	佢死咗！？
line:ed6c9afb	He hadn't been... Well, cared about in a long time from what I could gather.	照我理解……佢好耐冇被人好好關心過。
line:de25de6e	He just... Knew what to say to snap me out of all that.	佢就係……識得講啲說話，令我即刻醒返。
line:a035a3fd	He prefers 'vertically challenged'... But yes.	佢比較鍾意人哋話佢「高度受限」……不過，係。
line:04b29e42	He really is.	佢真係。
line:c7e1b369	He really is.	佢真係。
line:c64bd5ce	He said I was chill, we planned a date...	佢話我幾好相處，我哋就約好咗……
line:e8a91447	He's a lot. But, I like it.	佢好有性格。不過我鍾意。
